EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2A,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Charge Fouls Drawn,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,ShortMidRangeAssists,Offensive Fouls Drawn,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceShotQualityAvg,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,DeadBallTurnovers,Offensive Fouls,BlockedShortMidRange,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsPutbacks,Corner3Assists,LongMidRangeAssists,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChancePointsPct,FTDefRebounds,BadPassOutOfBoundsTurnovers,DefFTReboundPct,OffCorner3ReboundPct,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Charge Fouls,DefensiveGoaltends,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,Loose Ball Fouls Drawn,3SecondViolations,HeaveAttempts,BlockedCorner3,team_id,year,season,team_vs
1626167-1627763-1628410-1628988-203933,1610612754,"Myles Turner, Malcolm Brogdon, Edmond Sumner, Aaron Holiday, T.J. Warren","Turner, Brogdon, Sumner, Holiday, Warren",1626167-1627763-1628410-1628988-203933,IND,62.0,1,1.0,2.0,2.0,4,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,92.9032258064516,20.0,11.0,20.0,11.0,1.0,0.3816,0.5,0.5,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,True
1626167-1627763-1628410-203200-203933,1610612754,"Myles Turner, Malcolm Brogdon, Edmond Sumner, Justin Holiday, T.J. Warren","Turner, Brogdon, Sumner, Holiday, Warren",1626167-1627763-1628410-203200-203933,IND,844.0,1,14.0,28.0,27.0,55,2.0,13.0,7.0,35.0,24.0,4.0,10.0,10.0,9.0,9.0,3.0,35.0,0.6730769230769231,0.8,0.7692307692307693,0.8,93.8388625592417,13.964285714285714,16.77777777777778,13.964285714285714,15.962962962962964,0.09090909090909091,0.5126977272727273,0.16,0.1875,5.546153846153846,11.0,11.0,4.0,7.0,10.0,3.0,4.0,1.0,1.0,1.0,4.0,8.0,1.0,8.0,4.0,9.0,4.0,6.0,1.0,5.0,13.0,6.0,10.0,6.0,6.0,8.0,4.0,3.0,3.0,2.0,5.0,2.0,3.0,12.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,11.0,10.0,1.0,0.375,0.375,0.5,0.4444444444444444,0.4444444444444444,0.6153846153846154,0.6666666666666666,0.6363636363636364,0.5714285714285714,0.65,0.4090909090909091,0.23076923076923078,0.3,1.0,0.75,0.5,1.0,0.3333333333333333,0.45454545454545453,0.7,1.0,0.42857142857142855,0.5,0.5,0.045454545454545456,0.045454545454545456,0.36363636363636365,0.5,0.5,0.5,0.5714285714285714,0.75,0.14285714285714285,0.8636363636363636,0.5,0.46525,0.1111111111111111,0.37142857142857144,25.62222222222222,0.39285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,True
1626167-1627763-1628410-203506-203933,1610612754,"Myles Turner, Malcolm Brogdon, Edmond Sumner, Victor Oladipo, T.J. Warren","Turner, Brogdon, Sumner, Oladipo, Warren",1626167-1627763-1628410-203506-203933,IND,450.0,2,8.0,17.0,16.0,33,2.0,10.0,2.0,10.0,18.0,2.0,6.0,8.0,3.0,2.0,1.0,10.0,0.3333333333333333,1.0,1.0,1.0,105.6,15.470588235294118,11.6875,15.411764705882353,11.6875,0.14285714285714285,0.5286892857142858,0.06666666666666667,0.09090909090909091,5.0600000000000005,-8.0,,5.0,3.0,6.0,,,,2.0,,,4.0,,4.0,,4.0,,,,,,4.0,4.0,,,4.0,,,2.0,,2.0,,2.0,4.0,4.0,1.0,1.0,,4.0,3.0,4.0,2.0,4.0,,,,,,,,,,,,1.0,0.5,0.5,,,,0.4,,0.2857142857142857,,,0.2857142857142857,,,1.0,1.0,1.0,1.0,,0.42857142857142855,0.5,0.5,0.6666666666666666,,,0.14285714285714285,,0.2857142857142857,,,,,,,0.7142857142857143,,,,,25.75,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,0.2,0.3333333333333333,0.25,1.0,0.1,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,True
1626167-1627763-1628988-203200-203926,1610612754,"Myles Turner, Malcolm Brogdon, Aaron Holiday, Justin Holiday, Doug McDermott","Turner, Brogdon, Holiday, Holiday, McDermott",1626167-1627763-1628988-203200-203926,IND,89.0,1,1.0,3.0,3.0,6,3.0,3.0,,2.0,2.0,,,1.0,1.0,,,2.0,0.3333333333333333,,,,97.07865168539325,14.666666666666666,15.0,10.0,15.0,1.0,0.4221,,,7.833333333333333,,,,,,,,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,1.0,,1.0,,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,0.3333333333333333,,0.3333333333333333,,,,,,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,0.5,,0.5,,,,,,,,1.0,1.0,0.5,1.0,0.4337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,True
1626167-1627763-1628988-203200-203933,1610612754,"Myles Turner, Malcolm Brogdon, Aaron Holiday, Justin Holiday, T.J. Warren","Turner, Brogdon, Holiday, Holiday, Warren",1626167-1627763-1628988-203200-203933,IND,239.0,2,4.0,10.0,12.0,22,1.0,3.0,8.0,10.0,13.0,3.0,5.0,5.0,4.0,9.0,,10.0,0.5555555555555556,1.0,1.0,1.0,132.55230125523013,8.8,12.583333333333334,7.5,12.583333333333334,0.2,0.52127,0.16666666666666666,,5.733333333333333,-3.0,8.0,7.0,1.0,2.0,1.0,2.0,,,1.0,,1.0,,1.0,,2.0,1.0,3.0,1.0,8.0,10.0,,2.0,,,1.0,,1.0,,,,,,,2.0,,,,,,1.0,1.0,4.0,,1.0,3.0,1.0,,,,1.0,1.0,4.0,5.0,1.0,,,,,,0.3333333333333333,0.3333333333333333,0.2,0.25,0.625,0.4,0.3333333333333333,0.5,,1.0,1.0,,1.0,0.4,0.5,1.0,,,,,0.2,0.2,,,,0.5,0.5,,0.8,,0.517825,0.3333333333333333,1.0,25.1,0.8,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,True
1626167-1627763-1628988-203506-203933,1610612754,"Myles Turner, Malcolm Brogdon, Aaron Holiday, Victor Oladipo, T.J. Warren","Turner, Brogdon, Holiday, Oladipo, Warren",1626167-1627763-1628988-203506-203933,IND,1412.0,3,24.0,48.0,49.0,97,9.0,25.0,18.0,82.0,55.0,8.0,17.0,25.0,15.0,24.0,8.0,67.0,0.7735849056603774,0.8,0.68,0.7142857142857143,98.92351274787535,13.625,15.46938775510204,13.333333333333334,14.428571428571429,0.20454545454545456,0.52695,0.19607843137254902,0.26666666666666666,5.936,27.0,11.0,2.0,8.0,13.0,2.0,4.0,5.0,3.0,4.0,9.0,15.0,4.0,14.0,12.0,19.0,2.0,5.0,5.0,5.0,18.0,18.0,10.0,36.0,,15.0,9.0,1.0,9.0,12.0,21.0,9.0,6.0,54.0,9.0,5.0,2.0,3.0,1.0,1.0,4.0,4.0,7.0,,2.0,2.0,1.0,,,,1.0,,18.0,11.0,,0.6428571428571429,0.6923076923076923,1.0,0.631578947368421,0.631578947368421,0.56,0.4,0.7272727272727273,0.65,0.75,0.4318181818181818,0.04,0.07692307692307693,0.25,0.6,0.6666666666666666,0.6666666666666666,,0.29545454545454547,0.6153846153846154,0.6666666666666666,0.75,0.5555555555555556,0.5555555555555556,0.06818181818181818,0.09090909090909091,0.3409090909090909,0.6,0.6,1.0,0.4,0.5,0.4,0.7272727272727273,0.6,0.56126,0.09523809523809523,0.21951219512195122,25.905263157894737,0.22916666666666666,7.0,2.0,1.0,2.0,2.0,6.0,8.0,2.0,,1.0,1.0,,0.5454545454545454,0.2857142857142857,0.4444444444444444,0.8,0.3333333333333333,0.3333333333333333,0.11764705882352941,0.3333333333333333,0.3333333333333333,0.4,2.0,,0.25,0.4,0.5812166666666666,1.0,2.0,3.0,3.0,1.0,1.0,0.4,0.1,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,15.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.6,0.5,1.1,1.0714285714285714,0.5,1.0,1.0,0.75,0.75,1.0,0.5,0.2,1.0,1.0,1.0,1.0,1.0,0.5,0.18292682926829268,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,True
1626167-1627763-1628988-203926-203933,1610612754,"Myles Turner, Malcolm Brogdon, Aaron Holiday, Doug McDermott, T.J. Warren","Turner, Brogdon, Holiday, McDermott, Warren",1626167-1627763-1628988-203926-203933,IND,436.0,3,7.0,13.0,13.0,26,3.0,6.0,,24.0,20.0,2.0,5.0,7.0,,,,22.0,0.8571428571428571,1.0,0.75,1.0,85.87155963302753,15.76923076923077,17.76923076923077,15.153846153846153,17.46153846153846,0.21428571428571427,0.5026142857142857,,,9.333333333333334,4.0,4.0,6.0,2.0,2.0,,,3.0,1.0,2.0,4.0,6.0,2.0,6.0,4.0,8.0,1.0,1.0,2.0,,2.0,2.0,10.0,12.0,,6.0,4.0,,1.0,4.0,5.0,4.0,1.0,14.0,1.0,1.0,1.0,,,,1.0,,3.0,,,,1.0,,,1.0,1.0,,2.0,4.0,2.0,0.16666666666666666,0.2,1.0,0.5,0.5,1.0,1.0,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.5714285714285714,,,,0.5,,1.0,,0.14285714285714285,1.0,1.0,0.5,1.0,1.0,0.07142857142857142,0.14285714285714285,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,,,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.4877833333333333,,0.08333333333333333,25.75,0.3076923076923077,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,1.0,,,0.5,0.5,,,,0.25,1.0,1.0,0.5,,,,,0.6438,,,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,,,2.0,,2.0,,,,,1.0,,,,,,1.0,0.5,0.5,,,,,,,1.0,0.5,,,,,,,0.08333333333333333,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,1610612754,2020,2019-20,True
1626167-1627763-203200-203506-203933,1610612754,"Myles Turner, Malcolm Brogdon, Justin Holiday, Victor Oladipo, T.J. Warren","Turner, Brogdon, Holiday, Oladipo, Warren",1626167-1627763-203200-203506-203933,IND,3910.0,3,65.0,131.0,130.0,261,22.0,68.0,22.0,125.0,138.0,30.0,51.0,69.0,21.0,28.0,7.0,110.0,0.508130081300813,0.9090909090909091,0.8333333333333334,0.8928571428571429,96.12276214833759,15.86259541984733,14.092307692307692,14.893129770992367,13.853846153846154,0.2018348623853211,0.49222064220183487,0.0603448275862069,0.09333333333333334,7.242647058823529,-13.0,25.0,21.0,22.0,34.0,3.0,5.0,8.0,12.0,10.0,10.0,31.0,5.0,32.0,13.0,41.0,4.0,8.0,6.0,11.0,22.0,38.0,26.0,39.0,,31.0,10.0,11.0,19.0,13.0,32.0,10.0,14.0,77.0,20.0,10.0,4.0,6.0,16.0,12.0,26.0,16.0,26.0,,,7.0,5.0,,,3.0,5.0,4.0,18.0,22.0,1.0,0.59375,0.6333333333333333,1.0,0.3170731707317073,0.3170731707317073,0.47058823529411764,0.5,0.4724770642201835,0.39285714285714285,0.5,0.3761467889908257,0.16176470588235295,0.23529411764705882,0.6153846153846154,0.7407407407407407,0.5,0.875,0.8,0.3119266055045872,0.6470588235294118,0.8461538461538461,0.6363636363636364,0.36363636363636365,0.4,0.11009174311926606,0.09174311926605505,0.28440366972477066,0.3225806451612903,0.3333333333333333,1.0,0.35714285714285715,0.6,0.35714285714285715,0.6880733944954128,0.3225806451612903,0.47843928571428573,,0.176,25.124390243902436,0.19083969465648856,14.0,5.0,2.0,8.0,7.0,11.0,18.0,4.0,4.0,1.0,,1.0,0.3055555555555556,0.28,0.29508196721311475,0.25,0.3333333333333333,0.8888888888888888,0.08163265306122448,0.16666666666666666,0.18181818181818182,0.3333333333333333,4.0,1.0,0.35714285714285715,0.5,0.5158318181818182,1.0,6.0,7.0,10.0,1.0,2.0,0.4,0.07142857142857142,3.0,3.0,,1.0,,1.0,1.0,4.0,1.0,4.0,15.0,1.0,4.0,3.0,1.0,,,5.0,,,4.0,0.14285714285714285,0.16666666666666666,0.5,0.36666666666666664,0.4411764705882353,0.3,1.0,0.5,0.3,0.3,1.0,0.6,0.06666666666666667,,,0.16666666666666666,1.0,,0.2,0.12,1.0,3.0,1.0,0.14285714285714285,1.0,2.0,2.0,2.0,0.024390243902439025,0.09090909090909091,0.08333333333333333,0.03225806451612903,0.3333333333333333,,,,,1610612754,2020,2019-20,True
1626167-1627763-203200-203926-203933,1610612754,"Myles Turner, Malcolm Brogdon, Justin Holiday, Doug McDermott, T.J. Warren","Turner, Brogdon, Holiday, McDermott, Warren",1626167-1627763-203200-203926-203933,IND,89.0,1,1.0,4.0,3.0,7,,1.0,4.0,4.0,2.0,,1.0,1.0,2.0,4.0,2.0,4.0,0.6666666666666666,,0.5,,113.25842696629213,9.75,16.666666666666668,9.75,16.0,,0.6876,0.6666666666666666,0.6666666666666666,0.3,2.0,3.0,3.0,,1.0,,1.0,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,0.5,,,,1.0,0.5,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,,0.6876,,0.5,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,True
1626167-1627763-203506-203926-203933,1610612754,"Myles Turner, Malcolm Brogdon, Victor Oladipo, Doug McDermott, T.J. Warren","Turner, Brogdon, Oladipo, McDermott, Warren",1626167-1627763-203506-203926-203933,IND,218.0,2,4.0,7.0,7.0,14,1.0,3.0,5.0,14.0,8.0,1.0,2.0,2.0,3.0,5.0,1.0,14.0,1.1666666666666667,1.0,1.0,1.0,92.4770642201835,14.142857142857142,17.0,14.142857142857142,17.0,0.25,0.50245,0.3333333333333333,0.25,4.466666666666667,6.0,1.0,,2.0,2.0,,,1.0,,1.0,,,,3.0,1.0,1.0,,,1.0,,3.0,4.0,2.0,3.0,,,,,2.0,1.0,3.0,,1.0,7.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,3.0,1.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,,1.125,1.5,1.5,0.25,,,1.0,1.0,,1.0,,0.5,1.0,1.0,0.5,1.0,1.0,,0.25,,,,,,,,0.75,,0.5511,0.5,0.21428571428571427,22.6,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1610612754,2020,2019-20,True
