EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,OffRebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,OffTwoPtRebounds,OffTwoPtReboundPct,OffAtRimReboundPct,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Charge Fouls,RecoveredBlocks,AtRimPctBlocked,LiveBallTurnoverPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyFG3M,HeaveAttempts,BadPassSteals,PenaltyFg3Pct,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,SecondChanceFG2M,SecondChanceFG2A,NonHeaveArc3FGM,Arc3Assists,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,OffShortMidRangeReboundPct,PtsPutbacks,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Offensive Fouls,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,SecondChanceTurnovers,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SelfOReb,Technical Free Throw Trips,DefensiveGoaltends,SelfORebPct,OffensiveGoaltends,Defensive 3 Seconds Violations,Charge Fouls Drawn,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Corner3PctBlocked,3SecondViolations,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
1626174-1627748-1628379-1628971-1629004,1610612765,"Christian Wood, Thon Maker, Luke Kennard, Bruce Brown, Svi Mykhailiuk","Wood, Maker, Kennard, Brown, Mykhailiuk",1626174-1627748-1628379-1628971-1629004,DET,87.0,1,1.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,99.3103448275862,13.666666666666666,15.333333333333334,13.666666666666666,15.333333333333334,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5324833333333333,0.5324833333333333,0.3333333333333333,1.0,1.0,12.7,23.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
1626174-1627748-1628379-1628971-201565,1610612765,"Christian Wood, Thon Maker, Luke Kennard, Bruce Brown, Derrick Rose","Wood, Maker, Kennard, Brown, Rose",1626174-1627748-1628379-1628971-201565,DET,36.0,1,1.0,5.0,2.0,1.0,,1.0,3.0,,,1.0,,,,1.0,1.0,1.0,5.0,,,,,2.0,,,,,,,,,,,,,5.0,,,1.0,,1.25,,1.25,,0.5,,,,,,120.0,10.5,15.0,10.5,15.0,,,,0.5,,,,0.5,0.4999,,,,,22.5,22.9,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
1626174-1627748-1628379-1628971-204038,1610612765,"Christian Wood, Thon Maker, Luke Kennard, Bruce Brown, Langston Galloway","Wood, Maker, Kennard, Brown, Galloway",1626174-1627748-1628379-1628971-204038,DET,402.0,3,7.0,2.0,14.0,14.0,9.0,7.0,28.0,2.0,4.0,,,2.0,1.0,6.0,8.0,2.0,17.0,4.0,5.0,1.0,13.0,4.0,2.0,2.0,2.0,5.0,6.0,4.0,7.0,1.0,2.0,,,1.0,15.0,13.0,9.0,0.75,0.8,0.6,0.6666666666666666,0.6538461538461539,0.7222222222222222,0.2,0.4,1.0,0.5714285714285714,0.5,1.0,100.29850746268656,13.714285714285714,15.0,13.714285714285714,14.642857142857142,0.4,0.5,0.6666666666666666,,0.2,,0.16666666666666666,0.6,0.49505,0.49343333333333333,0.18181818181818182,0.2222222222222222,0.7647058823529411,5.575,26.2,0.6428571428571429,,,,,,,4.0,,8.0,,,,,,,,,,1.0,4.0,4.0,2.0,2.0,5.0,15.0,2.0,2.0,5.0,8.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.125,0.25,1.0,0.5,0.25,0.5,0.3333333333333333,1.0,0.4,1.0,1.0,0.75,0.5,0.3333333333333333,1.0,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
1626174-1627748-1628379-1629004-203503,1610612765,"Christian Wood, Thon Maker, Luke Kennard, Svi Mykhailiuk, Tony Snell","Wood, Maker, Kennard, Mykhailiuk, Snell",1626174-1627748-1628379-1629004-203503,DET,53.0,1,1.0,-3.0,1.0,2.0,,,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,0.25,,,,,,,,81.50943396226415,29.0,12.0,29.0,8.5,,,,,,,,1.0,0.4319,,0.5,0.5,,2.2,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,4.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.5,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
1626174-1627748-1628379-1629004-204038,1610612765,"Christian Wood, Thon Maker, Luke Kennard, Svi Mykhailiuk, Langston Galloway","Wood, Maker, Kennard, Mykhailiuk, Galloway",1626174-1627748-1628379-1629004-204038,DET,510.0,4,8.0,-15.0,19.0,18.0,7.0,8.0,37.0,,2.0,1.0,,3.0,,2.0,6.0,4.0,8.0,1.0,2.0,,6.0,2.0,3.0,3.0,3.0,6.0,6.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,8.0,6.0,7.0,0.3333333333333333,0.5,0.2,0.5,0.3333333333333333,0.75,0.4,0.75,0.75,0.75,1.0,0.75,104.47058823529412,14.894736842105264,12.61111111111111,14.894736842105264,12.444444444444445,0.2,,,0.1,0.3,,,0.6,0.482365,0.51355,0.1,0.16666666666666666,0.75,10.5,26.3,0.3684210526315789,1.0,2.0,,,,,1.0,,2.0,,,,0.2,0.5,0.5,,,,,1.0,2.0,1.0,2.0,4.0,23.0,,,4.0,2.0,1.0,1.0,,,,,,,,1.0,4.0,1.0,7.0,3.0,2.0,4.0,,,2.0,1.0,1.0,,2.0,0.5,0.5,,0.16666666666666666,,,,,,,,0.2,0.5,1.0,,,1.0,0.5,,,,,1.0,3.0,2.0,1.0,1.0,2.0,0.5,0.42857142857142855,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
1626174-1627748-1628379-201565-203503,1610612765,"Christian Wood, Thon Maker, Luke Kennard, Derrick Rose, Tony Snell","Wood, Maker, Kennard, Rose, Snell",1626174-1627748-1628379-201565-203503,DET,165.0,2,3.0,2.0,6.0,6.0,2.0,6.0,12.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,,,3.0,3.0,2.0,,2.0,,2.0,2.0,1.0,2.0,,1.0,,,,6.0,3.0,2.0,1.0,,0.625,0.5,0.6,0.5,0.75,,1.0,1.0,,1.0,104.72727272727273,12.5,15.0,12.5,15.0,0.25,1.0,1.0,0.5,0.25,0.6666666666666666,0.3333333333333333,0.75,0.5572333333333334,0.62295,0.2,0.5,0.5,7.7,38.266666666666666,0.3333333333333333,,,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.5,,,,0.5,0.5,1.0,,,,,,1.0,4.0,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.5,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
1626174-1627748-1628379-201565-204038,1610612765,"Christian Wood, Thon Maker, Luke Kennard, Derrick Rose, Langston Galloway","Wood, Maker, Kennard, Rose, Galloway",1626174-1627748-1628379-201565-204038,DET,801.0,2,13.0,1.0,27.0,28.0,11.0,16.0,55.0,6.0,6.0,1.0,,3.0,1.0,13.0,17.0,4.0,38.0,4.0,7.0,1.0,12.0,18.0,3.0,2.0,3.0,5.0,7.0,8.0,10.0,,2.0,2.0,2.0,4.0,33.0,12.0,11.0,0.7647058823529411,0.5714285714285714,0.6904761904761905,0.5,0.76,0.6,0.19047619047619047,0.5,0.4,0.45454545454545453,1.0,0.5,98.87640449438203,14.592592592592593,14.535714285714286,14.444444444444445,13.75,0.2857142857142857,1.0,1.0,0.047619047619047616,0.14285714285714285,,0.125,0.5714285714285714,0.47218333333333334,0.4517125,0.16,0.10526315789473684,0.3157894736842105,6.641176470588236,25.3,0.4074074074074074,1.0,3.0,,1.0,3.0,1.0,5.0,,11.0,1.0,0.25,0.25,0.14285714285714285,0.3333333333333333,0.3333333333333333,,,,2.0,6.0,8.0,3.0,5.0,9.0,37.0,3.0,5.0,4.0,8.0,,4.0,2.0,2.0,1.0,,2.0,2.0,,,2.0,1.0,4.0,1.0,2.0,4.0,,,,2.0,,1.0,,0.3076923076923077,0.3076923076923077,1.25,,,,0.3333333333333333,0.2857142857142857,,,,0.38095238095238093,0.75,0.75,0.3333333333333333,0.3333333333333333,0.625,0.6,0.13157894736842105,1.0,0.25,,,2.0,1.0,1.0,,,,0.5,1.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5628,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
1626174-1627748-1628379-203503-204025,1610612765,"Christian Wood, Thon Maker, Luke Kennard, Tony Snell, Tim Frazier","Wood, Maker, Kennard, Snell, Frazier",1626174-1627748-1628379-203503-204025,DET,76.0,1,1.0,-2.0,3.0,2.0,,,5.0,,1.0,,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,94.73684210526316,20.333333333333332,7.5,20.333333333333332,7.5,0.5,,,,,,,,0.3678,,,,,10.1,,,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
1626174-1627748-1628379-204025-204038,1610612765,"Christian Wood, Thon Maker, Luke Kennard, Tim Frazier, Langston Galloway","Wood, Maker, Kennard, Frazier, Galloway",1626174-1627748-1628379-204025-204038,DET,73.0,1,1.0,,2.0,2.0,,,4.0,,,,,,,,1.0,,2.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,2.0,,,,,,,0.5,,,1.0,,1.0,,,78.9041095890411,17.5,19.0,17.5,19.0,,,,,,,,,0.3957,,0.5,0.5,,18.2,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
1626174-1627748-1628476-202688-204038,1610612765,"Christian Wood, Thon Maker, Derrick Walton Jr., Brandon Knight, Langston Galloway","Wood, Maker, Walton Jr., Knight, Galloway",1626174-1627748-1628476-202688-204038,DET,38.0,1,1.0,3.0,1.0,1.0,,1.0,2.0,,1.0,,,1.0,,,1.0,1.0,3.0,,,,,,1.0,1.0,,1.0,2.0,1.0,,,,,,,3.0,,,,,0.75,,0.75,,0.5,,1.0,1.0,,1.0,75.78947368421053,20.0,18.0,20.0,18.0,0.5,,,,0.5,,,0.5,0.4904,,,,,6.7,24.5,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2020,2019-20,False
