EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,Corner3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,Corner3Assists,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,TwoPtShootingFoulsDrawn,PenaltyFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,Offensive Fouls,PtsUnassisted3s,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls Drawn,BadPassTurnovers,SecondChanceTurnovers,LostBallSteals,ShootingFouls,Offensive Fouls Drawn,Loose Ball Fouls,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,BlocksRecoveredPct,Technical Free Throw Trips,Charge Fouls Drawn,Charge Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,3SecondViolations,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceFtPoints,HeaveAttempts,FTOffRebounds,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,DefensiveGoaltends,Defensive 3 Seconds Violations,BlockedLongMidRange,BlockedCorner3,team_id,year,season,team_vs
1626204-1626224-1627790-1628035-203521,1610612739,"Larry Nance Jr., Cedi Osman, Ante Zizic, Alfonzo McKinnie, Matthew Dellavedova","Nance Jr., Osman, Zizic, McKinnie, Dellavedova",1626204-1626224-1627790-1628035-203521,CLE,62.0,1,1.0,-4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.9032258064516,15.5,15.5,15.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6596,0.6596,1.0,1.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
1626204-1626224-1627790-1629012-1629636,1610612739,"Larry Nance Jr., Cedi Osman, Ante Zizic, Collin Sexton, Darius Garland","Nance Jr., Osman, Zizic, Sexton, Garland",1626204-1626224-1627790-1629012-1629636,CLE,473.0,2,8.0,4.0,16.0,15.0,12.0,31.0,3.0,7.0,3.0,5.0,6.0,14.0,18.0,14.0,6.0,11.0,15.0,2.0,1.0,2.0,,5.0,,,1.0,1.0,14.0,15.0,12.0,0.16666666666666666,0.16666666666666666,0.42857142857142855,0.5454545454545454,0.4411764705882353,0.5,0.47368421052631576,0.5357142857142857,,94.37632135306553,15.75,14.733333333333333,15.0,14.733333333333333,0.4117647058823529,0.42857142857142855,0.6,,0.4166666666666667,0.6,0.5882352941176471,0.5331941176470588,0.5251833333333333,0.8333333333333334,6.414285714285714,0.75,8.0,3.0,1.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0,1.0,3.0,10.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.17647058823529413,0.21428571428571427,0.2857142857142857,0.16666666666666666,1.0,1.0,0.5,0.8,0.4444444444444444,0.5,0.5,1.0,1.0,1.0,0.35294117647058826,0.3333333333333333,0.4,0.5,0.058823529411764705,1.0,1.0,0.058823529411764705,0.11764705882352941,0.5,0.5,1.0,0.75,0.3333333333333333,0.08333333333333333,0.5,0.600475,0.2222222222222222,24.900000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
1626204-1626224-1627790-1629012-203521,1610612739,"Larry Nance Jr., Cedi Osman, Ante Zizic, Collin Sexton, Matthew Dellavedova","Nance Jr., Osman, Zizic, Sexton, Dellavedova",1626204-1626224-1627790-1629012-203521,CLE,468.0,2,8.0,5.0,15.0,14.0,5.0,29.0,1.0,2.0,1.0,1.0,3.0,7.0,17.0,12.0,1.0,2.0,5.0,4.0,2.0,5.0,1.0,13.0,,,1.0,,17.0,5.0,5.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.5,0.5769230769230769,0.625,0.6071428571428571,0.625,,89.23076923076923,15.933333333333334,16.357142857142858,15.266666666666667,15.142857142857142,0.15384615384615385,0.5,1.0,1.0,0.25,1.0,0.6153846153846154,0.4980076923076923,0.5105375,0.29411764705882354,6.514285714285714,0.3333333333333333,3.0,1.0,,,2.0,4.0,,1.0,2.0,,2.0,4.0,3.0,6.0,2.0,,1.0,,2.0,,2.0,9.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,,6.0,1.0,7.0,1.0,1.0,1.0,,2.0,2.0,2.0,,,,1.0,0.5,0.5,,,,0.46153846153846156,0.14285714285714285,0.5,,,0.6666666666666666,0.25,0.75,0.14285714285714285,1.0,,1.0,0.5,,0.3076923076923077,0.5,0.5,0.5,0.07692307692307693,,,0.15384615384615385,0.3076923076923077,0.5,0.5,1.0,,,,0.5,0.3983,,26.383333333333336,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,0.5,0.8,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.07142857142857142,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
1626204-1626224-1627790-1629645-203521,1610612739,"Larry Nance Jr., Cedi Osman, Ante Zizic, Kevin Porter Jr., Matthew Dellavedova","Nance Jr., Osman, Zizic, Porter Jr., Dellavedova",1626204-1626224-1627790-1629645-203521,CLE,512.0,1,9.0,-8.0,13.0,15.0,,28.0,4.0,5.0,,,6.0,10.0,19.0,27.0,,,,6.0,3.0,5.0,2.0,12.0,,,1.0,,15.0,,,0.5,0.75,0.6,,0.5625,,0.5588235294117647,,,78.75,21.23076923076923,15.733333333333333,20.0,15.6,0.3125,0.8,1.0,0.5,,,0.6875,0.512784375,,,6.3100000000000005,,,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,,1.0,5.0,2.0,6.0,1.0,2.0,2.0,4.0,,,6.0,6.0,5.0,1.0,1.0,2.0,1.0,,3.0,2.0,,2.0,4.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.375,0.1,0.2,,,0.5,0.75,0.5,0.5,1.0,0.6666666666666666,0.5,,1.0,0.25,0.25,0.25,,0.0625,1.0,1.0,0.0625,0.3125,0.2,0.2,1.0,0.5,1.0,,0.2,0.5766,0.21052631578947367,26.366666666666664,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,0.058823529411764705,0.09090909090909091,2.0,2.0,4.0,1.0,1.0,1.0,0.25,0.25,0.14285714285714285,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
1626204-1626224-1627790-1629645-203903,1610612739,"Larry Nance Jr., Cedi Osman, Ante Zizic, Kevin Porter Jr., Jordan Clarkson","Nance Jr., Osman, Zizic, Porter Jr., Clarkson",1626204-1626224-1627790-1629645-203903,CLE,167.0,1,3.0,-1.0,5.0,5.0,,10.0,,,,,1.0,2.0,5.0,6.0,,,,2.0,1.0,2.0,,5.0,,,1.0,,5.0,,,1.0,1.0,0.5,,0.625,,0.625,,,86.22754491017965,17.0,16.4,17.0,16.4,,,,,,,0.5,0.4748875,,,10.7,,,,,,1.0,2.0,,,,,1.0,2.0,1.0,2.0,,,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,2.0,,3.0,,3.0,,,1.0,,1.0,,,,,,1.0,0.5,0.5,,,,0.5,,,,,1.0,,1.0,,,,1.0,1.0,,0.5,0.5,0.5,1.0,,,,,0.5,0.5,0.5,1.0,,,,0.5,,,25.45,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
1626204-1626224-1627790-201567-203521,1610612739,"Larry Nance Jr., Cedi Osman, Ante Zizic, Kevin Love, Matthew Dellavedova","Nance Jr., Osman, Zizic, Love, Dellavedova",1626204-1626224-1627790-201567-203521,CLE,188.0,1,3.0,2.0,5.0,5.0,,10.0,,2.0,,,1.0,3.0,9.0,7.0,,,,,,1.0,,3.0,,,,,9.0,,,,,0.3333333333333333,,0.8,,0.9,,,76.59574468085107,20.4,17.2,20.4,17.2,0.4,,,,,,0.8,0.6104499999999999,,,1.6333333333333335,,,,,,1.0,1.0,,,,,2.0,2.0,2.0,2.0,1.0,,,,,,2.0,3.0,2.0,2.0,,1.0,1.0,,,,,2.0,,2.0,,,,,,2.0,1.0,,,,0.5,1.0,1.0,,,,0.4,,,,,,,1.0,,,,,,,0.2,1.0,1.0,,,,,,0.4,1.0,1.0,0.5,,,,1.0,,,26.55,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,0.2,,,,,,,,,,,,,,3.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
1626204-1626224-1627790-203521-203903,1610612739,"Larry Nance Jr., Cedi Osman, Ante Zizic, Matthew Dellavedova, Jordan Clarkson","Nance Jr., Osman, Zizic, Dellavedova, Clarkson",1626204-1626224-1627790-203521-203903,CLE,15.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
1626204-1626224-1628035-1629012-201567,1610612739,"Larry Nance Jr., Cedi Osman, Alfonzo McKinnie, Collin Sexton, Kevin Love","Nance Jr., Osman, McKinnie, Sexton, Love",1626204-1626224-1628035-1629012-201567,CLE,282.0,2,5.0,1.0,10.0,9.0,,19.0,2.0,3.0,,,2.0,4.0,10.0,9.0,,,,2.0,1.0,3.0,1.0,8.0,3.0,2.0,4.0,,8.0,,,0.5,1.0,0.5,,0.5555555555555556,,0.5555555555555556,,0.75,97.02127659574468,13.7,16.11111111111111,12.9,16.11111111111111,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,,,0.8888888888888888,0.5163444444444445,,,3.175,,4.0,2.0,1.0,2.0,,1.0,,,,,2.0,5.0,2.0,5.0,,1.0,2.0,2.0,,,2.0,6.0,5.0,2.0,,2.0,2.0,,1.0,2.0,,2.0,3.0,5.0,1.0,1.0,1.0,,3.0,,,,,,1.0,0.4,0.4,0.5,0.5,0.5,0.5555555555555556,,,,,1.0,0.5,1.0,0.6,1.0,,1.0,1.0,,0.1111111111111111,,,,,,,,0.5555555555555556,0.4,0.4,1.0,1.0,0.5,,0.4,0.5866,0.2,26.28,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,0.6666666666666666,0.6666666666666666,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
1626204-1626224-1628035-1629012-202684,1610612739,"Larry Nance Jr., Cedi Osman, Alfonzo McKinnie, Collin Sexton, Tristan Thompson","Nance Jr., Osman, McKinnie, Sexton, Thompson",1626204-1626224-1628035-1629012-202684,CLE,227.0,3,4.0,,7.0,10.0,,17.0,,,,,2.0,2.0,5.0,5.0,,,,2.0,1.0,1.0,,2.0,2.0,2.0,3.0,,5.0,,,0.5,0.5,1.0,,0.5,,0.5,,0.6666666666666666,107.84140969162996,17.142857142857142,10.7,17.142857142857142,9.3,,,,,,,0.5,0.4951,,,13.1,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,,,,,,2.0,,1.0,,,,,1.0,,1.0,,3.0,,3.0,2.0,1.0,1.0,,2.0,3.0,2.0,,,,,,,,,,0.5,,,,,1.0,,0.75,,,,,,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.25,0.25,,,,,,,,,,25.3,,,,,,2.0,,1.0,,0.6666666666666666,0.5,1.0,,,,,,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
1626204-1626224-1628035-1629012-203083,1610612739,"Larry Nance Jr., Cedi Osman, Alfonzo McKinnie, Collin Sexton, Andre Drummond","Nance Jr., Osman, McKinnie, Sexton, Drummond",1626204-1626224-1628035-1629012-203083,CLE,491.0,2,8.0,-9.0,16.0,17.0,8.0,33.0,6.0,12.0,4.0,8.0,6.0,14.0,14.0,23.0,4.0,9.0,10.0,4.0,2.0,2.0,2.0,4.0,,,4.0,1.0,10.0,10.0,8.0,0.3333333333333333,0.5,0.42857142857142855,0.4444444444444444,0.375,0.36363636363636365,0.4117647058823529,0.4166666666666667,,96.78207739307535,16.1875,13.647058823529411,15.875,12.941176470588236,0.75,0.5,0.5454545454545454,0.3333333333333333,0.7272727272727273,0.5,0.875,0.5963625,0.6156090909090909,0.7142857142857143,2.1928571428571426,0.5,5.0,3.0,2.0,5.0,,2.0,,,,,,2.0,,2.0,2.0,2.0,5.0,4.0,2.0,2.0,8.0,,2.0,,1.0,,,,4.0,1.0,,3.0,5.0,8.0,1.0,1.0,4.0,,5.0,2.0,2.0,1.0,2.0,1.0,,,,0.4,0.4,0.4,0.125,0.07142857142857142,0.08333333333333333,,,0.25,0.5,0.42857142857142855,0.5,0.5,0.5,,0.5,,0.125,,,,,,,,0.125,,,,1.0,0.4,,,0.6533,0.2857142857142857,25.95,,,2.0,,,2.0,2.0,,,0.6666666666666666,0.6666666666666666,,,,,0.18181818181818182,,,,,,4.0,,1.0,1.0,0.5,0.5,0.1111111111111111,,,1.0,,,,,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2020,2019-20,False
