EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,DefRebounds,Rebounds,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Minutes,PlusMinus,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ShortMidRangeAssists,OffThreePtRebounds,OffRebounds,FoulsDrawn,FirstChancePoints,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,FtPoints,PenaltyFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Assisted3sPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefAtRimReboundPct,Arc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,DefShortMidRangeReboundPct,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,OffTwoPtRebounds,Steals,BadPassSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls,OffTwoPtReboundPct,OffAtRimReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,FTDefRebounds,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,DefFTReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Corner3Assists,ShortMidRangePctBlocked,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,Charge Fouls Drawn,Loose Ball Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,LostBallSteals,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,BlockedAtRim,Corner3PctBlocked,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,OffLongMidRangeReboundPct,HeaveAttempts,FTOffRebounds,OffensiveGoaltends,OffFTReboundPct,Travels,LongMidRangePctBlocked,DefensiveGoaltends,BlockedLongMidRange,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1626188-1627936-1628398-201980-202693,1610612747,"Quinn Cook, Alex Caruso, Kyle Kuzma, Danny Green, Markieff Morris","Cook, Caruso, Kuzma, Green, Morris",1626188-1627936-1628398-201980-202693,LAL,25.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.19999999999999,1.0,24.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6213,0.6213,0.6213,1.0,1.0,2.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
1626188-1627936-200765-201162-203484,1610612747,"Quinn Cook, Alex Caruso, Rajon Rondo, Jared Dudley, Kentavious Caldwell-Pope","Cook, Caruso, Rondo, Dudley, Caldwell-Pope",1626188-1627936-200765-201162-203484,LAL,21.0,1,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.57142857142857,,21.0,21.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
1626188-1627936-201162-203484-2730,1610612747,"Quinn Cook, Alex Caruso, Jared Dudley, Kentavious Caldwell-Pope, Dwight Howard","Cook, Caruso, Dudley, Caldwell-Pope, Howard",1626188-1627936-201162-203484-2730,LAL,66.0,1,3.0,3.0,2.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,,2.0,,,5.0,2.0,0.5,1.0,1.0,1.0,1.0,0.875,1.0,0.8333333333333334,0.875,1.0,0.8333333333333334,130.9090909090909,10.333333333333334,11.666666666666666,11.666666666666666,0.25,1.0,1.0,,1.0,1.0,,0.3333333333333333,1.0,0.75,0.48005,,0.4966,0.2857142857142857,0.7142857142857143,6.75,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,10.333333333333334,0.25,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,27.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
1626188-1628398-201162-201580-2747,1610612747,"Quinn Cook, Kyle Kuzma, Jared Dudley, JaVale McGee, JR Smith","Cook, Kuzma, Dudley, McGee, Smith",1626188-1628398-201162-201580-2747,LAL,168.0,1,7.0,7.0,7.0,,,14.0,2.0,2.0,,,2.0,2.0,3.0,3.0,13.0,6.0,,,,3.0,3.0,13.0,2.0,1.0,3.0,,8.0,,,13.0,7.0,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.2,,1.2,1.0833333333333333,,1.0833333333333333,120.00000000000001,9.857142857142858,14.142857142857142,14.142857142857142,0.4,1.0,1.0,,,,,0.4,1.0,0.8,0.5249699999999999,,0.5249699999999999,,1.0,5.3,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,2.0,2.0,1.0,,,2.0,13.0,1.0,1.0,1.0,0.4,,,,9.857142857142858,0.2,1.0,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,27.55,1.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
1626188-1628398-201162-202693-2747,1610612747,"Quinn Cook, Kyle Kuzma, Jared Dudley, Markieff Morris, JR Smith","Cook, Kuzma, Dudley, Morris, Smith",1626188-1628398-201162-202693-2747,LAL,119.0,2,4.0,5.0,3.0,1.0,,9.0,1.0,2.0,,,1.0,1.0,2.0,3.0,4.0,3.0,,,,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,,,4.0,3.0,0.5,0.5,0.6666666666666666,,1.0,0.5,,0.6666666666666666,0.5,,0.6666666666666666,108.90756302521008,11.25,14.8,14.8,0.5,0.5,1.0,1.0,,,,0.3333333333333333,1.0,0.75,0.450675,,0.4736,,1.0,4.233333333333333,0.75,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,2.0,,,1.0,,,,,1.0,4.0,,,,0.25,,,,11.25,0.25,1.0,1.0,,0.25,,,0.3333333333333333,,,28.3,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
1626188-1628398-203079-2730-2747,1610612747,"Quinn Cook, Kyle Kuzma, Dion Waiters, Dwight Howard, JR Smith","Cook, Kuzma, Waiters, Howard, Smith",1626188-1628398-203079-2730-2747,LAL,134.0,1,5.0,4.0,,,1.0,9.0,,2.0,,1.0,,,1.0,3.0,5.0,2.0,,1.0,,,,,2.0,1.0,2.0,,5.0,,1.0,,,1.0,1.0,0.3333333333333333,,,0.625,,,0.625,,,96.71641791044776,13.2,17.0,17.0,0.5,,,,1.0,,,,,0.75,0.563125,0.5063,,,,6.366666666666667,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,5.0,1.0,,1.0,0.25,,0.5,,13.0,,,,,0.25,1.0,1.0,,,1.0,25.0,,,3.0,1.0,1.0,,,,2.0,,1.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
1626188-201162-202693-2730-2747,1610612747,"Quinn Cook, Jared Dudley, Markieff Morris, Dwight Howard, JR Smith","Cook, Dudley, Morris, Howard, Smith",1626188-201162-202693-2730-2747,LAL,44.0,1,2.0,2.0,2.0,2.0,,4.0,1.0,1.0,,,1.0,1.0,2.0,2.0,4.0,,,,,2.0,2.0,4.0,,,,,,,,4.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,130.9090909090909,6.0,16.0,16.0,0.5,1.0,1.0,,,,,0.5,1.0,0.5,0.54355,,0.54355,,1.0,6.5,1.0,,,,,,,1.0,4.0,1.0,1.0,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,6.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
1626188-201162-203079-2730-2747,1610612747,"Quinn Cook, Jared Dudley, Dion Waiters, Dwight Howard, JR Smith","Cook, Dudley, Waiters, Howard, Smith",1626188-201162-203079-2730-2747,LAL,853.0,2,30.0,31.0,14.0,15.0,7.0,61.0,6.0,10.0,2.0,2.0,4.0,6.0,12.0,19.0,41.0,27.0,3.0,3.0,14.0,8.0,11.0,22.0,14.0,7.0,8.0,3.0,17.0,1.0,8.0,22.0,14.0,0.5833333333333334,0.7,0.631578947368421,1.0,0.7272727272727273,0.6290322580645161,1.2,0.7333333333333333,0.640625,1.1666666666666667,0.7333333333333333,102.97772567409145,11.433333333333334,16.451612903225808,16.225806451612904,0.3225806451612903,0.6,0.6666666666666666,0.5,0.4,1.0,,0.4,0.6666666666666666,0.7096774193548387,0.5374016129032257,0.5446333333333333,0.5654133333333333,0.34146341463414637,0.5365853658536586,6.942105263157895,0.4666666666666667,8.0,13.0,20.0,1.0,0.9230769230769231,1.0,14.0,14.0,4.0,5.0,4.0,10.0,1.0,3.0,5.0,12.0,2.0,4.0,10.0,12.0,4.0,10.0,4.0,2.0,3.0,7.0,6.0,27.0,0.4166666666666667,0.5,0.4166666666666667,0.3870967741935484,0.42857142857142855,0.5384615384615384,0.5,10.366666666666667,0.16129032258064516,0.8,0.8,0.5,0.3225806451612903,0.4,0.4,0.2,0.3333333333333333,0.4,25.508333333333336,2.0,,3.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,3.0,1.0,0.2,0.8,0.8,,0.25,0.0625,0.05,1.0,0.05263157894736842,0.1,1.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,,,0.6666666666666666,0.75,0.12903225806451613,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.08333333333333333,0.06451612903225806,0.5,0.5,0.4,1.0,0.5,0.06666666666666667,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
1626188-202693-203079-2730-2747,1610612747,"Quinn Cook, Markieff Morris, Dion Waiters, Dwight Howard, JR Smith","Cook, Morris, Waiters, Howard, Smith",1626188-202693-203079-2730-2747,LAL,26.0,1,1.0,,,,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,2.0,1.0,1.0,,2.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,55.38461538461538,12.0,,,,,,,,,,,,,0.3808,,,,,19.3,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
1627936-1628398-1629659-201162-203484,1610612747,"Alex Caruso, Kyle Kuzma, Talen Horton-Tucker, Jared Dudley, Kentavious Caldwell-Pope","Caruso, Kuzma, Horton-Tucker, Dudley, Caldwell-Pope",1627936-1628398-1629659-201162-203484,LAL,53.0,1,1.0,2.0,1.0,2.0,,3.0,,1.0,,,,1.0,,1.0,,3.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,81.50943396226415,14.0,19.5,19.5,1.0,,,,,,,1.0,,1.0,0.695,,0.695,,,1.1,1.0,,1.0,1.0,,1.0,,1.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,True
