EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,Minutes,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,FG2M,FG2A,OpponentPoints,SecondChanceFG3A,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Assisted3sPct,Fg2Pct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3PctAssisted,SecondChanceCorner3Frequency,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,LongMidRangeAssists,FTOffRebounds,DefThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGA,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,Blocks,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls,Fg2aBlocked,ShortMidRangeAssists,LostBallSteals,Travels,Clear Path Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,DefCorner3ReboundPct,ShortMidRangePctAssisted,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceCorner3FGM,SecondChanceFG3M,OffTwoPtRebounds,BlockedArc3,SecondChanceFg3Pct,LongMidRangePctBlocked,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,Charge Fouls Drawn,BlockedLongMidRange,AtRimPctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Technical Free Throw Trips,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1627750-1628408-1628420-1628966-203584,1610612743,"Jamal Murray, PJ Dozier, Monte Morris, Keita Bates-Diop, Troy Daniels","Murray, Dozier, Morris, Bates-Diop, Daniels",1627750-1628408-1628420-1628966-203584,DEN,26.0,1,3.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.5,1.5,1.0,110.76923076923076,6.0,20.0,6.0,20.0,1.0,1.0,1.0,1.0,1.0,0.4746,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
1627750-1628408-1628420-200794-203486,1610612743,"Jamal Murray, PJ Dozier, Monte Morris, Paul Millsap, Mason Plumlee","Murray, Dozier, Morris, Millsap, Plumlee",1627750-1628408-1628420-200794-203486,DEN,182.0,1,,5,5.0,,10,1.0,3.0,1.0,6.0,5.0,,3.0,1.0,5.0,0.16666666666666666,0.16666666666666666,0.35714285714285715,0.35714285714285715,0.8571428571428571,79.12087912087912,21.8,14.6,19.8,14.6,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.3333333333333333,0.5152857142857143,24.583333333333332,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,0.5,0.6666666666666666,1.0,1.0,0.2,0.14285714285714285,1.0,1.0,0.42857142857142855,1.0,1.0,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
1627750-1628408-1628420-203924-203999,1610612743,"Jamal Murray, PJ Dozier, Monte Morris, Jerami Grant, Nikola Jokic","Murray, Dozier, Morris, Grant, Jokic",1627750-1628408-1628420-203924-203999,DEN,564.0,2,,20,19.0,6.0,39,2.0,5.0,2.0,6.0,28.0,3.0,5.0,2.0,24.0,0.3333333333333333,0.3333333333333333,0.7222222222222222,0.7777777777777778,0.3333333333333333,99.57446808510637,14.65,14.263157894736842,14.3,14.052631578947368,0.2777777777777778,0.4,0.4,0.6666666666666666,0.4,0.5167416666666667,26.133333333333336,9.0,2.0,3.0,4.0,1.0,,10.0,12.0,28.0,,16.0,3.0,1.0,3.0,1.0,7.0,2.0,3.0,,4.0,3.0,7.0,,3.0,1.0,4.0,,2.0,6.0,0.5,0.8333333333333334,0.75,,0.75,0.5,0.8,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,,0.2222222222222222,0.75,0.75,0.05555555555555555,0.5,,5.891666666666667,4.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,8.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,8.0,4.0,2.0,0.2,0.2222222222222222,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,0.1111111111111111,0.5,0.5,1.0,1.0,1.0,0.25,1.0,0.5,0.5,0.7025,0.4978,0.1111111111111111,0.16666666666666666,0.14285714285714285,0.2857142857142857,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
1627750-1628408-1628470-1629008-203486,1610612743,"Jamal Murray, PJ Dozier, Torrey Craig, Michael Porter Jr., Mason Plumlee","Murray, Dozier, Craig, Porter Jr., Plumlee",1627750-1628408-1628470-1629008-203486,DEN,326.0,2,-1.0,9,9.0,,18,,4.0,,5.0,8.0,,4.0,,6.0,,,0.4444444444444444,0.4444444444444444,0.5555555555555556,79.50920245398773,19.666666666666668,16.555555555555557,18.22222222222222,15.777777777777779,0.4444444444444444,,,0.8888888888888888,,0.5173833333333334,25.259999999999998,5.0,1.0,1.0,1.0,1.0,,4.0,4.0,9.0,1.0,2.0,,,3.0,,6.0,1.0,2.0,,3.0,2.0,5.0,,,,2.0,,1.0,4.0,,1.0,,,1.0,0.2,0.6,0.2,0.25,,1.0,,,0.1111111111111111,1.0,1.0,0.1111111111111111,,,3.275,,3.0,3.0,1.0,1.0,,,,,,,,1.0,1.0,2.0,,,,,,,6.0,,3.0,3.0,,1.0,1.0,,,,,2.0,4.0,1.0,1.0,1.0,,,,0.75,0.75,,1.0,,0.5,,0.5,,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,,,,,0.5,1.0,,,,,0.54945,,0.1111111111111111,0.25,0.25,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
1627750-1628408-1628470-1629008-203999,1610612743,"Jamal Murray, PJ Dozier, Torrey Craig, Michael Porter Jr., Nikola Jokic","Murray, Dozier, Craig, Porter Jr., Jokic",1627750-1628408-1628470-1629008-203999,DEN,229.0,2,-4.0,7,8.0,3.0,15,,,1.0,1.0,7.0,,,,7.0,1.0,1.0,0.8333333333333334,0.875,0.3333333333333333,94.32314410480349,13.0,17.25,13.0,17.0,,,,0.6666666666666666,,0.48468333333333335,23.1,4.0,,,1.0,1.0,,1.0,2.0,11.0,,2.0,3.0,1.0,1.0,,3.0,,2.0,,2.0,,2.0,,,,3.0,,,,1.0,0.5,,,0.6666666666666666,,0.6666666666666666,,,,1.0,1.0,,0.3333333333333333,,,0.3333333333333333,,,7.7,5.0,1.0,1.0,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,3.0,,,,,,,,,,2.0,,3.0,1.0,2.0,,1.0,3.0,5.0,,,,1.0,,,,0.75,,0.75,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,0.471875,0.25,0.3333333333333333,,0.42857142857142855,0.7142857142857143,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
1627750-1628408-1628470-200794-203486,1610612743,"Jamal Murray, PJ Dozier, Torrey Craig, Paul Millsap, Mason Plumlee","Murray, Dozier, Craig, Millsap, Plumlee",1627750-1628408-1628470-200794-203486,DEN,53.0,1,-1.0,1,2.0,,3,,1.0,,1.0,,,1.0,,,,,,,1.0,81.50943396226415,23.0,15.0,23.0,15.0,1.0,,,1.0,,0.46095,26.5,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
1627750-1628408-1628470-200794-203999,1610612743,"Jamal Murray, PJ Dozier, Torrey Craig, Paul Millsap, Nikola Jokic","Murray, Dozier, Craig, Millsap, Jokic",1627750-1628408-1628470-200794-203999,DEN,104.0,1,2.0,3,2.0,,5,2.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,0.6666666666666666,69.23076923076923,17.0,26.5,17.0,26.5,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.4622833333333333,25.65,2.0,,,,,,,1.0,4.0,,,3.0,1.0,1.0,1.0,3.0,,,,1.0,,1.0,,,,,,1.0,2.0,0.5,,,,,,1.0,,,,,,,,,,,0.5,,17.7,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
1627750-1628408-1628470-203924-203999,1610612743,"Jamal Murray, PJ Dozier, Torrey Craig, Jerami Grant, Nikola Jokic","Murray, Dozier, Craig, Grant, Jokic",1627750-1628408-1628470-203924-203999,DEN,22.0,2,5.0,3,1.0,1.0,4,1.0,2.0,1.0,2.0,5.0,,2.0,1.0,5.0,0.5,0.5,0.75,0.8333333333333334,1.0,261.8181818181818,5.666666666666667,5.0,5.666666666666667,5.0,1.0,0.5,0.5,1.0,0.5,0.39285,27.75,,,,,,,,,,,,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,5.0,,,,,,,,,,,,,1.0,2.0,,1.0,5.0,3.0,,,,0.5,,,,0.75,,0.8333333333333334,,,,,,,,,,,,,,,,1.0,0.5,,0.39285,0.3333333333333333,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
1627750-1628408-1629008-203924-203999,1610612743,"Jamal Murray, PJ Dozier, Michael Porter Jr., Jerami Grant, Nikola Jokic","Murray, Dozier, Porter Jr., Grant, Jokic",1627750-1628408-1629008-203924-203999,DEN,776.0,1,-25.0,23,26.0,7.0,49,,2.0,,4.0,16.0,,2.0,,16.0,,,0.4117647058823529,0.42105263157894735,0.23529411764705882,90.9278350515464,16.391304347826086,15.346153846153847,16.391304347826086,14.384615384615385,0.11764705882352941,,,0.6470588235294118,,0.45487058823529414,24.8,13.0,,1.0,6.0,2.0,,7.0,13.0,41.0,,6.0,,,4.0,,8.0,,3.0,,6.0,,6.0,,1.0,1.0,4.0,,,5.0,,0.5384615384615384,0.25,,0.42857142857142855,,0.6,,,,0.25,1.0,,0.35294117647058826,0.16666666666666666,0.3333333333333333,0.11764705882352941,,,4.630769230769231,13.0,6.0,7.0,,,2.0,3.0,,,,,2.0,,,,2.0,7.0,,2.0,2.0,6.0,8.0,,4.0,3.0,,,3.0,2.0,1.0,,,3.0,5.0,5.0,1.0,1.0,6.0,13.0,,0.5714285714285714,0.5714285714285714,,,0.2857142857142857,,0.2222222222222222,,0.2727272727272727,,1.0,1.0,0.4117647058823529,0.8571428571428571,0.8571428571428571,0.5,,,,,,,0.3333333333333333,0.6666666666666666,,,,0.4882500000000001,0.058823529411764705,0.07692307692307693,,0.375,0.5652173913043478,,,2.0,,,,,2.0,,,,,2.0,,,2.0,2.0,1.0,,,,0.2222222222222222,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.23076923076923078,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
1627750-1628408-200794-203486-203924,1610612743,"Jamal Murray, PJ Dozier, Paul Millsap, Mason Plumlee, Jerami Grant","Murray, Dozier, Millsap, Plumlee, Grant",1627750-1628408-200794-203486-203924,DEN,405.0,1,4.0,13,13.0,1.0,26,,3.0,,4.0,17.0,,3.0,,17.0,,,0.5555555555555556,0.7083333333333334,0.4444444444444444,92.44444444444444,14.923076923076923,16.23076923076923,14.923076923076923,15.923076923076923,0.3333333333333333,,,0.7777777777777778,,0.5793,25.45,7.0,,2.0,2.0,1.0,,5.0,5.0,13.0,,,,,5.0,,10.0,,5.0,,6.0,,6.0,,,,1.0,,,3.0,,1.0,,,0.625,,0.6666666666666666,,,,0.5,,,0.2222222222222222,1.0,1.0,0.1111111111111111,,,3.2,5.0,3.0,3.0,,,,,,,,2.0,7.0,,,,1.0,1.0,,2.0,4.0,6.0,10.0,,5.0,3.0,,,1.0,,,,,1.0,4.0,7.0,1.0,4.0,6.0,5.0,,1.0,1.0,,,1.0,,0.3333333333333333,,0.6,,1.0,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,0.6666666666666666,,,0.49165,0.3333333333333333,0.5,,0.35294117647058826,0.38461538461538464,,,1.0,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,1.0,1.0,2.0,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2020,2019-20,True
