EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,HeaveAttempts,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,Charge Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,ShortMidRangeFGA,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Charge Fouls,Offensive Fouls,LiveBallTurnoverPct,DefAtRimReboundPct,ShortMidRangeFrequency,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Corner3FGM,PtsUnassisted3s,Corner3Assists,FTDefRebounds,ShootingFouls,Blocked2s,BlockedShortMidRange,Blocks,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,FtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGA,ShortMidRangeAssists,BlockedAtRim,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,FTOffRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Loose Ball Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Travels,Technical Free Throw Trips,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1626147-1627747-1627789-1629066-1629185,1610612751,"Justin Anderson, Caris LeVert, Timothe Luwawu-Cabarrot, Rodions Kurucs, Chris Chiozza","Anderson, LeVert, Luwawu-Cabarrot, Kurucs, Chiozza",1626147-1627747-1627789-1629066-1629185,BKN,166.0,1,3.0,6.0,6.0,12.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.5,0.5,0.5,1.0,0.5,104.09638554216868,15.833333333333334,11.833333333333334,15.833333333333334,10.833333333333334,0.2857142857142857,1.0,1.0,1.0,0.14285714285714285,0.5714285714285714,1.0,0.5110916666666666,1.75,30.560000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1626147-1627747-1629066-1629185-202066,1610612751,"Justin Anderson, Caris LeVert, Rodions Kurucs, Chris Chiozza, Garrett Temple","Anderson, LeVert, Kurucs, Chiozza, Temple",1626147-1627747-1629066-1629185-202066,BKN,201.0,1,3.0,7.0,7.0,14.0,1.0,1.0,,2.0,1.0,2.0,2.0,2.0,11.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,,,1.0,,2.0,1.0,1.0,0.5,0.25,0.25,0.5,0.5,1.0,0.6,,1.0,100.29850746268656,15.428571428571429,13.285714285714286,15.428571428571429,12.428571428571429,0.25,1.0,1.0,1.0,,0.5,0.75,0.4900125,7.9,26.75,-9.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1626147-1627789-1628386-1629185-202066,1610612751,"Justin Anderson, Timothe Luwawu-Cabarrot, Jarrett Allen, Chris Chiozza, Garrett Temple","Anderson, Luwawu-Cabarrot, Allen, Chiozza, Temple",1626147-1627789-1628386-1629185-202066,BKN,126.0,1,2.0,4.0,4.0,8.0,,,1.0,1.0,,2.0,2.0,3.0,,,,1.0,,1.0,,3.0,1.0,2.0,3.0,3.0,1.0,,1.0,,3.0,,,,0.375,0.375,0.5,0.6666666666666666,1.0,0.75,,,91.42857142857143,11.25,20.25,11.25,19.75,,,,,0.25,0.25,0.5,0.50805,13.05,25.75,3.0,2.0,,,,,,,,,1.0,0.5,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1626147-1629058-1629066-1629185-1629725,1610612751,"Justin Anderson, Dzanan Musa, Rodions Kurucs, Chris Chiozza, Jeremiah Martin","Anderson, Musa, Kurucs, Chiozza, Martin",1626147-1629058-1629066-1629185-1629725,BKN,170.0,1,3.0,6.0,7.0,13.0,,1.0,2.0,3.0,,1.0,5.0,9.0,8.0,,,3.0,,1.0,,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,9.0,,,,0.75,0.75,0.8333333333333334,0.5,1.0,0.6666666666666666,,,110.11764705882352,12.5,13.571428571428571,12.5,13.142857142857142,0.16666666666666666,,,,0.3333333333333333,0.5,1.0,0.547025,1.6,25.32,1.0,,,,,,1.0,,,,,,2.0,3.0,3.0,2.0,1.0,,,0.3333333333333333,0.6,0.6,0.5,1.0,0.6666666666666666,0.6666666666666666,,0.6666666666666666,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1626147-1629058-1629066-1629725-202498,1610612751,"Justin Anderson, Dzanan Musa, Rodions Kurucs, Jeremiah Martin, Lance Thomas","Anderson, Musa, Kurucs, Martin, Thomas",1626147-1629058-1629066-1629725-202498,BKN,79.0,1,1.0,3.0,2.0,5.0,,,1.0,1.0,,,2.0,2.0,3.0,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,2.0,,,,,0.3333333333333333,1.0,,1.0,1.0,,1.0,91.13924050632912,16.333333333333332,15.0,16.333333333333332,15.0,,,,,0.5,0.5,1.0,0.4635,,27.05,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1626147-1629058-1629725-1629743-202498,1610612751,"Justin Anderson, Dzanan Musa, Jeremiah Martin, Donta Hall, Lance Thomas","Anderson, Musa, Martin, Hall, Thomas",1626147-1629058-1629725-1629743-202498,BKN,952.0,3,16.0,35.0,34.0,69.0,1.0,4.0,5.0,6.0,4.0,17.0,11.0,37.0,46.0,2.0,,6.0,1.0,4.0,,11.0,5.0,5.0,10.0,16.0,,,9.0,,32.0,0.25,0.5,0.23529411764705882,0.4642857142857143,0.5285714285714286,0.39285714285714285,0.7142857142857143,1.0,0.8333333333333334,1.0,1.0,104.36974789915966,13.8,13.794117647058824,13.485714285714286,13.794117647058824,0.14285714285714285,0.25,0.3333333333333333,,0.17857142857142858,0.21428571428571427,0.5357142857142857,0.46249285714285715,10.882352941176471,24.727272727272727,-9.0,7.0,3.0,2.0,2.0,5.0,4.0,,,0.6,,0.25,3.0,6.0,9.0,3.0,3.0,1.0,,0.5,0.5454545454545454,0.5454545454545454,0.8,,0.5,0.5,0.3333333333333333,0.5,3.0,9.0,2.0,,2.0,4.0,3.0,5.0,,0.6,0.6,0.6666666666666666,11.0,15.0,4.0,0.15625,0.19047619047619047,28.0,9.0,6.0,1.0,2.0,1.0,3.0,1.0,2.0,6.0,1.0,2.0,3.0,3.0,6.0,2.0,3.0,1.0,1.0,5.0,4.0,13.0,5.0,9.0,9.0,32.0,6.0,4.0,3.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,32.0,28.0,1.0,3.0,0.5555555555555556,0.6666666666666666,0.3076923076923077,0.5,0.5227272727272727,0.5,0.5714285714285714,0.17647058823529413,0.25,0.2857142857142857,0.3333333333333333,0.4,0.35294117647058826,0.3333333333333333,0.4,0.25,0.6666666666666666,0.07142857142857142,0.8,0.14285714285714285,0.2,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.25,0.13636363636363635,0.3333333333333333,0.13636363636363635,0.6666666666666666,0.2727272727272727,0.5,0.47435,0.473175,0.09090909090909091,0.13513513513513514,0.8648648648648649,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-1629185-202066,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Chris Chiozza, Garrett Temple","LeVert, Luwawu-Cabarrot, Allen, Chiozza, Temple",1627747-1627789-1628386-1629185-202066,BKN,471.0,3,8.0,20.0,18.0,38.0,2.0,3.0,4.0,7.0,3.0,7.0,11.0,20.0,19.0,4.0,,7.0,2.0,6.0,1.0,16.0,3.0,1.0,4.0,7.0,3.0,2.0,1.0,,16.0,0.6666666666666666,1.0,0.42857142857142855,0.5,0.5263157894736842,0.6111111111111112,0.5,1.0,0.8,,1.0,116.17834394904459,11.0,13.944444444444445,10.2,13.777777777777779,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.2222222222222222,0.3888888888888889,0.7777777777777778,0.523075,6.985714285714286,25.027272727272727,1.0,4.0,3.0,3.0,,3.0,1.0,,,1.0,0.5,0.2222222222222222,2.0,4.0,12.0,2.0,4.0,2.0,1.0,1.0,0.36363636363636365,0.36363636363636365,,1.0,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,2.0,,2.0,,,2.0,,2.0,,0.5,0.5,1.0,2.0,2.0,1.0,0.05263157894736842,0.125,3.0,5.0,3.0,2.0,2.0,,,1.0,,,,,,1.0,1.0,2.0,2.0,2.0,,4.0,,1.0,1.0,1.0,,3.0,2.0,2.0,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,1.0,,3.0,3.0,,,1.0,1.0,,0.5,0.75,0.5,0.75,0.14285714285714285,,0.25,0.5,0.14285714285714285,0.2727272727272727,1.0,0.3333333333333333,,0.2,,0.5,0.25,0.3333333333333333,,,,,0.5,1.0,,,,,,0.5,1.0,0.5599666666666666,0.470425,,0.2,0.15,0.15,2.0,1.0,2.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-1629185-204020,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Chris Chiozza, Tyler Johnson","LeVert, Luwawu-Cabarrot, Allen, Chiozza, Johnson",1627747-1627789-1628386-1629185-204020,BKN,12.0,1,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,120.0,,11.0,,11.0,,,,,,1.0,1.0,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-1629725-204020,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Jeremiah Martin, Tyler Johnson","LeVert, Luwawu-Cabarrot, Allen, Martin, Johnson",1627747-1627789-1628386-1629725-204020,BKN,63.0,1,1.0,1.0,2.0,3.0,,,1.0,,,,1.0,3.0,6.0,,,,,1.0,,3.0,,,,,,,1.0,,3.0,,,,1.5,1.5,1.0,,,,,,68.57142857142857,31.0,16.0,31.0,16.0,,,,,1.0,,1.0,0.56205,,23.6,-3.0,,,,,,,,,,,,,1.0,3.0,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2020,2019-20,False
1627747-1627789-1628386-202066-203925,1610612751,"Caris LeVert, Timothe Luwawu-Cabarrot, Jarrett Allen, Garrett Temple, Joe Harris","LeVert, Luwawu-Cabarrot, Allen, Temple, Harris",1627747-1627789-1628386-202066-203925,BKN,2320.0,2,39.0,76.0,76.0,152.0,14.0,21.0,15.0,16.0,21.0,45.0,31.0,99.0,72.0,20.0,,16.0,10.0,23.0,8.0,59.0,18.0,13.0,34.0,53.0,3.0,1.0,23.0,,87.0,0.47619047619047616,0.47619047619047616,0.4666666666666667,0.5328947368421053,0.5689655172413793,0.40789473684210525,0.8125,0.9,0.8611111111111112,1.0,0.875,94.3448275862069,14.31578947368421,16.210526315789473,13.013157894736842,15.93421052631579,0.27631578947368424,0.6666666666666666,0.7368421052631579,0.5714285714285714,0.19736842105263158,0.21052631578947367,0.6842105263157895,0.5032355263157895,6.484444444444445,24.32903225806452,27.0,21.0,5.0,5.0,4.0,9.0,19.0,,1.0,0.5555555555555556,0.6666666666666666,0.27631578947368424,10.0,13.0,39.0,10.0,13.0,10.0,2.0,1.0,0.41935483870967744,0.41935483870967744,1.0,1.0,0.625,0.625,1.0,0.625,3.0,,3.0,3.0,9.0,3.0,,3.0,1.0,0.2,0.21428571428571427,1.0,18.0,24.0,12.0,0.1411764705882353,0.2222222222222222,23.0,28.0,11.0,2.0,5.0,2.0,5.0,6.0,1.0,3.0,3.0,1.0,4.0,2.0,6.0,3.0,10.0,5.0,3.0,12.0,2.0,15.0,3.0,10.0,3.0,16.0,22.0,,6.0,,5.0,13.0,19.0,,,,,1.0,5.0,,,2.0,,,,1.0,,16.0,23.0,3.0,1.0,0.3,0.3,0.13333333333333333,0.3,0.26,0.3333333333333333,0.2857142857142857,0.13333333333333333,0.09523809523809523,0.14285714285714285,0.5652173913043478,0.29411764705882354,0.45,0.5714285714285714,0.5333333333333333,1.0,0.4,,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.039473684210526314,0.3333333333333333,0.5,,0.3333333333333333,0.4,0.2,0.2,0.4,0.16,0.25,0.24,0.3333333333333333,0.47093928571428567,0.456744,,0.12121212121212122,0.16161616161616163,0.3026315789473684,2.0,2.0,3.0,0.3333333333333333,0.5,0.13333333333333333,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,0.2,0.03225806451612903,0.3333333333333333,0.06666666666666667,0.25,0.25,0.5,1.0,,,,,,,,1610612751,2020,2019-20,False
