EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FtPoints,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Offensive Fouls,LiveBallTurnoverPct,DefFTReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceOffPoss,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,Loose Ball Fouls Drawn,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyOffPoss,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,PenaltyTsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Fg3aBlocked,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyEfgPct,FG3APctBlocked,Arc3PctBlocked,DefLongMidRangeReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,SecondChanceFG2M,SecondChanceFG2A,LostBallOutOfBoundsTurnovers,SecondChanceFg2Pct,OffCorner3ReboundPct,PenaltyCorner3FGA,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PtsPutbacks,FTOffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,Corner3PctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Loose Ball Fouls,BlockedShortMidRange,SecondChanceCorner3FGA,SecondChanceFtPoints,SelfOReb,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,Blocked3s,BlockedArc3,PtsUnassisted3s,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Travels,Charge Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,HeaveAttempts,BlockedLongMidRange,Technical Free Throw Trips,LongMidRangeAssists,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,DefensiveGoaltends,BlockedCorner3,OffensiveGoaltends,3SecondViolations,Clear Path Fouls,team_id,year,season,team_vs
1626169-1626178-1626181-1628449-1629744,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Norman Powell, Chris Boucher, Matt Thomas","Johnson, Hollis-Jefferson, Powell, Boucher, Thomas",1626169-1626178-1626181-1628449-1629744,TOR,129.0,1,2.0,5.0,6.0,4.0,11.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,7.0,7.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,0.5,0.5,1.0,1.0,1.0,0.5,0.7,0.7,0.2,0.25,0.3333333333333333,1.0,0.5,0.6666666666666666,1.0,1.0,122.79069767441861,10.2,13.0,10.2,13.0,0.6,0.3333333333333333,0.5,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.8,0.57856,0.2,0.25,3.15,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1626259-1628449-1628778,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Malcolm Miller, Chris Boucher, Paul Watson","Johnson, Hollis-Jefferson, Miller, Boucher, Watson",1626169-1626178-1626259-1628449-1628778,TOR,278.0,2,5.0,9.0,10.0,,19.0,3.0,3.0,1.0,1.0,,,5.0,5.0,2.0,2.0,17.0,16.0,4.0,6.0,6.0,,2.0,2.0,4.0,,1.0,10.0,2.0,2.0,5.0,5.0,,,1.0,4.0,1.0,1.0,1.0,1.0,17.0,0.4,0.4,1.0,1.0,1.0,1.0,1.1428571428571428,1.2142857142857142,0.2857142857142857,,,1.0,1.0,1.0,,1.0,98.41726618705034,11.777777777777779,17.2,11.777777777777779,17.2,0.42857142857142855,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,,,,,0.7142857142857143,0.5802714285714285,0.14285714285714285,0.2,6.1,25.95,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,1.0,1.0,0.2857142857142857,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1626259-1628449-1629744,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Malcolm Miller, Chris Boucher, Matt Thomas","Johnson, Hollis-Jefferson, Miller, Boucher, Thomas",1626169-1626178-1626259-1628449-1629744,TOR,98.0,1,2.0,3.0,3.0,3.0,6.0,,1.0,,,,,,1.0,1.0,2.0,4.0,2.0,,,3.0,1.0,,1.0,1.0,,,3.0,1.0,1.0,2.0,4.0,,,,,3.0,2.0,,1.0,1.0,,,1.0,0.5,0.5,,0.5,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,,,88.16326530612245,18.0,14.666666666666666,15.666666666666666,14.666666666666666,0.3333333333333333,,,,,,,,,,,1.0,0.48416666666666663,0.25,0.5,3.4,25.25,2.0,,,1.0,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,0.6666666666666666,0.5,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5349,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1626259-1628778-1629744,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Malcolm Miller, Paul Watson, Matt Thomas","Johnson, Hollis-Jefferson, Miller, Watson, Thomas",1626169-1626178-1626259-1628778-1629744,TOR,4.0,1,,1.0,1.0,1.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,,,2.0,,,,,,,,1.0,,,,,,,,,720.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1626259-1629608-1629744,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Malcolm Miller, Dewan Hernandez, Matt Thomas","Johnson, Hollis-Jefferson, Miller, Hernandez, Thomas",1626169-1626178-1626259-1629608-1629744,TOR,121.0,1,2.0,5.0,5.0,5.0,10.0,,,,,,,,,2.0,3.0,7.0,2.0,,,6.0,,,2.0,2.0,,,6.0,1.0,2.0,3.0,3.0,,,,,2.0,2.0,,,7.0,,,1.0,0.6666666666666666,0.6666666666666666,,1.0,0.875,1.0,,,1.0,1.0,1.0,,,119.00826446280992,10.8,13.4,10.8,13.4,,,,,,,,,,,,1.0,0.5401,,,,25.7,5.0,,,2.0,3.0,1.0,3.0,2.0,2.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,7.0,1.0,0.875,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1627775-1628449-1629744,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Patrick McCaw, Chris Boucher, Matt Thomas","Johnson, Hollis-Jefferson, McCaw, Boucher, Thomas",1626169-1626178-1627775-1628449-1629744,TOR,329.0,1,5.0,9.0,10.0,,19.0,1.0,2.0,1.0,1.0,,1.0,2.0,3.0,4.0,6.0,16.0,14.0,4.0,,12.0,1.0,2.0,4.0,6.0,,1.0,16.0,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,1.0,,,,14.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,,0.3333333333333333,83.16109422492401,14.11111111111111,20.2,12.666666666666666,19.2,0.2222222222222222,0.5,1.0,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,,,,0.8888888888888888,0.5478611111111111,,,3.3333333333333335,25.416666666666668,2.0,,,4.0,5.0,,5.0,4.0,4.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,0.5555555555555556,0.8,0.8,1.0,0.8,1.0,,,,,2.0,1.0,,1.0,,,,1.0,1.0,,0.5,0.3333333333333333,,,,,,0.4141,0.125,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1627832-1628449-200768,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Fred VanVleet, Chris Boucher, Kyle Lowry","Johnson, Hollis-Jefferson, VanVleet, Boucher, Lowry",1626169-1626178-1627832-1628449-200768,TOR,95.0,1,2.0,4.0,3.0,,7.0,,,,,,1.0,,,,1.0,1.0,4.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,0.25,1.0,,,1.0,,1.0,1.0,,106.10526315789474,14.75,12.0,14.75,12.0,,,,,,,,1.0,,,,1.0,0.5976,0.5,1.0,,22.6,-3.0,,,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.5,,,,1.0,,1.0,1.0,,,2.0,,,,,,,,,0.5976,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1628449-1628778-1629744,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Chris Boucher, Paul Watson, Matt Thomas","Johnson, Hollis-Jefferson, Boucher, Watson, Thomas",1626169-1626178-1628449-1628778-1629744,TOR,458.0,2,8.0,18.0,17.0,17.0,35.0,2.0,5.0,1.0,3.0,,2.0,3.0,12.0,,4.0,9.0,14.0,,6.0,,,,,,,,,5.0,2.0,8.0,14.0,2.0,1.0,,2.0,3.0,6.0,,2.0,5.0,,,,,,0.25,0.1875,0.23684210526315788,0.25,,,1.0,1.0,1.0,1.0,1.0,110.04366812227073,16.77777777777778,9.176470588235293,15.11111111111111,9.176470588235293,0.3125,0.4,0.4,0.1875,0.3333333333333333,0.3333333333333333,,0.125,,,,0.5625,0.47885625,0.1111111111111111,0.14285714285714285,9.083333333333334,24.95,-5.0,,4.0,,2.0,3.0,2.0,,,,1.0,2.0,1.0,3.0,5.0,,0.4,1.0,1.0,1.0,,0.25,,,0.125,,,,,4.0,,,,,4.0,1.0,4.0,6.0,,,,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.25,0.38461538461538464,0.6666666666666666,,,,,0.4977666666666667,0.4444444444444444,11.0,1.0,7.0,1.0,0.25,0.7777777777777778,0.6111111111111112,,1.0,,3.0,1.0,1.0,2.0,,7.0,10.0,,,0.25,0.25,,,0.08333333333333333,,0.4816916666666667,2.0,6.0,1.0,0.3333333333333333,0.5,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,3.0,2.0,3.0,3.0,9.0,4.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.5,1.0,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1628449-1629056-1629744,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Chris Boucher, Terence Davis, Matt Thomas","Johnson, Hollis-Jefferson, Boucher, Davis, Thomas",1626169-1626178-1628449-1629056-1629744,TOR,240.0,1,4.0,9.0,9.0,1.0,18.0,2.0,3.0,,,,,3.0,4.0,,4.0,8.0,9.0,,6.0,,,,,,,,,2.0,3.0,5.0,6.0,,,2.0,3.0,2.0,2.0,,1.0,8.0,,,,,,0.75,0.375,0.4444444444444444,0.5,,,0.6,0.6666666666666666,0.625,0.6666666666666666,,108.0,12.666666666666666,14.0,12.555555555555555,12.11111111111111,0.375,0.6666666666666666,0.6666666666666666,,,,,,,,,0.875,0.49080625,0.1111111111111111,0.2,4.9,26.525,-1.0,1.0,1.0,,4.0,2.0,4.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,0.125,1.0,1.0,0.5,,,,,1.0,,,,,,1.0,,1.0,,,,,,,0.25,0.2,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,2.0,3.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1628449-1629056-200768,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Chris Boucher, Terence Davis, Kyle Lowry","Johnson, Hollis-Jefferson, Boucher, Davis, Lowry",1626169-1626178-1628449-1629056-200768,TOR,556.0,2,9.0,20.0,19.0,2.0,39.0,5.0,9.0,,1.0,1.0,5.0,5.0,10.0,1.0,10.0,16.0,11.0,2.0,8.0,3.0,3.0,1.0,1.0,2.0,1.0,,5.0,4.0,3.0,7.0,12.0,3.0,2.0,1.0,4.0,7.0,4.0,,2.0,9.0,0.2,0.5,1.0,0.1,0.1,0.5,0.325,0.36363636363636365,0.5,0.3,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,101.0071942446043,14.45,14.052631578947368,13.4,14.052631578947368,0.45,0.5555555555555556,0.7142857142857143,0.05,,,,0.25,0.2,0.2,1.0,0.95,0.551605,0.09090909090909091,0.16666666666666666,2.48,25.36,5.0,,,,5.0,3.0,5.0,,,1.0,,2.0,1.0,1.0,3.0,1.0,0.6666666666666666,,,1.0,0.2,,,,0.25,,,,,4.0,,,,1.0,7.0,2.0,3.0,5.0,,,,0.75,0.7,0.6,0.25,0.38461538461538464,0.5,,,,,0.5267,0.4375,3.0,,2.0,,0.25,0.125,0.15,,1.0,,3.0,1.0,1.0,,1.0,2.0,3.0,,,0.25,0.1,0.2,1.0,0.25,,0.5235875,3.0,3.0,,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,0.5,3.0,3.0,1.0,1.0,1.0,1.0,6.0,,1.0,,,1.0,,,,0.75,1.0,0.25,1.0,,,1.0,1.0,1.0,1.0,1.0,0.1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
