EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,PlusMinus,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg3aBlocked,Corner3Assists,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Travels,ShootingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,FTA,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyAtRimFGM,PenaltyCorner3FGA,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,TwoPtShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,TwoPtShootingFoulsDrawnPct,ShortMidRangeAssists,SelfOReb,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAssists,LostBallTurnovers,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,2pt And 1 Free Throw Trips,OffFTReboundPct,HeaveAttempts,BlockedShortMidRange,LongMidRangePctBlocked,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,Charge Fouls,SecondChanceCorner3Frequency,SecondChanceTurnovers,Technical Free Throw Trips,LostBallOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,Charge Fouls Drawn,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,team_id,year,season,team_vs
101150-1626149-1629013-202331-202694,1610612746,"Lou Williams, Montrezl Harrell, Landry Shamet, Paul George, Marcus Morris Sr.","Williams, Harrell, Shamet, George, Morris Sr.",101150-1626149-1629013-202331-202694,LAC,13.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,221.53846153846152,5.0,8.0,5.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
101150-1626149-1629013-202331-202704,1610612746,"Lou Williams, Montrezl Harrell, Landry Shamet, Paul George, Reggie Jackson","Williams, Harrell, Shamet, George, Jackson",101150-1626149-1629013-202331-202704,LAC,246.0,2,8.0,7.0,,,15.0,,,,1.0,,,,,87.8048780487805,15.625,17.285714285714285,12.875,17.285714285714285,,4.0,8.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,8.0,2.0,3.0,14.0,6.0,2.0,2.0,1.0,4.0,6.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,9.0,3.0,2.0,1.0,3.0,3.0,6.0,1.0,1.0,10.0,0.75,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.2727272727272727,0.125,0.5,1.0,0.75,1.0,1.0,0.6,0.5,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,0.75,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.0,0.5,0.3333333333333333,0.6363636363636364,0.6666666666666666,0.4876227272727273,0.5487666666666667,0.2857142857142857,7.575,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
101150-1626149-1629013-202331-203210,1610612746,"Lou Williams, Montrezl Harrell, Landry Shamet, Paul George, JaMychal Green","Williams, Harrell, Shamet, George, Green",101150-1626149-1629013-202331-203210,LAC,548.0,4,20.0,21.0,12.0,17.0,41.0,1.0,2.0,2.0,6.0,,5.0,,12.0,107.73722627737227,12.95,13.761904761904763,12.7,13.761904761904763,0.6,9.0,10.0,3.0,3.0,7.0,1.0,1.0,4.0,3.0,2.0,4.0,,7.0,14.0,3.0,5.0,28.0,18.0,2.0,2.0,,5.0,4.0,10.0,9.0,,4.0,4.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,13.0,3.0,6.0,2.0,10.0,3.0,13.0,2.0,1.0,23.0,0.2857142857142857,0.4,1.0,0.6,0.6,0.5,1.0,0.6052631578947368,1.0,0.6363636363636364,0.8333333333333334,0.2631578947368421,0.07142857142857142,,0.6666666666666666,0.42857142857142855,1.0,0.8888888888888888,0.3333333333333333,0.3333333333333333,,1.0,1.0,0.3684210526315789,0.42857142857142855,0.5,0.6666666666666666,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.5,0.6666666666666666,1.0,0.5,1.0,,,0.631578947368421,0.5,0.49739736842105264,0.4713,0.17857142857142858,7.221428571428571,24.759999999999998,2.0,1.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,6.0,2.0,3.0,5.0,15.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,15.0,2.0,2.0,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.625,0.2,0.14285714285714285,0.25,0.5,1.0,0.5,1.0,1.0,1.0,0.25,0.25,1.0,1.0,0.05263157894736842,1.0,1.0,1.0,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.47514999999999996,0.05,0.16666666666666666,0.5357142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
101150-1626149-1629013-202694-202695,1610612746,"Lou Williams, Montrezl Harrell, Landry Shamet, Marcus Morris Sr., Kawhi Leonard","Williams, Harrell, Shamet, Morris Sr., Leonard",101150-1626149-1629013-202694-202695,LAC,530.0,6,20.0,18.0,9.0,13.0,38.0,2.0,3.0,1.0,2.0,1.0,4.0,,9.0,103.24528301886792,14.35,13.5,13.9,13.222222222222221,0.45,9.0,-1.0,3.0,4.0,6.0,1.0,2.0,3.0,3.0,,5.0,1.0,7.0,12.0,,6.0,18.0,19.0,1.0,2.0,1.0,3.0,,14.0,,,2.0,5.0,,,,,,,,,1.0,1.0,4.0,5.0,4.0,9.0,1.0,,15.0,,,,,,0.5833333333333334,0.5,0.3888888888888889,0.3333333333333333,0.42857142857142855,0.375,0.3333333333333333,,,0.5714285714285714,0.2,0.5,0.5555555555555556,0.36363636363636365,,,1.0,,0.3333333333333333,0.6666666666666666,0.6666666666666666,,0.16666666666666666,0.16666666666666666,0.2777777777777778,,,,0.6666666666666666,0.5,,0.3333333333333333,0.6666666666666666,,0.49802499999999994,0.516,0.16666666666666666,8.483333333333333,26.333333333333332,3.0,2.0,1.0,,1.0,,2.0,4.0,1.0,4.0,6.0,,3.0,2.0,10.0,,,,1.0,1.0,1.0,,,,,6.0,,1.0,,,,,10.0,,1.0,,0.6666666666666666,0.4444444444444444,0.45454545454545453,,,,0.3333333333333333,,0.5,0.5,1.0,,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.05555555555555555,,,,0.3333333333333333,0.2222222222222222,,0.5205888888888889,0.1,,0.5555555555555556,2.0,1.0,3.0,1.0,2.0,0.5,0.4,1.0,0.6666666666666666,0.1111111111111111,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
101150-1626149-1629013-202694-202704,1610612746,"Lou Williams, Montrezl Harrell, Landry Shamet, Marcus Morris Sr., Reggie Jackson","Williams, Harrell, Shamet, Morris Sr., Jackson",101150-1626149-1629013-202694-202704,LAC,3.0,1,1.0,,1.0,,1.0,,,,,,,,1.0,480.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
101150-1626149-1629013-202695-202704,1610612746,"Lou Williams, Montrezl Harrell, Landry Shamet, Kawhi Leonard, Reggie Jackson","Williams, Harrell, Shamet, Leonard, Jackson",101150-1626149-1629013-202695-202704,LAC,195.0,2,6.0,8.0,6.0,7.0,14.0,,,,1.0,,1.0,,6.0,103.38461538461539,18.166666666666668,10.75,16.166666666666668,10.75,1.0,3.0,8.0,2.0,4.0,5.0,1.0,2.0,2.0,,1.0,1.0,,5.0,7.0,1.0,1.0,13.0,5.0,2.0,3.0,,4.0,8.0,2.0,,3.0,2.0,1.0,1.0,,4.0,,4.0,,3.0,8.0,2.0,,5.0,5.0,2.0,7.0,1.0,,9.0,0.8,1.0,,1.0,1.0,0.7142857142857143,0.6666666666666666,0.8125,0.6666666666666666,0.8125,0.6666666666666666,0.125,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,0.625,0.8,0.8,0.75,0.25,,0.125,1.0,1.0,,0.6666666666666666,0.5,,,0.75,1.0,0.54699375,0.5230666666666667,0.3076923076923077,4.114285714285715,27.8,5.0,1.0,,,,1.0,1.0,,,5.0,7.0,1.0,1.0,,13.0,,,,1.0,,,,1.0,,,,,,,,,,13.0,,,1.0,0.7142857142857143,0.8125,0.8125,,,,,,1.0,1.0,,,0.5,0.5,,,,,,,0.625,0.125,1.0,0.54699375,,,1.0,4.0,,,,,,,,0.8,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
101150-1626149-1629013-202695-203210,1610612746,"Lou Williams, Montrezl Harrell, Landry Shamet, Kawhi Leonard, JaMychal Green","Williams, Harrell, Shamet, Leonard, Green",101150-1626149-1629013-202695-203210,LAC,724.0,6,23.0,27.0,15.0,14.0,50.0,,2.0,1.0,5.0,,5.0,2.0,15.0,99.4475138121547,14.130434782608695,14.777777777777779,13.652173913043478,14.11111111111111,0.6521739130434783,12.0,13.0,4.0,4.0,4.0,2.0,2.0,5.0,2.0,2.0,10.0,1.0,10.0,11.0,2.0,12.0,29.0,16.0,3.0,3.0,1.0,6.0,18.0,2.0,3.0,3.0,2.0,10.0,2.0,,9.0,1.0,10.0,1.0,3.0,21.0,,8.0,5.0,14.0,4.0,18.0,2.0,2.0,23.0,0.9,1.0,0.5,0.16666666666666666,0.16666666666666666,0.9090909090909091,1.0,0.5652173913043478,0.75,0.58,0.75,0.5217391304347826,,,0.7142857142857143,,1.0,0.8666666666666667,0.4444444444444444,,,1.0,1.0,0.17391304347826086,1.0,1.0,0.75,0.21739130434782608,0.08695652173913043,0.43478260869565216,0.2,0.2,0.5,0.5,1.0,0.5,0.25,0.6956521739130435,0.2,0.48763181818181817,,0.20689655172413793,8.536363636363637,26.933333333333334,3.0,4.0,2.0,,2.0,1.0,6.0,3.0,,5.0,6.0,1.0,8.0,3.0,16.0,,,1.0,,2.0,1.0,,4.0,1.0,,4.0,,,1.0,1.0,1.0,,16.0,1.0,,0.125,0.8333333333333334,0.4642857142857143,0.5,,,,1.0,0.5,,0.5,1.0,,0.8,0.8,1.0,1.0,0.08695652173913043,,,,0.21428571428571427,0.42857142857142855,0.16666666666666666,0.48309615384615384,0.08,,0.5517241379310345,3.0,2.0,4.0,,2.0,0.5,0.5,0.5,1.0,0.14285714285714285,0.15384615384615385,4.0,,0.6666666666666666,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
101150-1626149-1629013-202704-203210,1610612746,"Lou Williams, Montrezl Harrell, Landry Shamet, Reggie Jackson, JaMychal Green","Williams, Harrell, Shamet, Jackson, Green",101150-1626149-1629013-202704-203210,LAC,187.0,2,7.0,7.0,7.0,,14.0,1.0,1.0,1.0,1.0,,2.0,,7.0,107.80748663101605,11.285714285714286,15.428571428571429,11.0,14.857142857142858,1.0,3.0,7.0,1.0,,,,,2.0,1.0,1.0,1.0,,2.0,3.0,2.0,2.0,13.0,6.0,1.0,1.0,,2.0,,4.0,3.0,3.0,2.0,1.0,1.0,,,1.0,1.0,,,3.0,1.0,1.0,2.0,3.0,1.0,4.0,,,11.0,,,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9285714285714286,1.0,0.4,,,1.0,1.0,0.5,0.75,1.0,,1.0,,1.0,,,,,0.4,0.2,0.2,1.0,1.0,,,,,,0.4,1.0,0.43228,0.4434,0.15384615384615385,13.066666666666668,24.55,,2.0,,1.0,1.0,1.0,1.0,3.0,,2.0,3.0,2.0,2.0,3.0,13.0,,1.0,,,,,,,,,4.0,,2.0,1.0,1.0,1.0,1.0,13.0,,1.0,1.0,0.6666666666666666,1.0,0.9285714285714286,,,,,,,1.0,,1.0,1.0,1.0,,,0.2,1.0,1.0,1.0,,0.2,1.0,0.43228,,,1.0,,1.0,,1.0,,,,,,0.2,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
101150-1626149-1629611-201976-203585,1610612746,"Lou Williams, Montrezl Harrell, Terance Mann, Patrick Beverley, Rodney McGruder","Williams, Harrell, Mann, Beverley, McGruder",101150-1626149-1629611-201976-203585,LAC,84.0,1,3.0,3.0,3.0,,6.0,,,,,,1.0,,3.0,102.85714285714286,20.666666666666668,7.333333333333333,20.666666666666668,7.333333333333333,1.0,1.0,-5.0,,,,,,,,,1.0,,,,,1.0,2.0,7.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.5,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,0.52095,,,,24.8,,,,,,,1.0,2.0,,,,,1.0,2.0,2.0,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,0.52095,0.5,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
101150-1626149-1629611-202331-203210,1610612746,"Lou Williams, Montrezl Harrell, Terance Mann, Paul George, JaMychal Green","Williams, Harrell, Mann, George, Green",101150-1626149-1629611-202331-203210,LAC,168.0,1,6.0,6.0,1.0,,12.0,1.0,1.0,,2.0,,4.0,,1.0,102.85714285714286,16.5,11.5,16.0,11.5,0.16666666666666666,3.0,,1.0,1.0,1.0,,,3.0,,,,,2.0,4.0,,,7.0,7.0,1.0,1.0,,2.0,2.0,2.0,,,,,,1.0,1.0,,1.0,,,2.0,,2.0,,2.0,1.0,3.0,2.0,1.0,5.0,0.5,0.5,,,,0.5,1.0,0.5,1.0,0.5833333333333334,1.0,,0.25,0.3333333333333333,,,1.0,1.0,,,,,1.0,0.25,1.0,1.0,,0.75,,,,,,,,,,0.25,,0.443325,0.3446,0.2857142857142857,6.5,,,1.0,,,,,,3.0,,1.0,1.0,,,,2.0,,,,1.0,,,1.0,2.0,,,5.0,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,0.3446,0.5,,0.2857142857142857,,,,,3.0,,,,,,0.5,1.0,,,,1.0,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2020,2019-20,True
