EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FtPoints,SecondChanceFtPoints,SecondChancePoints,LongMidRangeAssists,OffThreePtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,FoulsDrawn,Charge Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,SecondChanceFG2M,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsPutbacks,Corner3Assists,LostBallSteals,LostBallTurnovers,Charge Fouls,Offensive Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,SelfOReb,Blocked3s,BlockedArc3,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffCorner3ReboundPct,Loose Ball Fouls Drawn,BlockedLongMidRange,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,Travels,BlockedShortMidRange,ShortMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGA,2pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,DefensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,BlockedCorner3,Clear Path Fouls,Corner3PctBlocked,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1626162-1626163-1626164-1627767-1629059,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Cheick Diallo, Elie Okobo","Oubre Jr., Kaminsky, Booker, Diallo, Okobo",1626162-1626163-1626164-1627767-1629059,PHX,112.0,1,2.0,7.0,4.0,3.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,9.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,9.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.125,1.125,0.25,1.0,1.0,1.0,90.0,12.75,20.333333333333332,12.75,20.333333333333332,0.5,1.0,1.0,0.5,0.25,1.0,1.0,0.25,1.0,1.0,1.0,0.75,1.0,0.56015,4.966666666666667,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
1626162-1626163-1626164-1628969-1628975,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Jevon Carter","Oubre Jr., Kaminsky, Booker, Bridges, Carter",1626162-1626163-1626164-1628969-1628975,PHX,147.0,3,2.0,1.0,7.0,7.0,14.0,1.0,1.0,,1.0,,1.0,2.0,4.0,,2.0,7.0,6.0,2.0,2.0,,1.0,,1.0,,1.0,,,2.0,,3.0,4.0,2.0,5.0,0.5,0.5,,,,0.5,0.3333333333333333,0.42857142857142855,0.3333333333333333,,1.0,,137.14285714285714,12.714285714285714,8.285714285714286,10.714285714285714,8.285714285714286,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,0.16666666666666666,,,,0.5,,0.5265666666666667,13.0,24.3,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,0.14285714285714285,0.2,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
1626162-1626163-1626164-1628969-1629059,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Elie Okobo","Oubre Jr., Kaminsky, Booker, Bridges, Okobo",1626162-1626163-1626164-1628969-1629059,PHX,352.0,1,6.0,-10.0,12.0,13.0,25.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,5.0,12.0,22.0,6.0,,3.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,9.0,1.0,2.0,3.0,4.0,12.0,1.0,1.0,0.5,0.4,0.4,0.6,0.6,0.6,0.5,1.0,1.0,1.0,102.27272727272728,15.25,13.0,14.916666666666666,13.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,0.3,0.6666666666666666,0.6666666666666666,0.5,0.8,0.6666666666666666,0.47441000000000005,3.78,24.86,13.0,1.0,,,2.0,,,,,,,1.0,1.0,1.0,3.0,,3.0,3.0,,,,,,,,,1.0,,0.3333333333333333,,,0.2,,,,,,,,,0.2,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,0.5,0.75,0.75,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.4967,0.48945,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
1626162-1626163-1626164-1628969-1629660,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Ty Jerome","Oubre Jr., Kaminsky, Booker, Bridges, Jerome",1626162-1626163-1626164-1628969-1629660,PHX,295.0,3,5.0,5.0,10.0,11.0,21.0,3.0,4.0,,,,2.0,3.0,4.0,2.0,4.0,15.0,10.0,2.0,4.0,6.0,2.0,,1.0,2.0,3.0,,1.0,8.0,2.0,4.0,6.0,3.0,13.0,0.3333333333333333,0.5,1.0,0.5,0.5,0.75,0.75,0.8333333333333334,0.5,1.0,1.0,1.0,102.50847457627118,12.7,15.272727272727273,12.0,15.272727272727273,0.5,0.75,0.75,0.3333333333333333,,,,0.25,,,,1.0,,0.564075,1.975,24.95,5.0,2.0,,,2.0,3.0,,2.0,,1.0,2.0,2.0,1.0,,3.0,1.0,1.0,3.0,,3.0,,,,,,,,1.0,0.3333333333333333,1.0,0.5,0.6666666666666666,0.5,,1.0,,,,,,0.25,0.125,,0.13333333333333333,9.0,1.0,2.0,,2.0,1.0,2.0,4.0,15.0,,,1.0,,2.0,,,2.0,2.0,,,15.0,9.0,0.5,0.75,0.8333333333333334,,1.0,1.0,,1.0,0.25,0.25,,0.6029,0.564075,1.0,0.9,1.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
1626162-1626163-1626164-1628969-1629661,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Cameron Johnson","Oubre Jr., Kaminsky, Booker, Bridges, Johnson",1626162-1626163-1626164-1628969-1629661,PHX,15.0,1,,4.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,1.0,4.0,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,,4.0,,,1.0,1.0,1.0,,1.5,1.0,1.0,,,,96.0,13.0,,13.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.2727,,26.0,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,0.5,1.0,,1.0,,,1.0,1.0,,1.0,1.0,4.0,,,,,,,,,,,,4.0,1.0,1.0,1.5,1.0,,,,,,,1.0,1.0,,0.2727,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
1626162-1626163-1626164-1628969-201937,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Ricky Rubio","Oubre Jr., Kaminsky, Booker, Bridges, Rubio",1626162-1626163-1626164-1628969-201937,PHX,199.0,5,3.0,5.0,11.0,10.0,21.0,3.0,4.0,,,1.0,1.0,3.0,4.0,1.0,1.0,17.0,12.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,3.0,4.0,2.0,15.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.75,0.9,0.85,0.2,1.0,1.0,1.0,151.95979899497488,9.545454545454545,9.4,9.545454545454545,9.4,0.8,0.75,0.75,0.6666666666666666,,,,0.2,1.0,1.0,1.0,1.0,1.0,0.59687,1.3,26.2,7.0,1.0,,,,8.0,,2.0,,,,1.0,2.0,2.0,2.0,,2.0,6.0,,10.0,,3.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,0.375,0.42857142857142855,0.11764705882352941,11.0,1.0,,1.0,1.0,1.0,1.0,1.0,17.0,,,1.0,1.0,1.0,1.0,,,2.0,,1.0,17.0,11.0,1.0,0.9,0.85,1.0,1.0,1.0,,1.0,,0.2,1.0,0.5837,0.59687,1.0,1.0,1.0,3.0,4.0,,,1.0,3.0,4.0,8.0,2.0,,,,,,,,2.0,2.0,1.0,0.75,1.0,,,,,1.0,0.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
1626162-1626163-1626164-1628969-204020,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Tyler Johnson","Oubre Jr., Kaminsky, Booker, Bridges, Johnson",1626162-1626163-1626164-1628969-204020,PHX,1007.0,4,17.0,9.0,34.0,35.0,69.0,8.0,11.0,,1.0,7.0,15.0,10.0,14.0,9.0,17.0,52.0,43.0,4.0,16.0,21.0,15.0,7.0,2.0,7.0,9.0,5.0,2.0,25.0,4.0,12.0,16.0,9.0,46.0,0.2,0.2222222222222222,0.7777777777777778,0.5294117647058824,0.5294117647058824,0.7142857142857143,0.7580645161290323,0.7647058823529411,0.5483870967741935,0.8,0.7058823529411765,0.8,98.66931479642501,14.029411764705882,15.142857142857142,13.411764705882353,14.771428571428572,0.3548387096774194,0.7272727272727273,0.8,0.25,0.03225806451612903,,,0.4838709677419355,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.9032258064516129,0.4666666666666667,0.5509403225806451,5.042857142857143,25.541176470588233,12.0,4.0,2.0,2.0,2.0,5.0,1.0,6.0,,2.0,8.0,4.0,2.0,,4.0,,4.0,5.0,,6.0,,1.0,2.0,2.0,3.0,2.0,,0.75,0.5,0.6666666666666666,0.25,0.3333333333333333,0.25,0.8,0.3333333333333333,0.6666666666666666,0.06451612903225806,1.0,1.0,,0.06451612903225806,0.03125,0.06666666666666667,0.11538461538461539,14.0,2.0,1.0,4.0,8.0,2.0,5.0,9.0,23.0,6.0,,2.0,,1.0,1.0,,2.0,,1.0,,23.0,14.0,0.5555555555555556,0.6785714285714286,0.71875,,0.5,0.6666666666666666,,0.6666666666666666,0.07142857142857142,0.5714285714285714,0.5,0.53275,0.5487928571428571,0.4423076923076923,0.4117647058823529,1.0,2.0,5.0,2.0,1.0,1.0,2.0,5.0,4.0,2.0,2.0,,2.0,1.0,1.0,,,2.0,2.0,0.5,0.4,0.8333333333333334,0.75,1.0,1.0,1.0,0.5,0.35714285714285715,0.4,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.09090909090909091,0.09090909090909091,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
1626162-1626163-1626164-1628975-1629661,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Jevon Carter, Cameron Johnson","Oubre Jr., Kaminsky, Booker, Carter, Johnson",1626162-1626163-1626164-1628975-1629661,PHX,217.0,2,4.0,-3.0,9.0,10.0,19.0,,1.0,,,,2.0,,1.0,1.0,5.0,4.0,7.0,,,3.0,2.0,,,1.0,1.0,,,3.0,2.0,5.0,6.0,3.0,4.0,,,1.0,0.2,0.2,,0.25,0.2857142857142857,0.8333333333333334,1.0,1.0,1.0,126.08294930875576,10.0,12.7,9.444444444444445,12.7,0.16666666666666666,,,,,,,0.3333333333333333,,,,1.0,,0.5956750000000001,1.1,24.14,8.0,1.0,,,3.0,1.0,,,,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,,2.0,,1.0,,,,,1.0,,0.6666666666666666,1.0,0.25,0.2,,1.0,,,,,,,0.5,0.14285714285714285,0.5,,8.0,,3.0,,2.0,,1.0,5.0,4.0,,,,,1.0,1.0,,1.0,2.0,,,4.0,8.0,0.2,0.25,0.2857142857142857,,,,,,0.5,0.3333333333333333,,,0.5956750000000001,1.0,0.8888888888888888,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,0.16666666666666666,,0.3333333333333333,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
1626162-1626163-1626164-1628975-201937,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Jevon Carter, Ricky Rubio","Oubre Jr., Kaminsky, Booker, Carter, Rubio",1626162-1626163-1626164-1628975-201937,PHX,144.0,1,2.0,,5.0,4.0,9.0,,1.0,,,1.0,2.0,,1.0,1.0,2.0,3.0,3.0,,,,2.0,1.0,,,,,,,2.0,3.0,3.0,1.0,3.0,,,,0.5,0.5,,0.5,0.5,0.6666666666666666,1.0,1.0,1.0,90.0,14.2,18.25,14.2,18.25,0.3333333333333333,,,,,,,0.6666666666666666,0.5,0.5,,1.0,0.5,0.5571,1.2,26.35,2.0,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,5.0,,,1.0,2.0,,1.0,2.0,3.0,3.0,,,,,,1.0,2.0,2.0,,,3.0,5.0,0.5,0.5,0.5,,,,,,,0.6666666666666666,0.5,,0.5571,1.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
1626162-1626163-1626164-1628975-203382,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Jevon Carter, Aron Baynes","Oubre Jr., Kaminsky, Booker, Carter, Baynes",1626162-1626163-1626164-1628975-203382,PHX,85.0,2,1.0,-1.0,3.0,2.0,5.0,,1.0,,1.0,,,,2.0,,,2.0,3.0,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,0.3333333333333333,,,1.0,,84.70588235294117,12.0,24.5,12.0,24.5,0.5,,,,0.5,,,,,,,0.5,,0.5651,6.05,,,1.0,,,,2.0,2.0,2.0,,,1.0,1.0,,,1.0,,,1.0,,2.0,,1.0,,,,,,1.0,,1.0,,0.5,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.5,1.0,,,,,,,0.4203,,0.3333333333333333,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,True
