EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,FTDefRebounds,DefFTReboundPct,LongMidRangePctBlocked,DefShortMidRangeReboundPct,SecondChanceFtPoints,SecondChanceCorner3FGA,SecondChanceFG3A,LostBallSteals,Loose Ball Fouls Drawn,SecondChanceCorner3Frequency,ShortMidRangeFGM,ShortMidRangeAssists,BadPassTurnovers,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Technical Free Throw Trips,AtRimPctBlocked,PenaltyCorner3Frequency,Travels,PenaltyCorner3FGM,SecondChanceTurnovers,BlockedLongMidRange,3SecondViolations,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,HeaveAttempts,FTOffRebounds,Corner3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,OffLongMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3PctAssisted,HeaveMakes,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,team_id,year,season,team_vs
1626169-1626178-1628449-1628778-1629744,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Chris Boucher, Paul Watson, Matt Thomas","Johnson, Hollis-Jefferson, Boucher, Watson, Thomas",1626169-1626178-1628449-1628778-1629744,TOR,347.0,1,6.0,2.0,13.0,13.0,1.0,11.0,2.0,26,5.0,6.0,2.0,2.0,2.0,3.0,6.0,5.0,8.0,3.0,6.0,1.0,20.0,18.0,2.0,2.0,4.0,4.0,6.0,6.0,3.0,4.0,6.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,10.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,16.0,1.0,2.0,0.4,0.6666666666666666,0.6666666666666666,0.5,0.5,0.625,1.0,0.6785714285714286,1.0,0.7142857142857143,1.0,0.42857142857142855,0.16666666666666666,0.125,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.5,1.0,0.5,0.25,107.89625360230548,12.615384615384615,14.076923076923077,12.615384615384615,13.923076923076923,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.4,0.14285714285714285,0.42857142857142855,0.5,0.6,0.6666666666666666,1.0,1.0,0.8571428571428571,0.5,0.5103571428571428,0.6048,0.07142857142857142,0.125,0.2,2.225,27.349999999999998,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1628449-1629056-1629744,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Chris Boucher, Terence Davis, Matt Thomas","Johnson, Hollis-Jefferson, Boucher, Davis, Thomas",1626169-1626178-1628449-1629056-1629744,TOR,501.0,2,8.0,-1.0,19.0,18.0,10.0,9.0,3.0,37,1.0,5.0,,3.0,3.0,3.0,5.0,2.0,9.0,4.0,7.0,2.0,18.0,19.0,,3.0,,2.0,2.0,12.0,,,5.0,3.0,1.0,,1.0,4.0,5.0,3.0,,14.0,3.0,2.0,9.0,4.0,13.0,2.0,,,3.0,4.0,3.0,1.0,3.0,3.0,4.0,,2.0,18.0,10.0,,0.5,0.5,1.0,0.5714285714285714,0.5714285714285714,0.2222222222222222,,0.5,,0.5,,0.4375,,0.1111111111111111,0.3333333333333333,,1.0,0.42857142857142855,1.0,0.4,0.5,0.3333333333333333,1.0,,0.2222222222222222,106.34730538922156,12.68421052631579,14.444444444444445,12.368421052631579,14.444444444444445,0.3125,0.2,0.2,,0.1875,0.3125,0.6,0.6,1.0,1.0,,0.75,0.6,0.549915625,0.6167,0.1111111111111111,0.18181818181818182,,5.0,25.8,0.5263157894736842,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.5,0.16666666666666666,0.3125,0.3888888888888889,0.25,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,0.125,0.5,0.5,1.0,0.625,0.2,0.25,0.5,0.60835625,0.3888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626178-1629056-1629744-201586,1610612761,"Stanley Johnson, Rondae Hollis-Jefferson, Terence Davis, Matt Thomas, Serge Ibaka","Johnson, Hollis-Jefferson, Davis, Thomas, Ibaka",1626169-1626178-1629056-1629744-201586,TOR,115.0,1,2.0,-3.0,4.0,5.0,,,,9,,,,,,1.0,2.0,,1.0,1.0,3.0,,3.0,6.0,,,,,,3.0,,,2.0,1.0,,,,1.0,1.0,1.0,,3.0,,2.0,2.0,,2.0,,,,,,,1.0,1.0,,,,,3.0,,,,,1.0,0.3333333333333333,0.3333333333333333,,,0.375,,0.375,,0.75,,,,,0.6666666666666666,,0.6666666666666666,,,,0.6666666666666666,,,112.69565217391303,17.0,9.4,17.0,9.0,,,,,,0.5,0.5,0.5,1.0,,,0.75,0.5,0.508825,,,,,21.2,25.7,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626259-1628449-1628778-1629744,1610612761,"Stanley Johnson, Malcolm Miller, Chris Boucher, Paul Watson, Matt Thomas","Johnson, Miller, Boucher, Watson, Thomas",1626169-1626259-1628449-1628778-1629744,TOR,174.0,1,3.0,-6.0,6.0,7.0,,7.0,,13,1.0,1.0,,,2.0,,1.0,2.0,4.0,,1.0,,4.0,10.0,,,,2.0,2.0,,,,1.0,,1.0,,1.0,,1.0,,,2.0,,,2.0,,2.0,,,,1.0,1.0,,2.0,3.0,,,,,4.0,,1.0,0.5,0.5,,,,0.5,,0.4,,0.4,,0.2,,0.25,0.5,,,,0.3333333333333333,,,,,,,107.58620689655173,15.166666666666666,11.857142857142858,15.166666666666666,11.571428571428571,0.2,1.0,1.0,,0.4,0.2,,,,,,0.4,,0.40815,,,,,9.025,27.1,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,0.5,,,0.5,,,0.2,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626169-1626259-1628449-1629056-1629744,1610612761,"Stanley Johnson, Malcolm Miller, Chris Boucher, Terence Davis, Matt Thomas","Johnson, Miller, Boucher, Davis, Thomas",1626169-1626259-1628449-1629056-1629744,TOR,73.0,1,1.0,3.0,3.0,2.0,,2.0,,5,,,,,,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,,,,3.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,3.0,,1.0,2.0,,2.0,,,,2.0,2.0,,1.0,1.0,,,,,3.0,,,,,1.0,1.0,1.0,,,0.75,,0.75,,0.5,,1.0,,,1.0,,1.0,,,,,,,98.63013698630138,15.0,14.0,15.0,14.0,,,,,,0.5,1.0,1.0,1.0,,,0.5,1.0,0.438675,,,,,20.7,26.4,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1626181-1627783-1627832-201586,1610612761,"Rondae Hollis-Jefferson, Norman Powell, Pascal Siakam, Fred VanVleet, Serge Ibaka","Hollis-Jefferson, Powell, Siakam, VanVleet, Ibaka",1626178-1626181-1627783-1627832-201586,TOR,347.0,2,6.0,-4.0,10.0,11.0,3.0,4.0,,21,4.0,5.0,,,1.0,,3.0,4.0,6.0,,3.0,3.0,11.0,15.0,,,,6.0,2.0,,,,3.0,,,,3.0,,3.0,,3.0,6.0,,3.0,4.0,1.0,5.0,,,,,1.0,,2.0,3.0,2.0,3.0,1.0,2.0,11.0,3.0,,0.75,0.75,,,,0.6666666666666666,,0.4444444444444444,,0.55,,0.3333333333333333,,,,,0.6,,0.6666666666666666,0.2,,,0.5,1.0,,87.14697406340058,17.9,15.272727272727273,17.5,13.909090909090908,0.5555555555555556,0.8,0.8,0.75,0.1111111111111111,0.3333333333333333,,,,,,0.8888888888888888,,0.5089611111111112,,0.2,0.2857142857142857,,3.266666666666667,25.8,0.3,2.0,3.0,,,,,,,2.0,3.0,,,,4.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,4.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,1.0,,,,,,,,,1.0,0.6666666666666666,,,0.4941333333333333,0.36363636363636365,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1626181-1627783-200768-201586,1610612761,"Rondae Hollis-Jefferson, Norman Powell, Pascal Siakam, Kyle Lowry, Serge Ibaka","Hollis-Jefferson, Powell, Siakam, Lowry, Ibaka",1626178-1626181-1627783-200768-201586,TOR,70.0,1,1.0,4.0,3.0,3.0,3.0,3.0,1.0,6,,,,,1.0,,,1.0,2.0,,,4.0,6.0,2.0,,,2.0,2.0,,,,,,,,,1.0,,1.0,,,2.0,1.0,,,1.0,1.0,,,,,,,,,2.0,4.0,,2.0,4.0,3.0,,1.0,1.0,,,,0.5,,0.5,,0.75,1.0,,,,,,,1.0,,1.0,,1.0,,,,123.42857142857142,9.333333333333334,14.0,9.333333333333334,14.0,,,,,0.5,,,,,,,,,0.4304,,0.5,0.5,0.3333333333333333,14.85,,1.0,,,1.0,1.0,,,,,1.0,2.0,,,4.0,6.0,,1.0,,,,,,,,,,,,,6.0,,0.5,0.5,0.75,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,0.4304,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1626181-1627832-200768-201586,1610612761,"Rondae Hollis-Jefferson, Norman Powell, Fred VanVleet, Kyle Lowry, Serge Ibaka","Hollis-Jefferson, Powell, VanVleet, Lowry, Ibaka",1626178-1626181-1627832-200768-201586,TOR,180.0,1,3.0,2.0,7.0,7.0,,,1.0,14,3.0,3.0,,,1.0,,2.0,3.0,4.0,,3.0,,6.0,4.0,,,,4.0,2.0,,,,2.0,,,,2.0,,2.0,,2.0,4.0,,,3.0,,3.0,,1.0,,,,,,1.0,1.0,,,,6.0,,,0.6666666666666666,0.6666666666666666,,,,0.75,,0.42857142857142855,,0.42857142857142855,,0.42857142857142855,,,,,,,1.0,,,,,,,112.0,14.714285714285714,11.0,13.0,11.0,0.42857142857142855,1.0,1.0,0.6666666666666666,0.14285714285714285,0.2857142857142857,,,,,,0.8571428571428571,,0.5289571428571429,,,,,3.4,24.666666666666668,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,0.14285714285714285,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1626181-1628449-1629056-1629744,1610612761,"Rondae Hollis-Jefferson, Norman Powell, Chris Boucher, Terence Davis, Matt Thomas","Hollis-Jefferson, Powell, Boucher, Davis, Thomas",1626178-1626181-1628449-1629056-1629744,TOR,461.0,3,8.0,3.0,18.0,17.0,18.0,17.0,,35,1.0,2.0,,,1.0,3.0,6.0,3.0,4.0,3.0,6.0,8.0,23.0,20.0,,,,6.0,,9.0,,,6.0,3.0,,,3.0,3.0,6.0,3.0,1.0,15.0,,5.0,6.0,,6.0,,,,2.0,3.0,3.0,1.0,3.0,5.0,8.0,,1.0,23.0,18.0,2.0,1.0,1.0,1.0,0.5,0.5,0.75,,0.75,,0.8214285714285714,,0.6,,,,,1.0,,0.8571428571428571,,,,1.0,1.0,,109.32754880694142,12.166666666666666,14.235294117647058,12.166666666666666,14.235294117647058,0.2,0.5,0.5,1.0,0.1,0.6,0.5,0.5,1.0,,,0.8,0.5,0.502775,,0.09090909090909091,0.2,,8.85,27.266666666666666,1.0,1.0,2.0,1.0,1.0,,,3.0,6.0,3.0,4.0,3.0,6.0,8.0,23.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,23.0,0.5,0.75,0.75,0.8214285714285714,0.3333333333333333,0.5,,,0.5,,1.0,0.1,1.0,1.0,1.0,,,,,0.2,0.5,0.6,0.5,0.502775,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
1626178-1626181-1629744-200768-201586,1610612761,"Rondae Hollis-Jefferson, Norman Powell, Matt Thomas, Kyle Lowry, Serge Ibaka","Hollis-Jefferson, Powell, Thomas, Lowry, Ibaka",1626178-1626181-1629744-200768-201586,TOR,137.0,1,2.0,3.0,4.0,4.0,,,2.0,8,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,,7.0,4.0,1.0,1.0,2.0,2.0,2.0,,3.0,2.0,3.0,1.0,,,1.0,,1.0,,1.0,2.0,1.0,,2.0,2.0,4.0,,,,,,,1.0,2.0,,,,,5.0,,,0.5,1.0,,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5833333333333334,0.5,0.5833333333333334,0.5,0.5,,,,,,1.0,1.0,0.6666666666666666,,1.0,,,,84.08759124087592,16.75,17.5,15.5,17.5,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,,0.5,1.0,0.8333333333333334,0.3333333333333333,0.5423833333333333,0.6405,,,0.2857142857142857,4.366666666666666,28.8,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2020,2019-20,False
