Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Date,GameId,Opponent,Fg3aBlocked,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFtPoints,Loose Ball Fouls Drawn,DefensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Blocked3s,BlockedArc3,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,BlockedCorner3,Clear Path Fouls,3pt And 1 Free Throw Trips,OffensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,Season,year,SeasonType
48:00,99,101,20.0,13,12,200,13,24,3.0,8.0,2.0,3.0,6,19,3.0,7,4.0,11,2.0,3.0,10,26,1.0,3.0,2.0,9.0,22,50,14,37,12,98,4.0,11,1.0,3.0,11.0,3.0,5.0,4.0,12.0,4.0,22.0,22,22,36,6.0,4.0,26,10,1.0,11,12,23,8,4.0,8,1.0,2.0,58,4.0,10,21,11,2.0,34,14,48,6.0,9,6,3.0,9,2.0,7,9,1.0,2.0,2.0,18,3.0,5,18,1.0,1.0,2.0,20,5.0,17,1.0,7,2.0,3.0,2.0,1.0,3.0,1.0,87,22.0,20.0,1.0,0.5,0.55,0.8571428571428571,0.3783783783783784,0.3333333333333333,0.3333333333333333,0.3783783783783784,0.44,0.36363636363636365,0.6,0.4942528735632184,0.39285714285714285,0.5294117647058824,0.5157894736842106,0.39285714285714285,0.55,0.42528735632183906,0.02,0.041666666666666664,0.5,1.0,0.6470588235294118,0.35714285714285715,0.9545454545454546,0.17391304347826086,0.8205128205128205,0.27450980392156865,0.5454545454545454,0.23076923076923078,0.25,0.125,0.2857142857142857,0.5,0.6666666666666666,0.8,1.0,0.8571428571428571,0.12,100.0,0.3333333333333333,14.04040404040404,14.752475247524753,13.343434343434344,14.564356435643564,0.27586206896551724,0.5416666666666666,0.5652173913043478,0.6153846153846154,0.21839080459770116,0.3157894736842105,0.3157894736842105,0.16666666666666666,0.08045977011494253,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.12643678160919541,0.36363636363636365,0.36363636363636365,1.0,0.2988505747126437,0.38461538461538464,0.38461538461538464,0.8,0.5714285714285714,0.375,0.3333333333333333,0.21428571428571427,0.3333333333333333,1.0,0.17647058823529413,0.6666666666666666,0.17647058823529413,0.6666666666666666,0.5294117647058824,0.2222222222222222,0.7011494252873564,0.38461538461538464,0.5356632183908046,0.513165,0.5647,0.07526881720430108,0.125,0.11224489795918367,0.22448979591836735,7.1,24.82162162162162,0.20202020202020202,2021-10-20,0022100012,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22,2022,Regular Season
48:00,101,100,37.0,40,8,201,16,19,1.0,2.0,6.0,6.0,12,29,4.0,6,5.0,7,2.0,2.0,5,25,1.0,3.0,3.0,8.0,32,54,10,32,21,115,1.0,3,1.0,3.0,5.0,9.0,15.0,5.0,10.0,11.0,44.0,46,18,24,6.0,,25,5,2.0,23,8,31,3,5.0,14,8.0,1.0,70,3.0,5,15,23,3.0,41,8,49,1.0,8,7,1.0,7,2.0,5,5,1.0,2.0,,12,6.0,14,22,,,,26,2.0,28,2.0,6,5.0,2.0,,,2.0,,110,44.0,37.0,5.0,0.71875,0.71875,0.8,0.3125,0.3333333333333333,0.5,0.3125,0.5925925925925926,0.3333333333333333,0.6,0.5465116279069767,0.4166666666666667,0.66,0.5824742268041238,0.4166666666666667,0.6935483870967742,0.37209302325581395,0.037037037037037035,0.05263157894736842,0.5833333333333334,0.75,0.696969696969697,0.22727272727272727,0.7894736842105263,0.15,0.7307692307692307,0.19047619047619047,,0.29411764705882354,,0.16666666666666666,,0.6363636363636364,0.5,1.0,0.9285714285714286,0.4,0.02564102564102564,100.5,,15.376237623762377,13.27,14.772277227722773,12.75,0.22093023255813954,0.8421052631578947,0.8888888888888888,0.875,0.3372093023255814,0.41379310344827586,0.42857142857142855,0.6666666666666666,0.06976744186046512,0.6666666666666666,0.6666666666666666,0.25,0.08139534883720931,0.7142857142857143,0.7142857142857143,1.0,0.29069767441860467,0.2,0.20833333333333334,0.6,0.3333333333333333,0.5,1.0,0.5,0.3333333333333333,1.0,0.24,1.0,0.08,1.0,0.32,0.375,0.5930232558139535,0.2,0.513943023255814,0.54045,0.5036740000000001,0.07692307692307693,0.10344827586206896,0.043478260869565216,0.3826086956521739,6.966666666666667,25.628125,0.36633663366336633,2021-10-22,0022100025,LAL,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.03125,0.034482758620689655,0.04,0.030303030303030304,,,,,,,,,,,,,,,,,,,,,2021-22,2022,Regular Season
48:00,101,102,24.0,24,7,203,24,34,3.0,4.0,6.0,10.0,5,15,5.0,12,5.0,8,2.0,4.0,4,20,,1.0,,4.0,34,61,9,28,10,105,3.0,5,1.0,2.0,11.0,7.0,13.0,2.0,8.0,3.0,23.0,36,32,27,,4.0,20,4,5.0,18,9,27,4,5.0,12,3.0,3.0,63,2.0,6,24,10,1.0,35,8,43,1.0,6,2,4.0,8,1.0,7,6,2.0,1.0,,14,4.0,8,19,,3.0,2.0,15,1.0,15,,6,1.0,1.0,,,1.0,,94,23.0,24.0,1.0,0.5294117647058824,0.5625,1.0,0.32142857142857145,0.5,0.25,0.32142857142857145,0.5573770491803278,0.6,0.5384615384615384,0.5337078651685393,0.6428571428571429,0.47619047619047616,0.5416666666666666,0.6875,0.5,0.3146067415730337,0.08196721311475409,0.08823529411764706,0.5714285714285714,0.5,0.7142857142857143,0.2222222222222222,0.8275862068965517,0.10526315789473684,0.7906976744186046,0.17391304347826086,0.5,,0.14285714285714285,0.125,,0.6666666666666666,0.6666666666666666,1.0,0.7619047619047619,1.0,0.024390243902439025,101.5,,14.465346534653465,13.911764705882353,14.247524752475247,13.490196078431373,0.38202247191011235,0.7058823529411765,0.7741935483870968,0.5,0.16853932584269662,0.3333333333333333,0.38461538461538464,0.6,0.1348314606741573,0.4166666666666667,0.4166666666666667,0.6,0.0898876404494382,0.625,0.625,1.0,0.2247191011235955,0.2,0.2,1.0,0.5714285714285714,0.75,0.3333333333333333,0.14285714285714285,,,0.47619047619047616,0.6,0.19047619047619047,0.5,0.19047619047619047,,0.6966292134831461,0.2,0.5561730337078652,0.6066083333333333,0.5782357142857143,0.06315789473684211,0.08955223880597014,0.10476190476190476,0.21904761904761905,6.362295081967213,25.02857142857143,0.2376237623762376,2021-10-23,0022100033,POR,,1.0,,,1.0,,1.0,,1.0,,0.13333333333333333,,,1.0,1.0,2.0,1.0,2.0,0.14285714285714285,1.0,1.0,,,,,,,,,,,,,2021-22,2022,Regular Season
48:00,99,100,23.0,13,15,199,20,31,5.0,7.0,3.0,4.0,11,31,5.0,9,3.0,8,2.0,2.0,3,14,,,1.0,5.0,36,71,6,22,17,107,7.0,12,,,16.0,7.0,15.0,3.0,7.0,8.0,31.0,38,34,12,6.0,10.0,13,3,5.0,19,4,23,1,3.0,13,3.0,3.0,50,4.0,11,16,24,3.0,43,15,58,1.0,6,5,1.0,7,1.0,4,4,1.0,3.0,,11,,9,16,,1.0,,20,2.0,24,2.0,12,1.0,5.0,4.0,,6.0,2.0,91,31.0,23.0,1.0,0.5277777777777778,0.6129032258064516,0.6666666666666666,0.2727272727272727,,0.42857142857142855,0.2857142857142857,0.5070422535211268,0.5833333333333334,0.4666666666666667,0.4838709677419355,0.5833333333333334,0.5227272727272727,0.5144230769230769,0.6153846153846154,0.5740740740740741,0.23655913978494625,0.07042253521126761,0.0967741935483871,0.6363636363636364,1.0,0.8,0.3142857142857143,0.7272727272727273,0.2857142857142857,0.7692307692307693,0.30612244897959184,0.18181818181818182,0.45,,0.1111111111111111,0.6,0.75,0.7857142857142857,1.0,0.8125,0.5,0.023255813953488372,99.5,0.3333333333333333,14.191919191919192,14.75,13.555555555555555,13.91,0.3333333333333333,0.6451612903225806,0.7142857142857143,0.65,0.3333333333333333,0.3548387096774194,0.3793103448275862,0.2727272727272727,0.0967741935483871,0.5555555555555556,0.5555555555555556,0.6,0.08602150537634409,0.375,0.42857142857142855,1.0,0.15053763440860216,0.21428571428571427,0.21428571428571427,0.3333333333333333,0.5833333333333334,0.7142857142857143,,,,,0.18181818181818182,0.75,0.09090909090909091,1.0,0.22727272727272727,0.2,0.5698924731182796,0.23076923076923078,0.5314467391304347,0.5092,0.5179166666666667,0.11650485436893204,0.14814814814814814,0.14953271028037382,0.2897196261682243,6.440845070422536,26.122727272727275,0.23232323232323232,2021-10-27,0022100062,SAC,1.0,2.0,2.0,,,,1.0,,,0.045454545454545456,0.06451612903225806,,,,,2.0,1.0,,,,,1.0,1.0,1.0,0.125,,,,,,,,,2021-22,2022,Regular Season
48:00,101,101,20.0,6,9,202,11,14,,,2.0,2.0,13,23,9.0,21,2.0,5,,,4,21,,1.0,,2.0,33,58,6,26,17,101,1.0,4,,2.0,3.0,5.0,12.0,,2.0,6.0,16.0,44,22,15,3.0,,21,4,3.0,22,5,27,3,2.0,10,10.0,2.0,59,5.0,5,23,21,1.0,45,10,55,3.0,12,7,5.0,8,1.0,4,7,1.0,4.0,1.0,15,2.0,4,14,1.0,,1.0,21,,27,3.0,10,5.0,3.0,1.0,,3.0,3.0,98,12.0,18.0,3.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.23076923076923078,,,0.23076923076923078,0.5689655172413793,0.25,0.4166666666666667,0.5,0.16666666666666666,0.35714285714285715,0.5260416666666666,0.21428571428571427,0.42105263157894735,0.30952380952380953,0.05172413793103448,0.07142857142857142,0.5333333333333333,1.0,0.84,0.20833333333333334,0.7666666666666667,0.25,0.8,0.22727272727272727,0.3333333333333333,0.3,0.09090909090909091,0.23529411764705882,0.3333333333333333,0.6666666666666666,0.8571428571428571,1.0,0.8076923076923077,0.5,0.07317073170731707,101.0,1.0,12.801980198019802,15.712871287128714,12.178217821782178,15.099009900990099,0.16666666666666666,0.7857142857142857,0.8461538461538461,0.9090909090909091,0.27380952380952384,0.5652173913043478,0.6190476190476191,0.7692307692307693,0.25,0.42857142857142855,0.42857142857142855,0.2222222222222222,0.05952380952380952,0.4,0.4,1.0,0.25,0.19047619047619047,0.19047619047619047,0.75,,,,0.16666666666666666,,,0.14285714285714285,1.0,,,0.14285714285714285,,0.47619047619047616,0.19047619047619047,0.48723988095238097,0.4677875,0.43302857142857143,0.10989010989010989,0.15384615384615385,0.0297029702970297,0.15841584158415842,9.87241379310345,25.41923076923077,0.19801980198019803,2021-10-30,0022100088,CLE,,,2.0,1.0,,,2.0,,,,0.08695652173913043,,,,1.0,1.0,1.0,,0.16666666666666666,,,,,,,,,,,,,,,2021-22,2022,Regular Season
48:00,100,100,15.0,18,6,200,10,14,1.0,2.0,1.0,2.0,17,26,7.0,16,3.0,6,1.0,1.0,6,20,,1.0,2.0,4.0,34,56,9,26,17,112,3.0,5,,1.0,6.0,2.0,5.0,3.0,5.0,6.0,19.0,46,22,27,,2.0,20,6,5.0,23,9,32,6,3.0,8,12.0,3.0,73,2.0,6,19,18,1.0,38,8,46,2.0,8,5,3.0,17,1.0,11,2,,6.0,,19,1.0,8,17,,,1.0,16,1.0,18,6.0,9,3.0,4.0,3.0,,4.0,1.0,106,17.0,14.0,2.0,0.6764705882352942,0.696969696969697,1.0,0.34615384615384615,,0.6,0.34615384615384615,0.6071428571428571,0.6,0.4,0.5792682926829268,0.5,0.65,0.6363636363636364,0.5,0.7307692307692307,0.3170731707317073,0.08928571428571429,0.07142857142857142,0.8947368421052632,1.0,0.6428571428571429,0.2727272727272727,0.76,0.125,0.6981132075471698,0.21052631578947367,0.5,0.3333333333333333,0.1111111111111111,0.07692307692307693,0.3333333333333333,0.4,0.6666666666666666,0.75,0.7,1.0,0.0625,100.0,0.25,13.75,15.05,13.32,14.43,0.17073170731707318,0.7142857142857143,0.7692307692307693,0.8,0.3170731707317073,0.6538461538461539,0.7727272727272727,0.7058823529411765,0.1951219512195122,0.4375,0.4375,0.42857142857142855,0.07317073170731707,0.5,0.5,1.0,0.24390243902439024,0.3,0.3157894736842105,1.0,0.3333333333333333,0.5,,0.16666666666666666,,,0.2,0.5,0.1,1.0,0.4,0.5,0.4878048780487805,0.3,0.4719506097560976,0.4378666666666667,0.470345,0.10588235294117647,0.15254237288135594,0.05357142857142857,0.16964285714285715,9.508928571428571,25.63076923076923,0.15,2021-11-02,0022100106,NOP,1.0,,2.0,,,,1.0,,,0.038461538461538464,0.15384615384615385,0.05,,,,,2.0,,,,,,,,,,,,,,,,,2021-22,2022,Regular Season
48:00,104,105,18.0,47,10,209,23,33,5.0,8.0,7.0,10.0,4,18,3.0,11,3.0,6,1.0,1.0,11,25,1.0,1.0,1.0,4.0,30,62,14,31,21,123,5.0,10,1.0,1.0,14.0,8.0,13.0,2.0,5.0,6.0,28.0,38,22,30,12.0,6.0,25,11,3.0,19,10,29,7,3.0,16,2.0,1.0,68,5.0,8,17,19,1.0,37,13,50,3.0,12,7,5.0,4,3.0,3,8,2.0,1.0,1.0,12,1.0,15,24,,1.0,1.0,21,3.0,23,,7,3.0,8.0,2.0,,8.0,3.0,109,28.0,18.0,3.0,0.6333333333333333,0.7037037037037037,0.7142857142857143,0.45161290322580644,1.0,0.4,0.45161290322580644,0.4838709677419355,0.5,0.6153846153846154,0.5483870967741935,0.5909090909090909,0.6111111111111112,0.5913461538461539,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.04838709677419355,0.030303030303030304,0.3333333333333333,1.0,0.6785714285714286,0.25,0.85,0.29411764705882354,0.75,0.2653061224489796,0.4,0.2857142857142857,,0.2857142857142857,0.3333333333333333,0.75,0.5384615384615384,0.8571428571428571,0.8666666666666667,0.8,0.06666666666666667,104.5,0.375,12.836538461538462,14.714285714285714,12.615384615384615,14.104761904761904,0.3548387096774194,0.696969696969697,0.71875,0.6956521739130435,0.1935483870967742,0.2222222222222222,0.25,0.5,0.11827956989247312,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.06451612903225806,0.5,0.5,1.0,0.26881720430107525,0.44,0.4583333333333333,0.6363636363636364,0.7272727272727273,0.625,,0.09090909090909091,1.0,1.0,0.5555555555555556,0.7,0.05555555555555555,1.0,0.2222222222222222,0.25,0.6881720430107527,0.44,0.5402220430107527,0.5659125,0.5643888888888889,0.07920792079207921,0.10144927536231885,0.11382113821138211,0.22764227642276422,6.569354838709677,25.990322580645163,0.17307692307692307,2021-11-04,0022100122,HOU,1.0,1.0,1.0,1.0,,1.0,6.0,,1.0,0.03225806451612903,0.1111111111111111,0.04,0.03125,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,2021-22,2022,Regular Season
48:00,104,104,12.0,21,5,208,17,23,,1.0,2.0,3.0,8,13,6.0,9,2.0,11,,1.0,12,32,,1.0,1.0,3.0,31,45,14,43,17,121,,1,,2.0,,2.0,3.0,1.0,4.0,8.0,15.0,32,30,30,12.0,,32,12,1.0,16,10,26,8,2.0,10,3.0,3.0,62,2.0,3,17,22,2.0,41,5,46,1.0,8,5,3.0,3,4.0,2,9,2.0,1.0,1.0,12,1.0,8,22,,2.0,2.0,16,,21,1.0,6,3.0,6.0,,,6.0,3.0,121,12.0,10.0,1.0,0.5161290322580645,0.5161290322580645,0.7142857142857143,0.32558139534883723,,0.25,0.32558139534883723,0.6888888888888889,,0.6666666666666666,0.5909090909090909,,0.5,0.6237113402061856,,0.625,0.48863636363636365,0.022222222222222223,,0.25,1.0,0.6285714285714286,0.23076923076923078,0.85,0.07142857142857142,0.7090909090909091,0.12195121951219512,0.6,,,0.05263157894736842,0.1111111111111111,0.4444444444444444,0.6818181818181818,0.75,0.9333333333333333,0.6,0.025,104.0,0.5,12.692307692307692,15.0,12.48076923076923,14.403846153846153,0.26136363636363635,0.7391304347826086,0.7391304347826086,0.5882352941176471,0.14772727272727273,0.6153846153846154,0.6666666666666666,0.375,0.10227272727272728,0.6666666666666666,0.6666666666666666,0.5,0.125,0.18181818181818182,0.18181818181818182,1.0,0.36363636363636365,0.375,0.375,0.6666666666666666,0.3333333333333333,,,0.3333333333333333,,,0.42857142857142855,0.6666666666666666,0.14285714285714285,,0.42857142857142855,0.3333333333333333,0.75,0.375,0.5461666666666667,0.4654,0.6031214285714286,0.07446808510638298,0.12,,0.12396694214876033,6.955555555555556,26.330232558139535,0.11538461538461539,2021-11-06,0022100137,ATL,,,2.0,,1.0,1.0,6.0,,4.0,,0.07692307692307693,,0.022727272727272728,,1.0,,2.0,,0.3333333333333333,,,,,,,,,,,,,,,2021-22,2022,Regular Season
48:00,103,104,18.0,16,9,207,7,10,,,2.0,3.0,20,39,5.0,14,4.0,5,,,8,25,,,1.0,3.0,32,63,12,30,9,109,4.0,9,,,8.0,5.0,11.0,1.0,3.0,2.0,15.0,32,32,36,,6.0,24,8,6.0,16,12,28,8,4.0,6,8.0,2.0,68,2.0,7,11,21,2.0,34,9,43,,14,8,6.0,6,1.0,4,9,2.0,2.0,2.0,15,3.0,12,21,,2.0,3.0,18,4.0,11,1.0,4,2.0,9.0,3.0,,9.0,4.0,101,15.0,18.0,2.0,0.5,0.5517241379310345,1.0,0.4,,0.3333333333333333,0.41379310344827586,0.5079365079365079,0.4444444444444444,0.45454545454545453,0.5376344086021505,0.4444444444444444,0.4642857142857143,0.5561224489795918,0.4444444444444444,0.46875,0.3225806451612903,0.09523809523809523,0.1,0.4,1.0,0.6774193548387096,0.22580645161290322,0.7857142857142857,0.11764705882352941,0.7111111111111111,0.1875,0.6666666666666666,0.2631578947368421,,0.125,,0.25,0.7368421052631579,0.75,0.8461538461538461,,,103.5,0.4444444444444444,14.339805825242719,13.490384615384615,13.62135922330097,12.865384615384615,0.10752688172043011,0.7,0.7777777777777778,0.8571428571428571,0.41935483870967744,0.5128205128205128,0.5882352941176471,0.4,0.15053763440860216,0.35714285714285715,0.35714285714285715,0.4,0.053763440860215055,0.8,0.8,1.0,0.26881720430107525,0.32,0.32,1.0,,,,,,,0.21428571428571427,0.6666666666666666,,,0.21428571428571427,0.3333333333333333,0.43010752688172044,0.3333333333333333,0.4621298913043478,0.3875285714285714,0.45949999999999996,0.041666666666666664,0.06060606060606061,0.07339449541284404,0.13761467889908258,9.028571428571428,26.37,0.17475728155339806,2021-11-08,0022100153,SAC,,,,,,,6.0,1.0,,,0.1282051282051282,,,,,,,2.0,,,,1.0,,,,,,,,,,,,2021-22,2022,Regular Season
48:00,97,96,11.0,25,11,193,19,30,7.0,7.0,1.0,2.0,11,21,8.0,15,4.0,6,,1.0,7,22,,,1.0,2.0,38,66,11,28,10,119,7.0,8,1.0,1.0,17.0,2.0,6.0,1.0,3.0,5.0,12.0,34,42,30,3.0,12.0,22,7,2.0,17,10,27,6,4.0,10,6.0,1.0,64,3.0,7,17,13,2.0,32,11,43,2.0,6,4,2.0,5,2.0,4,6,1.0,1.0,,11,1.0,6,20,,2.0,2.0,21,4.0,12,3.0,5,2.0,6.0,2.0,1.0,6.0,2.0,102,12.0,11.0,2.0,0.4473684210526316,0.53125,0.9090909090909091,0.39285714285714285,1.0,0.3333333333333333,0.39285714285714285,0.5757575757575758,0.875,0.3333333333333333,0.5797872340425532,0.9444444444444444,0.3888888888888889,0.6071428571428571,0.9444444444444444,0.5454545454545454,0.2978723404255319,0.030303030303030304,0.06666666666666667,0.45454545454545453,1.0,0.5416666666666666,0.25925925925925924,0.7391304347826086,0.1875,0.6382978723404256,0.23255813953488372,0.45454545454545453,0.2222222222222222,,0.21428571428571427,,0.625,0.375,0.625,0.8095238095238095,,0.04878048780487805,96.5,0.3333333333333333,15.030927835051546,14.8125,14.762886597938145,13.96875,0.3191489361702128,0.6333333333333333,0.6785714285714286,0.5263157894736842,0.22340425531914893,0.5238095238095238,0.5238095238095238,0.5454545454545454,0.1595744680851064,0.5333333333333333,0.5333333333333333,0.125,0.06382978723404255,0.6666666666666666,0.6666666666666666,1.0,0.23404255319148937,0.3181818181818182,0.3181818181818182,0.8571428571428571,0.7777777777777778,1.0,0.14285714285714285,,,,0.2222222222222222,0.5,0.1111111111111111,,0.2222222222222222,0.5,0.6170212765957447,0.3181818181818182,0.5325542553191489,0.6248571428571428,0.4945833333333333,0.052083333333333336,0.07352941176470588,0.14285714285714285,0.10084033613445378,6.865151515151515,25.292857142857144,0.1134020618556701,2021-11-10,0022100168,POR,,,2.0,1.0,1.0,,3.0,,2.0,,,,,1.0,1.0,,2.0,,0.1111111111111111,1.0,1.0,,,,,1.0,1.0,,,,,,,2021-22,2022,Regular Season
