EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Arc3FGA,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Arc3Frequency,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Steals,BadPassSteals,SecondChanceTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctBlocked,OffLongMidRangeReboundPct,BlocksRecoveredPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,ShootingFouls,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,LongMidRangeFGM,LongMidRangeAssists,BadPassTurnovers,DeadBallTurnovers,Offensive Fouls,Offensive Fouls Drawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,FTDefRebounds,LostBallSteals,DefFTReboundPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,BadPassOutOfBoundsTurnovers,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,NonShootingPenaltyNonTakeFouls,Loose Ball Fouls,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,BlockedShortMidRange,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,Travels,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,StepOutOfBoundsTurnovers,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,DefensiveGoaltends,team_id,year,season,team_vs
101108-1498-1752-1899-2446,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, James Posey, Rasual Butler","Paul, Daniels, Marks, Posey, Butler",101108-1498-1752-1899-2446,NOH,234.0,1,4.0,-3.0,7.0,7.0,2.0,14.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,7.0,10.0,2.0,3.0,4.0,6.0,4.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,0.42857142857142855,0.6666666666666666,0.375,0.6666666666666666,0.3888888888888889,0.6666666666666666,0.125,0.14285714285714285,0.2,1.0,1.0,0.75,1.0,0.6,1.0,1.0,1.0,0.5,86.15384615384616,19.714285714285715,13.714285714285714,19.142857142857142,13.714285714285714,0.625,0.6,0.75,0.125,0.125,0.125,1.0,0.6666666666666666,0.75,0.498325,0.5232333333333333,0.1111111111111111,0.125,0.5714285714285714,4.085714285714286,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
101108-1498-1752-1899-2561,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, James Posey, David West","Paul, Daniels, Marks, Posey, West",101108-1498-1752-1899-2561,NOH,158.0,1,3.0,2.0,4.0,5.0,,9.0,1.0,1.0,,,,,1.0,1.0,1.0,3.0,,2.0,,,,,,,,,3.0,5.0,,5.0,,,,,,1.0,,,,2.0,1.0,,0.25,,0.25,,0.75,,,,1.0,,1.0,,,,1.0,,82.0253164556962,18.0,17.2,18.0,17.2,0.25,1.0,1.0,,,0.25,,,1.0,0.5443125,,,,,,23.366666666666664,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
101108-1498-1752-1899-978,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, James Posey, Peja Stojakovic","Paul, Daniels, Marks, Posey, Stojakovic",101108-1498-1752-1899-978,NOH,297.0,1,5.0,1.0,10.0,9.0,1.0,19.0,1.0,1.0,,,2.0,2.0,,1.0,5.0,2.0,4.0,6.0,5.0,,,,2.0,,1.0,1.0,3.0,3.0,1.0,4.0,,1.0,1.0,1.0,1.0,2.0,,4.0,1.0,6.0,0.2,,0.14285714285714285,,0.3333333333333333,,0.2857142857142857,0.2,,1.0,0.75,0.25,0.75,0.16666666666666666,,,1.0,,92.12121212121212,15.0,16.333333333333332,14.3,16.0,0.14285714285714285,1.0,1.0,0.2857142857142857,0.2857142857142857,,,,0.42857142857142855,0.44634999999999997,,0.125,0.16666666666666666,,9.72,27.8,2.0,,2.0,,,,,,,,,1.0,,,0.2857142857142857,10.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,10.0,1.0,0.2,0.14285714285714285,0.3333333333333333,0.5,0.5,1.0,0.14285714285714285,1.0,0.2857142857142857,0.44634999999999997,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
101108-1498-1752-2446-2561,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, Rasual Butler, David West","Paul, Daniels, Marks, Butler, West",101108-1498-1752-2446-2561,NOH,289.0,1,5.0,5.0,8.0,8.0,1.0,16.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,14.0,9.0,1.0,1.0,2.0,4.0,,,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,12.0,0.7142857142857143,1.0,0.8125,1.0,0.875,1.0,0.125,,,1.0,0.8,0.5,0.6666666666666666,0.5,1.0,,0.8,0.5,79.72318339100346,17.0,19.125,15.375,17.5,0.625,0.8,0.8,0.125,0.125,0.125,1.0,1.0,0.75,0.54515625,0.5712,0.125,0.14285714285714285,0.14285714285714285,4.6571428571428575,24.3,,6.0,,3.0,4.0,2.0,9.0,,0.6,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
101108-1498-1752-2561-978,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, David West, Peja Stojakovic","Paul, Daniels, Marks, West, Stojakovic",101108-1498-1752-2561-978,NOH,152.0,1,3.0,-4.0,5.0,6.0,,11.0,,,,,1.0,1.0,,2.0,2.0,1.0,1.0,5.0,9.0,,,,2.0,,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,2.0,,1.0,1.0,5.0,1.0,,0.6666666666666666,,0.8333333333333334,,0.3333333333333333,,,0.5,1.0,,1.0,,,,1.0,,104.21052631578948,15.2,12.666666666666666,15.2,12.666666666666666,,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,0.4559333333333333,,0.3333333333333333,0.5,,13.3,24.5,1.0,2.0,1.0,1.0,1.0,,2.0,,0.5,0.5,,,,,0.3333333333333333,5.0,,,,1.0,2.0,2.0,1.0,1.0,5.0,,,,2.0,,,,,,5.0,5.0,,1.0,0.6666666666666666,0.8333333333333334,,,,,,0.3333333333333333,0.4559333333333333,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
101108-1498-1899-2199-2446,1610612740,"Chris Paul, Antonio Daniels, James Posey, Tyson Chandler, Rasual Butler","Paul, Daniels, Posey, Chandler, Butler",101108-1498-1899-2199-2446,NOH,101.0,1,2.0,3.0,4.0,4.0,,8.0,1.0,2.0,,,,,,1.0,2.0,,4.0,6.0,3.0,,,,2.0,,1.0,,,1.0,,1.0,,,,,1.0,3.0,,4.0,2.0,6.0,0.5,,0.5,,0.75,,,0.5,0.5,,,,,,,,,,114.05940594059406,10.25,15.0,10.25,15.0,1.0,0.5,1.0,,,,,,1.0,0.5772,,0.5,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,2.0,2.0,1.0,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,0.3333333333333333,0.25,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
101108-1498-2199-2561-978,1610612740,"Chris Paul, Antonio Daniels, Tyson Chandler, David West, Peja Stojakovic","Paul, Daniels, Chandler, West, Stojakovic",101108-1498-2199-2561-978,NOH,288.0,1,5.0,,8.0,8.0,1.0,16.0,3.0,3.0,,,,3.0,,3.0,6.0,1.0,2.0,11.0,11.0,,1.0,,2.0,,,1.0,2.0,3.0,1.0,4.0,,,,1.0,,3.0,,2.0,1.0,11.0,0.5,,0.6428571428571429,,0.6875,,0.14285714285714285,,,,0.5,0.3333333333333333,0.6,0.3333333333333333,,,,,80.0,18.25,17.75,16.75,17.125,0.42857142857142855,1.0,1.0,,0.42857142857142855,,,,0.5714285714285714,0.5120285714285714,0.408,0.125,0.14285714285714285,,9.066666666666666,25.6,1.0,4.0,1.0,2.0,3.0,2.0,7.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.6666666666666666,0.14285714285714285,5.0,,2.0,2.0,,2.0,4.0,,2.0,6.0,,,,1.0,,,,,,6.0,5.0,,0.5,0.5,0.6,,0.3333333333333333,,0.5,1.0,,0.50235,0.5454545454545454,0.625,,,1.0,3.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
101108-1752-1763-1899-2446,1610612740,"Chris Paul, Sean Marks, Ryan Bowen, James Posey, Rasual Butler","Paul, Marks, Bowen, Posey, Butler",101108-1752-1763-1899-2446,NOH,1.0,1,,-2.0,1.0,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2880.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
101108-1752-1899-201153-978,1610612740,"Chris Paul, Sean Marks, James Posey, Julian Wright, Peja Stojakovic","Paul, Marks, Posey, Wright, Stojakovic",101108-1752-1899-201153-978,NOH,119.0,1,2.0,-1.0,5.0,4.0,,9.0,,1.0,,,1.0,1.0,,2.0,3.0,1.0,,4.0,5.0,,,,4.0,,,,,1.0,,1.0,,1.0,,1.0,2.0,1.0,,,,4.0,0.6666666666666666,,0.5,,0.5,,0.25,,,1.0,,,1.0,,,,,,108.90756302521008,14.2,12.0,14.2,12.0,0.25,,,0.25,0.25,,,,0.5,0.483075,,,,,9.299999999999999,24.7,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,0.25,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
101108-1752-1899-2446-2561,1610612740,"Chris Paul, Sean Marks, James Posey, Rasual Butler, David West","Paul, Marks, Posey, Butler, West",101108-1752-1899-2446-2561,NOH,607.0,2,10.0,9.0,20.0,20.0,3.0,40.0,5.0,8.0,1.0,2.0,2.0,2.0,2.0,6.0,12.0,4.0,12.0,30.0,21.0,1.0,2.0,5.0,6.0,2.0,1.0,3.0,7.0,11.0,3.0,14.0,1.0,1.0,1.0,2.0,4.0,9.0,,14.0,4.0,25.0,0.5,0.5,0.5625,0.8333333333333334,0.6904761904761905,0.8333333333333334,0.25,0.08333333333333333,0.125,0.5,0.7777777777777778,0.5,0.7692307692307693,0.375,,1.0,1.0,0.14285714285714285,94.89291598023064,15.1,15.25,14.5,14.85,0.5,0.625,0.7142857142857143,0.125,0.125,0.125,0.6666666666666666,0.5,0.75,0.522053125,0.5739500000000001,0.2222222222222222,0.2857142857142857,0.16666666666666666,4.858333333333333,24.225,2.0,6.0,2.0,3.0,4.0,3.0,9.0,3.0,0.5,0.6,0.75,0.6,0.75,0.6,0.125,16.0,20.0,4.0,6.0,2.0,4.0,8.0,4.0,10.0,24.0,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,24.0,16.0,3.0,0.5,0.5833333333333334,0.7058823529411765,,1.0,1.0,0.5,0.6666666666666666,0.16666666666666666,0.5351958333333333,0.8,0.8,1.0,1.0,2.0,3.0,1.0,1.0,,2.0,2.0,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,0.5,0.5,,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.5,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,False
