EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGA,Arc3FGA,SecondChanceFG2A,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,ShortMidRangeFGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsPutbacks,HeaveAttempts,FTDefRebounds,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,BlockedShortMidRange,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyOffPossPct,PenaltyFG2M,PenaltyPoints,LongMidRangeAssists,DefThreePtRebounds,PenaltyTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,PenaltyFtPoints,LostBallTurnovers,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,Corner3Assists,StepOutOfBoundsTurnovers,BlockedLongMidRange,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SelfOReb,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SelfORebPct,PenaltyCorner3FGM,PenaltyCorner3FGA,ShortMidRangeAssists,LostBallSteals,ShortMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,DefCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,3SecondViolations,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Loose Ball Fouls,Blocked3s,BlockedArc3,SecondChanceTurnovers,Offensive Fouls,Defensive 3 Seconds Violations,OffensiveGoaltends,PtsUnassisted3s,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3PctBlocked,Clear Path Fouls,BlockedCorner3,HeaveMakes,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1952-200811-201606-2405-2564,1610612756,"Raja Bell, Lou Amundson, Sean Singletary, Amar'e Stoudemire, Boris Diaw","Bell, Amundson, Singletary, Stoudemire, Diaw",1952-200811-201606-2405-2564,PHX,251.0,1,4.0,6.0,9.0,7.0,16.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,6.0,1.0,1.0,9.0,3.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.25,0.25,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.5,1.0,1.0,1.0,1.0,91.79282868525895,1.0,12.777777777777779,19.428571428571427,12.777777777777779,19.428571428571427,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.42857142857142855,0.46864285714285714,9.950000000000001,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
1952-200811-201606-255-2564,1610612756,"Raja Bell, Lou Amundson, Sean Singletary, Grant Hill, Boris Diaw","Bell, Amundson, Singletary, Hill, Diaw",1952-200811-201606-255-2564,PHX,53.0,1,1.0,,2.0,1.0,3.0,,1.0,1.0,,1.0,,,3.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,0.25,,,,,,81.50943396226415,,21.0,11.0,16.5,11.0,0.25,,,,0.25,0.25,,,,0.5,0.448325,8.766666666666667,28.4,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,0.25,0.5,0.6501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
1952-200811-201606-2564-406,1610612756,"Raja Bell, Lou Amundson, Sean Singletary, Boris Diaw, Shaquille O'Neal","Bell, Amundson, Singletary, Diaw, O'Neal",1952-200811-201606-2564-406,PHX,375.0,2,6.0,-9.0,9.0,11.0,20.0,2.0,5.0,1.0,1.0,5.0,,4.0,11.0,2.0,,8.0,17.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,7.0,,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,6.0,0.25,0.3333333333333333,0.36363636363636365,0.3076923076923077,0.3076923076923077,0.15384615384615385,,0.6666666666666666,0.5,,0.6666666666666666,76.8,,21.77777777777778,16.272727272727273,20.88888888888889,15.363636363636363,0.38461538461538464,0.4,0.6666666666666666,0.5,0.07692307692307693,0.38461538461538464,0.2,0.2,,0.5384615384615384,0.49281250000000004,8.618181818181817,37.25,1.0,3.0,2.0,3.0,1.0,2.0,,4.0,4.0,0.18181818181818182,,0.5714285714285714,,0.5,,,0.15384615384615385,1.0,0.5817,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,1.0,1.0,0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3891,0.25,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
1952-200811-201609-2405-2571,1610612756,"Raja Bell, Lou Amundson, Goran Dragic, Amar'e Stoudemire, Leandro Barbosa","Bell, Amundson, Dragic, Stoudemire, Barbosa",1952-200811-201609-2405-2571,PHX,123.0,1,2.0,2.0,5.0,5.0,10.0,1.0,1.0,,1.0,1.0,,2.0,2.0,,1.0,5.0,3.0,2.0,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,,,3.0,3.0,,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,5.0,0.5,0.5,1.0,1.0,1.25,,1.0,0.5,0.6666666666666666,,,117.07317073170732,,14.4,10.2,14.4,10.2,0.5,1.0,1.0,,,0.5,1.0,1.0,,0.5,0.54985,7.4,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,0.3214,,0.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
1952-200811-201609-255-406,1610612756,"Raja Bell, Lou Amundson, Goran Dragic, Grant Hill, Shaquille O'Neal","Bell, Amundson, Dragic, Hill, O'Neal",1952-200811-201609-255-406,PHX,29.0,1,,,1.0,1.0,2.0,,,,,,,,,1.0,,3.0,3.0,,,,1.0,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,3.0,,,,1.5,1.5,1.0,,,,,,99.3103448275862,,12.0,17.0,12.0,17.0,,,,,,,,,,1.0,0.59175,,24.5,,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,0.59175,,1.0,,3.0,,,,,,3.0,,1.5,1.5,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
1952-200811-201609-2564-2571,1610612756,"Raja Bell, Lou Amundson, Goran Dragic, Boris Diaw, Leandro Barbosa","Bell, Amundson, Dragic, Diaw, Barbosa",1952-200811-201609-2564-2571,PHX,164.0,1,3.0,-3.0,4.0,5.0,9.0,1.0,2.0,2.0,1.0,1.0,,2.0,5.0,,1.0,5.0,8.0,2.0,2.0,1.0,1.0,,2.0,,,2.0,,,1.0,,,1.0,2.0,2.0,3.0,,1.0,,,,,,2.0,0.5,1.0,0.4,0.4,0.5,,1.0,,,,,79.02439024390243,,22.5,14.8,18.75,12.6,0.4,0.5,1.0,,0.4,0.2,1.0,1.0,,0.4,0.44664000000000004,7.62,,1.0,2.0,,2.0,,1.0,,2.0,2.0,0.2,,0.6666666666666666,,0.6666666666666666,0.5,,,1.0,0.60995,2.0,3.0,1.0,,,1.0,3.0,3.0,,2.0,,,,,,2.0,0.5,0.5,0.75,0.5,,1.0,,,,0.5,,0.5209333333333334,0.6,0.5,2.0,5.0,1.0,,,1.0,1.0,5.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,,,,1.0,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
1952-200811-201609-2564-406,1610612756,"Raja Bell, Lou Amundson, Goran Dragic, Boris Diaw, Shaquille O'Neal","Bell, Amundson, Dragic, Diaw, O'Neal",1952-200811-201609-2564-406,PHX,109.0,1,2.0,-2.0,3.0,2.0,5.0,,,,,3.0,,,3.0,,2.0,2.0,4.0,,,,,,,,,2.0,,,,,,,,1.0,2.0,,4.0,,,,,,,,,,,0.2,,,,,,,66.05504587155963,,24.0,18.5,21.333333333333332,18.5,,,,,,1.0,,,,,0.41766666666666663,18.266666666666666,,2.0,,,,,,,2.0,2.0,,,0.6666666666666666,,0.6666666666666666,,,,,,,,,,,,2.0,,,,,,,,,,,,0.5,,,,0.6666666666666666,,,,,,1.0,,,,,,,,2.0,,,,,,,,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
1952-200811-201609-2571-406,1610612756,"Raja Bell, Lou Amundson, Goran Dragic, Leandro Barbosa, Shaquille O'Neal","Bell, Amundson, Dragic, Barbosa, O'Neal",1952-200811-201609-2571-406,PHX,85.0,1,1.0,-1.0,3.0,3.0,6.0,,,,,,1.0,,,2.0,,3.0,4.0,,,,1.0,,3.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,3.0,,,,0.75,0.75,1.0,,0.5,0.5,1.0,,101.6470588235294,,11.0,17.333333333333332,11.0,15.0,,,,,,,,,0.5,1.0,0.5658,,25.15,,,1.0,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1.0,,1.0,0.5,,0.5,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
1952-200811-2405-255-959,1610612756,"Raja Bell, Lou Amundson, Amar'e Stoudemire, Grant Hill, Steve Nash","Bell, Amundson, Stoudemire, Hill, Nash",1952-200811-2405-255-959,PHX,252.0,2,4.0,-4.0,9.0,9.0,18.0,1.0,1.0,,,3.0,,1.0,4.0,2.0,4.0,6.0,10.0,,2.0,,,,,3.0,4.0,6.0,,,,,1.0,1.0,2.0,2.0,4.0,,8.0,,,,,,4.0,,,0.25,0.16666666666666666,0.3,0.3333333333333333,,0.75,0.8,1.0,1.0,102.85714285714285,,12.333333333333334,15.666666666666666,12.11111111111111,15.222222222222221,0.16666666666666666,1.0,1.0,,,0.5,,,,0.5,0.5053,13.575,25.3,2.0,,2.0,,2.0,,1.0,1.0,2.0,,,0.3333333333333333,0.5,0.4,,0.5,0.3333333333333333,,,9.0,5.0,,,2.0,,2.0,4.0,2.0,,,,,1.0,,9.0,,,0.5,,,,0.3333333333333333,,,,0.3333333333333333,0.5053,0.3333333333333333,1.0,1.0,6.0,,1.0,1.0,,2.0,6.0,0.25,0.16666666666666666,0.3,1.0,,1.0,,0.25,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,,0.16666666666666666,1.0,,,,,,,,1.0,1.0,2.0,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
1952-200811-2405-2564-959,1610612756,"Raja Bell, Lou Amundson, Amar'e Stoudemire, Boris Diaw, Steve Nash","Bell, Amundson, Stoudemire, Diaw, Nash",1952-200811-2405-2564-959,PHX,539.0,2,9.0,10.0,17.0,18.0,35.0,2.0,5.0,1.0,1.0,4.0,1.0,4.0,10.0,4.0,3.0,23.0,13.0,6.0,2.0,3.0,7.0,1.0,18.0,4.0,6.0,8.0,5.0,4.0,2.0,1.0,,2.0,6.0,8.0,4.0,,6.0,,1.0,1.0,1.0,1.0,22.0,0.75,0.75,0.4,0.7142857142857143,0.6764705882352942,0.2857142857142857,1.0,1.0,0.8,1.0,,93.50649350649351,1.0,14.588235294117647,16.166666666666668,14.470588235294118,15.166666666666666,0.35714285714285715,0.4,0.5,0.5,0.07142857142857142,0.2857142857142857,0.25,0.25,0.07142857142857142,0.6428571428571429,0.5288071428571428,8.370000000000001,25.15,2.0,,3.0,,3.0,1.0,,2.0,2.0,0.1,,0.3333333333333333,,0.3333333333333333,,,0.21428571428571427,,,11.0,11.0,,1.0,1.0,,1.0,8.0,2.0,,,2.0,,,,11.0,,,0.25,0.2,1.0,0.6666666666666666,,1.0,1.0,,0.1,0.486185,0.043478260869565216,0.6470588235294118,2.0,13.0,1.0,,,,1.0,13.0,0.25,0.5,0.5,,1.0,,1.0,0.06666666666666667,0.09090909090909091,0.5652173913043478,3.0,1.0,4.0,2.0,12.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,3.0,1.0,0.3,,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,2.0,0.2,1.0,1.0,1.0,1.0,1.0,0.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2009,2008-09,True
