EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,BadPassSteals,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PtsAssisted2s,TwoPtAssists,AtRimAssists,DefThreePtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,ShortMidRangeAssists,LongMidRangeAssists,DeadBallTurnovers,ShootingFouls,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,OffTwoPtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PtsPutbacks,FTOffRebounds,OffFTReboundPct,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,DefArc3ReboundPct,SecondChanceFtPoints,LostBallTurnovers,OffShortMidRangeReboundPct,Fg2aBlocked,LostBallOutOfBoundsTurnovers,FG2APctBlocked,AtRimPctBlocked,Loose Ball Fouls,OffLongMidRangeReboundPct,Loose Ball Fouls Drawn,SecondChanceAtRimFGM,Arc3Assists,SecondChanceTurnovers,LongMidRangePctBlocked,Arc3PctAssisted,SecondChanceAtRimAccuracy,ShortMidRangePctBlocked,FTDefRebounds,DefFTReboundPct,SelfOReb,SelfORebPct,SecondChanceAtRimPctAssisted,NonShootingPenaltyNonTakeFouls,HeaveAttempts,DefensiveGoaltends,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,Travels,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,BlockedLongMidRange,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,3pt And 1 Free Throw Trips,HeaveMakes,OffensiveGoaltends,team_id,year,season,team_vs
101108-1498-1752-1899-200756,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, James Posey, Hilton Armstrong","Paul, Daniels, Marks, Posey, Armstrong",101108-1498-1752-1899-200756,NOH,155.0,1,3.0,2.0,4.0,4.0,3.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.75,1.5,0.6666666666666666,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,74.32258064516128,16.25,22.5,16.25,16.75,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.455925,0.51765,0.3333333333333333,0.5,1.0,10.0,23.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
101108-1498-1752-1899-2050,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, James Posey, Morris Peterson","Paul, Daniels, Marks, Posey, Peterson",101108-1498-1752-1899-2050,NOH,158.0,1,3.0,-2.0,5.0,5.0,3.0,,10.0,,,,,,2.0,,2.0,1.0,3.0,5.0,,1.0,1.0,3.0,,,,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,,3.0,3.0,3.0,,,,,0.25,0.3333333333333333,0.3,0.375,0.5,1.0,1.0,1.0,,91.13924050632912,13.2,18.4,12.6,18.4,,,,,,,,1.0,0.6436125,0.66025,,,1.0,,24.95,0.6,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
101108-1498-1752-1899-2561,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, James Posey, David West","Paul, Daniels, Marks, Posey, West",101108-1498-1752-1899-2561,NOH,308.0,2,5.0,-3.0,9.0,10.0,,,19.0,,,,,,5.0,,2.0,2.0,8.0,11.0,,,,,,,2.0,,4.0,4.0,5.0,5.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,8.0,,,,,,,0.42857142857142855,,0.5,,0.2857142857142857,1.0,1.0,1.0,,88.83116883116882,12.444444444444445,19.6,12.444444444444445,19.6,,,,,,,,1.0,0.5952857142857143,,0.125,0.16666666666666666,,1.02,25.15,,,3.0,5.0,,,,2.0,,3.0,,,,2.0,2.0,,,1.0,,,0.6,,,,,1.0,0.7142857142857143,0.6,0.6,0.2857142857142857,,,,,4.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
101108-1498-1752-1899-978,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, James Posey, Peja Stojakovic","Paul, Daniels, Marks, Posey, Stojakovic",101108-1498-1752-1899-978,NOH,215.0,2,4.0,-3.0,6.0,8.0,,,14.0,1.0,1.0,1.0,,,3.0,2.0,2.0,1.0,13.0,16.0,,,,,3.0,1.0,3.0,1.0,7.0,,,,,,,,1.0,,4.0,3.0,1.0,1.0,13.0,,,0.5,1.0,,1.0,1.2,,1.3,,0.4,,,,,93.76744186046511,16.333333333333332,14.625,16.333333333333332,14.625,0.2,0.2,1.0,1.0,1.0,,,0.6,0.49584,,0.2,0.3333333333333333,,8.866666666666667,24.15,,,1.0,1.0,,,,1.0,,3.0,,,,2.0,1.0,,,,,,1.0,,,,,,0.2,1.0,1.0,0.2,,,,,4.0,2.0,,,0.6666666666666666,0.6666666666666666,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
101108-1498-1752-201153-2446,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, Julian Wright, Rasual Butler","Paul, Daniels, Marks, Wright, Butler",101108-1498-1752-201153-2446,NOH,91.0,1,2.0,,2.0,3.0,,,5.0,,,1.0,,,1.0,,1.0,,2.0,2.0,,,,,,,1.0,,2.0,2.0,2.0,2.0,,,,,,,1.0,1.0,,,2.0,,,,,,,0.5,,0.5,,0.5,,1.0,1.0,1.0,79.12087912087912,16.0,19.666666666666668,16.0,19.666666666666668,,0.5,,,,,,0.5,0.51145,,,,,17.7,22.6,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,2.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,0.5,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
101108-1498-1752-201153-2561,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, Julian Wright, David West","Paul, Daniels, Marks, Wright, West",101108-1498-1752-201153-2561,NOH,180.0,1,3.0,-3.0,4.0,4.0,,,8.0,1.0,,1.0,,,2.0,,3.0,2.0,4.0,7.0,,,,,,,1.0,,2.0,1.0,1.0,3.0,,,,,,,2.0,1.0,2.0,1.0,2.0,,,,,,,0.2,,0.3333333333333333,,0.6,,1.0,1.0,,64.0,22.5,22.5,19.5,22.5,0.2,0.2,,,,,,0.8,0.51159,,0.16666666666666666,0.3333333333333333,,3.2,24.866666666666664,,2.0,,1.0,,,,2.0,,1.0,1.0,,,,2.0,1.0,2.0,,,,0.5,,0.3333333333333333,0.5,,,0.2,,,0.4,,,,,2.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.4977,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
101108-1498-1752-201153-978,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, Julian Wright, Peja Stojakovic","Paul, Daniels, Marks, Wright, Stojakovic",101108-1498-1752-201153-978,NOH,125.0,1,2.0,-1.0,3.0,3.0,,,6.0,1.0,,,,,3.0,,,1.0,3.0,4.0,,,,,,,,,,1.0,1.0,2.0,,,,,,,2.0,2.0,2.0,1.0,1.0,,,,,,,0.3333333333333333,,0.375,,,,0.5,0.3333333333333333,,69.11999999999999,20.0,21.666666666666668,19.333333333333332,13.0,0.3333333333333333,,,,,,,,0.4046,,0.25,0.25,,16.133333333333333,,,1.0,,,,,,,,1.0,1.0,,,2.0,,,1.0,,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,1.0,,0.6666666666666666,,,,,,,,,,,,,1.0,,2.0,,1.0,1.0,1.0,,,,,0.3814,0.6666666666666666,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
101108-1498-1752-2446-2561,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, Rasual Butler, David West","Paul, Daniels, Marks, Butler, West",101108-1498-1752-2446-2561,NOH,132.0,1,2.0,5.0,5.0,5.0,,,10.0,1.0,,,,,3.0,,1.0,1.0,7.0,2.0,,,,,,,2.0,,4.0,4.0,4.0,4.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,7.0,,,,,,,0.75,,0.875,,0.25,1.0,1.0,1.0,1.0,109.09090909090908,10.0,16.4,10.0,16.4,0.25,,,,,,,0.5,0.5031125,,0.25,0.3333333333333333,,7.5,26.6,,,1.0,1.0,,,,1.0,,3.0,,,,2.0,1.0,,,,,,1.0,,,,,1.0,0.25,1.0,1.0,0.25,,,,,4.0,2.0,1.0,,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,0.25,1.0,1.0,1.0,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
101108-1498-1752-2484-2561,1610612740,"Chris Paul, Antonio Daniels, Sean Marks, Devin Brown, David West","Paul, Daniels, Marks, Brown, West",101108-1498-1752-2484-2561,NOH,124.0,1,2.0,4.0,5.0,5.0,,,10.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,8.0,4.0,,,,,3.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,8.0,,,1.0,1.0,,1.0,1.1666666666666667,,1.0,,0.3333333333333333,1.0,1.0,1.0,1.0,116.1290322580645,11.4,13.4,11.4,13.4,,0.3333333333333333,1.0,1.0,1.0,,,1.0,0.64565,,0.25,0.3333333333333333,,,23.4,,,2.0,2.0,,,,,,2.0,,,,2.0,,,,1.0,,,1.0,,,,,1.0,0.6666666666666666,1.0,1.0,,,,,,2.0,1.0,1.0,,0.5,0.5,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
101108-1498-1763-1899-200756,1610612740,"Chris Paul, Antonio Daniels, Ryan Bowen, James Posey, Hilton Armstrong","Paul, Daniels, Bowen, Posey, Armstrong",101108-1498-1763-1899-200756,NOH,58.0,1,1.0,1.0,2.0,2.0,,,4.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,99.3103448275862,7.0,22.0,7.0,22.0,,,,,,,,1.0,0.48105,,,,,,26.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2009,2008-09,True
