EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,OffTwoPtRebounds,FTOffRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,FG2M,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,ShootingFouls,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,FG2APctBlocked,LongMidRangePctBlocked,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,PtsPutbacks,Steals,BadPassSteals,Technical Free Throw Trips,Blocked3s,BlockedArc3,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,OffShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimAccuracy,FTDefRebounds,DefFTReboundPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,Corner3Assists,AtRimAssists,ShortMidRangeAssists,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Blocked2s,BlockedShortMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Offensive Fouls Drawn,AtRimPctBlocked,OffAtRimReboundPct,BlockedAtRim,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,OffArc3ReboundPct,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceAtRimPctAssisted,SecondChanceTurnovers,Offensive Fouls,3SecondViolations,ShortMidRangePctBlocked,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,3pt And 1 Free Throw Trips,BlockedLongMidRange,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,BlockedCorner3,Arc3PctBlocked,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
101130-101132-1497-1853-2030,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Anthony Carter, Kenyon Martin","Petro, Kleiza, Billups, Carter, Martin",101130-101132-1497-1853-2030,DEN,184.0,1,3.0,-1.0,6.0,5.0,6.0,2.0,11.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,6.0,2.0,1.0,1.0,2.0,3.0,6.0,1.0,0.21428571428571427,0.25,0.21428571428571427,0.25,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,1.0,86.08695652173913,15.0,18.8,12.333333333333334,18.8,0.25,0.5,0.25,0.25,0.25,0.3790625,0.3419,0.3790625,0.3333333333333333,0.4,0.3333333333333333,1.0,14.633333333333333,25.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
101130-101132-1497-1853-2365,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Anthony Carter, Chris Andersen","Petro, Kleiza, Billups, Carter, Andersen",101130-101132-1497-1853-2365,DEN,102.0,1,2.0,2.0,4.0,3.0,4.0,1.0,7.0,,3.0,,,4.0,,2.0,6.0,4.0,,2.0,2.0,4.0,,2.0,6.0,,1.0,,,,1.0,1.0,1.0,2.0,,1.0,,4.0,6.0,4.0,1.0,0.6,1.0,0.6,,,,0.5,,0.5,0.5,,,98.82352941176471,15.25,13.666666666666666,15.0,13.666666666666666,,0.75,,,0.25,0.42185,,0.42185,,,0.3333333333333333,1.0,14.55,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.3333333333333333,0.25,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
101130-101132-1497-1853-2546,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Anthony Carter, Carmelo Anthony","Petro, Kleiza, Billups, Carter, Anthony",101130-101132-1497-1853-2546,DEN,90.0,1,2.0,3.0,3.0,2.0,,1.0,5.0,,1.0,1.0,,3.0,1.0,,3.0,,1.0,,,,,,,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,,,,,3.0,,,,0.375,,,0.25,,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,,1.0,80.0,17.666666666666668,18.5,17.333333333333332,18.5,,0.25,0.25,,0.75,0.5078625,0.569,,,,,,4.8,25.2,,,,2.0,,,,,,,,,,1.0,,3.0,,1.0,,,,,0.375,,,,0.5,,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
101130-101132-1497-2030-2563,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Kenyon Martin, Dahntay Jones","Petro, Kleiza, Billups, Martin, Jones",101130-101132-1497-2030-2563,DEN,36.0,1,1.0,,2.0,1.0,2.0,,3.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,120.0,6.0,24.0,6.0,24.0,,,1.0,1.0,1.0,0.59145,,0.59145,,,,,,25.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
101130-101132-1497-2030-2747,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Kenyon Martin, JR Smith","Petro, Kleiza, Billups, Martin, Smith",101130-101132-1497-2030-2747,DEN,94.0,1,2.0,3.0,2.0,3.0,2.0,1.0,5.0,2.0,,,,3.0,,2.0,6.0,3.0,1.0,,2.0,3.0,,2.0,6.0,,1.0,,,1.0,1.0,2.0,1.0,3.0,,1.0,,4.0,6.0,2.0,1.0,0.625,1.0,0.625,,,,1.0,0.5,1.0,,,,76.59574468085107,18.0,19.333333333333332,17.0,17.666666666666668,0.6666666666666666,,,,0.3333333333333333,0.4482,0.5569,0.4482,,,0.3333333333333333,1.0,6.866666666666667,,1.0,,1.0,1.0,1.0,1.0,,2.0,2.0,,4.0,,,,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.3333333333333333,1.0,1.0,,,,0.3333333333333333,1.0,1.0,,,,,,,1.0,,,,,0.5,0.5,,,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
101130-101132-1497-2546-2747,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Carmelo Anthony, JR Smith","Petro, Kleiza, Billups, Anthony, Smith",101130-101132-1497-2546-2747,DEN,41.0,1,1.0,,2.0,2.0,2.0,,4.0,,1.0,,,2.0,,,,,,,,2.0,,,,,,,,2.0,,2.0,,,,,,,,2.0,,,,,,,,,0.5,,,,,140.4878048780488,10.0,10.5,10.0,9.0,,0.5,,,0.5,0.5188,,0.5188,,,,,9.2,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
101130-101132-1853-200764-201603,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Renaldo Balkman, Sonny Weems","Petro, Kleiza, Carter, Balkman, Weems",101130-101132-1853-200764-201603,DEN,682.0,3,11.0,11.0,25.0,27.0,21.0,3.0,52.0,6.0,4.0,2.0,2.0,13.0,4.0,10.0,26.0,15.0,2.0,,4.0,12.0,4.0,6.0,22.0,2.0,3.0,,8.0,14.0,3.0,17.0,9.0,20.0,4.0,5.0,,22.0,22.0,21.0,5.0,0.46153846153846156,0.6666666666666666,0.45454545454545453,0.23529411764705882,,0.6153846153846154,0.375,0.7222222222222222,0.3,0.5,0.3333333333333333,0.7142857142857143,109.79472140762464,10.84,15.222222222222221,10.28,13.814814814814815,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.125,0.4117647058823529,0.47832352941176476,0.5409666666666667,0.4747375,0.19047619047619047,0.23529411764705882,0.15384615384615385,0.8461538461538461,10.315384615384614,24.725,0.84,24.0,2.0,3.0,2.0,2.0,,5.0,5.0,4.0,6.0,,2.0,3.0,,7.0,1.0,3.0,0.4,0.5,0.38461538461538464,0.4166666666666667,0.47058823529411764,0.5,,,0.17647058823529413,0.6666666666666666,0.6666666666666666,,,,0.125,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,5.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,,0.3333333333333333,0.5,1.0,3.0,2.0,2.0,,,2.0,,,1.0,1.0,0.6666666666666666,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.6666666666666666,1.0,0.1,1.0,0.5,0.3333333333333333,0.11764705882352941,0.5,0.5,1.0,0.3333333333333333,0.125,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
101130-101132-1853-200764-2078,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Renaldo Balkman, Jason Hart","Petro, Kleiza, Carter, Balkman, Hart",101130-101132-1853-200764-2078,DEN,124.0,1,2.0,8.0,4.0,4.0,,1.0,8.0,,1.0,2.0,,3.0,2.0,1.0,11.0,3.0,,,3.0,,,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,8.0,,,,1.1,1.5,,0.4,,,1.0,,1.0,1.0,,,92.9032258064516,12.75,18.25,11.0,18.25,,0.2,0.4,,0.8,0.60631,0.438,,0.2,0.3333333333333333,0.2727272727272727,,6.733333333333333,25.45,,,2.0,2.0,,,,2.0,,2.0,2.0,1.0,1.0,3.0,,8.0,1.0,1.0,0.5,0.5,0.6666666666666666,,1.0,,0.3333333333333333,1.0,0.4,1.0,1.0,,,,,,,2.0,2.0,6.0,2.0,2.0,2.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,2.0,2.0,,,,,,1.5,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
101130-101132-1853-200764-2563,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Renaldo Balkman, Dahntay Jones","Petro, Kleiza, Carter, Balkman, Jones",101130-101132-1853-200764-2563,DEN,155.0,3,3.0,6.0,6.0,7.0,4.0,1.0,13.0,1.0,,1.0,1.0,3.0,1.0,1.0,8.0,2.0,1.0,,2.0,3.0,1.0,1.0,8.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,,6.0,8.0,4.0,1.0,0.8,1.0,0.8,0.25,,0.5,1.0,0.5,1.0,,,1.0,120.77419354838709,9.333333333333334,14.142857142857142,9.166666666666666,14.142857142857142,0.25,,0.25,0.25,0.75,0.50355,0.4339,0.50355,,,0.25,1.0,4.266666666666667,25.3,0.6666666666666666,6.0,1.0,2.0,1.0,2.0,,2.0,2.0,4.0,,1.0,2.0,3.0,,7.0,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.875,0.875,0.3333333333333333,,0.5,0.5,1.0,,,,0.5,0.5,,1.0,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
101130-101132-1853-201603-2365,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Sonny Weems, Chris Andersen","Petro, Kleiza, Carter, Weems, Andersen",101130-101132-1853-201603-2365,DEN,44.0,1,1.0,,2.0,1.0,,,3.0,,1.0,1.0,,1.0,1.0,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,0.5,,,0.5,,,,,,,,,98.18181818181819,10.0,24.0,10.0,24.0,,0.5,0.5,,0.5,0.42905,,,,,,,20.5,25.8,,,,,,,1.0,1.0,,,2.0,,,,,,1.0,2.0,,,1.0,,0.5,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,True
