EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,NonShootingPenaltyNonTakeFouls,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,LostBallSteals,ShootingFouls,Offensive Fouls,Offensive Fouls Drawn,Defensive 3 Seconds Violations,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Avg2ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,AtRimAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,DefensiveGoaltends,3SecondViolations,SecondChanceArc3Frequency,HeaveAttempts,OffArc3ReboundPct,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,LongMidRangePctBlocked,Loose Ball Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,BlockedLongMidRange,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3PctAssisted,SecondChanceAtRimPctAssisted,BlockedCorner3,Arc3PctBlocked,HeaveMakes,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1630-1718-200765-200796-2067,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Leon Powe, Eddie House","Moore, Pierce, Rondo, Powe, House",1630-1718-200765-200796-2067,BOS,139.0,2,2.0,5.0,6.0,4.0,6.0,4.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,9.0,4.0,1.0,1.0,2.0,2.0,1.0,9.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.5,1.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,103.59712230215827,1.0,15.166666666666666,12.0,15.166666666666666,12.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,0.4567333333333334,0.4567333333333334,0.3333333333333333,1.0,1.0,26.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
1630-1718-200765-200796-950,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Leon Powe, Stephon Marbury","Moore, Pierce, Rondo, Powe, Marbury",1630-1718-200765-200796-950,BOS,15.0,1,,-1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
1630-1718-200765-200796-951,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Leon Powe, Ray Allen","Moore, Pierce, Rondo, Powe, Allen",1630-1718-200765-200796-951,BOS,489.0,6,8.0,,15.0,15.0,2.0,6.0,30.0,1.0,2.0,,,1.0,1.0,,,4.0,7.0,2.0,2.0,6.0,20.0,20.0,,,1.0,1.0,2.0,5.0,4.0,6.0,1.0,1.0,2.0,4.0,1.0,10.0,3.0,5.0,5.0,1.0,,1.0,1.0,1.0,,2.0,,3.0,5.0,6.0,,3.0,,,,,20.0,5.0,2.0,1.0,1.0,1.0,1.0,0.5714285714285714,,0.7777777777777778,1.5,0.8333333333333334,1.25,0.2222222222222222,0.5,1.0,0.6666666666666666,1.0,88.34355828220859,,16.2,16.4,16.2,15.933333333333334,0.2222222222222222,0.5,1.0,0.1111111111111111,1.0,1.0,1.0,,,,,0.4444444444444444,1.0,0.5010555555555556,0.68355,0.25,0.3,0.25,24.4,0.13333333333333333,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.14285714285714285,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.1111111111111111,1.0,1.0,1.0,0.4444444444444444,0.5,0.5,0.5,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,11.814285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
1630-1718-200765-201175-2067,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Glen Davis, Eddie House","Moore, Pierce, Rondo, Davis, House",1630-1718-200765-201175-2067,BOS,851.0,4,14.0,-7.0,24.0,25.0,4.0,14.0,49.0,4.0,7.0,,,,,,,11.0,21.0,,,2.0,24.0,31.0,1.0,3.0,,,,2.0,12.0,,,,,5.0,,10.0,5.0,7.0,9.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,5.0,3.0,2.0,,1.0,2.0,,2.0,1.0,20.0,2.0,4.0,,,,,0.5238095238095238,0.3333333333333333,0.5238095238095238,0.3333333333333333,0.5454545454545454,0.3333333333333333,,0.75,0.8333333333333334,0.8571428571428571,1.0,82.91421856639248,0.5,18.583333333333332,16.2,18.458333333333332,16.08,0.3333333333333333,0.5714285714285714,0.5714285714285714,,,,,,,,,0.3333333333333333,,0.46831428571428574,0.3841333333333334,0.045454545454545456,0.045454545454545456,0.08333333333333333,,0.16666666666666666,,4.0,7.0,3.0,7.0,,,,,10.0,,5.0,,2.0,2.0,1.0,1.0,,2.0,,,,0.45454545454545453,0.5,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.5,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,,,,,9.233333333333334,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.2,0.2,0.3333333333333333,0.25,0.6666666666666666,0.1,0.25,1.0,1.0,0.5671,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
1630-1718-200765-201175-950,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Glen Davis, Stephon Marbury","Moore, Pierce, Rondo, Davis, Marbury",1630-1718-200765-201175-950,BOS,269.0,3,4.0,3.0,9.0,8.0,2.0,2.0,17.0,,1.0,,1.0,1.0,2.0,,,4.0,7.0,1.0,2.0,,11.0,8.0,1.0,3.0,,,,2.0,6.0,,2.0,1.0,,1.0,,2.0,4.0,4.0,5.0,,,,,1.0,,1.0,,,1.0,,,,1.0,,1.0,1.0,11.0,2.0,2.0,,0.5,,0.5,0.5714285714285714,0.3333333333333333,0.6111111111111112,0.3333333333333333,0.6111111111111112,0.3333333333333333,0.2222222222222222,,0.5714285714285714,0.5714285714285714,1.0,91.00371747211896,1.0,12.555555555555555,19.5,12.555555555555555,16.125,0.1111111111111111,,,0.2222222222222222,0.5,0.5,,0.3333333333333333,,,,0.3333333333333333,0.5,0.4212777777777778,0.38143333333333335,,,0.18181818181818182,25.85,0.2222222222222222,,2.0,2.0,2.0,4.0,,,,,2.0,,1.0,,,1.0,,,,,,1.0,1.0,0.25,0.25,,,,,0.6666666666666666,,0.2222222222222222,1.0,1.0,,0.4444444444444444,0.5,0.5,0.5,,,,,,,13.985714285714286,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,0.5,0.3333333333333333,,0.5,0.3333333333333333,,,1.0,,0.3156,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
1630-1718-200765-201175-951,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Glen Davis, Ray Allen","Moore, Pierce, Rondo, Davis, Allen",1630-1718-200765-201175-951,BOS,1553.0,8,26.0,1.0,47.0,49.0,13.0,15.0,96.0,7.0,12.0,,3.0,2.0,3.0,,,19.0,35.0,2.0,6.0,13.0,57.0,56.0,2.0,9.0,,,6.0,10.0,26.0,3.0,3.0,2.0,1.0,7.0,1.0,15.0,10.0,16.0,24.0,1.0,,2.0,1.0,4.0,1.0,6.0,2.0,12.0,16.0,17.0,2.0,8.0,6.0,1.0,6.0,1.0,47.0,10.0,13.0,0.5,0.3333333333333333,,0.3333333333333333,0.5428571428571428,0.2222222222222222,0.5365853658536586,0.2222222222222222,0.5833333333333334,0.375,0.14634146341463414,0.3333333333333333,0.5882352941176471,0.6666666666666666,0.6666666666666666,89.01481004507406,0.16666666666666666,15.148936170212766,17.163265306122447,14.23404255319149,15.448979591836734,0.2926829268292683,0.5833333333333334,0.6363636363636364,0.07317073170731707,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,,,,0.43902439024390244,0.6666666666666666,0.49756341463414633,0.47535555555555553,0.1702127659574468,0.1951219512195122,0.17543859649122806,24.849999999999998,0.2765957446808511,,7.0,15.0,5.0,8.0,,3.0,,,12.0,1.0,6.0,,2.0,1.0,4.0,2.0,1.0,7.0,,3.0,,0.3157894736842105,0.3333333333333333,0.02857142857142857,0.08333333333333333,1.0,1.0,0.75,1.0,0.36585365853658536,0.4666666666666667,0.4666666666666667,0.2857142857142857,0.1951219512195122,0.625,0.625,0.2,0.07317073170731707,,,,,,8.157142857142857,8.0,1.0,1.0,4.0,5.0,2.0,10.0,2.0,3.0,6.0,8.0,1.0,5.0,0.8,0.8,0.8333333333333334,0.375,0.4,0.6,,0.5,0.05263157894736842,0.42857142857142855,0.2,1.0,0.4498333333333333,0.17543859649122806,3.0,,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.5,0.375,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
1630-1718-200765-201611-2067,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Henry Walker, Eddie House","Moore, Pierce, Rondo, Walker, House",1630-1718-200765-201611-2067,BOS,240.0,2,4.0,1.0,9.0,9.0,7.0,7.0,18.0,2.0,3.0,2.0,3.0,,,,,2.0,4.0,,,6.0,10.0,9.0,2.0,4.0,,,5.0,9.0,2.0,,,,,1.0,,2.0,3.0,3.0,4.0,,,,,2.0,,2.0,1.0,2.0,5.0,8.0,,2.0,,,,,9.0,9.0,7.0,,,,,0.5,0.5,0.5,0.5,0.625,0.6428571428571429,,,1.0,1.0,,108.0,,10.444444444444445,16.22222222222222,10.333333333333334,16.11111111111111,0.75,0.6666666666666666,0.6666666666666666,,,,,0.75,0.6666666666666666,,,0.75,,0.4437,0.4437,0.3333333333333333,0.3333333333333333,0.9,,0.7777777777777778,,,,,1.0,,,,,2.0,,1.0,,,,,,,2.0,,,,0.5,0.5,,,,,1.0,,,,,,0.25,,,,,,,,,,5.575,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,0.5,1.0,1.0,1.0,,1.0,,0.5,,,,0.1,,1.0,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
1630-1718-200765-201611-2570,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Henry Walker, Kendrick Perkins","Moore, Pierce, Rondo, Walker, Perkins",1630-1718-200765-201611-2570,BOS,31.0,1,1.0,2.0,2.0,1.0,2.0,,3.0,,,,,,,,,,1.0,,,2.0,2.0,,,1.0,,,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,2.0,2.0,2.0,,,,,,,,,0.5,0.5,,,,,,139.3548387096774,,9.0,13.0,9.0,13.0,,,,,,,,,,,,,,0.402,0.402,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
1630-1718-200765-201611-950,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Henry Walker, Stephon Marbury","Moore, Pierce, Rondo, Walker, Marbury",1630-1718-200765-201611-950,BOS,55.0,1,1.0,3.0,1.0,2.0,1.0,,3.0,,,,,,,,,1.0,1.0,,,1.0,3.0,,1.0,1.0,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,3.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,0.75,0.75,,,,,,78.54545454545455,,26.0,14.5,26.0,14.5,,,,,,,,,,,,,,0.3932,0.3932,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
1630-1718-200765-201611-951,1610612738,"Mikki Moore, Paul Pierce, Rajon Rondo, Henry Walker, Ray Allen","Moore, Pierce, Rondo, Walker, Allen",1630-1718-200765-201611-951,BOS,102.0,1,2.0,-3.0,3.0,4.0,3.0,2.0,7.0,,,,,,,,,,1.0,,,4.0,4.0,7.0,,1.0,,,4.0,4.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,2.0,2.0,4.0,,1.0,,,,,4.0,4.0,3.0,,,,,,,,,0.6666666666666666,0.6666666666666666,,,1.0,1.0,,98.82352941176471,,19.333333333333332,11.0,19.333333333333332,11.0,,,,,,,,,,,,,,0.409,0.409,0.5,0.5,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2009,2008-09,True
