EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,FTDefRebounds,DefRebounds,Rebounds,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,FtPoints,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceFtPoints,ShortMidRangeAssists,OffThreePtRebounds,Loose Ball Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,StepOutOfBoundsTurnovers,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,BlockedAtRim,BlockedLongMidRange,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,Technical Free Throw Trips,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,2pt And 1 Free Throw Trips,OffensiveGoaltends,SelfOReb,SelfORebPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,HeaveAttempts,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,3SecondViolations,team_id,year,season,team_vs
101107-1710-200780-201238-2746,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Mario West, Josh Smith","Williams, Bibby, Jones, West, Smith",101107-1710-200780-201238-2746,ATL,24.0,1,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120.0,20.0,4.0,20.0,4.0,1.0,1.0,1.0,0.2805,0.2805,1.0,16.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
101107-1710-201143-2207-2436,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Joe Johnson, Flip Murray","Williams, Bibby, Horford, Johnson, Murray",101107-1710-201143-2207-2436,ATL,230.0,2,4.0,4.0,6.0,2.0,,10.0,3.0,4.0,3.0,4.0,9.0,1.0,1.0,4.0,6.0,,2.0,3.0,7.0,4.0,2.0,0.75,1.0,0.75,1.0,0.75,1.0,,62.608695652173914,31.5,17.333333333333332,26.25,17.333333333333332,1.0,0.75,0.75,0.37895,0.4027,0.4444444444444444,18.75,0.5,4.0,1.0,3.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.343,0.3333333333333333,0.3333333333333333,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
101107-1710-201143-2207-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Joe Johnson, Josh Smith","Williams, Bibby, Horford, Johnson, Smith",101107-1710-201143-2207-2746,ATL,2124.0,4,-7.0,63.0,67.0,3.0,11.0,130.0,6.0,15.0,17.0,37.0,59.0,2.0,3.0,4.0,18.0,1.0,24.0,30.0,50.0,4.0,3.0,0.4594594594594595,0.6666666666666666,0.49,0.6666666666666666,0.5267857142857143,0.6666666666666666,1.0,88.13559322033899,17.571428571428573,15.17910447761194,17.206349206349206,14.82089552238806,0.3,0.4,0.4,0.5138320000000001,0.5669333333333334,0.06779661016949153,9.248648648648649,0.047619047619047616,35.0,6.0,10.0,66.0,3.0,4.0,9.0,,5.0,5.0,18.0,6.0,4.0,14.0,12.0,12.0,6.0,0.75,0.9,0.9,0.8571428571428571,0.25,0.625,0.7931034482758621,0.17857142857142858,0.2222222222222222,0.9230769230769231,0.6666666666666666,0.5614899999999999,0.10714285714285714,0.13953488372093023,0.15254237288135594,10.0,14.0,3.0,3.0,2.0,2.0,1.0,8.0,2.0,4.0,1.0,1.0,3.0,9.0,5.0,13.0,1.0,1.0,16.0,12.0,3.0,4.0,9.0,3.0,2.0,8.0,4.0,12.0,2.0,2.0,5.0,3.0,28.0,1.0,9.0,3.0,6.0,6.0,2.0,5.0,7.0,1.0,1.0,13.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,0.47058823529411764,0.5333333333333333,0.8,0.38461538461538464,1.0,0.38461538461538464,0.26,0.05405405405405406,0.07142857142857142,0.125,0.46153846153846156,0.5,0.25,0.2857142857142857,0.6666666666666666,0.8,0.6,0.6666666666666666,0.28,0.7142857142857143,0.7692307692307693,0.5,0.16,0.125,0.14285714285714285,0.5,0.08,0.5,0.5,1.0,0.18,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6,1.0,0.3333333333333333,0.2,1.0,1.0,0.6666666666666666,1.0,0.54,0.3333333333333333,24.49230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
101107-1710-201143-2230-2436,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Maurice Evans, Flip Murray","Williams, Bibby, Horford, Evans, Murray",101107-1710-201143-2230-2436,ATL,26.0,1,3.0,1.0,,,,1.0,,,,,3.0,,,,,,,,3.0,,,,,1.5,,1.5,,,55.38461538461538,19.0,,19.0,,,,,0.5742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,3.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
101107-1710-201143-2230-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Maurice Evans, Josh Smith","Williams, Bibby, Horford, Evans, Smith",101107-1710-201143-2230-2746,ATL,457.0,2,4.0,15.0,13.0,,,28.0,4.0,5.0,7.0,9.0,19.0,,,,6.0,2.0,4.0,6.0,17.0,,,0.7777777777777778,,0.6538461538461539,,0.6785714285714286,,1.0,88.22757111597375,18.133333333333333,14.23076923076923,16.133333333333333,14.23076923076923,0.38461538461538464,0.8,0.8,0.483,,,11.622222222222222,,8.0,2.0,2.0,15.0,,1.0,2.0,,,1.0,1.0,2.0,3.0,6.0,3.0,2.0,1.0,,,0.5,0.5,,1.0,0.6666666666666666,0.4,,1.0,1.0,,0.07142857142857142,0.1,0.10526315789473684,2.0,3.0,,,,,1.0,1.0,,1.0,,,1.0,3.0,1.0,4.0,,,8.0,3.0,,,3.0,1.0,1.0,4.0,1.0,5.0,1.0,,,3.0,11.0,,2.0,2.0,,2.0,,1.0,1.0,1.0,,3.0,,,,1.0,,,,,,,,,0.5714285714285714,0.5714285714285714,1.0,0.25,,0.25,0.3076923076923077,0.1111111111111111,0.3333333333333333,,0.6666666666666666,,,,,,,,0.23076923076923078,0.6666666666666666,1.0,,0.07692307692307693,1.0,1.0,0.75,0.07692307692307693,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.5384615384615384,0.3333333333333333,24.8,2.0,1.0,2.0,1.0,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
101107-1710-201143-2436-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Flip Murray, Zaza Pachulia","Williams, Bibby, Horford, Murray, Pachulia",101107-1710-201143-2436-2585,ATL,134.0,1,1.0,4.0,5.0,,,9.0,1.0,2.0,1.0,2.0,8.0,,,,2.0,1.0,1.0,2.0,5.0,,,0.5,,1.0,,1.0,,1.0,96.71641791044776,17.25,13.0,15.75,12.4,0.5,0.5,0.5,0.50145,,,19.65,,2.0,1.0,,7.0,,,3.0,,1.0,,,1.0,1.0,1.0,1.0,,,,1.5,1.5,,1.0,,,1.0,1.0,,,0.63225,,,0.375,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,,6.0,,,2.0,2.0,,,2.0,2.0,2.0,,,,6.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,0.5,1.0,24.95,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
101107-1710-201143-2436-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Flip Murray, Josh Smith","Williams, Bibby, Horford, Murray, Smith",101107-1710-201143-2436-2746,ATL,16.0,1,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,180.0,5.0,11.0,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
101107-1710-2207-2436-2585,1610612737,"Marvin Williams, Mike Bibby, Joe Johnson, Flip Murray, Zaza Pachulia","Williams, Bibby, Johnson, Murray, Pachulia",101107-1710-2207-2436-2585,ATL,359.0,1,-8.0,11.0,11.0,8.0,4.0,22.0,,1.0,2.0,4.0,9.0,1.0,3.0,7.0,2.0,1.0,4.0,4.0,9.0,7.0,8.0,0.5,0.3333333333333333,0.5,0.5,0.5625,0.5833333333333334,1.0,88.24512534818942,19.0,13.636363636363637,19.0,12.272727272727273,0.14285714285714285,,,0.47030714285714287,0.44026,0.7777777777777778,6.725,0.7272727272727273,6.0,,2.0,17.0,,,,2.0,,1.0,2.0,,2.0,3.0,1.0,2.0,1.0,,,,0.4,,1.0,0.5,,,0.5,,,0.125,0.2,,2.0,2.0,,,1.0,1.0,,1.0,,1.0,,,1.0,2.0,1.0,3.0,,,2.0,,3.0,,2.0,1.0,,1.0,,1.0,,,1.0,,2.0,,,,,3.0,,2.0,1.0,1.0,,4.0,,3.0,,,,2.0,,2.0,1.0,,,,0.5,0.5,,0.3333333333333333,,0.3333333333333333,0.42857142857142855,,,,0.75,,,,,,1.0,0.5,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,,,,0.14285714285714285,,,,0.2857142857142857,0.5,0.5,,,,,,,,0.2,1.0,0.7142857142857143,0.5,25.833333333333332,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
101107-1710-2207-2585-2746,1610612737,"Marvin Williams, Mike Bibby, Joe Johnson, Zaza Pachulia, Josh Smith","Williams, Bibby, Johnson, Pachulia, Smith",101107-1710-2207-2585-2746,ATL,316.0,4,4.0,12.0,9.0,8.0,5.0,21.0,3.0,4.0,3.0,8.0,12.0,2.0,6.0,9.0,6.0,1.0,5.0,9.0,10.0,9.0,8.0,0.375,0.3333333333333333,0.45,0.4375,0.46153846153846156,0.45,1.0,95.69620253164557,14.916666666666666,15.222222222222221,12.75,15.0,0.4,0.75,0.75,0.47424,0.493575,0.75,8.95,0.6666666666666666,5.0,3.0,3.0,8.0,1.0,3.0,2.0,2.0,3.0,,4.0,4.0,3.0,5.0,3.0,7.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6,,0.8,0.6666666666666666,1.0,1.0,,0.5140666666666667,0.23076923076923078,0.2727272727272727,0.16666666666666666,,4.0,,2.0,,3.0,,,1.0,2.0,,,,,1.0,2.0,,,,3.0,,,,,1.0,,1.0,1.0,,1.0,,,3.0,,1.0,1.0,,2.0,,2.0,1.0,,,3.0,1.0,2.0,,1.0,,,,,,,,1.0,,,1.0,0.5,,0.5,0.2,0.125,0.25,,0.6666666666666666,,0.5,,1.0,1.0,,,0.4,,,,,,,,0.2,0.5,0.5,1.0,,,,,0.6666666666666666,,,,,,0.375,,0.6,,22.9,,,1.0,,1.0,,,,,,,,,,,1.0,2.0,,,0.5,,,1.0,2.0,1.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
101107-1710-2230-2585-2746,1610612737,"Marvin Williams, Mike Bibby, Maurice Evans, Zaza Pachulia, Josh Smith","Williams, Bibby, Evans, Pachulia, Smith",101107-1710-2230-2585-2746,ATL,71.0,1,,2.0,2.0,2.0,,4.0,,,,1.0,,,1.0,,,,2.0,2.0,,,2.0,,,,,,,,81.12676056338029,20.5,15.0,20.5,15.0,,,,0.5029,0.5029,,10.2,1.0,1.0,,,,,,,,,,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,0.5,,25.2,,,,,,,,,,,,,,,1.0,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,True
