EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,FG3APct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,FG2M,FG2A,FG3M,Points,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,Fouls,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeFGA,LongMidRangeFGA,PenaltyArc3FGM,FtPoints,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,ShootingFouls,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,PenaltyArc3Accuracy,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,FTOffRebounds,OffRebounds,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceFtPoints,SelfOReb,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,OffLongMidRangeReboundPct,SelfORebPct,LongMidRangeAssists,3SecondViolations,LongMidRangePctAssisted,HeaveAttempts,LongMidRangePctBlocked,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,BadPassSteals,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,Loose Ball Fouls,DefCorner3ReboundPct,Loose Ball Fouls Drawn,DefensiveGoaltends,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceFG3M,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsPutbacks,HeaveMakes,PtsUnassisted3s,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101162-1499-1533-1747-2554,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Rafer Alston, Mickael Pietrus","Gortat, Battie, Johnson, Alston, Pietrus",101162-1499-1533-1747-2554,ORL,76.0,1,1.0,-4.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,113.6842105263158,10.0,15.333333333333334,10.0,15.333333333333334,1.0,1.0,1.0,0.4623,0.4623,25.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
101162-1499-1533-200755-2045,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, JJ Redick, Hedo Turkoglu","Gortat, Battie, Johnson, Redick, Turkoglu",101162-1499-1533-200755-2045,ORL,217.0,1,4.0,3.0,7.0,8.0,,,15.0,2.0,,3.0,5.0,,2.0,1.0,1.0,1.0,,,0.5,1.0,99.53917050691244,15.285714285714286,13.75,15.285714285714286,13.75,0.3333333333333333,,1.0,0.5474833333333333,,24.233333333333334,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,8.0,2.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
101162-1499-1533-200978-2554,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Jeremy Richardson, Mickael Pietrus","Gortat, Battie, Johnson, Richardson, Pietrus",101162-1499-1533-200978-2554,ORL,146.0,1,2.0,-1.0,4.0,5.0,4.0,5.0,9.0,1.0,1.0,1.0,6.0,1.0,1.0,,,,,4.0,0.3333333333333333,,88.76712328767124,19.25,13.8,19.25,12.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3779166666666667,0.3779166666666667,24.8,1.0,,,,,1.0,,2.0,1.0,5.0,,3.0,1.0,,1.0,1.0,1.0,,,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,5.0,,,1.0,1.0,1.0,,0.5,0.625,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,0.5,0.625,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
101162-1499-1533-201584-2045,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Courtney Lee, Hedo Turkoglu","Gortat, Battie, Johnson, Lee, Turkoglu",101162-1499-1533-201584-2045,ORL,290.0,3,5.0,-1.0,11.0,9.0,3.0,3.0,20.0,,,,11.0,,,,,,,3.0,,,99.3103448275862,12.272727272727273,17.22222222222222,10.454545454545455,14.555555555555555,,,0.4166666666666667,0.51785,0.39126666666666665,,0.2727272727272727,2.0,5.0,,,,4.0,12.0,,10.0,4.0,,,2.0,,2.0,,,2.0,4.0,,3.0,3.0,5.0,1.0,1.0,2.0,1.0,,8.0,0.5,0.5,,,,0.3333333333333333,0.3333333333333333,0.375,0.6,,0.6,0.5,,,0.4166666666666667,0.4,0.5,1.0,,,,,,,,,4.0,3.0,,2.0,3.0,,2.0,4.0,,1.0,2.0,,4.0,,,,0.3333333333333333,0.5,,0.3333333333333333,0.25,,0.4,8.558333333333334,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,0.3333333333333333,0.5,0.5,0.25,0.2,0.5,1.0,0.125,0.125,0.3333333333333333,1.0,1.0,0.25,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.55925,0.08333333333333333,0.08333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
101162-1499-1533-201584-2554,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Courtney Lee, Mickael Pietrus","Gortat, Battie, Johnson, Lee, Pietrus",101162-1499-1533-201584-2554,ORL,163.0,1,3.0,,4.0,4.0,,,8.0,1.0,,2.0,4.0,,1.0,,,,,,0.5,,70.67484662576686,21.25,19.5,21.25,19.5,0.25,,0.75,0.5367125,,24.6,,,1.0,,1.0,1.0,,2.0,1.0,4.0,,3.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,2.0,2.0,,,,2.0,,4.0,,,1.0,0.5,0.5,,0.375,0.4,1.0,1.0,1.0,1.0,,1.0,0.25,,,,0.25,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,0.25,,,8.35,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
101162-1499-1533-2045-2554,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Hedo Turkoglu, Mickael Pietrus","Gortat, Battie, Johnson, Turkoglu, Pietrus",101162-1499-1533-2045-2554,ORL,399.0,1,7.0,4.0,14.0,14.0,,,28.0,1.0,,2.0,12.0,,1.0,1.0,,3.0,,,0.2,0.3333333333333333,101.05263157894737,13.214285714285714,15.285714285714286,13.071428571428571,15.285714285714286,0.1,,0.6,0.50889,,25.15,,2.0,4.0,1.0,1.0,1.0,2.0,8.0,2.0,16.0,2.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,,5.0,5.0,7.0,,,4.0,6.0,1.0,14.0,0.5,0.5,1.0,1.0,1.0,0.25,0.5,0.6153846153846154,1.0,,1.0,1.0,1.0,,0.4,0.5,0.5,0.5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,6.0,,,,,,3.0,7.0,,,,,,,,,0.2,0.2,,,6.9125,2.0,,,,,,,2.0,,2.0,,2.0,,2.0,1.0,,4.0,,,,,,,,,1.0,,,,,0.3333333333333333,0.3333333333333333,0.5,1.0,,,,,,,,,,0.3076923076923077,0.36363636363636365,0.125,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
101162-1499-1740-200755-2749,1610612753,"Marcin Gortat, Tony Battie, Rashard Lewis, JJ Redick, Jameer Nelson","Gortat, Battie, Lewis, Redick, Nelson",101162-1499-1740-200755-2749,ORL,239.0,1,4.0,3.0,8.0,7.0,,,15.0,1.0,,2.0,6.0,,1.0,,,1.0,,,0.2857142857142857,,90.3765690376569,14.875,17.142857142857142,14.875,16.428571428571427,0.14285714285714285,,0.2857142857142857,0.45745714285714284,,23.55,,,,,1.0,,4.0,5.0,,9.0,4.0,,,2.0,,2.0,,,,4.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,9.0,0.5,0.5,,,,0.8,0.5714285714285714,0.6428571428571429,0.4,,0.4,,0.5,,,,,,0.14285714285714285,,,,,,,,2.0,3.0,,1.0,,,,,,,1.0,,,,,,,,,0.2857142857142857,0.42857142857142855,,,14.5,,,,1.0,3.0,,,,,4.0,,,,,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,0.5,0.5,0.5,0.5,1.0,1.0,,,,,0.14285714285714285,0.2,,,,,1.0,,,,,,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
101162-1499-1740-2554-2730,1610612753,"Marcin Gortat, Tony Battie, Rashard Lewis, Mickael Pietrus, Dwight Howard","Gortat, Battie, Lewis, Pietrus, Howard",101162-1499-1740-2554-2730,ORL,1.0,1,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,2880.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,1.0,,2.0,1.0,2.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
101162-1499-1747-200755-2045,1610612753,"Marcin Gortat, Tony Battie, Rafer Alston, JJ Redick, Hedo Turkoglu","Gortat, Battie, Alston, Redick, Turkoglu",101162-1499-1747-200755-2045,ORL,15.0,1,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,96.0,15.0,,15.0,,1.0,1.0,1.0,0.2805,0.2805,25.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
101162-1499-1747-200755-2554,1610612753,"Marcin Gortat, Tony Battie, Rafer Alston, JJ Redick, Mickael Pietrus","Gortat, Battie, Alston, Redick, Pietrus",101162-1499-1747-200755-2554,ORL,58.0,1,1.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,,1.0,,,,,,2.0,0.3333333333333333,,99.3103448275862,15.5,13.5,15.5,13.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3448,0.3448,55.0,1.0,,,,,,2.0,2.0,,4.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,4.0,,,,,,1.0,0.6666666666666666,0.6666666666666666,1.0,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,2.0,,,4.0,,,,,4.0,,,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,1.0,9.2,,,,2.0,,,,,2.0,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,True
