EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyPointsPct,PenaltyOffPossPct,Minutes,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,FG3APct,LiveBallTurnoverPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PlusMinus,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,ShootingFouls,Fouls,Fg2Pct,PenaltyFg2Pct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg2ptShotDistance,PenaltyDefPoss,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,DefThreePtRebounds,Steals,LostBallSteals,3SecondViolations,DefThreePtReboundPct,DefArc3ReboundPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,OffRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,FTDefRebounds,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg3Pct,DefFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,FTOffRebounds,OffFTReboundPct,SelfOReb,OffCorner3ReboundPct,SelfORebPct,SecondChanceArc3FGM,SecondChanceArc3FGA,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,BlockedShortMidRange,ShortMidRangePctBlocked,ShortMidRangeAssists,ShortMidRangePctAssisted,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Loose Ball Fouls Drawn,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,OffensiveGoaltends,Offensive Fouls Drawn,Offensive Fouls,PtsUnassisted3s,HeaveAttempts,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Clear Path Fouls,HeaveMakes,Blocked3s,BlockedArc3,BlockedCorner3,3pt And 1 Free Throw Trips,Arc3PctBlocked,team_id,year,season,team_vs
101110-200750-200771-2038-2566,1610612757,"Martell Webster, Brandon Roy, Sergio Rodriguez, Joel Przybilla, Travis Outlaw","Webster, Roy, Rodriguez, Przybilla, Outlaw",101110-200750-200771-2038-2566,POR,26.0,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,110.76923076923076,11.0,15.0,11.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101110-200750-2038-2566-2581,1610612757,"Martell Webster, Brandon Roy, Joel Przybilla, Travis Outlaw, Steve Blake","Webster, Roy, Przybilla, Outlaw, Blake",101110-200750-2038-2566-2581,POR,59.0,1,3.0,2.0,3.0,5.0,2.0,5.0,5.0,2.0,5.0,1.0,2.0,1.0,5.0,5.0,3.0,1.0,1.25,1.25,122.03389830508475,15.0,7.0,15.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64485,0.64485,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101110-200771-201164-2038-2566,1610612757,"Martell Webster, Sergio Rodriguez, Rudy Fernandez, Joel Przybilla, Travis Outlaw","Webster, Rodriguez, Fernandez, Przybilla, Outlaw",101110-200771-201164-2038-2566,POR,230.0,1,8.0,8.0,5.0,16.0,,5.0,11.0,,5.0,1.0,,,5.0,5.0,5.0,,0.5,0.8333333333333334,100.17391304347825,14.625,14.125,14.625,14.125,1.0,0.625,4.0,,,,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,,3.0,2.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,0.8333333333333334,0.4,0.6666666666666666,,,,,,,0.4,0.45194999999999996,0.5027166666666667,25.2,-6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.4,0.4,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15.866666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-101113-101183-200771-201573,1610612757,"Channing Frye, Ike Diogu, Shavlik Randolph, Sergio Rodriguez, Jerryd Bayless","Frye, Diogu, Randolph, Rodriguez, Bayless",101112-101113-101183-200771-201573,POR,57.0,1,2.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,,4.0,4.0,2.0,,1.0,1.0,75.78947368421053,11.5,34.0,11.5,27.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,0.3742,0.3742,,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,20.3,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-101113-101183-200771-201587,1610612757,"Channing Frye, Ike Diogu, Shavlik Randolph, Sergio Rodriguez, Nicolas Batum","Frye, Diogu, Randolph, Rodriguez, Batum",101112-101113-101183-200771-201587,POR,38.0,1,2.0,2.0,2.0,4.0,,,4.0,,,,,,,,2.0,,,,151.57894736842107,13.5,5.5,13.5,5.5,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,0.4234,0.4234,,-4.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,22.5,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-101113-101183-201573-201587,1610612757,"Channing Frye, Ike Diogu, Shavlik Randolph, Jerryd Bayless, Nicolas Batum","Frye, Diogu, Randolph, Bayless, Batum",101112-101113-101183-201573-201587,POR,85.0,1,3.0,3.0,3.0,6.0,,2.0,6.0,,2.0,,,,2.0,2.0,3.0,,0.5,0.5,101.6470588235294,18.666666666666668,9.666666666666666,18.666666666666668,9.666666666666666,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,1.0,0.5637,0.5637,26.0,-4.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.5,,,,0.5,,,,3.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-101113-200750-2566-2581,1610612757,"Channing Frye, Ike Diogu, Brandon Roy, Travis Outlaw, Steve Blake","Frye, Diogu, Roy, Outlaw, Blake",101112-101113-200750-2566-2581,POR,11.0,1,,1.0,,1.0,,,2.0,,,,,,,,,,,,130.9090909090909,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-101113-200771-201164-201573,1610612757,"Channing Frye, Ike Diogu, Sergio Rodriguez, Rudy Fernandez, Jerryd Bayless","Frye, Diogu, Rodriguez, Fernandez, Bayless",101112-101113-200771-201164-201573,POR,22.0,1,,1.0,,1.0,,,2.0,,,,,,,,,,,,65.45454545454545,,22.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-101113-200771-201164-201587,1610612757,"Channing Frye, Ike Diogu, Sergio Rodriguez, Rudy Fernandez, Nicolas Batum","Frye, Diogu, Rodriguez, Fernandez, Batum",101112-101113-200771-201164-201587,POR,6.0,1,,1.0,,1.0,,,2.0,,,,,,,,,,,,240.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-101113-200771-201164-2566,1610612757,"Channing Frye, Ike Diogu, Sergio Rodriguez, Rudy Fernandez, Travis Outlaw","Frye, Diogu, Rodriguez, Fernandez, Outlaw",101112-101113-200771-201164-2566,POR,248.0,1,7.0,7.0,,14.0,1.0,7.0,7.0,,,1.0,2.0,,7.0,,,,0.5833333333333334,,81.29032258064515,14.285714285714286,21.142857142857142,14.285714285714286,20.571428571428573,,,4.0,,,,,,1.0,,,,,2.0,,4.0,,,1.0,,,,,,0.6,,0.2,,,,,,,,0.2,0.45917,,24.7,,,,4.0,,1.0,,,3.0,4.0,,,2.0,1.0,,,1.0,2.0,2.0,1.0,,,1.0,2.0,0.75,,0.5,0.6666666666666666,,,1.0,,,,0.8,0.2,,,,,,,18.35,,3.0,4.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.16666666666666666,0.2,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
