EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFG2M,PtsUnassisted2s,PenaltyFg2Pct,Arc3FGA,NonHeaveArc3FGA,Fg2aBlocked,Technical Free Throw Trips,FG2APctBlocked,ShortMidRangePctBlocked,Arc3Frequency,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,LongMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,SelfOReb,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,PenaltyAtRimFGA,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,AtRimPctBlocked,LiveBallTurnoverPct,PenaltyAtRimFrequency,PenaltyAtRimFGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,BadPassTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,OffShortMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,ShortMidRangeAssists,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Assists,Loose Ball Fouls Drawn,BlockedShortMidRange,Arc3PctAssisted,FTDefRebounds,DefFTReboundPct,Loose Ball Fouls,BadPassOutOfBoundsTurnovers,Travels,DefensiveGoaltends,3SecondViolations,HeaveAttempts,Offensive Fouls,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,Fg3aBlocked,StepOutOfBoundsTurnovers,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,HeaveMakes,OffensiveGoaltends,Corner3PctBlocked,Blocked3s,BlockedCorner3,BlockedArc3,team_id,year,season,team_vs
101120-101123-101138-101189-200826,1610612742,"Antoine Wright, Gerald Green, Brandon Bass, James Singleton, J.J. Barea","Wright, Green, Bass, Singleton, Barea",101120-101123-101138-101189-200826,DAL,264.0,2,4.0,5.0,7.0,6.0,3.0,1.0,2.0,13.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,1.0,3.0,9.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,9.0,3.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.375,0.5,0.375,0.3333333333333333,1.0,0.3333333333333333,0.5,0.6666666666666666,0.4,0.5,0.5,1.0,1.0,70.9090909090909,18.142857142857142,22.833333333333332,14.0,21.166666666666668,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,0.4444444444444444,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.75,0.3333333333333333,0.4444444444444444,0.42117777777777776,0.3295,0.489575,0.3333333333333333,16.016666666666666,23.066666666666666,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101138-101189-2679,1610612742,"Antoine Wright, Gerald Green, Brandon Bass, James Singleton, Matt Carroll","Wright, Green, Bass, Singleton, Carroll",101120-101123-101138-101189-2679,DAL,30.0,1,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.5,,,,,,,,,,,,96.0,12.0,18.0,12.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101138-1891-200826,1610612742,"Antoine Wright, Gerald Green, Brandon Bass, Jason Terry, J.J. Barea","Wright, Green, Bass, Terry, Barea",101120-101123-101138-1891-200826,DAL,3.0,1,,3.0,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,,,,,,,,,,0.75,0.75,,,,,,,,,,,960.0,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,3.0,2.0,4.0,,,,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101138-1904-200826,1610612742,"Antoine Wright, Gerald Green, Brandon Bass, Devean George, J.J. Barea","Wright, Green, Bass, George, Barea",101120-101123-101138-1904-200826,DAL,21.0,1,,,1.0,1.0,1.0,,,2.0,,,,1.0,1.0,,,,,,1.0,1.0,,,2.0,2.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,137.14285714285714,16.0,5.0,16.0,5.0,,,,,,1.0,1.0,1.0,,,,,,,,,,0.3257,,0.3257,1.0,18.1,,1.0,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101138-200797-200826,1610612742,"Antoine Wright, Gerald Green, Brandon Bass, Ryan Hollins, J.J. Barea","Wright, Green, Bass, Hollins, Barea",101120-101123-101138-200797-200826,DAL,126.0,1,2.0,-4.0,4.0,3.0,,,,7.0,,,1.0,,,,,,,,,1.0,,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.75,,,,,,,,,,80.0,19.5,16.0,19.5,14.0,,,,,0.25,,,,,,,,,,,,0.75,0.5256375,,,,5.1,25.099999999999998,,1.0,,1.0,,,,,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101138-200826-956,1610612742,"Antoine Wright, Gerald Green, Brandon Bass, J.J. Barea, Erick Dampier","Wright, Green, Bass, Barea, Dampier",101120-101123-101138-200826-956,DAL,42.0,1,1.0,1.0,2.0,1.0,,,,3.0,,,,,1.0,,,,,,,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,1.0,,0.75,,0.75,,0.5,,,,,,,,,,102.85714285714286,11.5,19.0,11.5,19.0,,,,,,0.5,,,,,,,,,,,0.5,0.407125,,,,19.9,25.7,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,0.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101138-2205-467,1610612742,"Antoine Wright, Gerald Green, Brandon Bass, DeSagana Diop, Jason Kidd","Wright, Green, Bass, Diop, Kidd",101120-101123-101138-2205-467,DAL,193.0,1,3.0,6.0,6.0,6.0,,,2.0,12.0,3.0,4.0,,1.0,1.0,1.0,1.0,,,,4.0,5.0,1.0,2.0,11.0,5.0,2.0,,,,,,4.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,1.0,7.0,,,0.5,0.6666666666666666,1.0,0.5,,0.5,0.8,0.7857142857142857,,0.7857142857142857,,0.2857142857142857,0.5,1.0,1.0,0.5,1.0,,,,1.0,89.53367875647668,15.666666666666666,16.5,14.666666666666666,16.333333333333332,0.5714285714285714,0.75,0.75,0.3333333333333333,,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,,,,0.8571428571428571,0.5699500000000001,0.5722,,,4.32,23.7,,,,,,,,,,,,4.0,,1.0,1.0,,,,,0.14285714285714285,,,,,,,,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101189-1717-467,1610612742,"Antoine Wright, Gerald Green, James Singleton, Dirk Nowitzki, Jason Kidd","Wright, Green, Singleton, Nowitzki, Kidd",101120-101123-101189-1717-467,DAL,74.0,2,1.0,-2.0,4.0,3.0,4.0,3.0,1.0,7.0,,4.0,,,1.0,,,,,,,5.0,,,,2.0,3.0,,5.0,,,,,,,,,,,,,,3.0,2.0,2.0,3.0,5.0,,,,,,4.0,,,,,,,,,,,,,1.0,0.6,,1.0,0.6,,,1.0,,136.2162162162162,9.0,12.666666666666666,8.0,12.666666666666666,0.8,,,,,0.2,,,,,,,,,,,0.8,0.5530999999999999,0.6076666666666667,0.5530999999999999,,3.84,,1.0,,,,,,,,,,,,,,,2.0,,0.4,,,,,,1.0,,,,,3.0,,,,1.0,,,,1.0,,,,,0.75,,0.3333333333333333,1.0,,,,4.0,1.0,1.0,1.0,0.25,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101189-200797-200826,1610612742,"Antoine Wright, Gerald Green, James Singleton, Ryan Hollins, J.J. Barea","Wright, Green, Singleton, Hollins, Barea",101120-101123-101189-200797-200826,DAL,47.0,1,1.0,2.0,2.0,1.0,,,1.0,3.0,1.0,2.0,,,1.0,,,,,,1.0,3.0,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,0.5,,,0.5,,,,,91.91489361702128,16.0,15.0,16.0,15.0,0.6666666666666666,0.5,0.5,,,0.3333333333333333,,,,,,,,,,,0.6666666666666666,0.5283333333333333,0.5166,,,7.466666666666666,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101189-200797-2679,1610612742,"Antoine Wright, Gerald Green, James Singleton, Ryan Hollins, Matt Carroll","Wright, Green, Singleton, Hollins, Carroll",101120-101123-101189-200797-2679,DAL,349.0,1,6.0,8.0,12.0,12.0,7.0,5.0,4.0,24.0,5.0,5.0,1.0,,1.0,,2.0,1.0,,2.0,5.0,7.0,2.0,6.0,22.0,14.0,3.0,2.0,6.0,1.0,3.0,15.0,4.0,,2.0,,2.0,,2.0,,4.0,4.0,2.0,1.0,1.0,6.0,7.0,2.0,2.0,3.0,15.0,15.0,7.0,0.4,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6153846153846154,0.6111111111111112,0.6875,0.6818181818181818,0.46153846153846156,0.5,1.0,1.0,0.5,1.0,1.0,1.0,,,99.02578796561605,12.0,17.083333333333332,10.25,17.083333333333332,0.38461538461538464,1.0,1.0,0.4,0.07692307692307693,0.07692307692307693,,,,0.15384615384615385,,,,0.2,0.2222222222222222,,0.8461538461538461,0.5925076923076923,0.4793,0.5673888888888888,0.6818181818181818,4.085714285714286,23.650000000000002,0.5833333333333334,6.0,5.0,7.0,,0.25,,4.0,,,4.0,6.0,0.6666666666666666,4.0,4.0,,,,,0.3076923076923077,2.0,6.0,2.0,,0.5,0.5,0.5,3.0,3.0,3.0,7.0,4.0,1.0,,,,2.0,2.0,1.0,0.6,0.7,,1.0,0.16666666666666666,0.6,1.0,0.3333333333333333,0.3181818181818182,4.0,2.0,,,,1.0,0.4444444444444444,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.2,1.0,0.1111111111111111,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
