EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,LostBallSteals,LostBallTurnovers,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,SelfOReb,Loose Ball Fouls,Defensive 3 Seconds Violations,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,NonHeaveArc3Accuracy,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,BadPassSteals,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedShortMidRange,PenaltyFg2Pct,PenaltyEfgPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PtsUnassisted3s,BlockedLongMidRange,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceTurnovers,LongMidRangePctBlocked,OffArc3ReboundPct,NonShootingPenaltyNonTakeFouls,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,SecondChanceAtRimPctAssisted,DefensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Arc3PctBlocked,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,HeaveMakes,BlockedArc3,OffensiveGoaltends,team_id,year,season,team_vs
101131-101161-101165-101198-200835,1610612765,"Jason Maxiell, Amir Johnson, Alex Acker, Will Bynum, Walter Herrmann","Maxiell, Johnson, Acker, Bynum, Herrmann",101131-101161-101165-101198-200835,DET,125.0,1,2.0,-1.0,5.0,5.0,3.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,115.19999999999999,11.6,13.4,11.6,13.4,1.0,0.3814,1.0,13.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101161-101198-1888-200835,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Richard Hamilton, Walter Herrmann","Maxiell, Johnson, Bynum, Hamilton, Herrmann",101131-101161-101198-1888-200835,DET,837.0,3,14.0,-11.0,25.0,26.0,,51.0,5.0,16.0,1.0,16.0,27.0,,,4.0,6.0,11.0,13.0,2.0,,3.0,1.0,5.0,,4.0,5.0,1.0,6.0,,4.0,,14.0,,,,0.36363636363636365,,0.4,0.5,0.6666666666666666,0.5555555555555556,1.0,0.75,87.74193548387098,18.52,14.384615384615385,18.12,12.192307692307692,0.25,0.45123749999999996,,9.675,,2.0,3.0,5.0,1.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,6.0,1.0,4.0,1.0,2.0,2.0,6.0,6.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.5,0.6,1.0,0.25,0.25,0.375,0.5,0.375,0.5,0.5,0.2,0.1875,0.2,0.4,1.0,0.2,0.15384615384615385,0.4,0.4,0.25,0.5,0.5,0.25,0.6,0.75,0.6666666666666666,0.4,0.6666666666666666,0.5,0.3,0.16666666666666666,0.16666666666666666,0.1,0.5,0.5,1.0,0.1,1.0,0.5,0.45,0.4845,0.09090909090909091,0.1111111111111111,0.125,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101161-101198-1888-201167,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Richard Hamilton, Arron Afflalo","Maxiell, Johnson, Bynum, Hamilton, Afflalo",101131-101161-101198-1888-201167,DET,43.0,2,1.0,-3.0,1.0,1.0,,2.0,,,,,3.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,66.97674418604652,25.0,18.0,25.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101161-101198-200835-201155,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Rodney Stuckey","Maxiell, Johnson, Bynum, Herrmann, Stuckey",101131-101161-101198-200835-201155,DET,220.0,1,4.0,4.0,5.0,4.0,,9.0,1.0,3.0,,9.0,5.0,,,,2.0,3.0,5.0,,,1.0,1.0,1.0,,,2.0,,1.0,,,,6.0,,,,0.75,,,0.5,,0.4,,,58.909090909090914,21.4,28.25,17.8,19.75,0.16666666666666666,0.47080833333333333,,15.5,,1.0,,,,,,,2.0,1.0,1.0,2.0,,3.0,3.0,,1.0,3.0,,,9.0,,2.0,1.0,,3.0,3.0,1.0,,,9.0,2.0,1.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,0.75,0.75,0.75,0.5,0.3333333333333333,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,,0.6666666666666666,,,,,,,,,,0.3333333333333333,,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,,,0.5,0.520975,,,0.3333333333333333,24.766666666666666,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101161-101198-200835-201167,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Arron Afflalo","Maxiell, Johnson, Bynum, Herrmann, Afflalo",101131-101161-101198-200835-201167,DET,1682.0,9,28.0,10.0,51.0,51.0,21.0,102.0,5.0,40.0,13.0,58.0,48.0,5.0,15.0,3.0,17.0,21.0,32.0,5.0,4.0,1.0,,6.0,4.0,5.0,9.0,,14.0,,17.0,2.0,47.0,15.0,21.0,2.0,0.5277777777777778,0.35714285714285715,0.8333333333333334,0.8095238095238095,0.6,0.7692307692307693,0.75,0.6666666666666666,87.32461355529132,16.215686274509803,16.764705882352942,14.803921568627452,15.392156862745098,0.10416666666666667,0.49914791666666664,0.25862068965517243,9.897499999999999,0.4117647058823529,9.0,10.0,18.0,3.0,5.0,2.0,6.0,17.0,2.0,4.0,4.0,18.0,3.0,8.0,3.0,6.0,11.0,16.0,20.0,9.0,6.0,4.0,5.0,8.0,3.0,11.0,2.0,5.0,,25.0,8.0,1.0,11.0,5.0,4.0,1.0,1.0,8.0,3.0,2.0,3.0,1.0,0.4444444444444444,0.5333333333333333,1.0,0.375,0.375,0.45,0.5,0.46875,0.5,0.6111111111111112,0.16666666666666666,0.125,0.2777777777777778,,1.0,0.36363636363636365,0.37037037037037035,0.18181818181818182,0.3333333333333333,1.0,0.5,0.3333333333333333,0.375,0.5555555555555556,0.7692307692307693,0.5,0.4,0.4,,0.3541666666666667,0.35294117647058826,0.35294117647058826,0.08333333333333333,0.5,0.5,1.0,0.08333333333333333,0.8333333333333334,0.6,0.5416666666666666,0.5501,0.15384615384615385,0.18181818181818182,0.1896551724137931,24.55,,,,1.0,,,1.0,1.0,,2.0,,,0.3333333333333333,,0.25,0.25,1.0,,,,0.25,4.0,3.0,7.0,1.0,1.0,5.0,5.0,16.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.3125,0.2777777777777778,0.3333333333333333,0.4,0.625,1.0,0.5,0.3888888888888889,0.42857142857142855,0.05555555555555555,0.05555555555555555,0.4834861111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101161-101198-200835-201594,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Walter Sharpe","Maxiell, Johnson, Bynum, Herrmann, Sharpe",101131-101161-101198-200835-201594,DET,35.0,1,1.0,-2.0,1.0,2.0,1.0,3.0,,,,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,123.42857142857142,11.0,12.0,11.0,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101161-101198-200835-2419,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Tayshaun Prince","Maxiell, Johnson, Bynum, Herrmann, Prince",101131-101161-101198-200835-2419,DET,95.0,2,2.0,-1.0,2.0,2.0,,4.0,,2.0,,4.0,5.0,,,,,,,,,1.0,,1.0,,,,,2.0,,1.0,,4.0,,,,1.0,,,,,,,,60.631578947368425,24.5,23.0,24.5,21.0,,0.577,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,4.0,,,,,,2.0,,2.0,,2.0,,4.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,0.5,0.5,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101161-101198-200835-947,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Allen Iverson","Maxiell, Johnson, Bynum, Herrmann, Iverson",101131-101161-101198-200835-947,DET,480.0,2,8.0,-1.0,14.0,16.0,2.0,30.0,2.0,10.0,2.0,16.0,17.0,,2.0,1.0,2.0,3.0,5.0,1.0,1.0,,,1.0,,4.0,5.0,,3.0,,2.0,,16.0,2.0,2.0,,0.5333333333333333,0.5,1.0,0.5,1.0,0.6,1.0,,90.0,18.642857142857142,13.6875,18.214285714285715,12.75,0.14285714285714285,0.5347142857142857,0.125,7.38,0.14285714285714285,2.0,3.0,5.0,,2.0,1.0,,3.0,1.0,3.0,1.0,4.0,2.0,4.0,,2.0,,6.0,2.0,3.0,,1.0,,3.0,1.0,4.0,1.0,2.0,1.0,9.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,0.75,0.75,0.5,0.5,0.5,0.4,,0.5,,,0.2857142857142857,,,,,0.16666666666666666,0.25,,,0.3333333333333333,1.0,,0.35714285714285715,0.6,0.6,0.6666666666666666,0.5,0.5,1.0,0.21428571428571427,,,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.07142857142857142,1.0,,0.6428571428571429,0.5617,0.06666666666666667,0.09090909090909091,,23.675,,,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,1.0,2.0,,,1.0,,,,,,,0.5,0.5,,0.5,,0.5,,0.5,1.0,,,0.5999,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101161-101198-201155-201167,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Rodney Stuckey, Arron Afflalo","Maxiell, Johnson, Bynum, Stuckey, Afflalo",101131-101161-101198-201155-201167,DET,248.0,1,4.0,9.0,9.0,8.0,9.0,17.0,3.0,5.0,7.0,11.0,2.0,7.0,11.0,1.0,4.0,5.0,6.0,,,,,,,,,,5.0,,8.0,1.0,9.0,11.0,9.0,1.0,0.55,0.55,,1.0,1.0,1.0,1.0,,98.70967741935483,10.333333333333334,19.375,9.11111111111111,19.375,0.5,0.4091666666666667,1.0,13.52,1.0,1.0,,,,,1.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,,1.0,,1.0,,,,2.0,1.0,,1.0,,,,1.0,3.0,1.0,,1.0,,0.5,0.5,,,,0.4,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,,,,,0.3333333333333333,0.25,,,1.0,1.0,,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,0.5,,,,,0.16666666666666666,,,0.16666666666666666,0.3814,0.3333333333333333,0.375,0.18181818181818182,25.6,,,,,,,,,,,,,0.5,,,,,,,,,2.0,,,,1.0,,2.0,5.0,1.0,1.0,,,,,,,,0.4,0.3333333333333333,,,,,1.0,,,,0.16666666666666666,0.4091666666666667,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101161-101198-201155-2419,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Rodney Stuckey, Tayshaun Prince","Maxiell, Johnson, Bynum, Stuckey, Prince",101131-101161-101198-201155-2419,DET,182.0,1,3.0,5.0,8.0,7.0,,15.0,1.0,4.0,1.0,10.0,5.0,,,,4.0,4.0,4.0,2.0,2.0,,,2.0,,,,,1.0,,1.0,,10.0,,,,1.0,,1.0,1.0,,1.0,1.0,,118.68131868131869,9.375,15.285714285714286,9.375,15.285714285714286,0.2,0.56344,,7.175,,,1.0,2.0,,,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,,,6.0,,3.0,,1.0,1.0,3.0,1.0,4.0,,1.0,1.0,9.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,,0.9,,,0.2,0.25,0.5,,,,,,1.0,,,1.0,0.4,0.5,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,,,,,0.2,,,0.6,,0.2,0.25,,25.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
