EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,LostBallOutOfBoundsTurnovers,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGM,Corner3FGA,Corner3Assists,PenaltyTurnovers,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,PtsPutbacks,Travels,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyFtPoints,PtsUnassisted3s,HeaveAttempts,SelfOReb,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,OffensiveGoaltends,LongMidRangePctBlocked,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
101115-1885-200769-2575-2756,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Luke Walton, Sasha Vujacic","Bynum, Odom, Brown, Walton, Vujacic",101115-1885-200769-2575-2756,LAL,858.0,2,14.0,13.0,23.0,23.0,2.0,46,6.0,9.0,1.0,1.0,2.0,3.0,2.0,6.0,1.0,2.0,1.0,1.0,10.0,18.0,1.0,2.0,5.0,28.0,15.0,1.0,1.0,1.0,1.0,5.0,12.0,8.0,3.0,2.0,1.0,2.0,6.0,1.0,7.0,1.0,4.0,1.0,1.0,15.0,2.0,1.0,1.0,8.0,1.0,10.0,3.0,13.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,8.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,23.0,0.6,0.6,1.0,0.5,1.0,0.5,0.5555555555555556,1.0,0.575,1.25,0.6086956521739131,1.25,0.1,0.1111111111111111,0.2222222222222222,0.6666666666666666,1.0,1.0,0.7272727272727273,0.25,0.3333333333333333,0.6428571428571429,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.3333333333333333,77.2027972027972,1.0,15.26086956521739,22.043478260869566,14.521739130434783,18.91304347826087,0.45,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.15,0.6666666666666666,0.6666666666666666,0.5,0.3,0.3333333333333333,0.3333333333333333,0.5,0.1,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.55,0.5,0.523305,0.56305,0.17391304347826086,0.19047619047619047,0.17857142857142858,7.627777777777778,25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2009,2008-09,False
101115-1885-200769-2575-977,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Luke Walton, Kobe Bryant","Bynum, Odom, Brown, Walton, Bryant",101115-1885-200769-2575-977,LAL,211.0,2,4.0,-1.0,7.0,8.0,,15,1.0,2.0,,,,1.0,,,2.0,2.0,,,1.0,3.0,2.0,2.0,,8.0,9.0,,,,,,2.0,,6.0,2.0,2.0,,1.0,2.0,3.0,2.0,1.0,,,8.0,,,1.0,2.0,1.0,4.0,,4.0,,,,,,,2.0,,2.0,2.0,5.0,,,,,,,,,,,,8.0,1.0,1.0,1.0,1.0,,1.0,0.3333333333333333,,0.8,,0.8,,0.4,,,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,102.3696682464455,,11.428571428571429,16.375,11.428571428571429,16.375,0.4,0.5,0.5,1.0,0.2,,,,,,,,0.4,1.0,1.0,1.0,,,,,,,0.8,1.0,0.56402,,,,,2.1999999999999997,25.05,3.0,8.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,3.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,0.61685,0.625,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2009,2008-09,False
101115-1885-200769-2772-977,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Trevor Ariza, Kobe Bryant","Bynum, Odom, Brown, Ariza, Bryant",101115-1885-200769-2772-977,LAL,57.0,1,1.0,,1.0,2.0,,3,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,75.78947368421053,,21.0,18.0,21.0,18.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,0.3738,,,,,14.2,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2009,2008-09,False
101115-1885-200770-2209-2756,1610612747,"Andrew Bynum, Lamar Odom, Jordan Farmar, Vladimir Radmanovic, Sasha Vujacic","Bynum, Odom, Farmar, Radmanovic, Vujacic",101115-1885-200770-2209-2756,LAL,92.0,1,2.0,4.0,3.0,3.0,1.0,6,1.0,1.0,,,1.0,1.0,,,,1.0,,,2.0,2.0,,1.0,,4.0,,1.0,1.0,,,2.0,4.0,,,1.0,,,2.0,,2.0,,1.0,1.0,,4.0,,,,2.0,,2.0,1.0,3.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,2.0,1.0,1.0,,,,,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,,,1.0,,,1.0,,,1.0,1.0,,,,1.0,,93.91304347826086,,17.0,13.666666666666666,16.0,13.666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,,,,,,0.6666666666666666,,0.5201166666666667,,,,0.5,6.9,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2009,2008-09,False
101115-1885-200770-2209-977,1610612747,"Andrew Bynum, Lamar Odom, Jordan Farmar, Vladimir Radmanovic, Kobe Bryant","Bynum, Odom, Farmar, Radmanovic, Bryant",101115-1885-200770-2209-977,LAL,243.0,2,4.0,2.0,8.0,9.0,,17,2.0,3.0,,,,2.0,1.0,1.0,,,,,3.0,6.0,1.0,1.0,1.0,10.0,8.0,,,,,,4.0,2.0,3.0,,,,2.0,1.0,3.0,,2.0,,,7.0,,,2.0,1.0,,3.0,,3.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,2.0,,1.0,,,,,,10.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,1.0,0.5,,0.6428571428571429,,0.625,,0.14285714285714285,,,1.0,,,1.0,,0.6666666666666666,0.75,,,,1.0,,,100.74074074074075,,13.375,15.11111111111111,13.375,15.11111111111111,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.2857142857142857,,,,0.14285714285714285,1.0,1.0,,,,,,,,,,,,0.5714285714285714,,0.5182642857142857,,0.125,0.14285714285714285,,5.633333333333333,23.5,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,0.6666666666666666,,,,,0.4351,,0.125,,,,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2009,2008-09,False
101115-1885-200770-2575-2756,1610612747,"Andrew Bynum, Lamar Odom, Jordan Farmar, Luke Walton, Sasha Vujacic","Bynum, Odom, Farmar, Walton, Vujacic",101115-1885-200770-2575-2756,LAL,936.0,4,16.0,,32.0,32.0,4.0,64,6.0,8.0,1.0,1.0,5.0,12.0,1.0,4.0,,1.0,,,12.0,24.0,2.0,5.0,7.0,37.0,37.0,3.0,3.0,,,8.0,20.0,4.0,6.0,1.0,,3.0,10.0,2.0,12.0,,6.0,3.0,1.0,26.0,2.0,,5.0,3.0,,8.0,3.0,11.0,5.0,2.0,3.0,,,,3.0,,3.0,5.0,8.0,,7.0,1.0,9.0,1.0,5.0,1.0,1.0,1.0,1.0,,29.0,0.8333333333333334,0.9090909090909091,1.0,0.4,,0.4,0.5,1.0,0.5172413793103449,1.0,0.5606060606060606,1.0,0.1724137931034483,0.125,0.25,,,,0.6,0.16666666666666666,0.7142857142857143,0.6666666666666666,0.2,,1.0,,0.5,0.6666666666666666,98.46153846153847,1.0,14.34375,14.90625,13.90625,13.5625,0.27586206896551724,0.75,1.0,1.0,0.41379310344827586,0.4166666666666667,0.45454545454545453,0.6,0.13793103448275862,0.25,0.25,1.0,0.034482758620689655,,,,0.3333333333333333,1.0,1.0,,,,0.4482758620689655,,0.47948448275862066,0.49055,0.15151515151515152,0.17857142857142858,0.21621621621621623,7.7749999999999995,23.48,4.0,3.0,1.0,1.0,,,3.0,3.0,1.0,1.0,9.0,1.0,1.0,9.0,4.0,,1.0,1.0,1.125,1.125,0.75,0.25,1.0,,,0.5019,0.24324324324324326,0.125,1.0,0.3333333333333333,,2.0,4.0,2.0,,0.13793103448275862,0.5,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.08333333333333333,0.14285714285714285,0.3333333333333333,0.5,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2009,2008-09,False
101115-1885-200770-2756-2772,1610612747,"Andrew Bynum, Lamar Odom, Jordan Farmar, Sasha Vujacic, Trevor Ariza","Bynum, Odom, Farmar, Vujacic, Ariza",101115-1885-200770-2756-2772,LAL,9581.0,23,160.0,46.0,321.0,318.0,47.0,639,79.0,123.0,17.0,26.0,14.0,49.0,19.0,58.0,14.0,38.0,2.0,3.0,112.0,230.0,25.0,59.0,47.0,346.0,300.0,22.0,37.0,6.0,8.0,65.0,122.0,102.0,63.0,37.0,14.0,16.0,61.0,21.0,82.0,10.0,43.0,5.0,13.0,185.0,35.0,3.0,23.0,87.0,11.0,121.0,50.0,171.0,41.0,30.0,11.0,23.0,3.0,16.0,32.0,7.0,55.0,40.0,85.0,2.0,70.0,4.0,69.0,12.0,38.0,20.0,12.0,20.0,15.0,1.0,281.0,0.5446428571428571,0.5980392156862745,0.84,0.423728813559322,0.75,0.43103448275862066,0.48695652173913045,0.5945945945945946,0.5173010380622838,0.6888888888888889,0.5441640378548895,0.6914893617021277,0.2041522491349481,0.06956521739130435,0.12195121951219512,0.41818181818181815,1.0,0.21428571428571427,0.725,0.2966101694915254,0.7931034482758621,0.738255033557047,0.31543624161073824,0.45454545454545453,0.6216216216216216,0.7419354838709677,0.7884615384615384,0.8235294117647058,96.04007932366142,0.75,14.707165109034268,15.283018867924529,13.881619937694705,14.761006289308176,0.42560553633217996,0.6422764227642277,0.7314814814814815,0.5443037974683544,0.1695501730103806,0.2857142857142857,0.2916666666666667,0.35714285714285715,0.20069204152249134,0.3275862068965517,0.3275862068965517,0.6842105263157895,0.1314878892733564,0.3684210526315789,0.3684210526315789,0.7142857142857143,0.5777777777777777,0.6538461538461539,0.29411764705882354,0.06666666666666667,0.6666666666666666,1.0,0.629757785467128,0.3783783783783784,0.5204434027777778,0.5174597222222223,0.12063492063492064,0.1484375,0.18786127167630057,6.440869565217391,25.116949152542375,28.0,18.0,10.0,11.0,3.0,6.0,13.0,17.0,3.0,7.0,39.0,7.0,8.0,39.0,28.0,1.0,0.42857142857142855,0.7647058823529411,0.7291666666666666,0.6964285714285714,0.75,0.4583333333333333,0.9090909090909091,0.25,0.5,0.5514391304347825,0.11271676300578035,0.08722741433021806,12.0,0.3870967741935484,0.45454545454545453,11.0,21.0,11.0,3.0,0.0726643598615917,0.5238095238095238,0.5238095238095238,1.0,,1.0,3.0,20.0,6.0,0.02040816326530612,0.22857142857142856,0.1794871794871795,0.2222222222222222,0.041666666666666664,,4.0,5.0,4.0,12.0,1.0,6.0,3.0,3.0,4.0,1.0,2.0,4.0,4.0,4.0,2.0,0.045112781954887216,0.1111111111111111,0.8,1.0,,,,,,,,,,,,,,,1610612747,2009,2008-09,False
101115-1885-200770-2756-965,1610612747,"Andrew Bynum, Lamar Odom, Jordan Farmar, Sasha Vujacic, Derek Fisher","Bynum, Odom, Farmar, Vujacic, Fisher",101115-1885-200770-2756-965,LAL,275.0,1,5.0,-6.0,7.0,8.0,,15,2.0,4.0,,,1.0,1.0,,,,2.0,,,3.0,5.0,,2.0,1.0,7.0,13.0,,,,,,4.0,2.0,,2.0,,,2.0,,2.0,,1.0,1.0,,4.0,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,4.0,1.0,2.0,,1.0,1.0,1.0,3.0,2.0,3.0,1.0,,7.0,0.6666666666666666,0.6666666666666666,,,,,0.6,,0.42857142857142855,,0.5,,0.2857142857142857,,,,,,0.25,,,0.25,,,0.3333333333333333,,,,78.54545454545455,0.3333333333333333,17.857142857142858,18.75,17.857142857142858,17.375,0.5714285714285714,0.5,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,,,,,0.2857142857142857,,,,,,,,,,0.8571428571428571,,0.5104571428571428,,0.14285714285714285,0.2,,1.52,25.35,1.0,3.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,0.5475,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612747,2009,2008-09,False
101115-1885-200770-2756-977,1610612747,"Andrew Bynum, Lamar Odom, Jordan Farmar, Sasha Vujacic, Kobe Bryant","Bynum, Odom, Farmar, Vujacic, Bryant",101115-1885-200770-2756-977,LAL,269.0,3,4.0,,9.0,9.0,3.0,18,,3.0,,1.0,2.0,2.0,1.0,3.0,,1.0,,,3.0,8.0,,1.0,3.0,9.0,9.0,2.0,3.0,,,4.0,4.0,2.0,,1.0,,2.0,2.0,,2.0,,,2.0,,4.0,2.0,,2.0,3.0,,5.0,3.0,8.0,,,,,,,1.0,,1.0,,4.0,,2.0,,3.0,1.0,2.0,,,,,1.0,5.0,0.6666666666666666,1.0,,,,,0.375,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.45,0.6666666666666666,0.1111111111111111,0.25,0.6666666666666666,,,,1.0,0.4,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,96.35687732342008,,11.333333333333334,18.555555555555557,10.222222222222221,18.555555555555557,0.3333333333333333,,,,0.2222222222222222,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.1111111111111111,,,,0.3333333333333333,,,,,,0.4444444444444444,,0.49135,0.4789,0.2,0.2222222222222222,0.4444444444444444,9.2625,25.0,,4.0,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,,0.5,,,,,,,,,1.0,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,1610612747,2009,2008-09,False
101115-1885-200770-2772-977,1610612747,"Andrew Bynum, Lamar Odom, Jordan Farmar, Trevor Ariza, Kobe Bryant","Bynum, Odom, Farmar, Ariza, Bryant",101115-1885-200770-2772-977,LAL,2782.0,21,46.0,22.0,93.0,96.0,13.0,189,20.0,32.0,6.0,7.0,4.0,7.0,5.0,14.0,4.0,9.0,,,29.0,53.0,6.0,15.0,34.0,110.0,88.0,6.0,8.0,,1.0,15.0,32.0,26.0,18.0,9.0,4.0,3.0,16.0,6.0,22.0,4.0,13.0,1.0,2.0,50.0,8.0,,12.0,17.0,3.0,32.0,12.0,44.0,14.0,9.0,5.0,11.0,1.0,8.0,8.0,3.0,19.0,7.0,19.0,,30.0,2.0,48.0,3.0,22.0,4.0,3.0,6.0,3.0,,95.0,0.5517241379310345,0.6666666666666666,1.0,0.4,,0.4,0.5471698113207547,0.75,0.5588235294117647,0.6666666666666666,0.6055555555555555,0.6818181818181818,0.22058823529411764,0.05660377358490566,0.09375,0.5789473684210527,1.0,,0.5862068965517241,0.34782608695652173,0.75,0.6444444444444445,0.3870967741935484,0.5833333333333334,0.5714285714285714,0.5,0.6666666666666666,0.7272727272727273,97.82890007189073,0.5,14.344086021505376,15.083333333333334,13.89247311827957,14.041666666666666,0.47058823529411764,0.625,0.6896551724137931,0.65,0.10294117647058823,0.5714285714285714,0.5714285714285714,0.25,0.20588235294117646,0.35714285714285715,0.35714285714285715,0.4,0.1323529411764706,0.4444444444444444,0.4444444444444444,1.0,0.7777777777777778,0.8571428571428571,0.16666666666666666,,,,0.6911764705882353,0.4444444444444444,0.536147794117647,0.58255,0.25287356321839083,0.3055555555555556,0.13636363636363635,6.149056603773585,24.566666666666666,34.0,34.0,10.0,14.0,1.0,3.0,12.0,21.0,1.0,4.0,42.0,,3.0,42.0,34.0,5.0,0.25,0.5714285714285714,0.54,0.6176470588235294,0.8,0.56,0.7142857142857143,0.12,0.3333333333333333,0.532758,0.38181818181818183,0.3655913978494624,4.0,0.5,0.6,2.0,6.0,2.0,5.0,0.08823529411764706,0.3333333333333333,0.3333333333333333,1.0,,1.0,3.0,10.0,1.0,,0.3333333333333333,,0.3333333333333333,0.04,,,1.0,15.0,,,3.0,,2.0,,1.0,3.0,,1.0,,2.0,0.10714285714285714,0.1111111111111111,,,2.0,1.0,1.0,,,,,,,,,,,,1610612747,2009,2008-09,False
