EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Avg2ptShotDistance,PtsUnassisted2s,LostBallSteals,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,Offensive Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,PtsPutbacks,Corner3Assists,DefThreePtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,ShortMidRangeFGA,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,ShortMidRangeFrequency,ShortMidRangeFGM,FTOffRebounds,OffFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangeAssists,2pt And 1 Free Throw Trips,ShortMidRangePctAssisted,Loose Ball Fouls Drawn,BlockedShortMidRange,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,HeaveAttempts,LostBallTurnovers,3SecondViolations,ShortMidRangePctBlocked,Travels,Loose Ball Fouls,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceFtPoints,SelfOReb,SelfORebPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
101112-1913-200771-201573-201587,1610612757,"Channing Frye, Michael Ruffin, Sergio Rodriguez, Jerryd Bayless, Nicolas Batum","Frye, Ruffin, Rodriguez, Bayless, Batum",101112-1913-200771-201573-201587,POR,255.0,1,4.0,-2.0,7,7.0,7.0,7.0,1.0,14,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,6,8.0,1.0,1.0,2.0,1.0,3.0,1.0,6.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,6,6.0,7.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,79.05882352941177,21.142857142857142,15.285714285714286,18.571428571428573,12.714285714285714,0.4,0.5,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4,0.5,0.6,0.3333333333333333,1.0,0.3333333333333333,0.56084,0.56084,0.16666666666666666,0.3333333333333333,1.0,24.633333333333336,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
101112-1913-201164-201573-2566,1610612757,"Channing Frye, Michael Ruffin, Rudy Fernandez, Jerryd Bayless, Travis Outlaw","Frye, Ruffin, Fernandez, Bayless, Outlaw",101112-1913-201164-201573-2566,POR,72.0,1,1.0,,2,1.0,2.0,,,3,,,,,,,,,,1.0,2.0,,,,2,2.0,,1.0,2.0,,,,2.0,2.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,2,2.0,2.0,,1.0,1.0,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,60.0,15.5,41.0,15.5,41.0,,,,,,,,,,,,,,,,0.33665,0.33665,,,1.0,,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,16.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
101112-200746-200750-201164-2566,1610612757,"Channing Frye, LaMarcus Aldridge, Brandon Roy, Rudy Fernandez, Travis Outlaw","Frye, Aldridge, Roy, Fernandez, Outlaw",101112-200746-200750-201164-2566,POR,253.0,1,4.0,3.0,7,7.0,,,,14,1.0,1.0,,,,,2.0,,,5.0,5.0,,2.0,,10,7.0,,,,,,,,8.0,,2.0,,,4.0,,4.0,,,8.0,,,2.0,,2.0,,2.0,2.0,,,,,,,1.0,2.0,,,,,,,10,,,,0.8,0.8,,,,,1.0,,0.7142857142857143,,0.7142857142857143,,0.2857142857142857,,,,1.0,,,1.0,,,,1.0,1.0,79.68379446640316,13.142857142857142,23.0,13.142857142857142,20.428571428571427,0.14285714285714285,1.0,1.0,,0.2857142857142857,,,,,,,,,0.42857142857142855,,0.5317928571428572,,,,,24.5,,4.0,4.0,4.0,0.5714285714285714,1.0,1.0,1.0,14.919999999999998,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
101112-200746-200750-201164-2581,1610612757,"Channing Frye, LaMarcus Aldridge, Brandon Roy, Rudy Fernandez, Steve Blake","Frye, Aldridge, Roy, Fernandez, Blake",101112-200746-200750-201164-2581,POR,116.0,1,2.0,-2.0,3,2.0,,1.0,1.0,5,2.0,2.0,1.0,,,,1.0,,,2.0,2.0,,1.0,,4,6.0,1.0,,,,,,,4.0,,1.0,,,2.0,,2.0,,2.0,4.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,3.0,,,,1.0,1.0,1.0,2,,,1.0,1.0,1.0,,,,,1.0,,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,,,,,,1.0,,1.0,,1.0,,,62.06896551724138,23.666666666666668,22.5,19.666666666666668,22.5,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,,,,1.0,,,,,1.0,,0.5401,,,,,24.7,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
101112-200746-200750-2566-2581,1610612757,"Channing Frye, LaMarcus Aldridge, Brandon Roy, Travis Outlaw, Steve Blake","Frye, Aldridge, Roy, Outlaw, Blake",101112-200746-200750-2566-2581,POR,213.0,1,4.0,10.0,6,6.0,6.0,6.0,1.0,12,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,12,2.0,1.0,2.0,3.0,2.0,3.0,2.0,12.0,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,,1.0,5.0,,1.0,4.0,,5.0,1.0,6.0,,,,,,,,,,1.0,2.0,,,,,10,12.0,6.0,,0.5,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.5,,,,1.0,1.0,,1.0,0.5,1.0,,,1.0,81.12676056338029,16.166666666666668,19.333333333333332,16.166666666666668,19.333333333333332,0.5,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.5,0.5,,1.0,0.5,0.6666666666666666,0.3333333333333333,0.5,1.0,0.5,0.5439916666666667,0.5439916666666667,,,1.0,23.733333333333334,1.0,,,,,,,,,2.0,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,0.5531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
101112-200746-200771-201164-2566,1610612757,"Channing Frye, LaMarcus Aldridge, Sergio Rodriguez, Rudy Fernandez, Travis Outlaw","Frye, Aldridge, Rodriguez, Fernandez, Outlaw",101112-200746-200771-201164-2566,POR,137.0,2,2.0,,4,4.0,1.0,,,8,,,,,,,1.0,,1.0,,1.0,,1.0,2.0,2,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,3.0,,3.0,,3.0,,,,,1.0,,,,1.0,2.0,2.0,1.0,,,,2,,1.0,,,,,,,,,,,,0.3333333333333333,,0.5,,,,0.6,,,0.6,,,,0.6666666666666666,0.5,84.08759124087592,14.0,20.25,14.0,13.75,,,,,0.5,,,,,,,1.0,,0.5,,0.35115,0.3216,0.3333333333333333,0.5,,27.2,0.25,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
101112-200746-201164-2566-2581,1610612757,"Channing Frye, LaMarcus Aldridge, Rudy Fernandez, Travis Outlaw, Steve Blake","Frye, Aldridge, Fernandez, Outlaw, Blake",101112-200746-201164-2566-2581,POR,149.0,2,2.0,-3.0,5,5.0,4.0,,1.0,10,1.0,1.0,,1.0,1.0,,,,,2.0,4.0,,,,4,7.0,,2.0,3.0,,,,4.0,2.0,,,,,1.0,,1.0,,1.0,2.0,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,4,4.0,4.0,,0.5,0.5,,,,,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,,,,,0.5,,,0.5,,,,,,96.64429530201342,13.6,16.2,13.2,16.0,0.25,1.0,1.0,1.0,,,,,,0.3333333333333333,1.0,,,0.25,,0.41065,0.40903333333333336,,,1.0,,0.8,,1.0,,0.25,,,,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,0.5,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
101112-200750-201141-201164-2566,1610612757,"Channing Frye, Brandon Roy, Greg Oden, Rudy Fernandez, Travis Outlaw","Frye, Roy, Oden, Fernandez, Outlaw",101112-200750-201141-201164-2566,POR,157.0,1,3.0,2.0,5,6.0,5.0,1.0,,11,,,,,,,,,,1.0,2.0,1.0,2.0,,5,3.0,,1.0,2.0,1.0,2.0,,5.0,2.0,3.0,,,,1.0,1.0,2.0,,,5.0,,,2.0,1.0,3.0,,3.0,,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,5,5.0,5.0,,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.625,0.625,0.625,0.625,0.5,,,1.0,1.0,,,0.6666666666666666,,,,,1.0,100.89171974522293,16.8,12.166666666666666,16.8,12.166666666666666,,,,,,,,,,,,,,0.5,,0.4449375,0.4449375,,,1.0,22.2,1.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,19.6,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,1.0,,,,,1.0,,0.5,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
101112-200750-201164-2038-2566,1610612757,"Channing Frye, Brandon Roy, Rudy Fernandez, Joel Przybilla, Travis Outlaw","Frye, Roy, Fernandez, Przybilla, Outlaw",101112-200750-201164-2038-2566,POR,105.0,1,2.0,4.0,3,2.0,,,,5,,,,,,,,,,3.0,3.0,,,1.0,7,3.0,,,,,,,,4.0,,,,,2.0,,2.0,,,4.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,7,,,,0.6666666666666666,0.6666666666666666,,,,,1.0,,1.0,,1.1666666666666667,,,,,,0.5,,,0.5,,,,,0.5,68.57142857142857,16.666666666666668,27.5,16.666666666666668,26.0,,,,,,,,,,,,,,,,0.38420000000000004,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,7.1000000000000005,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,3.0,,,1.0,1.0,,,,,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
101112-200750-201587-2566-2581,1610612757,"Channing Frye, Brandon Roy, Nicolas Batum, Travis Outlaw, Steve Blake","Frye, Roy, Batum, Outlaw, Blake",101112-200750-201587-2566-2581,POR,21.0,1,,1.0,2,2.0,1.0,2.0,,4,,,,,,,,,,,,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,1.0,2.0,1.0,,,,1,,1.0,,,,,,,,,,,,0.5,,,,,1.0,,,,,,,,,,274.2857142857143,9.0,1.5,9.0,1.5,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,True
