EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,FTDefRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,FG3APct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Avg2ptShotDistance,SecondChanceOffPoss,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FtPoints,SecondChanceFG3A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,FTA,TwoPtShootingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,LongMidRangeAssists,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PtsUnassisted2s,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,AtRimPctBlocked,LongMidRangePctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,PenaltyPointsPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockedShortMidRange,SecondChanceFtPoints,Offensive Fouls Drawn,DefensiveGoaltends,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceTurnovers,SecondChanceFg3Pct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,Loose Ball Fouls,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,FTOffRebounds,BlockedLongMidRange,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,BlockedCorner3,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
101129-200081-200821-201596-2617,1610612748,"Luther Head, Jamario Moon, Yakhouba Diawara, Mario Chalmers, Udonis Haslem","Head, Moon, Diawara, Chalmers, Haslem",101129-200081-200821-201596-2617,MIA,27.0,1,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160.0,10.0,8.5,10.0,8.5,1.0,1.0,1.0,0.40215,0.40215,27.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
101129-200081-201161-201563-2048,1610612748,"Luther Head, Jamario Moon, Daequan Cook, Michael Beasley, Jamaal Magloire","Head, Moon, Cook, Beasley, Magloire",101129-200081-201161-201563-2048,MIA,142.0,1,5.0,4.0,3.0,4.0,9.0,,,,,,1.0,2.0,2.0,3.0,,1.0,91.26760563380282,18.0,13.0,18.0,13.0,,,0.25,0.44745,0.37455,,0.6,2.0,-1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.25,9.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
101129-200081-201161-201563-2617,1610612748,"Luther Head, Jamario Moon, Daequan Cook, Michael Beasley, Udonis Haslem","Head, Moon, Cook, Beasley, Haslem",101129-200081-201161-201563-2617,MIA,300.0,1,10.0,9.0,2.0,1.0,19.0,,,3.0,1.0,,,1.0,2.0,2.0,0.42857142857142855,,91.2,17.7,13.666666666666666,16.0,12.11111111111111,,,0.42857142857142855,0.48009285714285715,0.5103,22.96666666666667,0.2,5.0,-4.0,,,,2.0,2.0,,4.0,3.0,7.0,,,,,,,,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,,,,,3.0,,,,,0.16666666666666666,0.5,0.5,0.3333333333333333,,,,,,,0.2857142857142857,,,,0.2857142857142857,15.375,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,0.25,0.5,0.25,0.14285714285714285,0.5,0.5,0.42857142857142855,1.0,1.0,0.618,0.2222222222222222,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
101129-200081-201161-2617-979,1610612748,"Luther Head, Jamario Moon, Daequan Cook, Udonis Haslem, Jermaine O'Neal","Head, Moon, Cook, Haslem, O'Neal",101129-200081-201161-2617-979,MIA,86.0,2,2.0,4.0,,4.0,6.0,,,,,,,2.0,2.0,,,,100.46511627906976,13.0,15.0,13.0,14.0,,,,0.41325,,,,1.0,2.0,,,,,2.0,1.0,2.0,2.0,,,2.0,1.0,1.0,,,2.0,2.0,,,,,,,,1.0,1.0,1.0,,2.0,1.0,1.0,0.5,0.5,0.5,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,1.0,18.05,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
101129-200081-201563-201596-2048,1610612748,"Luther Head, Jamario Moon, Michael Beasley, Mario Chalmers, Jamaal Magloire","Head, Moon, Beasley, Chalmers, Magloire",101129-200081-201563-201596-2048,MIA,54.0,1,1.0,2.0,,,3.0,,,,,,,,,,,,80.0,13.0,20.5,13.0,14.5,,,,0.398,,,,1.0,-1.0,,,1.0,1.0,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,2.0,2.0,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
101129-200081-201563-201596-979,1610612748,"Luther Head, Jamario Moon, Michael Beasley, Mario Chalmers, Jermaine O'Neal","Head, Moon, Beasley, Chalmers, O'Neal",101129-200081-201563-201596-979,MIA,21.0,1,,1.0,,,1.0,,,,,,,,,,,,68.57142857142857,,21.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
101129-200081-201563-2048-2548,1610612748,"Luther Head, Jamario Moon, Michael Beasley, Jamaal Magloire, Dwyane Wade","Head, Moon, Beasley, Magloire, Wade",101129-200081-201563-2048-2548,MIA,1.0,1,,1.0,,1.0,1.0,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
101129-200081-201563-2548-2617,1610612748,"Luther Head, Jamario Moon, Michael Beasley, Dwyane Wade, Udonis Haslem","Head, Moon, Beasley, Wade, Haslem",101129-200081-201563-2548-2617,MIA,1676.0,7,52.0,51.0,21.0,19.0,103.0,8.0,2.0,11.0,4.0,7.0,2.0,15.0,22.0,21.0,0.21153846153846154,1.0,88.4964200477327,16.903846153846153,15.627450980392156,16.01923076923077,13.92156862745098,0.15384615384615385,0.1111111111111111,0.46153846153846156,0.48030490196078435,0.4695472222222222,26.827272727272728,0.40384615384615385,28.0,-11.0,8.0,13.0,3.0,10.0,18.0,18.0,41.0,51.0,62.0,14.0,20.0,10.0,12.0,2.0,3.0,26.0,8.0,2.0,1.0,5.0,3.0,8.0,11.0,9.0,1.0,1.0,1.0,,45.0,0.5555555555555556,0.5882352941176471,0.43902439024390244,0.4326923076923077,0.45454545454545453,0.4,0.4444444444444444,0.5652173913043478,0.3333333333333333,,0.25,0.6153846153846154,0.7272727272727273,0.25,0.19230769230769232,0.3,0.3333333333333333,1.0,0.34615384615384615,10.314634146341463,8.0,3.0,,2.0,6.0,,4.0,7.0,7.0,5.0,2.0,3.0,1.0,1.0,3.0,9.0,5.0,0.0975609756097561,0.1,0.30434782608695654,0.2413793103448276,0.42857142857142855,0.36363636363636365,0.057692307692307696,,0.1111111111111111,0.467175,0.09090909090909091,0.11363636363636363,7.0,5.0,0.75,0.3888888888888889,0.4117647058823529,0.7142857142857143,16.0,1.0,4.0,3.0,5.0,3.0,1.0,3.0,3.0,8.0,6.0,5.0,1.0,4.0,17.0,6.0,3.0,2.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,17.0,1.0,0.6666666666666666,0.2727272727272727,0.25,0.3,0.375,0.35714285714285715,0.375,0.3611111111111111,0.375,0.425,0.15384615384615385,0.05555555555555555,1.0,0.2,0.2727272727272727,1.0,1.0,0.04,0.375,0.375,0.6666666666666666,0.5,0.25,0.2777777777777778,0.6,0.5,0.42857142857142855,0.11764705882352941,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
101129-200081-201563-2548-979,1610612748,"Luther Head, Jamario Moon, Michael Beasley, Dwyane Wade, Jermaine O'Neal","Head, Moon, Beasley, Wade, O'Neal",101129-200081-201563-2548-979,MIA,309.0,2,8.0,7.0,8.0,3.0,15.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,8.0,0.2857142857142857,,69.90291262135922,18.875,22.571428571428573,18.5,18.571428571428573,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.4262142857142857,0.4262142857142857,25.75,1.0,5.0,5.0,,,1.0,1.0,4.0,4.0,5.0,19.0,14.0,5.0,6.0,3.0,4.0,,1.0,9.0,1.0,,,,,1.0,2.0,3.0,,,,,17.0,0.75,0.75,0.8,1.0,1.0555555555555556,,0.25,0.2,,,,,,,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,15.76,1.0,,,,5.0,,1.0,1.0,1.0,,,,,,,5.0,2.0,0.2,,1.0,1.0,,1.0,,,,0.3751,0.25,0.3333333333333333,3.0,2.0,,0.75,1.0,0.6666666666666666,2.0,,,,,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,19.0,3.0,3.0,,,2.0,1.0,1.0,,,,,,1.0,,19.0,1.0,0.5,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0555555555555556,,0.25,,,1.0,,,,1.0,1.0,0.5,,,,,1.0,1.0,0.10526315789473684,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
101129-200081-201596-2548-2617,1610612748,"Luther Head, Jamario Moon, Mario Chalmers, Dwyane Wade, Udonis Haslem","Head, Moon, Chalmers, Wade, Haslem",101129-200081-201596-2548-2617,MIA,8.0,1,1.0,,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,180.0,4.0,,4.0,,,,1.0,0.51975,0.51975,23.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2009,2008-09,False
