EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,FG2M,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ShortMidRangeFGM,ShortMidRangeAssists,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,BadPassOutOfBoundsTurnovers,BadPassTurnovers,SecondChanceTurnovers,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,FTOffRebounds,StepOutOfBoundsTurnovers,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyTurnovers,LongMidRangePctBlocked,PenaltyCorner3FGA,PenaltyFG3A,PenaltyCorner3Frequency,BlockedLongMidRange,PenaltyArc3FGA,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3Frequency,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,SecondChanceArc3FGM,PtsUnassisted3s,SecondChanceArc3Accuracy,HeaveAttempts,Blocked3s,BlockedCorner3,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,OffensiveGoaltends,BlockedArc3,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,DefensiveGoaltends,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101131-101161-101165-101198-200835,1610612765,"Jason Maxiell, Amir Johnson, Alex Acker, Will Bynum, Walter Herrmann","Maxiell, Johnson, Acker, Bynum, Herrmann",101131-101161-101165-101198-200835,DET,125.0,1,2.0,1.0,5.0,5.0,3.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.2,0.5,1.0,1.0,1.0,115.19999999999999,13.4,11.6,13.4,11.6,0.5,0.5,0.5,0.4627,0.2,0.3333333333333333,7.4,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
101131-101161-101198-1888-200835,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Richard Hamilton, Walter Herrmann","Maxiell, Johnson, Bynum, Hamilton, Herrmann",101131-101161-101198-1888-200835,DET,837.0,3,14.0,11.0,26.0,25.0,,51.0,3.0,6.0,19.0,9.0,4.0,27.0,16.0,6.0,8.0,13.0,21.0,2.0,,6.0,,5.0,1.0,7.0,4.0,24.0,,0.43548387096774194,0.32142857142857145,0.8,0.8461538461538461,1.0,87.74193548387098,14.384615384615385,18.52,12.192307692307692,18.12,0.10714285714285714,0.21428571428571427,0.6785714285714286,0.5305535714285714,0.12903225806451613,0.18181818181818182,8.194736842105263,24.366666666666667,7.0,5.0,10.0,1.0,3.0,2.0,6.0,1.0,3.0,2.0,3.0,7.0,3.0,1.0,3.0,3.0,1.0,3.0,8.0,6.0,9.0,2.0,2.0,2.0,4.0,3.0,7.0,2.0,1.0,3.0,1.0,17.0,2.0,6.0,3.0,2.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,0.5714285714285714,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3684210526315789,0.3333333333333333,0.4107142857142857,0.16666666666666666,0.1875,0.10526315789473684,0.2,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.4444444444444444,0.6,0.75,0.25,0.5,1.0,0.6,1.0,1.0,0.0625,1.0,0.35714285714285715,0.5,0.625,0.6,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.5,0.10714285714285714,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.57668,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
101131-101161-101198-1888-201167,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Richard Hamilton, Arron Afflalo","Maxiell, Johnson, Bynum, Hamilton, Afflalo",101131-101161-101198-1888-201167,DET,43.0,2,1.0,3.0,1.0,1.0,,2.0,,,1.0,1.0,,3.0,,,,,1.0,,,1.0,,,,,,,,0.75,0.5,,,,66.97674418604652,18.0,25.0,8.0,25.0,,,0.5,0.4667,,,18.6,23.5,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,3.0,,,3.0,,,,,1.0,1.0,,1.0,,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,0.75,1.5,1.5,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,0.5,,,,0.5,1.0,1.0,1.0,,,,,,,,0.5787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
101131-101161-101198-200835-201155,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Rodney Stuckey","Maxiell, Johnson, Bynum, Herrmann, Stuckey",101131-101161-101198-200835-201155,DET,220.0,1,4.0,-4.0,4.0,5.0,,9.0,1.0,,6.0,1.0,1.0,5.0,9.0,,1.0,1.0,4.0,,,1.0,,2.0,,2.0,,1.0,,0.25,0.14285714285714285,0.3333333333333333,0.3333333333333333,,58.909090909090914,28.25,21.4,19.75,17.8,0.14285714285714285,,0.2857142857142857,0.4590642857142857,,,12.433333333333332,23.7,3.0,,1.0,,,1.0,4.0,,1.0,,,2.0,,2.0,3.0,,,4.0,4.0,,,,,,2.0,,2.0,,,,1.0,4.0,1.0,2.0,,,3.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.5,,,,,0.5,,1.0,0.6,1.0,0.3333333333333333,,1.0,,0.5,,,,,0.14285714285714285,,,,0.5714285714285714,0.25,0.25,1.0,0.14285714285714285,,,,,,,,,,,0.3733,0.8,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
101131-101161-101198-200835-201167,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Arron Afflalo","Maxiell, Johnson, Bynum, Herrmann, Afflalo",101131-101161-101198-200835-201167,DET,1682.0,9,28.0,-10.0,51.0,51.0,21.0,102.0,12.0,3.0,37.0,8.0,7.0,48.0,58.0,3.0,14.0,19.0,25.0,5.0,4.0,14.0,,9.0,,10.0,5.0,46.0,2.0,0.48,0.17777777777777778,0.6363636363636364,0.6296296296296297,0.6666666666666666,87.32461355529132,16.764705882352942,16.215686274509803,15.392156862745098,14.803921568627452,0.26666666666666666,0.06666666666666667,0.4,0.4805788888888889,0.1,0.11904761904761904,10.343243243243244,23.8125,6.0,7.0,10.0,,,5.0,15.0,3.0,5.0,,1.0,16.0,3.0,1.0,3.0,1.0,,2.0,20.0,12.0,9.0,,,3.0,10.0,3.0,13.0,,3.0,5.0,3.0,29.0,2.0,4.0,3.0,2.0,6.0,1.0,1.0,5.0,2.0,4.0,,7.0,8.0,1.0,,5.0,5.0,,5.0,2.0,0.625,0.625,1.0,0.375,0.375,0.43243243243243246,0.3333333333333333,0.45555555555555555,0.25,0.25,0.08108108108108109,0.2,0.7142857142857143,0.6666666666666666,0.19047619047619047,0.6,0.4,0.23076923076923078,0.6666666666666666,,0.3333333333333333,0.5,0.375,0.8181818181818182,1.0,,0.043478260869565216,0.4,0.2222222222222222,0.7,0.875,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.1111111111111111,0.6,0.6,1.0,,,,,,0.25,,0.45661666666666667,0.041666666666666664,,,,,,,,4.0,2.0,2.0,,,0.3333333333333333,0.36363636363636365,0.5,4.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,0.3333333333333333,0.3333333333333333,0.375,0.08333333333333333,0.25,0.38116666666666665,0.0625,0.0784313725490196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
101131-101161-101198-200835-201594,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Walter Sharpe","Maxiell, Johnson, Bynum, Herrmann, Sharpe",101131-101161-101198-200835-201594,DET,35.0,1,1.0,2.0,2.0,1.0,1.0,3.0,,,1.0,,,2.0,,,,,,1.0,,,,,,,,2.0,,1.0,,,,,123.42857142857142,12.0,11.0,12.0,11.0,,,1.0,0.4714,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,2.0,,,,,2.0,2.0,1.0,1.0,1.0,,,0.4714,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
101131-101161-101198-200835-2419,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Tayshaun Prince","Maxiell, Johnson, Bynum, Herrmann, Prince",101131-101161-101198-200835-2419,DET,95.0,2,2.0,1.0,2.0,2.0,,4.0,,,4.0,,1.0,5.0,4.0,,,,2.0,,,2.0,,,,1.0,,3.0,,0.5,,,,,60.631578947368425,23.0,24.5,21.0,24.5,,,1.0,0.53115,,,,,1.0,2.0,4.0,1.0,2.0,,,,,,,2.0,,1.0,2.0,,,2.0,,4.0,,2.0,,1.0,,,,,,,,,,2.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.25,0.25,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,0.5,0.6666666666666666,,,,,,,,,,,,,1.0,0.5,,,0.5331,0.4,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
101131-101161-101198-200835-947,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Allen Iverson","Maxiell, Johnson, Bynum, Herrmann, Iverson",101131-101161-101198-200835-947,DET,480.0,2,8.0,1.0,16.0,14.0,2.0,30.0,3.0,,11.0,1.0,5.0,17.0,16.0,,5.0,6.0,9.0,1.0,1.0,3.0,,5.0,,7.0,4.0,15.0,,0.5666666666666667,0.08333333333333333,0.8333333333333334,0.75,,90.0,13.6875,18.642857142857142,12.75,18.214285714285715,0.25,,0.4166666666666667,0.4677875,0.26666666666666666,0.2857142857142857,9.6,22.5,3.0,4.0,4.0,1.0,1.0,,4.0,,1.0,,,6.0,,1.0,2.0,1.0,,2.0,8.0,4.0,,,,,4.0,,4.0,,,4.0,,8.0,,2.0,1.0,,3.0,,,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,0.6666666666666666,0.6666666666666666,,,,0.5454545454545454,0.5,0.5,0.3333333333333333,0.3333333333333333,,,0.25,,0.5,0.5,,0.4,,0.6666666666666666,,,1.0,1.0,,0.5,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,0.08333333333333333,,,,,,,0.3333333333333333,1.0,,,0.48041666666666666,0.11764705882352941,,1.0,,,0.3333333333333333,,,2.0,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
101131-101161-101198-201155-201167,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Rodney Stuckey, Arron Afflalo","Maxiell, Johnson, Bynum, Stuckey, Afflalo",101131-101161-101198-201155-201167,DET,248.0,1,4.0,-9.0,8.0,9.0,9.0,17.0,2.0,,6.0,1.0,,2.0,11.0,,2.0,4.0,4.0,,,5.0,,,,,,2.0,1.0,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.75,0.5,98.70967741935483,19.375,10.333333333333334,19.375,9.11111111111111,0.2857142857142857,,0.14285714285714285,0.41085714285714287,,,15.716666666666667,23.3,,,,,,,4.0,,1.0,,,1.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,2.0,,,2.0,3.0,1.0,,,,,,,,,,,,0.16666666666666666,,0.14285714285714285,,,0.16666666666666666,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,0.5714285714285714,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,0.5,,2.0,1.0,1.0,,2.0,,,,,2.0,2.0,1.0,1.0,1.0,,,0.3668,1.0,0.25,,,,,,,,,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
101131-101161-101198-201155-2419,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Rodney Stuckey, Tayshaun Prince","Maxiell, Johnson, Bynum, Stuckey, Prince",101131-101161-101198-201155-2419,DET,182.0,1,3.0,-5.0,7.0,8.0,,15.0,1.0,,5.0,1.0,,5.0,10.0,,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,5.0,,0.4166666666666667,0.16666666666666666,1.0,1.0,,118.68131868131869,15.285714285714286,9.375,15.285714285714286,9.375,0.16666666666666666,,0.8333333333333334,0.5642833333333334,,,2.7199999999999998,23.1,,1.0,4.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,2.0,3.0,,,1.0,,1.0,1.0,,1.0,,,3.0,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,0.2,,0.4166666666666667,,,0.2,0.25,1.0,1.0,,,,,,,,,1.0,,,,,1.0,0.6666666666666666,0.25,0.3333333333333333,,,,,,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,False
