EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,DefLongMidRangeReboundPct,SecondChanceFtPoints,Loose Ball Fouls Drawn,Technical Free Throw Trips,OffLongMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,FTDefRebounds,LostBallSteals,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,OffCorner3ReboundPct,SecondChanceCorner3Frequency,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedShortMidRange,SelfOReb,SelfORebPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,OffensiveGoaltends,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Blocked3s,BlockedArc3,Corner3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1713-200767-201146-201604-2039,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Chris Douglas-Roberts, Keyon Dooling","Carter, Boone, Jianlian, Douglas-Roberts, Dooling",1713-200767-201146-201604-2039,NJN,324.0,1,5.0,4.0,10.0,9.0,10.0,1.0,19.0,2.0,3.0,2.0,3.0,4.0,6.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,1.0,2.0,17.0,13.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,2.0,17.0,6.0,6.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,15.0,17.0,10.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.75,1.0,0.75,0.7727272727272727,1.0,0.7727272727272727,0.1,0.5,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5,1.0,84.44444444444444,16.3,17.88888888888889,14.8,17.22222222222222,0.3,0.6666666666666666,0.6666666666666666,0.5,0.6,0.6666666666666666,0.6666666666666666,0.5,0.1,1.0,1.0,1.0,0.3,0.6666666666666666,0.1,1.0,0.4,1.0,0.45564,0.3783,0.45564,0.18181818181818182,0.2,0.11764705882352941,1.0,12.133333333333333,24.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
1713-200767-201146-201604-2553,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Chris Douglas-Roberts, Jarvis Hayes","Carter, Boone, Jianlian, Douglas-Roberts, Hayes",1713-200767-201146-201604-2553,NJN,323.0,2,5.0,-4.0,9.0,10.0,4.0,2.0,19.0,1.0,2.0,,,2.0,3.0,,2.0,,1.0,4.0,6.0,1.0,3.0,1.0,12.0,16.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,,7.0,4.0,4.0,3.0,2.0,,2.0,1.0,3.0,,,1.0,7.0,1.0,,3.0,3.0,3.0,6.0,,,3.0,4.0,,2.0,8.0,7.0,4.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6111111111111112,1.0,0.875,0.5454545454545454,0.6666666666666666,0.7,0.3333333333333333,0.6,0.5,,0.6,0.5,1.0,0.6666666666666666,,84.70588235294117,20.333333333333332,14.0,17.666666666666668,11.6,0.2222222222222222,0.5,1.0,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.2222222222222222,,,,,,0.25,,0.5555555555555556,,0.4778333333333334,0.39405,0.481175,0.18181818181818182,0.25,0.3333333333333333,0.5833333333333334,10.766666666666666,24.0,0.4444444444444444,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.5,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
1713-200767-201146-201604-2734,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Chris Douglas-Roberts, Devin Harris","Carter, Boone, Jianlian, Douglas-Roberts, Harris",1713-200767-201146-201604-2734,NJN,144.0,2,2.0,1.0,6.0,5.0,4.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,2.0,4.0,,1.0,,4.0,3.0,1.0,1.0,2.0,1.0,3.0,,,,2.0,2.0,2.0,,,,1.0,,1.0,,1.0,,2.0,,,3.0,3.0,,3.0,,,,,,,2.0,2.0,4.0,0.5,0.5,,,,,0.5,1.0,0.3333333333333333,0.4,1.0,0.3333333333333333,0.4,1.0,0.3333333333333333,0.2,1.0,,,1.0,,,1.0,,110.0,10.5,16.2,8.833333333333334,16.2,0.2,1.0,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,1.0,,,0.4,,0.46337,0.2437,0.4915,,,0.5,0.5,13.6,22.4,0.6666666666666666,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.2,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
1713-200767-201146-2039-2239,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Keyon Dooling, Trenton Hassell","Carter, Boone, Jianlian, Dooling, Hassell",1713-200767-201146-2039-2239,NJN,307.0,3,5.0,2.0,10.0,8.0,,3.0,18.0,2.0,3.0,,,,4.0,,3.0,,,2.0,7.0,,3.0,4.0,8.0,6.0,1.0,2.0,3.0,,,,,,,,4.0,,3.0,,,,,,,,,1.0,3.0,,3.0,4.0,7.0,,,3.0,5.0,,2.0,5.0,,,,,,,,,0.2857142857142857,0.5,,0.2,0.5,,0.2916666666666667,0.5,,0.3,,0.2,0.75,0.6,0.375,,,0.75,84.4299674267101,19.4,14.125,16.7,13.875,0.3,0.6666666666666666,0.6666666666666666,,0.4,,,,0.3,,,,,,,,0.6,,0.47301000000000004,0.4019,,0.16666666666666666,0.2222222222222222,0.375,,10.828571428571427,25.8,,2.0,1.0,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,0.5,1.0,,,,,,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
1713-200767-201146-2039-2250,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Keyon Dooling, Bobby Simmons","Carter, Boone, Jianlian, Dooling, Simmons",1713-200767-201146-2039-2250,NJN,4255.0,9,71.0,10.0,124.0,124.0,21.0,14.0,248.0,22.0,30.0,2.0,3.0,12.0,31.0,11.0,26.0,1.0,3.0,39.0,74.0,14.0,33.0,28.0,148.0,138.0,6.0,8.0,27.0,7.0,13.0,1.0,3.0,9.0,26.0,48.0,30.0,36.0,25.0,11.0,24.0,12.0,36.0,9.0,13.0,9.0,84.0,8.0,13.0,30.0,46.0,14.0,60.0,12.0,8.0,31.0,32.0,3.0,14.0,121.0,26.0,21.0,0.6153846153846154,0.6666666666666666,0.8571428571428571,0.42424242424242425,0.3333333333333333,0.4375,0.527027027027027,0.75,0.5384615384615384,0.5607476635514018,1.0,0.53125,0.6074380165289256,0.9642857142857143,0.5909090909090909,0.308411214953271,0.75,0.22857142857142856,0.7222222222222222,0.7413793103448276,0.2641509433962264,0.25,0.6666666666666666,0.7333333333333333,83.9294947121034,15.733870967741936,18.580645161290324,15.008064516129032,17.661290322580644,0.2803738317757009,0.7333333333333333,0.88,0.5909090909090909,0.2897196261682243,0.3870967741935484,0.4,0.75,0.24299065420560748,0.4230769230769231,0.4230769230769231,0.8181818181818182,0.1875,0.6666666666666666,0.1875,0.3333333333333333,0.5887850467289719,0.44,0.5048924528301887,0.49563125,0.43583,0.11864406779661017,0.16470588235294117,0.18243243243243243,0.17567567567567569,9.54864864864865,26.224242424242423,0.1693548387096774,18.0,3.0,5.0,5.0,13.0,3.0,7.0,,,6.0,7.0,3.0,2.0,6.0,,8.0,6.0,18.0,3.0,11.0,24.0,5.0,4.0,5.0,3.0,0.0945945945945946,0.16666666666666666,0.4444444444444444,,0.3333333333333333,0.42857142857142855,0.8333333333333334,0.6,0.12149532710280374,0.38461538461538464,0.4166666666666667,0.4,0.06542056074766354,0.42857142857142855,0.42857142857142855,1.0,0.4166666666666667,0.6,,,4.0,10.0,0.7894736842105263,3.0,,1.0,0.10526315789473684,4.0,4.0,4.0,4.0,6.0,1.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,0.07692307692307693,0.03225806451612903,1.0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
1713-200767-201146-2039-2553,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Keyon Dooling, Jarvis Hayes","Carter, Boone, Jianlian, Dooling, Hayes",1713-200767-201146-2039-2553,NJN,1426.0,9,24.0,-3.0,48.0,50.0,14.0,5.0,98.0,,6.0,,1.0,10.0,19.0,5.0,10.0,1.0,3.0,11.0,30.0,6.0,12.0,15.0,55.0,58.0,1.0,4.0,2.0,4.0,8.0,1.0,3.0,9.0,20.0,14.0,8.0,15.0,10.0,5.0,7.0,5.0,12.0,4.0,,7.0,29.0,4.0,2.0,7.0,9.0,6.0,15.0,4.0,2.0,14.0,15.0,,5.0,53.0,20.0,14.0,0.6363636363636364,0.6363636363636364,0.8333333333333334,0.5,0.3333333333333333,0.5,0.36666666666666664,0.25,0.5,0.47619047619047616,0.16666666666666666,0.5,0.5510204081632653,0.16666666666666666,0.6333333333333333,0.2857142857142857,0.7,0.23529411764705882,1.0,0.75,0.2608695652173913,0.2,0.5,1.0,98.96213183730715,14.791666666666666,14.32,13.833333333333334,13.68,0.14285714285714285,,,,0.4523809523809524,0.5263157894736842,0.5263157894736842,0.7,0.23809523809523808,0.5,0.5,0.8,0.09090909090909091,,0.2727272727272727,0.3333333333333333,0.42857142857142855,0.5,0.4551630952380952,0.4746625,0.42062727272727274,0.10638297872340426,0.14285714285714285,0.03636363636363636,0.36363636363636365,13.243333333333334,24.483333333333334,0.2916666666666667,24.0,,1.0,1.0,5.0,1.0,2.0,,,,5.0,1.0,,2.0,,,,6.0,1.0,3.0,14.0,,,,,0.16666666666666666,0.6666666666666666,,,0.3333333333333333,0.2,0.5,,0.11904761904761904,0.2,0.25,,0.047619047619047616,0.5,0.5,1.0,0.16666666666666666,,,,3.0,6.0,0.8333333333333334,,,1.0,0.25,,1.0,,2.0,3.0,,,2.0,,,,,1.0,2.0,2.0,,,,6.0,2.0,,0.2,,,0.25,,0.16666666666666666,,,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
1713-200767-201146-2039-2734,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Keyon Dooling, Devin Harris","Carter, Boone, Jianlian, Dooling, Harris",1713-200767-201146-2039-2734,NJN,742.0,3,12.0,-5.0,24.0,22.0,11.0,2.0,46.0,3.0,5.0,3.0,3.0,2.0,7.0,,2.0,,,5.0,12.0,2.0,4.0,5.0,21.0,26.0,,1.0,,4.0,5.0,2.0,2.0,3.0,17.0,8.0,2.0,6.0,2.0,,4.0,2.0,6.0,,2.0,2.0,14.0,1.0,4.0,4.0,8.0,2.0,10.0,2.0,1.0,4.0,6.0,,2.0,21.0,17.0,11.0,0.8,0.8,1.0,0.5,1.0,0.5,0.4166666666666667,,0.8,0.5,,1.0,0.5526315789473685,,0.9444444444444444,0.25,0.8,0.14285714285714285,0.8,0.8,0.2222222222222222,0.5,1.0,1.0,89.2722371967655,17.708333333333332,14.409090909090908,16.166666666666668,13.090909090909092,0.3125,0.6,0.75,0.6666666666666666,0.4375,0.2857142857142857,0.2857142857142857,1.0,0.125,,,,0.42857142857142855,1.0,,,0.5625,,0.498415625,,0.5106928571428572,0.1111111111111111,0.14285714285714285,,0.8095238095238095,9.424999999999999,23.95,0.4583333333333333,15.0,,,,,2.0,2.0,2.0,2.0,,1.0,2.0,,1.0,,4.0,2.0,5.0,1.0,3.0,5.0,1.0,,1.0,1.0,0.08333333333333333,0.2,0.8,,0.5,0.5,1.0,1.0,,,,,0.125,1.0,1.0,1.0,,,0.2857142857142857,1.0,,1.0,0.6666666666666666,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
1713-200767-201146-2239-2734,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Trenton Hassell, Devin Harris","Carter, Boone, Jianlian, Hassell, Harris",1713-200767-201146-2239-2734,NJN,40.0,1,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,72.0,11.0,29.0,11.0,25.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
1713-200767-201146-2250-2553,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Bobby Simmons, Jarvis Hayes","Carter, Boone, Jianlian, Simmons, Hayes",1713-200767-201146-2250-2553,NJN,907.0,6,15.0,-10.0,26.0,29.0,12.0,3.0,55.0,2.0,7.0,,2.0,1.0,4.0,,5.0,,4.0,4.0,16.0,,6.0,7.0,15.0,25.0,1.0,4.0,2.0,,6.0,,5.0,5.0,5.0,6.0,2.0,,5.0,,3.0,,3.0,,1.0,1.0,6.0,3.0,3.0,7.0,11.0,5.0,16.0,5.0,4.0,7.0,10.0,,4.0,13.0,5.0,12.0,0.75,1.0,,,,,0.25,0.25,,0.18181818181818182,0.25,,0.2777777777777778,0.25,0.16666666666666666,0.2727272727272727,0.7777777777777778,0.25,0.6,0.7142857142857143,0.2777777777777778,0.4,1.0,0.75,87.32083792723263,17.192307692307693,15.862068965517242,15.461538461538462,14.827586206896552,0.3181818181818182,0.2857142857142857,0.3333333333333333,0.5,0.18181818181818182,0.25,0.25,1.0,0.22727272727272727,,,,0.18181818181818182,,0.36363636363636365,,0.5909090909090909,,0.5006522727272728,0.5788,0.4841909090909091,0.15384615384615385,0.2,0.13333333333333333,0.3333333333333333,7.44375,24.633333333333336,0.46153846153846156,10.0,1.0,2.0,1.0,5.0,,1.0,,1.0,2.0,1.0,,1.0,2.0,,4.0,2.0,6.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0625,0.14285714285714285,0.6666666666666666,,0.3333333333333333,0.2,0.6666666666666666,1.0,0.22727272727272727,0.2,0.2,1.0,0.045454545454545456,,,,0.5,0.5,0.09090909090909091,,,2.0,0.75,,,,,,,,,,,1.0,1.0,2.0,,1.0,,,,1.0,,,,,1.0,,,,1.0,0.25,,,,,,1.0,,1.0,1.0,,1.0,0.058823529411764705,,,,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
1713-200767-201146-2250-2734,1610612751,"Vince Carter, Josh Boone, Yi Jianlian, Bobby Simmons, Devin Harris","Carter, Boone, Jianlian, Simmons, Harris",1713-200767-201146-2250-2734,NJN,3668.0,8,61.0,20.0,109.0,106.0,15.0,18.0,215.0,19.0,31.0,2.0,7.0,13.0,29.0,14.0,25.0,,,38.0,73.0,15.0,29.0,30.0,151.0,131.0,6.0,11.0,15.0,8.0,15.0,,,10.0,26.0,46.0,30.0,45.0,25.0,14.0,23.0,15.0,38.0,14.0,10.0,9.0,91.0,16.0,14.0,25.0,40.0,21.0,61.0,4.0,1.0,32.0,37.0,5.0,16.0,136.0,26.0,15.0,0.6052631578947368,0.6571428571428571,1.0,0.5172413793103449,,0.5172413793103449,0.5205479452054794,0.5454545454545454,0.5333333333333333,0.5931372549019608,0.42857142857142855,0.5333333333333333,0.6398305084745762,0.46875,0.65,0.28431372549019607,0.625,0.45714285714285713,0.7,0.65,0.40816326530612246,0.5833333333333334,0.47368421052631576,0.6470588235294118,84.40567066521265,16.770642201834864,17.358490566037737,15.522935779816514,16.11320754716981,0.30392156862745096,0.6129032258064516,0.7307692307692307,0.5263157894736842,0.28431372549019607,0.4482758620689655,0.4642857142857143,0.6923076923076923,0.24509803921568626,0.56,0.5833333333333334,1.0,0.4666666666666667,0.2857142857142857,,,0.5882352941176471,0.56,0.5085500000000001,0.50985,0.4908466666666667,0.1415929203539823,0.19047619047619047,0.09933774834437085,0.17218543046357615,8.98082191780822,25.110344827586207,0.13761467889908258,8.0,5.0,8.0,6.0,13.0,1.0,4.0,,,6.0,7.0,1.0,4.0,4.0,1.0,4.0,2.0,12.0,,11.0,23.0,8.0,7.0,8.0,4.0,0.0958904109589041,0.16129032258064516,0.3333333333333333,0.2,0.2857142857142857,0.36363636363636365,0.8333333333333334,0.5,0.12745098039215685,0.46153846153846156,0.5,0.6666666666666666,0.0392156862745098,0.25,0.25,1.0,0.5714285714285714,0.625,,,3.0,8.0,0.7333333333333333,3.0,,,0.3125,,3.0,,3.0,,,1.0,3.0,2.0,1.0,,2.0,2.0,2.0,5.0,1.0,,2.0,2.0,4.0,,0.07692307692307693,0.034482758620689655,1.0,0.5714285714285714,1.0,0.21428571428571427,,,,,,2.0,3.0,,3.0,0.07317073170731707,1.0,0.034482758620689655,0.04,,,,,,,,,,,,,,,1610612751,2009,2008-09,True
