EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,ShortMidRangeFrequency,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGM,FTDefRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SelfOReb,Steals,LostBallSteals,LostBallTurnovers,Travels,NonShootingPenaltyNonTakeFouls,OffAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,Loose Ball Fouls,OffShortMidRangeReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,ShortMidRangeFGM,Corner3FGM,FtPoints,SecondChanceFtPoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,DefThreePtRebounds,BadPassSteals,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,DefThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyFtPoints,Offensive Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Arc3Assists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,SecondChanceTurnovers,LongMidRangePctBlocked,ShortMidRangePctBlocked,LostBallOutOfBoundsTurnovers,FTOffRebounds,3SecondViolations,OffFTReboundPct,BlockedShortMidRange,HeaveAttempts,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,BlockedLongMidRange,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,OffensiveGoaltends,team_id,year,season,team_vs
101120-101123-101138-101189-200826,1610612742,"Antoine Wright, Gerald Green, Brandon Bass, James Singleton, J.J. Barea","Wright, Green, Bass, Singleton, Barea",101120-101123-101138-101189-200826,DAL,180.0,2,3.0,3.0,4.0,4.0,3.0,4.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,6.0,3.0,1.0,2.0,2.0,3.0,4.0,6.0,6.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,6.0,3.0,1.0,1.0,0.6,0.5,0.75,0.5,0.5,0.75,0.42857142857142855,0.5,0.6,0.16666666666666666,1.0,0.5,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,64.0,24.0,21.0,19.0,21.0,0.3333333333333333,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.5,1.0,1.0,0.5,1.0,0.5,0.46818333333333334,0.4476,0.504475,0.14285714285714285,0.16666666666666666,0.3333333333333333,1.0,10.620000000000001,24.6,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
101120-101123-101189-1891-200797,1610612742,"Antoine Wright, Gerald Green, James Singleton, Jason Terry, Ryan Hollins","Wright, Green, Singleton, Terry, Hollins",101120-101123-101189-1891-200797,DAL,42.0,1,1.0,-2.0,1.0,1.0,,,,2.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,68.57142857142857,14.0,28.0,14.0,28.0,,,,,,,,,,,,,,,,0.3676,,,,,,,13.8,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
101120-101123-101189-200797-200826,1610612742,"Antoine Wright, Gerald Green, James Singleton, Ryan Hollins, J.J. Barea","Wright, Green, Singleton, Hollins, Barea",101120-101123-101189-200797-200826,DAL,158.0,1,3.0,,4.0,5.0,4.0,,,9.0,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,,,,1.0,2.0,5.0,,1.0,,,,,,,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,,,5.0,5.0,4.0,,,0.5,,0.5,0.8333333333333334,,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.3333333333333333,1.0,1.0,,1.0,1.0,1.0,,1.0,82.0253164556962,21.0,14.8,20.5,14.6,,,,,0.6666666666666666,0.5,0.5,,0.3333333333333333,,,,,,0.3333333333333333,0.40573333333333333,,0.40573333333333333,,,,1.0,17.25,24.8,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
101120-101123-101189-200797-2679,1610612742,"Antoine Wright, Gerald Green, James Singleton, Ryan Hollins, Matt Carroll","Wright, Green, Singleton, Hollins, Carroll",101120-101123-101189-200797-2679,DAL,351.0,1,6.0,-7.0,10.0,10.0,,9.0,1.0,20.0,,2.0,,1.0,,,,1.0,3.0,,5.0,3.0,3.0,10.0,,1.0,,,,,,3.0,,,,,,,2.0,3.0,4.0,2.0,6.0,2.0,4.0,2.0,2.0,1.0,3.0,,,,,,,,0.1875,,,0.16666666666666666,,,0.375,1.0,0.4,,1.0,0.2857142857142857,,,1.0,82.05128205128206,20.8,14.3,20.5,14.3,0.25,,,,0.125,,,,0.375,1.0,,,,,0.625,0.48236875,0.5946,,0.1111111111111111,0.16666666666666666,,,8.9,24.599999999999998,,2.0,0.25,1.0,,,1.0,,,,3.0,1.0,1.0,2.0,,,1.0,3.0,,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
101120-101138-101189-1891-200826,1610612742,"Antoine Wright, Brandon Bass, James Singleton, Jason Terry, J.J. Barea","Wright, Bass, Singleton, Terry, Barea",101120-101138-101189-1891-200826,DAL,121.0,3,2.0,-10.0,3.0,4.0,1.0,1.0,1.0,7.0,,1.0,,,,,,,1.0,,2.0,2.0,,10.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,4.0,,,,,,1.0,,,,,,,,,,,,0.5,,0.5,,,0.25,,,,83.30578512396694,26.0,10.75,22.0,10.75,0.25,,,,,,,,0.25,,,,,,0.75,0.465025,0.60015,0.42015,,,,,7.95,23.95,0.3333333333333333,1.0,0.25,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
101120-101138-101189-1891-467,1610612742,"Antoine Wright, Brandon Bass, James Singleton, Jason Terry, Jason Kidd","Wright, Bass, Singleton, Terry, Kidd",101120-101138-101189-1891-467,DAL,30.0,2,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,48.0,,30.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
101120-101138-101189-200826-467,1610612742,"Antoine Wright, Brandon Bass, James Singleton, J.J. Barea, Jason Kidd","Wright, Bass, Singleton, Barea, Kidd",101120-101138-101189-200826-467,DAL,38.0,1,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.89473684210527,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
101120-101138-101189-2572-467,1610612742,"Antoine Wright, Brandon Bass, James Singleton, Josh Howard, Jason Kidd","Wright, Bass, Singleton, Howard, Kidd",101120-101138-101189-2572-467,DAL,5.0,1,,-3.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
101120-101138-1717-1891-200826,1610612742,"Antoine Wright, Brandon Bass, Dirk Nowitzki, Jason Terry, J.J. Barea","Wright, Bass, Nowitzki, Terry, Barea",101120-101138-1717-1891-200826,DAL,1286.0,5,21.0,15.0,39.0,39.0,,2.0,2.0,78.0,9.0,13.0,1.0,2.0,,,5.0,9.0,2.0,15.0,26.0,7.0,46.0,31.0,1.0,2.0,3.0,,,,14.0,2.0,7.0,9.0,4.0,2.0,20.0,1.0,1.0,13.0,20.0,2.0,22.0,4.0,10.0,15.0,12.0,6.0,43.0,,,0.4666666666666667,0.5,0.5769230769230769,0.5,,0.5454545454545454,0.5,,0.5921052631578947,0.5,,0.21212121212121213,0.8125,0.09090909090909091,0.2,0.8095238095238095,0.125,,,0.5,87.34059097978226,15.487179487179487,17.487179487179485,15.435897435897436,16.435897435897434,0.3939393939393939,0.6923076923076923,0.6923076923076923,0.4444444444444444,0.2727272727272727,0.5555555555555556,0.5555555555555556,0.4,0.06060606060606061,1.0,0.5,,,,0.6060606060606061,0.5214621212121212,0.5835,,0.15789473684210525,0.1935483870967742,0.06521739130434782,,7.888461538461538,23.385714285714283,,4.0,0.12121212121212122,,,,2.0,,,16.0,,,3.0,2.0,,1.0,1.0,3.0,,,0.2857142857142857,,0.2857142857142857,0.6666666666666666,1.0,,,,,,,3.0,1.0,1.0,,,,1.0,,5.0,,,,0.3333333333333333,0.15151515151515152,,1.0,2.0,10.0,1.0,6.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.25,0.25,1.0,0.4,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
101120-101138-1717-1891-467,1610612742,"Antoine Wright, Brandon Bass, Dirk Nowitzki, Jason Terry, Jason Kidd","Wright, Bass, Nowitzki, Terry, Kidd",101120-101138-1717-1891-467,DAL,686.0,4,11.0,8.0,21.0,21.0,4.0,4.0,,42.0,2.0,3.0,,,1.0,1.0,3.0,3.0,6.0,9.0,10.0,7.0,28.0,20.0,,,,3.0,3.0,7.0,12.0,6.0,6.0,6.0,,3.0,12.0,,,5.0,10.0,,10.0,2.0,4.0,7.0,8.0,5.0,28.0,7.0,4.0,0.6666666666666666,0.6666666666666666,0.9,,1.0,0.6176470588235294,,0.75,0.7,,0.875,0.4117647058823529,0.8333333333333334,,,0.9,,,,0.75,88.16326530612244,14.476190476190476,18.19047619047619,14.476190476190476,17.857142857142858,0.17647058823529413,0.6666666666666666,0.6666666666666666,,0.17647058823529413,1.0,1.0,1.0,0.35294117647058826,,,,0.25,1.0,0.5882352941176471,0.44790588235294115,,0.438825,0.25,0.38461538461538464,,0.25,7.7,24.842857142857145,0.19047619047619047,4.0,0.23529411764705882,1.0,,1.0,1.0,,1.0,6.0,3.0,1.0,1.0,,,,2.0,2.0,1.0,,0.14285714285714285,,0.14285714285714285,,1.0,0.16666666666666666,0.16666666666666666,0.25,,0.16666666666666666,,1.0,,,1.0,,,,,1.0,,,,,0.058823529411764705,,4.0,,7.0,,,,,,3.0,4.0,1.0,,2.0,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,0.75,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,False
