EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,DefShortMidRangeReboundPct,SecondChanceOffPoss,LongMidRangeFGM,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,ShortMidRangeFGA,PtsUnassisted2s,DefThreePtRebounds,FTDefRebounds,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeFGM,OffThreePtRebounds,OffRebounds,Loose Ball Fouls Drawn,Technical Free Throw Trips,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,SecondChanceAtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Corner3FGM,Corner3FGA,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,BadPassTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChancePointsPct,ShortMidRangeAssists,Offensive Fouls,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,SelfOReb,SelfORebPct,PenaltyCorner3FGM,BlockedLongMidRange,PenaltyCorner3Accuracy,PtsPutbacks,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,3SecondViolations,ShortMidRangePctBlocked,HeaveAttempts,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,OffensiveGoaltends,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
101120-101123-101138-101189-200826,1610612742,"Antoine Wright, Gerald Green, Brandon Bass, James Singleton, J.J. Barea","Wright, Green, Bass, Singleton, Barea",101120-101123-101138-101189-200826,DAL,180.0,2,3.0,-3.0,4.0,4.0,4.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,64.0,21.0,24.0,21.0,19.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.4628,0.4628,0.3333333333333333,0.3333333333333333,1.0,8.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101189-1891-200797,1610612742,"Antoine Wright, Gerald Green, James Singleton, Jason Terry, Ryan Hollins","Wright, Green, Singleton, Terry, Hollins",101120-101123-101189-1891-200797,DAL,42.0,1,1.0,2.0,1.0,1.0,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,2.0,2.0,1.0,2.0,,,,,,,,,1.0,,1.0,1.0,,68.57142857142857,28.0,14.0,28.0,14.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101189-200797-200826,1610612742,"Antoine Wright, Gerald Green, James Singleton, Ryan Hollins, J.J. Barea","Wright, Green, Singleton, Hollins, Barea",101120-101123-101189-200797-200826,DAL,158.0,1,3.0,,5.0,4.0,,4.0,9.0,,,,,2.0,1.0,2.0,,5.0,5.0,,,,,2.0,1.0,2.0,,5.0,,,,1.0,1.0,,,1.0,1.0,,,5.0,,,1.0,1.0,0.5,,0.8333333333333334,,0.8333333333333334,,,,,82.0253164556962,14.8,21.0,14.6,20.5,,,,,0.6666666666666666,,,0.3333333333333333,0.43639999999999995,,,,,16.25,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101123-101189-200797-2679,1610612742,"Antoine Wright, Gerald Green, James Singleton, Ryan Hollins, Matt Carroll","Wright, Green, Singleton, Hollins, Carroll",101120-101123-101189-200797-2679,DAL,351.0,1,6.0,7.0,10.0,10.0,9.0,,20.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,6.0,10.0,3.0,2.0,5.0,6.0,10.0,2.0,1.0,1.0,1.0,2.0,3.0,6.0,6.0,,1.0,1.0,1.0,2.0,4.0,8.0,2.0,10.0,10.0,9.0,0.5,0.5,0.4,0.4,0.4,0.4,0.5555555555555556,0.625,0.6,0.7142857142857143,1.0,82.05128205128206,14.3,20.8,14.3,20.5,0.2,1.0,1.0,1.0,0.6,0.2,1.0,0.2,0.42797999999999997,0.42797999999999997,0.2857142857142857,0.2857142857142857,1.0,12.5,0.9,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101138-101189-1891-200826,1610612742,"Antoine Wright, Brandon Bass, James Singleton, Jason Terry, J.J. Barea","Wright, Bass, Singleton, Terry, Barea",101120-101138-101189-1891-200826,DAL,121.0,3,2.0,10.0,4.0,3.0,1.0,1.0,7.0,,,,,,1.0,1.0,5.0,10.0,,,,2.0,2.0,,,1.0,,3.0,1.0,3.0,4.0,,,,,,4.0,5.0,1.0,10.0,2.0,1.0,,,1.0,,0.8333333333333334,,0.9,1.0,0.5,0.75,,83.30578512396694,10.75,26.0,10.75,22.0,,,,,,,,0.6666666666666666,0.5497333333333333,,0.25,0.5,0.2,8.8,0.25,,,,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,1.0,0.5,0.5,0.6666666666666666,,,,0.6666666666666666,0.5,0.5,1.0,0.5,24.75,1.0,2.0,2.0,,,,,1.0,1.0,,,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101138-101189-1891-467,1610612742,"Antoine Wright, Brandon Bass, James Singleton, Jason Terry, Jason Kidd","Wright, Bass, Singleton, Terry, Kidd",101120-101138-101189-1891-467,DAL,30.0,2,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,30.0,,30.0,,,,,,0.5,,,0.5,0.242175,0.23835,,,,23.1,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,0.5,,,,0.5,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101138-101189-200826-467,1610612742,"Antoine Wright, Brandon Bass, James Singleton, J.J. Barea, Jason Kidd","Wright, Bass, Singleton, Barea, Kidd",101120-101138-101189-200826-467,DAL,38.0,1,1.0,,,1.0,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,37.89473684210527,,15.0,,15.0,0.5,,,,,,,0.5,0.50055,,,,,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,2.0,,,,1.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101138-101189-2572-467,1610612742,"Antoine Wright, Brandon Bass, James Singleton, Josh Howard, Jason Kidd","Wright, Bass, Singleton, Howard, Kidd",101120-101138-101189-2572-467,DAL,5.0,1,,3.0,1.0,,1.0,,1.0,,,,,,,,,3.0,,,,,3.0,,,1.0,,3.0,,,,,,,,,,,,3.0,3.0,1.0,,,,,1.5,1.5,1.5,1.5,,,,288.0,5.0,,5.0,,,,,,,,,1.0,0.3315,0.3315,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101138-1717-1891-200826,1610612742,"Antoine Wright, Brandon Bass, Dirk Nowitzki, Jason Terry, J.J. Barea","Wright, Bass, Nowitzki, Terry, Barea",101120-101138-1717-1891-200826,DAL,1286.0,5,21.0,-15.0,39.0,39.0,2.0,,78.0,4.0,9.0,,,7.0,9.0,25.0,4.0,31.0,46.0,,2.0,,,2.0,1.0,3.0,1.0,8.0,10.0,15.0,19.0,4.0,7.0,,6.0,15.0,10.0,8.0,4.0,30.0,,2.0,0.1111111111111111,0.1111111111111111,0.36,,0.4090909090909091,,0.4166666666666667,,0.9090909090909091,0.875,1.0,87.34059097978226,17.487179487179485,15.487179487179487,16.435897435897434,15.435897435897436,0.2727272727272727,0.4444444444444444,0.5,0.25,0.21212121212121213,,,0.5151515151515151,0.49051969696969694,0.41695,0.1111111111111111,0.14285714285714285,,8.452,0.05128205128205128,0.6666666666666666,4.0,1.0,1.0,3.0,3.0,8.0,6.0,3.0,1.0,2.0,,,2.0,1.0,1.0,,0.6666666666666666,0.375,0.375,0.24242424242424243,0.14285714285714285,0.14285714285714285,,0.09090909090909091,0.3333333333333333,0.3333333333333333,,0.3333333333333333,24.025,9.0,16.0,4.0,1.0,1.0,3.0,1.0,,,0.42857142857142855,1.0,0.8,1.0,0.2727272727272727,4.0,1.0,4.0,,1.0,0.2,0.19047619047619047,,1.0,0.6666666666666666,0.4444444444444444,0.4444444444444444,,,,1.0,3.0,3.0,0.1875,,,0.3333333333333333,0.44825,,,,,2.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.125,0.04,0.1111111111111111,0.5,0.3333333333333333,0.15151515151515152,0.4,0.4,1.0,0.03225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
101120-101138-1717-1891-467,1610612742,"Antoine Wright, Brandon Bass, Dirk Nowitzki, Jason Terry, Jason Kidd","Wright, Bass, Nowitzki, Terry, Kidd",101120-101138-1717-1891-467,DAL,686.0,4,11.0,-8.0,21.0,21.0,4.0,4.0,42.0,2.0,4.0,,,7.0,6.0,12.0,5.0,20.0,28.0,1.0,1.0,,2.0,6.0,3.0,4.0,1.0,9.0,1.0,6.0,7.0,2.0,3.0,1.0,5.0,7.0,4.0,5.0,2.0,18.0,2.0,4.0,0.5,0.5,0.5,1.0,0.4411764705882353,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,,88.16326530612244,18.19047619047619,14.476190476190476,17.857142857142858,14.476190476190476,0.23529411764705882,0.5,0.5,0.5,0.4117647058823529,,,0.5294117647058824,0.4701352941176471,0.456,0.10526315789473684,0.14285714285714285,0.1,11.916666666666666,0.19047619047619047,,1.0,3.0,1.0,5.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,,1.0,0.2,0.2,0.29411764705882354,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.29411764705882354,0.2,0.2,1.0,0.2,25.74,1.0,6.0,5.0,,,1.0,,,,0.3333333333333333,,1.0,1.0,0.058823529411764705,1.0,,1.0,,1.0,,0.1,,1.0,1.0,1.0,1.0,2.0,2.0,0.6666666666666666,,,1.0,0.16666666666666666,,,,,,,,,,,2.0,2.0,,,,1.0,1.0,,,,1.0,,,0.25,,,,,,0.1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2009,2008-09,True
