EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,LostBallSteals,Fouls,FoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,OpponentPoints,DeadBallTurnovers,Turnovers,PenaltyTurnovers,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,Fg2aBlocked,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefCorner3ReboundPct,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,OffTwoPtRebounds,FTOffRebounds,SelfOReb,BadPassSteals,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,RecoveredBlocks,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffCorner3ReboundPct,Loose Ball Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,DefShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BadPassOutOfBoundsTurnovers,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,PtsUnassisted3s,Technical Free Throw Trips,OffShortMidRangeReboundPct,HeaveAttempts,Fg3aBlocked,Offensive Fouls,BlockedLongMidRange,BlockedShortMidRange,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Travels,ShortMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,LostBallOutOfBoundsTurnovers,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,BlockedCorner3,LongMidRangePctBlocked,team_id,year,season,team_vs
101130-101132-1853-200764-2747,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Renaldo Balkman, JR Smith","Petro, Kleiza, Carter, Balkman, Smith",101130-101132-1853-200764-2747,DEN,61.0,1,1.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94.42622950819673,10.0,20.5,10.0,20.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.53005,0.53005,1.0,10.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1853-2078-2563,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Jason Hart, Dahntay Jones","Petro, Kleiza, Carter, Hart, Jones",101130-101132-1853-2078-2563,DEN,97.0,2,2.0,-6.0,4.0,3.0,3.0,7.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,103.91752577319588,15.25,12.0,15.25,12.0,,,,,1.0,,,,,,,0.3252,0.3252,,17.8,0.75,3.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1853-2563-2747,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Dahntay Jones, JR Smith","Petro, Kleiza, Carter, Jones, Smith",101130-101132-1853-2563-2747,DEN,272.0,3,5.0,-1.0,7.0,8.0,4.0,15.0,1.0,2.0,1.0,1.0,,2.0,2.0,5.0,9.0,1.0,2.0,7.0,2.0,1.0,2.0,,,5.0,,,,4.0,6.0,7.0,4.0,0.5,1.0,0.4,0.5,0.5,0.625,0.5,0.7,79.41176470588235,22.285714285714285,14.5,22.285714285714285,13.5,0.2857142857142857,0.5,0.5,,0.2857142857142857,,,,0.25,1.0,0.5714285714285714,0.5079285714285714,0.529875,0.7777777777777778,8.459999999999999,0.5714285714285714,5.0,10.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.5,0.2857142857142857,1.0,0.25,1.0,1.0,0.4,0.25,1.0,0.5,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,0.25,1.0,0.25,0.3333333333333333,0.42857142857142855,0.3333333333333333,24.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-200764-2078-2563,1610612743,"Johan Petro, Linas Kleiza, Renaldo Balkman, Jason Hart, Dahntay Jones","Petro, Kleiza, Balkman, Hart, Jones",101130-101132-200764-2078-2563,DEN,406.0,4,7.0,-9.0,14.0,12.0,12.0,26.0,,2.0,,2.0,2.0,4.0,3.0,7.0,6.0,2.0,5.0,4.0,4.0,2.0,2.0,,2.0,4.0,1.0,1.0,4.0,,6.0,4.0,12.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.4,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.2857142857142857,92.21674876847291,14.571428571428571,16.833333333333332,14.571428571428571,14.833333333333334,0.2222222222222222,,,,0.4444444444444444,0.5,0.5,1.0,0.2857142857142857,,0.4444444444444444,0.4498611111111111,0.47045,0.6666666666666666,11.957142857142857,0.8571428571428571,9.0,15.0,2.0,3.0,3.0,,,,1.0,1.0,,,,,2.0,2.0,,2.0,,,,,,,2.0,,2.0,,,2.0,,,,,2.0,1.0,2.0,5.0,,5.0,,,,,,,,,,,,,,0.2222222222222222,1.0,1.0,0.6666666666666666,,0.75,,,1.0,0.5,0.1111111111111111,1.0,1.0,,,,,,0.2222222222222222,,,,,0.2857142857142857,,,,28.25,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-200764-2078-2747,1610612743,"Johan Petro, Linas Kleiza, Renaldo Balkman, Jason Hart, JR Smith","Petro, Kleiza, Balkman, Hart, Smith",101130-101132-200764-2078-2747,DEN,427.0,1,7.0,8.0,15.0,16.0,15.0,31.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,6.0,18.0,3.0,6.0,18.0,4.0,2.0,5.0,2.0,,13.0,4.0,2.0,5.0,3.0,18.0,18.0,15.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.625,0.625,0.6428571428571429,0.6428571428571429,104.5433255269321,15.933333333333334,11.75,15.8,11.75,0.25,0.6666666666666666,0.6666666666666666,1.0,0.25,0.3333333333333333,0.3333333333333333,,0.25,0.6666666666666666,0.75,0.5085458333333334,0.5085458333333334,1.0,8.566666666666666,1.0,10.0,10.0,,3.0,3.0,1.0,,1.0,,,2.0,2.0,2.0,2.0,4.0,4.0,3.0,6.0,3.0,,1.0,,,3.0,6.0,3.0,2.0,9.0,,4.0,3.0,2.0,,,1.0,2.0,2.0,5.0,2.0,7.0,4.0,,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,0.5,1.0,1.0,1.0,,1.0,0.16666666666666666,,1.0,1.0,,,,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,,0.16666666666666666,1.0,0.3333333333333333,0.14285714285714285,0.25,,25.083333333333332,,3.0,1.0,2.0,,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,0.25,0.25,1.0,0.25,0.25,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-200764-2563-2747,1610612743,"Johan Petro, Linas Kleiza, Renaldo Balkman, Dahntay Jones, JR Smith","Petro, Kleiza, Balkman, Jones, Smith",101130-101132-200764-2563-2747,DEN,24.0,1,,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,180.0,6.0,9.0,6.0,9.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.5977,0.5977,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-2078-2365-2747,1610612743,"Johan Petro, Linas Kleiza, Jason Hart, Chris Andersen, JR Smith","Petro, Kleiza, Hart, Andersen, Smith",101130-101132-2078-2365-2747,DEN,71.0,1,1.0,-2.0,2.0,2.0,,4.0,,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,1.0,,1.0,2.0,,,1.0,,2.0,,,1.0,1.0,1.0,,0.5,,0.5,,81.12676056338029,15.0,20.5,15.0,19.5,,,,,0.5,1.0,1.0,1.0,,,0.5,0.3989,,,16.6,,2.0,4.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,26.8,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-1497-1853-2030-2546,1610612743,"Johan Petro, Chauncey Billups, Anthony Carter, Kenyon Martin, Carmelo Anthony","Petro, Billups, Carter, Martin, Anthony",101130-1497-1853-2030-2546,DEN,97.0,1,2.0,-1.0,4.0,3.0,4.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,6.0,3.0,3.0,6.0,4.0,2.0,2.0,2.0,,4.0,1.0,1.0,1.0,,6.0,6.0,4.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,103.91752577319588,10.25,18.666666666666668,10.25,18.666666666666668,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,0.6666666666666666,1.0,0.6666666666666666,0.5043666666666666,0.5043666666666666,1.0,6.6000000000000005,1.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-1497-2365-2546-2747,1610612743,"Johan Petro, Chauncey Billups, Chris Andersen, Carmelo Anthony, JR Smith","Petro, Billups, Andersen, Anthony, Smith",101130-1497-2365-2546-2747,DEN,1.0,1,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,2.0,,,2.0,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,1.0,1.0,2880.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-200764-2078-2563-2747,1610612743,"Johan Petro, Renaldo Balkman, Jason Hart, Dahntay Jones, JR Smith","Petro, Balkman, Hart, Jones, Smith",101130-200764-2078-2563-2747,DEN,98.0,2,2.0,,3.0,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,73.46938775510205,23.333333333333332,14.0,17.333333333333332,14.0,,,,,,,,,,,1.0,0.53145,0.53145,,,1.0,2.0,,2.0,2.0,2.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,22.5,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
