EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,Fouls,NonShootingPenaltyNonTakeFouls,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,HeaveAttempts,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,Arc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,AtRimAssists,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,ShortMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceFG2M,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimAccuracy,LiveBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,LiveBallTurnoverPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,FTDefRebounds,Offensive Fouls,2pt And 1 Free Throw Trips,DefFTReboundPct,Corner3FGA,PenaltyCorner3FGA,PenaltyFtPoints,Steals,BadPassSteals,LostBallSteals,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,BlocksRecoveredPct,Corner3Frequency,PenaltyCorner3Frequency,BadPassTurnovers,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PtsPutbacks,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,Loose Ball Fouls,Offensive Fouls Drawn,BlockedShortMidRange,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,3SecondViolations,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,Arc3Assists,PenaltyFg3Pct,Arc3PctAssisted,PenaltyArc3Accuracy,SecondChanceArc3FGA,SecondChanceArc3Frequency,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedCorner3,3pt And 1 Free Throw Trips,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101121-101146-101181-1515-200081,1610612761,"Joey Graham, Roko Ukic, Jose Calderon, Anthony Parker, Jamario Moon","Graham, Ukic, Calderon, Parker, Moon",101121-101146-101181-1515-200081,TOR,2.0,1,-2.0,1.0,1.0,1.0,2.0,1.0,1.0,720.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
101121-101146-101181-1890-200745,1610612761,"Joey Graham, Roko Ukic, Jose Calderon, Shawn Marion, Andrea Bargnani","Graham, Ukic, Calderon, Marion, Bargnani",101121-101146-101181-1890-200745,TOR,102.0,1,-6.0,4.0,,9.0,8.0,2.0,,127.05882352941177,10.5,10.5,2.0,5.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,12.0,12.0,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,0.43953333333333333,10.933333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
101121-101146-101181-1890-201605,1610612761,"Joey Graham, Roko Ukic, Jose Calderon, Shawn Marion, Nathan Jawai","Graham, Ukic, Calderon, Marion, Jawai",101121-101146-101181-1890-201605,TOR,37.0,1,-2.0,2.0,,3.0,4.0,,,116.75675675675676,7.5,7.5,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,2.0,,,1.0,0.5,0.5,,,,22.0,22.0,,0.5,1.0,1.0,,0.5,0.3743,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.3743,1.0,44.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
101121-101146-101181-1890-2547,1610612761,"Joey Graham, Roko Ukic, Jose Calderon, Shawn Marion, Chris Bosh","Graham, Ukic, Calderon, Marion, Bosh",101121-101146-101181-1890-2547,TOR,60.0,2,4.0,2.0,1.0,5.0,2.0,1.0,,120.0,20.5,20.5,1.0,3.0,2.0,1.0,1.0,3.0,3.0,6.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,6.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,6.333333333333333,6.333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.4906,5.6000000000000005,1.0,,,,1.0,1.0,,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,0.4757,0.3333333333333333,,0.3333333333333333,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
101121-101146-101181-200745-2574,1610612761,"Joey Graham, Roko Ukic, Jose Calderon, Andrea Bargnani, Jason Kapono","Graham, Ukic, Calderon, Bargnani, Kapono",101121-101146-101181-200745-2574,TOR,176.0,2,-1.0,5.0,,11.0,7.0,,,90.0,17.2,17.0,3.0,6.0,2.0,1.0,2.0,2.0,5.0,6.0,2.0,1.0,1.0,,2.0,,1.0,3.0,2.0,1.0,2.0,,4.0,0.5,0.5,0.4,0.4,0.5,,0.5,,15.0,14.333333333333334,0.4,0.4,0.5,0.5,,0.4,0.47958,7.24,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,0.16666666666666666,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,0.5698,0.16666666666666666,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
101121-101146-1515-1890-200745,1610612761,"Joey Graham, Roko Ukic, Anthony Parker, Shawn Marion, Andrea Bargnani","Graham, Ukic, Parker, Marion, Bargnani",101121-101146-1515-1890-200745,TOR,105.0,1,2.0,3.0,,7.0,2.0,2.0,,96.0,16.666666666666668,16.666666666666668,2.0,4.0,2.0,,,2.0,3.0,4.0,,,,,,,2.0,3.0,1.0,,1.0,,2.0,,,0.6666666666666666,0.5,0.5,,1.0,,13.75,11.75,0.5,,,,,0.75,0.544425,3.733333333333333,4.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,,4.0,4.0,0.6666666666666666,0.5,0.5,0.25,0.25,0.25,0.544425,1.0,24.9,1.0,1.0,1.0,2.0,,0.5,1.0,,0.5,0.5,1.0,1.0,1.0,1.0,,1.0,,2.0,,,2.0,1.0,,1.0,,,,1.0,1.0,,0.5,,,,,0.25,1.0,1.0,,1.0,,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
101121-101146-1515-1890-2547,1610612761,"Joey Graham, Roko Ukic, Anthony Parker, Shawn Marion, Chris Bosh","Graham, Ukic, Parker, Marion, Bosh",101121-101146-1515-1890-2547,TOR,259.0,2,-2.0,10.0,4.0,19.0,6.0,,,105.63706563706565,11.1,11.0,4.0,9.0,3.0,,2.0,2.0,8.0,4.0,4.0,2.0,2.0,,4.0,1.0,4.0,6.0,1.0,,2.0,,2.0,1.0,1.0,0.25,0.2222222222222222,0.2222222222222222,0.5,0.8,,16.444444444444443,16.0,0.3333333333333333,0.2222222222222222,,,,0.4444444444444444,0.4392611111111111,8.275,3.0,1.0,,1.0,,2.0,,,,,,3.0,,,,0.1111111111111111,0.1111111111111111,,0.42885,,25.3,0.3333333333333333,1.0,,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,,2.0,1.0,1.0,3.0,,2.0,,2.0,1.0,2.0,3.0,2.0,,1.0,,,,0.5,1.0,0.4,0.3333333333333333,0.5,0.5,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.39785,,,0.5,1.0,1.0,1.0,2.0,,0.5,0.5,0.25,0.6666666666666666,,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
101121-101146-1515-1890-2574,1610612761,"Joey Graham, Roko Ukic, Anthony Parker, Shawn Marion, Jason Kapono","Graham, Ukic, Parker, Marion, Kapono",101121-101146-1515-1890-2574,TOR,29.0,1,,1.0,1.0,2.0,,1.0,,99.3103448275862,5.0,5.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,24.0,24.0,,,,,,1.0,0.34275,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
101121-101146-1515-200081-200745,1610612761,"Joey Graham, Roko Ukic, Anthony Parker, Jamario Moon, Andrea Bargnani","Graham, Ukic, Parker, Moon, Bargnani",101121-101146-1515-200081-200745,TOR,113.0,2,-2.0,4.0,2.0,8.0,7.0,2.0,,101.94690265486726,13.75,13.75,2.0,4.0,1.0,1.0,2.0,2.0,3.0,5.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,5.0,,,0.6666666666666666,0.6666666666666666,0.8333333333333334,,,,14.5,14.5,0.3333333333333333,0.6666666666666666,0.5,0.5,,0.3333333333333333,0.45493333333333336,13.033333333333333,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
101121-101146-1515-200081-2547,1610612761,"Joey Graham, Roko Ukic, Anthony Parker, Jamario Moon, Chris Bosh","Graham, Ukic, Parker, Moon, Bosh",101121-101146-1515-200081-2547,TOR,447.0,2,6.0,15.0,11.0,32.0,9.0,2.0,1.0,103.08724832214764,16.666666666666668,15.066666666666666,7.0,17.0,1.0,2.0,5.0,3.0,8.0,15.0,2.0,1.0,1.0,1.0,2.0,4.0,10.0,11.0,2.0,,2.0,1.0,13.0,0.3333333333333333,0.3333333333333333,0.375,0.3,0.5,0.8,0.6666666666666666,0.75,11.588235294117647,11.588235294117647,0.1,0.5,0.4,0.4,0.5,0.3,0.42051499999999997,13.475,17.0,1.0,1.0,2.0,3.0,8.0,2.0,15.0,4.0,,15.0,17.0,0.375,0.3,0.5,0.2,0.1,0.1,0.42051499999999997,1.0,24.05,1.0,,,1.0,,,,,0.1,,1.0,,1.0,2.0,9.0,,2.0,2.0,,1.0,4.0,1.0,,2.0,5.0,10.0,,1.0,0.5714285714285714,0.2,0.14285714285714285,,0.3333333333333333,0.3333333333333333,,0.2,0.5,0.5,,,,,,0.13333333333333333,,,1.0,,,,,,,,,0.5,,,2.0,,,1.0,1.0,,2.0,,,1.0,1.0,1.0,9.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,5.0,0.6666666666666666,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2009,2008-09,False
