EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,Corner3FGA,PtsAssisted2s,TwoPtAssists,AtRimAssists,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,ShortMidRangeFGM,SecondChanceFG2M,Fg3aBlocked,LongMidRangeAssists,OffThreePtRebounds,BlockedAtRim,SecondChanceFg2Pct,FG3APctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,PenaltyFG2M,PtsUnassisted3s,ThreePtShootingFoulsDrawn,DefensiveGoaltends,PenaltyFg2Pct,DefCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Corner3Assists,Loose Ball Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyAtRimFGM,PenaltyAtRimAccuracy,BadPassOutOfBoundsTurnovers,OffCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,SecondChanceTurnovers,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,SelfOReb,Travels,NonShootingPenaltyNonTakeFouls,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,LongMidRangePctBlocked,HeaveMakes,HeaveAttempts,Technical Free Throw Trips,RecoveredBlocks,BlocksRecoveredPct,SecondChanceFtPoints,BlockedLongMidRange,Defensive 3 Seconds Violations,AtRimPctBlocked,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
101131-101161-101198-200835-201167,1610612765,"Jason Maxiell, Amir Johnson, Will Bynum, Walter Herrmann, Arron Afflalo","Maxiell, Johnson, Bynum, Herrmann, Afflalo",101131-101161-101198-200835-201167,DET,646.0,3,11.0,-10.0,21.0,19,16.0,9.0,2.0,40,1.0,1.0,2.0,1.0,5.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,8.0,2.0,4.0,8.0,16.0,26.0,1.0,1.0,2.0,3.0,6.0,1.0,3.0,4.0,7.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,1.0,4.0,1.0,6.0,3.0,9,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0,6.0,10.0,2.0,3.0,1.0,1.0,1.0,1.0,13.0,7.0,16.0,3.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.125,0.3333333333333333,0.5,0.16666666666666666,0.47058823529411764,0.5,0.2916666666666667,0.3333333333333333,0.25,1.0,0.4,1.0,0.5,0.42857142857142855,0.3333333333333333,0.45454545454545453,0.3333333333333333,0.5,0.5,0.5,0.6,0.5,89.1640866873065,19.285714285714285,12.68421052631579,18.523809523809526,11.947368421052632,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.2,0.2,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.41235,0.4231833333333333,0.41942777777777773,0.14285714285714285,0.2,0.1875,0.4375,13.825,26.0,0.7619047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101198-1888-200835-201155,1610612765,"Jason Maxiell, Will Bynum, Richard Hamilton, Walter Herrmann, Rodney Stuckey","Maxiell, Bynum, Hamilton, Herrmann, Stuckey",101131-101198-1888-200835-201155,DET,288.0,1,5.0,-1.0,9.0,10,1.0,,,19,2.0,,1.0,,,,1.0,,,,,2.0,3.0,,2.0,5.0,9.0,10.0,,,,,,,,,,,,1.0,,,,2.0,,4.0,,1.0,3.0,,4.0,,4,1.0,,1.0,1.0,1.0,1.0,,,2.0,1.0,,,,,5.0,5.0,3.0,,,,,,9.0,,1.0,,,,,,,0.6666666666666666,0.4,,,0.6428571428571429,,,0.4,,,0.5,,1.0,,0.3333333333333333,0.6666666666666666,,,,,1.0,1.0,95.0,16.22222222222222,14.2,16.22222222222222,13.7,0.4,0.2,,,,0.2,,,,,,,,,,0.8,,0.5219699999999999,,,0.42857142857142855,0.6,,,4.6000000000000005,24.75,0.1111111111111111,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101198-1888-201155-2198,1610612765,"Jason Maxiell, Will Bynum, Richard Hamilton, Rodney Stuckey, Kwame Brown","Maxiell, Bynum, Hamilton, Stuckey, Brown",101131-101198-1888-201155-2198,DET,303.0,1,5.0,4.0,8.0,8,,,2.0,16,1.0,,1.0,1.0,4.0,1.0,3.0,,,,,3.0,6.0,1.0,3.0,2.0,11.0,7.0,3.0,,,4.0,,,,,,2.0,3.0,3.0,1.0,,1.0,3.0,1.0,7.0,2.0,1.0,2.0,,3.0,3.0,6,1.0,,1.0,,,1.0,,,1.0,,1.0,2.0,,,2.0,2.0,1.0,,1.0,,1.0,,7.0,,,,1.0,0.3333333333333333,,,0.3333333333333333,0.5,0.5,0.6666666666666666,,0.55,0.6666666666666666,,0.3333333333333333,,,,,0.6666666666666666,0.6666666666666666,1.0,0.75,0.6,,0.6666666666666666,,1.0,1.0,76.03960396039604,19.0,18.875,16.75,18.25,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5,1.0,,,,,,,0.4444444444444444,0.3333333333333333,0.48830555555555555,0.4368,,0.1,0.14285714285714285,0.36363636363636365,,13.5,26.766666666666666,,1.0,,4.0,2.0,1.0,1.0,,,0.6666666666666666,0.6666666666666666,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101198-1888-201155-686,1610612765,"Jason Maxiell, Will Bynum, Richard Hamilton, Rodney Stuckey, Antonio McDyess","Maxiell, Bynum, Hamilton, Stuckey, McDyess",101131-101198-1888-201155-686,DET,172.0,1,3.0,1.0,5.0,6,5.0,,,11,,,,1.0,1.0,1.0,3.0,,,1.0,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,,,,,1.0,1.0,3.0,3.0,8.0,2.0,,3.0,1.0,,,,,,,1.0,2.0,,3.0,,3,,,,,,,,,,,1.0,1.0,,,1.0,3.0,,,,,,,8.0,8.0,5.0,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1.0,0.625,,0.625,0.8,,0.8,0.75,,,,,1.0,,1.0,1.0,,,,,1.0,,92.09302325581395,20.8,11.333333333333334,20.8,11.333333333333334,,,0.25,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,,,,,,0.75,0.3333333333333333,0.75,0.3333333333333333,0.4386125,,0.4386125,0.2,,,1.0,19.4,26.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101198-1888-201155-739,1610612765,"Jason Maxiell, Will Bynum, Richard Hamilton, Rodney Stuckey, Rasheed Wallace","Maxiell, Bynum, Hamilton, Stuckey, Wallace",101131-101198-1888-201155-739,DET,106.0,1,2.0,5.0,2.0,1,,,1.0,3,1.0,,,,2.0,,,,,,,1.0,3.0,1.0,1.0,,5.0,,1.0,1.0,1.0,3.0,,,,,,,3.0,,,,1.0,2.0,,5.0,2.0,,,1.0,1.0,2.0,3,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,2.0,,,,1.0,1.0,1.0,,1.0,0.3333333333333333,0.625,0.75,,0.625,0.75,,0.25,,,,1.0,,1.0,,,1.0,,1.0,,,,40.75471698113208,28.0,50.0,19.0,50.0,0.25,,0.5,,,,,,,,,,,,,0.5,,0.4364375,0.489175,,,,0.6,,13.4,23.7,,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101198-1888-201167-2198,1610612765,"Jason Maxiell, Will Bynum, Richard Hamilton, Arron Afflalo, Kwame Brown","Maxiell, Bynum, Hamilton, Afflalo, Brown",101131-101198-1888-201167-2198,DET,65.0,1,1.0,3.0,2.0,2,2.0,,,4,,,,,,,,,,,,,,1.0,2.0,,3.0,,,,,,,1.0,2.0,,3.0,,3.0,,,,1.0,1.0,,3.0,,,2.0,,2.0,,2,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,,1.0,0.5,,0.5,0.5,,0.75,,0.75,0.75,,0.75,1.0,,,,,1.0,,,1.0,,,,1.0,,,88.61538461538463,16.5,16.0,16.5,16.0,,,,,,,,,,,,,,,,1.0,,0.599175,,0.599175,,,,1.0,,23.75,1.0,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,0.5,0.5,1.0,,,,1.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101198-1888-201167-686,1610612765,"Jason Maxiell, Will Bynum, Richard Hamilton, Arron Afflalo, Antonio McDyess","Maxiell, Bynum, Hamilton, Afflalo, McDyess",101131-101198-1888-201167-686,DET,331.0,2,6.0,3.0,11.0,11,8.0,8.0,,22,2.0,1.0,,1.0,4.0,,,,,,,2.0,6.0,,,8.0,12.0,9.0,,,,,4.0,,,6.0,10.0,,,,,,,2.0,,4.0,,2.0,3.0,,5.0,,5,1.0,,1.0,,,,,,,,1.0,2.0,,,5.0,9.0,3.0,2.0,1.0,,1.0,,12.0,10.0,8.0,2.0,,,,,,0.3333333333333333,0.3333333333333333,,0.5,0.6,,0.7142857142857143,,,,,,0.375,,0.6666666666666666,0.45454545454545453,,,,,0.42857142857142855,0.5,95.70996978851964,14.636363636363637,15.454545454545455,14.636363636363637,12.090909090909092,0.3333333333333333,,0.6666666666666666,0.25,0.25,,,,,,,,0.25,,,0.3333333333333333,,0.47465,,0.4783,0.375,0.375,,0.8333333333333334,13.25,,0.7272727272727273,1.0,,4.0,2.0,1.0,,,1.0,1.0,1.0,,0.5,0.5,1.0,,,,,1.0,,1.0,,,,,,,,1.0,2.0,,,,0.5,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101198-1888-201167-739,1610612765,"Jason Maxiell, Will Bynum, Richard Hamilton, Arron Afflalo, Rasheed Wallace","Maxiell, Bynum, Hamilton, Afflalo, Wallace",101131-101198-1888-201167-739,DET,38.0,1,1.0,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,37.89473684210527,,24.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101198-1888-2419-686,1610612765,"Jason Maxiell, Will Bynum, Richard Hamilton, Tayshaun Prince, Antonio McDyess","Maxiell, Bynum, Hamilton, Prince, McDyess",101131-101198-1888-2419-686,DET,483.0,2,8.0,6.0,12.0,13,12.0,3.0,3.0,25,1.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,7.0,2.0,4.0,4.0,18.0,12.0,2.0,1.0,2.0,7.0,7.0,2.0,4.0,4.0,18.0,6.0,6.0,3.0,2.0,,2.0,3.0,2.0,8.0,1.0,1.0,4.0,,5.0,3.0,8,1.0,1.0,,,,2.0,,,2.0,2.0,3.0,5.0,,1.0,2.0,4.0,1.0,1.0,,,,,11.0,18.0,12.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5714285714285714,0.6363636363636364,0.875,0.6363636363636364,0.6923076923076923,0.875,0.6923076923076923,0.36363636363636365,,,,,0.8,0.3333333333333333,1.0,0.8333333333333334,0.6,,0.3333333333333333,1.0,0.75,,74.53416149068322,18.416666666666668,20.153846153846153,15.0,19.076923076923077,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.4,0.4,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,1.0,0.09090909090909091,0.2727272727272727,0.6666666666666666,0.45454545454545453,0.6666666666666666,0.4748636363636363,0.47255,0.4748636363636363,0.08333333333333333,0.125,0.3888888888888889,1.0,14.757142857142856,24.875,1.0,1.0,1.0,2.0,1.0,1.0,,,,0.25,0.25,,1.0,1.0,1.0,0.09090909090909091,1.0,2.0,,,2.0,,1.0,,,1.0,1.0,1.0,1.0,,4.0,,,,0.5714285714285714,1.0,,,,1.0,,,,,,0.25,,,,1.0,0.09090909090909091,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
101131-101198-1888-2419-739,1610612765,"Jason Maxiell, Will Bynum, Richard Hamilton, Tayshaun Prince, Rasheed Wallace","Maxiell, Bynum, Hamilton, Prince, Wallace",101131-101198-1888-2419-739,DET,29.0,1,,1.0,,1,,,,1,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1.0,1.0,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,49.6551724137931,,22.0,,22.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2009,2008-09,True
