EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,HeaveAttempts,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FtPoints,Points,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Loose Ball Fouls,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,AtRimPctBlocked,LongMidRangePctBlocked,PenaltyArc3Accuracy,SecondChanceFtPoints,Blocked3s,BlockedArc3,3SecondViolations,SelfOReb,SelfORebPct,NonShootingPenaltyNonTakeFouls,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,PenaltyCorner3FGA,Defensive 3 Seconds Violations,PenaltyCorner3Frequency,PenaltyCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,team_id,year,season,team_vs
101107-1710-200780-201238-2746,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Mario West, Josh Smith","Williams, Bibby, Jones, West, Smith",101107-1710-200780-201238-2746,ATL,24.0,1,-2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,120.0,4.0,20.0,4.0,20.0,1.0,1.0,1.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
101107-1710-201143-2207-2436,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Joe Johnson, Flip Murray","Williams, Bibby, Horford, Johnson, Murray",101107-1710-201143-2207-2436,ATL,230.0,2,-4.0,6.0,4.0,,2.0,10.0,1.0,,2.0,9.0,,1.0,,0.4,62.608695652173914,17.333333333333332,31.5,17.333333333333332,26.25,0.2,,0.4,34.4,,4.0,2.0,3.0,1.0,2.0,3.0,1.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,0.6666666666666666,0.4,0.4166666666666667,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,0.431175,0.16666666666666666,0.25,19.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
101107-1710-201143-2207-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Joe Johnson, Josh Smith","Williams, Bibby, Horford, Johnson, Smith",101107-1710-201143-2207-2746,ATL,2124.0,4,7.0,67.0,63.0,11.0,3.0,130.0,9.0,1.0,12.0,59.0,1.0,,11.0,0.22641509433962265,88.13559322033899,15.17910447761194,17.571428571428573,14.82089552238806,17.206349206349206,0.16981132075471697,0.14285714285714285,0.4716981132075472,24.625,0.16417910447761194,35.0,5.0,18.0,3.0,20.0,41.0,14.0,66.0,26.0,13.0,16.0,3.0,35.0,6.0,12.0,14.0,16.0,4.0,58.0,0.65,0.6842105263157895,0.4878048780487805,0.49056603773584906,0.5416666666666666,0.33962264150943394,0.2777777777777778,0.2777777777777778,0.6,0.05660377358490566,0.49420754716981136,0.07017543859649122,0.08888888888888889,10.100000000000001,6.0,10.0,13.0,3.0,3.0,2.0,2.0,5.0,10.0,4.0,1.0,4.0,4.0,4.0,1.0,8.0,5.0,6.0,6.0,16.0,14.0,9.0,3.0,2.0,9.0,4.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,8.0,15.0,1.0,24.0,6.0,30.0,6.0,5.0,1.0,9.0,1.0,3.0,3.0,1.0,6.0,12.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,16.0,3.0,0.75,0.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,0.8,0.7142857142857143,0.8,0.8,0.07317073170731707,0.3,0.75,0.5,0.75,0.14285714285714285,1.0,0.375,0.8214285714285714,0.20689655172413793,0.3333333333333333,0.2,0.07692307692307693,0.4,0.3333333333333333,0.75,0.7142857142857143,0.7777777777777778,1.0,1.0,1.0,0.24528301886792453,0.7692307692307693,0.7692307692307693,0.6,0.18867924528301888,0.5,0.7142857142857143,0.8,0.4444444444444444,0.4444444444444444,0.75,0.6,1.0,0.3333333333333333,0.2,0.2857142857142857,1.0,0.4444444444444444,0.4861,0.5096642857142857,0.12121212121212122,0.24242424242424243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
101107-1710-201143-2230-2436,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Maurice Evans, Flip Murray","Williams, Bibby, Horford, Evans, Murray",101107-1710-201143-2230-2436,ATL,26.0,1,-3.0,,1.0,,,1.0,,,,3.0,,,,,55.38461538461538,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
101107-1710-201143-2230-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Maurice Evans, Josh Smith","Williams, Bibby, Horford, Evans, Smith",101107-1710-201143-2230-2746,ATL,457.0,2,-4.0,13.0,15.0,,,28.0,,,1.0,19.0,,,,0.1,88.22757111597375,14.23076923076923,18.133333333333333,14.23076923076923,16.133333333333333,,,0.4,23.6,,8.0,3.0,4.0,1.0,7.0,9.0,1.0,15.0,10.0,5.0,5.0,2.0,10.0,1.0,3.0,6.0,5.0,3.0,13.0,0.7142857142857143,0.8333333333333334,0.7777777777777778,0.7,0.625,0.4,0.75,0.75,0.6666666666666666,0.1,0.478995,0.25,0.2727272727272727,10.399999999999999,1.0,2.0,3.0,1.0,1.0,,,2.0,2.0,,,,1.0,1.0,,2.0,,,,,4.0,,,2.0,,,,,,1.0,2.0,,1.0,1.0,2.0,,3.0,1.0,4.0,2.0,1.0,1.0,2.0,,2.0,,,,2.0,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,0.5,0.3333333333333333,,0.6,0.3333333333333333,1.0,,,,,1.0,,1.0,,1.0,1.0,0.3,0.6666666666666666,0.6666666666666666,0.5,0.2,1.0,1.0,1.0,,,,1.0,1.0,,,,,,0.5754,,0.13333333333333333,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
101107-1710-201143-2436-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Flip Murray, Zaza Pachulia","Williams, Bibby, Horford, Murray, Pachulia",101107-1710-201143-2436-2585,ATL,134.0,1,-1.0,5.0,4.0,,,9.0,1.0,,1.0,8.0,,,,0.3333333333333333,96.71641791044776,13.0,17.25,12.4,15.75,0.3333333333333333,,0.6666666666666666,24.2,,2.0,,1.0,,1.0,2.0,2.0,7.0,2.0,1.0,2.0,,5.0,,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0.5,0.8333333333333334,0.875,0.3333333333333333,,,,,0.5295166666666666,0.25,0.3333333333333333,9.45,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,3.0,,,,,,3.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.5,,1.5,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,0.59895,,0.42857142857142855,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
101107-1710-201143-2436-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Flip Murray, Josh Smith","Williams, Bibby, Horford, Murray, Smith",101107-1710-201143-2436-2746,ATL,16.0,1,,1.0,1.0,,,2.0,,,,,,,,,180.0,11.0,5.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
101107-1710-2207-2436-2585,1610612737,"Marvin Williams, Mike Bibby, Joe Johnson, Flip Murray, Zaza Pachulia","Williams, Bibby, Johnson, Murray, Pachulia",101107-1710-2207-2436-2585,ATL,359.0,1,8.0,11.0,11.0,4.0,8.0,22.0,4.0,2.0,4.0,9.0,2.0,1.0,4.0,0.3076923076923077,88.24512534818942,13.636363636363637,19.0,12.272727272727273,19.0,0.3076923076923077,0.5,0.6153846153846154,32.0,0.36363636363636365,6.0,1.0,5.0,,4.0,9.0,3.0,17.0,4.0,2.0,3.0,1.0,7.0,1.0,1.0,3.0,4.0,2.0,15.0,0.5,0.6666666666666666,0.4444444444444444,0.5384615384615384,0.5666666666666667,0.38461538461538464,0.2,0.25,1.0,,0.5142916666666667,0.13333333333333333,0.18181818181818182,10.444444444444445,2.0,3.0,4.0,1.0,2.0,1.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,,,3.0,1.0,2.0,,3.0,3.0,6.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,6.0,,0.5,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333,0.625,0.3333333333333333,0.6,0.2222222222222222,,,,1.0,0.6,1.0,,1.0,0.5,1.0,,0.5,,,,1.0,1.0,,1.0,,0.3076923076923077,0.75,1.0,0.3333333333333333,,,,,0.5,0.5,0.5,0.6666666666666666,0.5,,0.3333333333333333,0.25,1.0,0.6666666666666666,0.5037666666666667,0.589,0.11764705882352941,0.35294117647058826,,,,,,,,,1.0,1.0,0.5,0.25,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
101107-1710-2207-2585-2746,1610612737,"Marvin Williams, Mike Bibby, Joe Johnson, Zaza Pachulia, Josh Smith","Williams, Bibby, Johnson, Pachulia, Smith",101107-1710-2207-2585-2746,ATL,316.0,4,-4.0,9.0,12.0,5.0,8.0,21.0,1.0,,1.0,12.0,,,5.0,0.14285714285714285,95.69620253164557,15.222222222222221,14.916666666666666,15.0,12.75,0.14285714285714285,,0.42857142857142855,25.2,0.5555555555555556,5.0,,1.0,,2.0,6.0,4.0,8.0,2.0,1.0,1.0,,2.0,3.0,3.0,5.0,8.0,3.0,7.0,0.5,0.5,0.3333333333333333,0.2857142857142857,0.36363636363636365,0.14285714285714285,,,,,0.47096428571428567,0.3,0.3333333333333333,7.8999999999999995,1.0,,2.0,,,,,2.0,3.0,,,,,,,1.0,1.0,3.0,2.0,4.0,2.0,,,,1.0,,,,,,1.0,1.0,,,2.0,1.0,3.0,1.0,4.0,2.0,2.0,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,4.0,1.0,,,,,0.3333333333333333,,0.3333333333333333,0.5,0.5,,,1.0,1.0,0.4,,,1.0,0.3333333333333333,0.2,,,,1.0,,0.5,,,,,1.0,0.2857142857142857,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,0.4021333333333333,0.125,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
101107-1710-2230-2585-2746,1610612737,"Marvin Williams, Mike Bibby, Maurice Evans, Zaza Pachulia, Josh Smith","Williams, Bibby, Evans, Pachulia, Smith",101107-1710-2230-2585-2746,ATL,71.0,1,,2.0,2.0,,2.0,4.0,,,,,,,,,81.12676056338029,15.0,20.5,15.0,20.5,,,,,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,0.4716,,,6.3,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2009,2008-09,False
