EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,Defensive 3 Seconds Violations,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,DefAtRimReboundPct,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,LiveBallTurnoverPct,DefShortMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,LongMidRangeAssists,LostBallSteals,Loose Ball Fouls Drawn,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFGA,SecondChanceFtPoints,DefCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallTurnovers,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,PenaltyFg3Pct,DefFTReboundPct,OffFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGA,PenaltyCorner3Frequency,BadPassOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,ShortMidRangePctBlocked,HeaveAttempts,PtsPutbacks,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101154-1498-1712-201156-201187,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Nick Young, Dominic McGuire","Blatche, Daniels, Jamison, Young, McGuire",101154-1498-1712-201156-201187,WAS,485.0,3,8.0,-3.0,11.0,11.0,4.0,22.0,1.0,2.0,1.0,2.0,7.0,2.0,4.0,1.0,9.0,2.0,4.0,8.0,11.0,1.0,2.0,2.0,2.0,6.0,4.0,2.0,1.0,2.0,2.0,2.0,6.0,1.0,3.0,2.0,2.0,4.0,4.0,8.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,6.0,1.0,0.5,0.5,0.1111111111111111,0.5,0.3076923076923077,0.5,0.3076923076923077,0.5,0.3076923076923077,0.1111111111111111,0.14285714285714285,0.6666666666666666,0.375,1.0,0.5,0.8,0.4,0.42857142857142855,0.5,0.6666666666666666,1.0,65.31958762886597,24.272727272727273,19.818181818181817,21.0,19.181818181818183,0.15384615384615385,0.5,0.5,0.5384615384615384,0.3076923076923077,0.5,0.5,1.0,1.0,0.5,0.46153846153846156,0.5,0.46446923076923075,0.5298,0.25,13.422222222222222,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
101154-1498-1712-201156-201580,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Nick Young, JaVale McGee","Blatche, Daniels, Jamison, Young, McGee",101154-1498-1712-201156-201580,WAS,66.0,1,1.0,-2.0,2.0,2.0,,4.0,,,,,1.0,,1.0,,1.0,,1.0,,2.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,0.5,,,0.5,,,,0.5,,,,,,87.27272727272727,23.0,10.0,23.0,8.5,,,,0.5,0.5,,,,,,0.5,,0.4884,,,21.9,26.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
101154-1498-1712-201156-2406,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Nick Young, Caron Butler","Blatche, Daniels, Jamison, Young, Butler",101154-1498-1712-201156-2406,WAS,895.0,4,15.0,-17.0,25.0,25.0,1.0,50.0,4.0,6.0,,,8.0,,2.0,7.0,19.0,,4.0,17.0,34.0,,3.0,,6.0,,2.0,,1.0,,4.0,,8.0,,3.0,,5.0,5.0,3.0,8.0,1.0,3.0,,3.0,7.0,,7.0,,,17.0,,,,0.3684210526315789,,0.30434782608695654,,0.3269230769230769,,0.17391304347826086,0.05263157894736842,,0.5555555555555556,0.25,,,0.5,0.1875,0.42857142857142855,,0.6,,80.44692737430168,20.48,15.32,18.36,14.96,0.2608695652173913,0.6666666666666666,0.8,0.34782608695652173,0.08695652173913043,,,,,,0.43478260869565216,,0.46631086956521733,0.40503333333333336,,11.521052631578948,24.7,0.3333333333333333,9.0,14.0,2.0,5.0,1.0,2.0,3.0,1.0,6.0,3.0,5.0,8.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,2.0,1.0,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.16666666666666666,0.6666666666666666,1.0,1.0,0.21739130434782608,0.4,0.4,0.125,0.125,0.08695652173913043,0.3782666666666667,0.08,0.09523809523809523,0.29411764705882354,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
101154-1498-1712-201156-2443,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Nick Young, Darius Songaila","Blatche, Daniels, Jamison, Young, Songaila",101154-1498-1712-201156-2443,WAS,336.0,3,6.0,2.0,9.0,10.0,1.0,19.0,3.0,3.0,,,1.0,,2.0,4.0,4.0,,3.0,10.0,8.0,,,,4.0,,2.0,,,,2.0,,4.0,2.0,,1.0,3.0,4.0,2.0,6.0,1.0,3.0,1.0,,2.0,1.0,4.0,1.0,,10.0,,,,1.0,,0.5714285714285714,,0.625,,0.42857142857142855,,,0.75,,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.5,,0.5,81.42857142857143,19.555555555555557,16.0,17.0,15.4,0.42857142857142855,1.0,1.0,0.14285714285714285,0.2857142857142857,,,,,,0.8571428571428571,,0.47500000000000003,,,6.125,26.099999999999998,1.0,,,,,1.0,1.0,2.0,,,,,4.0,2.0,1.0,1.0,,2.0,2.0,,,,2.0,1.0,,,,,,,,,,0.5,0.5,,,,,0.6666666666666666,1.0,0.3333333333333333,,,,1.0,1.0,0.14285714285714285,,0.125,0.2,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
101154-1498-1712-201187-2406,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Dominic McGuire, Caron Butler","Blatche, Daniels, Jamison, McGuire, Butler",101154-1498-1712-201187-2406,WAS,63.0,1,1.0,-1.0,2.0,2.0,1.0,4.0,,1.0,,,1.0,,,,2.0,,,2.0,3.0,,,2.0,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,0.3333333333333333,1.0,,0.5,,,0.5,1.0,,1.0,0.5,1.0,,,,91.42857142857143,18.0,13.5,18.0,12.5,0.5,,,0.5,,,,,,,0.5,,0.48615,,1.0,8.3,,,2.0,2.0,,,,,2.0,,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,,,,,2.0,2.0,,1.0,,,,,0.3333333333333333,1.0,,,,,,,,,,0.48615,,,1.0,1.0,,,,,1.0,,,,1.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
101154-1498-1712-2052-2406,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, DeShawn Stevenson, Caron Butler","Blatche, Daniels, Jamison, Stevenson, Butler",101154-1498-1712-2052-2406,WAS,2786.0,8,46.0,18.0,89.0,89.0,11.0,178.0,14.0,25.0,5.0,10.0,24.0,8.0,17.0,29.0,56.0,12.0,22.0,108.0,90.0,6.0,12.0,14.0,20.0,33.0,17.0,8.0,3.0,11.0,30.0,7.0,71.0,4.0,9.0,13.0,17.0,34.0,14.0,48.0,5.0,17.0,,18.0,26.0,1.0,15.0,2.0,,94.0,0.9166666666666666,0.5454545454545454,0.5454545454545454,0.5178571428571429,0.5,0.6025641025641025,0.46153846153846156,0.6162790697674418,0.5,0.28205128205128205,0.05357142857142857,,0.7083333333333334,0.34615384615384615,0.8666666666666667,0.4,0.7692307692307693,0.3611111111111111,0.25,0.4444444444444444,0.875,0.8181818181818182,92.00287150035895,15.752808988764045,15.55056179775281,14.719101123595506,15.247191011235955,0.32051282051282054,0.56,0.6363636363636364,0.3076923076923077,0.21794871794871795,0.47058823529411764,0.47058823529411764,0.875,0.7692307692307693,0.5,0.6025641025641025,0.47058823529411764,0.5207538461538461,0.57875,0.12962962962962962,9.432142857142859,25.431818181818183,0.6,20.0,28.0,4.0,7.0,11.0,5.0,14.0,10.0,15.0,5.0,28.0,38.0,19.0,11.0,6.0,3.0,12.0,6.0,,2.0,,20.0,7.0,3.0,6.0,1.0,6.0,,28.0,20.0,1.0,3.0,0.6551724137931034,0.6551724137931034,0.6666666666666666,0.6764705882352942,0.7,0.12,0.7058823529411765,0.6666666666666666,0.7857142857142857,0.08974358974358974,0.5714285714285714,0.5714285714285714,0.4583333333333333,0.4583333333333333,0.0641025641025641,0.5259705882352941,0.08433734939759036,0.11475409836065574,0.25925925925925924,0.2247191011235955,,1.0,4.0,3.0,1.0,,0.36363636363636365,,8.0,2.0,1.0,0.47058823529411764,6.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,6.0,1.0,2.0,2.0,4.0,1.0,2.0,0.5,0.8,0.25,0.36363636363636365,0.6666666666666666,0.09090909090909091,0.3333333333333333,1.0,0.8,0.8,1.0,0.8,0.07692307692307693,0.75,0.11764705882352941,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
101154-1498-1712-2406-2413,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Caron Butler, Juan Dixon","Blatche, Daniels, Jamison, Butler, Dixon",101154-1498-1712-2406-2413,WAS,105.0,1,2.0,-5.0,4.0,4.0,,8.0,,,,,,,1.0,,,,2.0,2.0,7.0,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,2.0,,1.0,,2.0,3.0,,2.0,,,1.0,,,,,,,,0.25,0.5,1.0,,,,,,0.5,,0.5,,,,,109.71428571428571,16.5,9.75,15.0,9.75,,,,,0.5,,,,,,1.0,,0.566175,,0.5,,25.0,,4.0,4.0,,,,1.0,2.0,,,2.0,2.0,,,,,,1.0,,,1.0,1.0,4.0,2.0,,,,,,2.0,4.0,1.0,,,,,,0.25,,1.0,,,,,,,,0.5,0.566175,0.5,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,,2.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,0.5,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
101154-1498-1712-2406-2443,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Caron Butler, Darius Songaila","Blatche, Daniels, Jamison, Butler, Songaila",101154-1498-1712-2406-2443,WAS,161.0,1,3.0,2.0,5.0,6.0,1.0,11.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,7.0,5.0,1.0,1.0,2.0,2.0,3.0,,,,1.0,1.0,,3.0,,1.0,,3.0,3.0,1.0,4.0,,2.0,,,1.0,,1.0,,,5.0,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,1.0,0.875,1.0,0.3333333333333333,,,0.6,1.0,,,0.5,1.0,,,1.0,,98.38509316770187,12.4,16.5,11.8,14.333333333333334,0.3333333333333333,1.0,1.0,,,,,,1.0,1.0,0.6666666666666666,,0.5795,0.6593,0.2857142857142857,6.85,22.6,0.5,,,,1.0,,1.0,2.0,,,,,,,,1.0,1.0,2.0,2.0,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,0.3333333333333333,,,,,0.3333333333333333,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
101154-1498-201156-201187-201580,1610612764,"Andray Blatche, Antonio Daniels, Nick Young, Dominic McGuire, JaVale McGee","Blatche, Daniels, Young, McGuire, McGee",101154-1498-201156-201187-201580,WAS,38.0,1,1.0,,2.0,1.0,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,113.6842105263158,7.0,24.0,7.0,24.0,,,,,,,,,,,,,0.405,,,9.8,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
101154-1498-201156-201187-2406,1610612764,"Andray Blatche, Antonio Daniels, Nick Young, Dominic McGuire, Caron Butler","Blatche, Daniels, Young, McGuire, Butler",101154-1498-201156-201187-2406,WAS,335.0,3,6.0,-5.0,10.0,11.0,,21.0,1.0,3.0,,,2.0,1.0,1.0,2.0,6.0,1.0,2.0,9.0,14.0,,,,2.0,3.0,1.0,1.0,,1.0,2.0,1.0,5.0,,,,3.0,3.0,,3.0,,1.0,,2.0,4.0,,3.0,,,9.0,1.0,0.5,0.5,0.3333333333333333,,0.4375,,0.5,,0.25,,,0.6,,,,0.6,,,,1.0,,90.26865671641792,16.9,15.090909090909092,16.9,14.636363636363637,0.375,0.3333333333333333,0.3333333333333333,0.25,0.125,1.0,1.0,1.0,,,0.625,1.0,0.5231625,,,8.65,24.25,,,4.0,,1.0,1.0,1.0,2.0,,,,,2.0,1.0,1.0,2.0,1.0,1.0,,,,,2.0,1.0,,1.0,,1.0,,,,,,0.5,0.5,,,,,1.0,,1.0,0.125,,,0.5,0.5,0.125,,0.1111111111111111,0.14285714285714285,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2009,2008-09,True
