EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,DeadBallTurnovers,Offensive Fouls,DefShortMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFGA,FTDefRebounds,LostBallTurnovers,ShootingFouls,Offensive Fouls Drawn,DefFTReboundPct,LongMidRangeFrequency,ShortMidRangeFGM,LongMidRangeFGM,Steals,LostBallSteals,StepOutOfBoundsTurnovers,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceShotQualityAvg,Corner3FGA,Corner3Frequency,PenaltyArc3FGM,PenaltyFG3M,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,LostBallOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,OffAtRimReboundPct,HeaveAttempts,BadPassOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,Technical Free Throw Trips,BlockedShortMidRange,SelfORebPct,SecondChanceArc3Frequency,ShortMidRangePctBlocked,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,SecondChanceTurnovers,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls Drawn,FTOffRebounds,OffFTReboundPct,PtsUnassisted3s,BlockedLongMidRange,OffCorner3ReboundPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Blocked3s,BlockedArc3,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,3SecondViolations,Arc3PctBlocked,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
101119-101155-1563-200751-200783,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Randy Foye, Craig Smith","McCants, Gomes, Ollie, Foye, Smith",101119-101155-1563-200751-200783,MIN,236.0,2,4.0,-3.0,9.0,8.0,4.0,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,6.0,3.0,8.0,11.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,6.0,4.0,4.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.35714285714285715,1.0,0.25,0.4444444444444444,1.0,0.4,0.8571428571428571,1.0,0.5,1.0,0.2,0.75,0.2,0.2,1.0,1.0,103.72881355932203,11.555555555555555,16.5,11.555555555555555,15.625,0.14285714285714285,1.0,1.0,0.8571428571428571,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.25,1.0,0.75,1.0,0.16666666666666666,0.4998,0.489075,0.125,0.5,0.25,0.5,3.2,25.683333333333334,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
101119-101155-1563-200751-201567,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Randy Foye, Kevin Love","McCants, Gomes, Ollie, Foye, Love",101119-101155-1563-200751-201567,MIN,45.0,1,1.0,,2.0,1.0,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,96.0,10.0,25.0,10.0,25.0,,,,,,,,,,,,,,,0.3941,,,,,,12.3,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
101119-101155-1563-200751-2215,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Randy Foye, Jason Collins","McCants, Gomes, Ollie, Foye, Collins",101119-101155-1563-200751-2215,MIN,111.0,1,2.0,-2.0,4.0,5.0,,,,9.0,,,,,,,,,,,2.0,,,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,,2.0,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,,,,,,,,,116.75675675675676,15.75,9.6,15.75,9.6,,,,,,,,,,,,,,,0.4103,,0.3333333333333333,0.3333333333333333,,,17.05,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
101119-101155-1563-200751-2744,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Randy Foye, Al Jefferson","McCants, Gomes, Ollie, Foye, Jefferson",101119-101155-1563-200751-2744,MIN,328.0,2,5.0,-6.0,9.0,8.0,,,,17.0,,,,,,,1.0,2.0,,2.0,5.0,1.0,2.0,,7.0,13.0,,,,,,,,,4.0,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,1.0,,,3.0,2.0,2.0,,,,7.0,,,,,1.0,0.5,0.5,0.4,,,0.5,,,0.5,,,0.2857142857142857,,,1.0,,1.0,,,,,74.6341463414634,20.333333333333332,18.125,20.333333333333332,18.125,,,,0.2857142857142857,0.5,0.5,1.0,,,,,,0.2857142857142857,0.5,0.4363428571428571,,,,,,15.74,25.1,,2.0,3.0,,,0.2857142857142857,3.0,,,2.0,,,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
101119-101155-1563-200783-201567,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Craig Smith, Kevin Love","McCants, Gomes, Ollie, Smith, Love",101119-101155-1563-200783-201567,MIN,285.0,2,5.0,-6.0,10.0,10.0,3.0,3.0,1.0,20.0,2.0,6.0,,1.0,1.0,2.0,,,,3.0,8.0,,,2.0,8.0,14.0,,1.0,,1.0,3.0,,,2.0,2.0,,,,,,2.0,,4.0,,,2.0,2.0,,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,,8.0,2.0,3.0,,,,,,0.375,,0.3333333333333333,0.375,,0.3333333333333333,0.4444444444444444,,0.3333333333333333,,1.0,1.0,,,0.6666666666666666,,,,,101.05263157894737,14.1,14.4,13.6,14.3,0.75,0.3333333333333333,0.4,,,,,1.0,,0.6666666666666666,0.5,,0.75,,0.529125,0.4986,0.1111111111111111,0.1111111111111111,,0.25,3.375,,0.3,1.0,,,1.0,0.125,1.0,,1.0,2.0,,,0.125,,1.0,1.0,,,,,,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.125,0.16666666666666666,1.0,1.0,1.0,0.5632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
101119-101155-1563-200783-2034,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Craig Smith, Mike Miller","McCants, Gomes, Ollie, Smith, Miller",101119-101155-1563-200783-2034,MIN,97.0,1,2.0,-1.0,3.0,4.0,,,,7.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,3.0,4.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,1.0,2.0,1.0,,3.0,,,,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,,,,,,,103.91752577319588,13.0,14.5,13.0,14.5,0.5,1.0,1.0,,,,,,,,,,1.0,,0.705575,,0.3333333333333333,0.5,,,,23.5,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,1.0,1.0,2.0,,,,,1.0,1.0,,,,,1.0,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
101119-101155-1563-200783-2744,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Craig Smith, Al Jefferson","McCants, Gomes, Ollie, Smith, Jefferson",101119-101155-1563-200783-2744,MIN,600.0,3,10.0,-1.0,20.0,20.0,8.0,6.0,2.0,40.0,5.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7.0,15.0,1.0,1.0,7.0,24.0,25.0,1.0,2.0,2.0,2.0,4.0,1.0,5.0,12.0,4.0,3.0,,1.0,1.0,1.0,6.0,1.0,13.0,,1.0,2.0,3.0,2.0,5.0,2.0,1.0,4.0,7.0,6.0,7.0,3.0,,22.0,12.0,8.0,1.0,,1.0,1.0,1.0,0.4666666666666667,0.5,0.5,0.53125,0.5,0.7,0.6666666666666666,0.5,0.8571428571428571,0.0625,0.5,0.6666666666666666,0.5,,0.6,0.25,,1.0,0.5,96.0,16.6,13.4,16.0,12.65,0.375,0.8333333333333334,0.8333333333333334,0.0625,1.0,1.0,1.0,0.5,1.0,0.4,1.0,0.2,0.4375,1.0,0.486165625,0.49207,0.2222222222222222,0.1875,0.08333333333333333,0.5,7.053333333333333,24.9,0.4,5.0,2.0,,,0.3125,4.0,,1.0,1.0,1.0,,0.25,1.0,1.0,3.0,,,,0.2,0.2,0.25,0.25,10.0,,5.0,3.0,3.0,1.0,1.0,1.0,,0.7142857142857143,0.7142857142857143,,,,,0.6,0.4946,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.25,0.25,0.3333333333333333,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
101119-101155-1563-201147-2744,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Corey Brewer, Al Jefferson","McCants, Gomes, Ollie, Brewer, Jefferson",101119-101155-1563-201147-2744,MIN,82.0,1,1.0,5.0,3.0,2.0,2.0,2.0,,5.0,1.0,1.0,,,,,,,,2.0,2.0,,,3.0,7.0,2.0,,,,1.0,1.0,,2.0,4.0,2.0,,,,,,1.0,,2.0,,,1.0,1.0,,1.0,,,,,2.0,3.0,1.0,1.0,7.0,4.0,2.0,,1.0,,,,1.0,,1.0,1.0,,1.0,1.1666666666666667,,1.0,,,1.0,,,1.0,,,1.0,,87.80487804878048,14.666666666666666,19.0,14.666666666666666,19.0,0.5,1.0,1.0,,,,,,,,,,0.5,,0.4917,0.4124,0.5,0.5,,0.5714285714285714,10.2,,0.6666666666666666,,,,,,1.0,,,,,,0.5,,1.0,,,,,,,1.0,1.0,2.0,,1.0,,,,,,,0.5,0.5,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
101119-101155-1563-201567-2034,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Kevin Love, Mike Miller","McCants, Gomes, Ollie, Love, Miller",101119-101155-1563-201567-2034,MIN,166.0,1,3.0,-2.0,4.0,5.0,,,1.0,9.0,,2.0,,1.0,,,,,,,5.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,0.2,,1.0,,78.07228915662651,23.75,14.2,23.0,14.2,0.4,,,,,,,1.0,,,,,0.4,,0.43558,,,,,,9.1,,,1.0,,,,0.2,2.0,,,,,,0.4,,,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,0.2,0.5,1.0,1.0,,0.5077,,,,,,,1.0,,,,,,,,0.2,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
101119-101155-1563-201567-2073,1610612750,"Rashad McCants, Ryan Gomes, Kevin Ollie, Kevin Love, Brian Cardinal","McCants, Gomes, Ollie, Love, Cardinal",101119-101155-1563-201567-2073,MIN,328.0,2,5.0,,10.0,11.0,8.0,8.0,,21.0,,1.0,,,,,,3.0,3.0,,1.0,,3.0,5.0,5.0,5.0,,,,,,3.0,5.0,5.0,,,,2.0,,,,,,,,4.0,4.0,,4.0,1.0,1.0,5.0,1.0,6.0,6.0,1.0,2.0,5.0,5.0,8.0,,2.0,,,,,,,,,,0.35714285714285715,,0.4166666666666667,0.75,0.2,1.0,,,1.0,,,1.0,,92.1951219512195,17.1,14.272727272727273,17.1,14.272727272727273,0.25,,,0.75,,,,,,,,1.0,1.0,,0.4256166666666667,0.368625,0.2,0.5,,1.0,,39.53333333333333,0.8,,4.0,1.0,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,1.0,,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2009,2008-09,False
