EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG3M,FG3A,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LongMidRangeAssists,DefTwoPtRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Fg2aBlocked,ShootingFouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,BlocksRecoveredPct,DefCorner3ReboundPct,BadPassSteals,Travels,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceTurnovers,SecondChanceAtRimAccuracy,LostBallOutOfBoundsTurnovers,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,FTDefRebounds,DefFTReboundPct,PenaltyArc3Frequency,BlockedLongMidRange,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,OffThreePtRebounds,BadPassTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,SelfORebPct,SecondChanceArc3Frequency,SecondChanceCorner3FGA,Loose Ball Fouls Drawn,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,Arc3Assists,FTOffRebounds,Loose Ball Fouls,Defensive 3 Seconds Violations,SecondChanceFg3Pct,OffFTReboundPct,OffCorner3ReboundPct,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,DefensiveGoaltends,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,team_id,year,season,team_vs
101162-1499-1533-1747-2554,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Rafer Alston, Mickael Pietrus","Gortat, Battie, Johnson, Alston, Pietrus",101162-1499-1533-1747-2554,ORL,76.0,1,1.0,4.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.6842105263158,15.333333333333334,10.0,15.333333333333334,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63295,0.63295,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
101162-1499-1533-200755-2045,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, JJ Redick, Hedo Turkoglu","Gortat, Battie, Johnson, Redick, Turkoglu",101162-1499-1533-200755-2045,ORL,217.0,1,4.0,-3.0,8.0,7.0,,,15.0,,,,,1.0,3.0,5.0,,,,2.0,1.0,2.0,,5.0,1.0,3.0,3.0,1.0,1.0,5.0,,,1.0,1.0,0.3333333333333333,,0.5,,0.5,,1.0,1.0,1.0,99.53917050691244,13.75,15.285714285714286,13.75,15.285714285714286,,,,,,,0.4,0.48299000000000003,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.4,0.3333333333333333,1.0,1.0,0.2,0.4,0.5,0.5,1.0,0.2,1.0,1.0,1.0,0.2,13.133333333333333,24.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
101162-1499-1533-200978-2554,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Jeremy Richardson, Mickael Pietrus","Gortat, Battie, Johnson, Richardson, Pietrus",101162-1499-1533-200978-2554,ORL,146.0,1,2.0,1.0,5.0,4.0,5.0,4.0,9.0,,1.0,,1.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,1.0,1.0,,2.0,,2.0,4.0,,,4.0,6.0,5.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,1.0,,88.76712328767124,13.8,19.25,12.6,19.25,0.25,,,,0.25,,0.25,0.36985,0.36985,1.0,1.0,1.0,1.0,2.0,,,,,,5.0,,,,,,2.0,1.0,,,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,,0.25,0.5,0.5,0.5,,,,,,,12.7,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.39395,0.2,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
101162-1499-1533-201584-2045,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Courtney Lee, Hedo Turkoglu","Gortat, Battie, Johnson, Lee, Turkoglu",101162-1499-1533-201584-2045,ORL,290.0,3,5.0,1.0,9.0,11.0,3.0,3.0,20.0,3.0,5.0,,1.0,5.0,10.0,11.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,,7.0,9.0,,,11.0,2.0,3.0,0.2,0.2,0.5,0.2,0.5,0.2,0.55,0.2,,0.875,,99.3103448275862,17.22222222222222,12.272727272727273,14.555555555555555,10.454545454545455,0.5,0.6,0.75,0.3333333333333333,0.2,,0.5,0.52566,0.44108,0.18181818181818182,0.3333333333333333,2.0,2.0,3.0,,,,,,10.0,,,,,,7.0,1.0,,,1.0,1.0,1.0,,2.0,,,,,1.0,0.875,0.6666666666666666,0.2,0.3,0.6666666666666666,0.6666666666666666,,,,,,,6.92,,2.0,1.0,,1.0,,2.0,,,8.0,,,2.0,2.0,,1.0,1.0,,,,,,,0.4,0.4,,1.0,1.0,1.0,,,,0.5,0.4706,0.1,0.1,,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,0.2,0.2,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
101162-1499-1533-201584-2554,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Courtney Lee, Mickael Pietrus","Gortat, Battie, Johnson, Lee, Pietrus",101162-1499-1533-201584-2554,ORL,163.0,1,3.0,,4.0,4.0,,,8.0,1.0,1.0,,,2.0,3.0,4.0,,,,2.0,1.0,1.0,,2.0,1.0,3.0,3.0,,,4.0,,,0.5,0.5,0.6666666666666666,,0.5,,0.5,,1.0,1.0,,70.67484662576686,19.5,21.25,19.5,21.25,0.25,1.0,1.0,,,,0.5,0.4772375,,,,1.0,1.0,1.0,,,1.0,,1.0,4.0,,1.0,,,1.0,2.0,,,,,,2.0,,,,,,0.25,,1.0,1.0,0.25,0.25,1.0,1.0,1.0,,,,,0.25,8.933333333333334,25.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
101162-1499-1533-2045-2554,1610612753,"Marcin Gortat, Tony Battie, Anthony Johnson, Hedo Turkoglu, Mickael Pietrus","Gortat, Battie, Johnson, Turkoglu, Pietrus",101162-1499-1533-2045-2554,ORL,399.0,1,7.0,-4.0,14.0,14.0,,,28.0,3.0,4.0,,,4.0,9.0,12.0,,,,4.0,2.0,2.0,1.0,4.0,,4.0,4.0,1.0,,12.0,,,0.5,0.5,0.4444444444444444,,0.4444444444444444,,0.5454545454545454,,,0.6666666666666666,,101.05263157894737,15.285714285714286,13.214285714285714,15.285714285714286,13.071428571428571,0.4444444444444444,0.75,0.75,0.3333333333333333,,,0.4444444444444444,0.5024333333333333,,,,3.0,1.0,2.0,,,,,,16.0,,,,,1.0,4.0,,1.0,3.0,,3.0,6.0,1.0,4.0,,,,,,0.6666666666666666,0.5,0.3333333333333333,0.2222222222222222,0.5,0.5,1.0,,,,,,8.066666666666666,,,,,4.0,,,,,4.0,,,,,,6.0,2.0,,,,,,,,,,,1.0,0.5,,,,,,0.2727272727272727,0.2,,,4.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
101162-1499-1740-200755-2749,1610612753,"Marcin Gortat, Tony Battie, Rashard Lewis, JJ Redick, Jameer Nelson","Gortat, Battie, Lewis, Redick, Nelson",101162-1499-1740-200755-2749,ORL,239.0,1,4.0,-3.0,7.0,8.0,,,15.0,1.0,3.0,,,3.0,8.0,6.0,,,,4.0,2.0,2.0,,4.0,2.0,3.0,6.0,,,4.0,,,0.6666666666666666,1.0,0.375,,0.375,,0.375,,1.0,1.0,1.0,90.3765690376569,17.142857142857142,14.875,16.428571428571427,14.875,0.375,0.3333333333333333,0.5,,,,0.375,0.4763375,,,,2.0,1.0,3.0,,,,,,9.0,,,,,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,,,,,0.5,1.0,,0.25,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,,,8.9125,,2.0,2.0,1.0,,1.0,2.0,2.0,,2.0,2.0,1.0,3.0,3.0,,,,,,,0.5,0.5,0.5,0.6,0.6,0.5,0.5,1.0,,0.5,1.0,1.0,1.0,0.5358,,,0.3333333333333333,2.0,1.0,,,,,,,0.25,0.3333333333333333,0.5,1.0,,1.0,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
101162-1499-1740-2554-2730,1610612753,"Marcin Gortat, Tony Battie, Rashard Lewis, Mickael Pietrus, Dwight Howard","Gortat, Battie, Lewis, Pietrus, Howard",101162-1499-1740-2554-2730,ORL,1.0,1,,-2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2880.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
101162-1499-1747-200755-2045,1610612753,"Marcin Gortat, Tony Battie, Rafer Alston, JJ Redick, Hedo Turkoglu","Gortat, Battie, Alston, Redick, Turkoglu",101162-1499-1747-200755-2045,ORL,15.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
101162-1499-1747-200755-2554,1610612753,"Marcin Gortat, Tony Battie, Rafer Alston, JJ Redick, Mickael Pietrus","Gortat, Battie, Alston, Redick, Pietrus",101162-1499-1747-200755-2554,ORL,58.0,1,1.0,-4.0,2.0,2.0,2.0,2.0,4.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,99.3103448275862,13.5,15.5,13.5,15.5,,,,,,,,0.3917,0.3917,,1.0,,,1.0,,,,,,4.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,16.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2009,2008-09,False
