EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,FG2A,FtPoints,Points,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,OffRebounds,Rebounds,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,OpponentPoints,SecondChanceFG2M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,Avg3ptShotDistance,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,ShortMidRangeAssists,OffThreePtRebounds,BadPassTurnovers,Technical Free Throw Trips,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,LongMidRangeFGM,PtsPutbacks,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Loose Ball Fouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,Corner3Assists,FTDefRebounds,PenaltyFg2Pct,DefFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,Offensive Fouls,OffCorner3ReboundPct,HeaveAttempts,LostBallSteals,LostBallOutOfBoundsTurnovers,SelfOReb,ThreePtShootingFoulsDrawn,SelfORebPct,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,DefCorner3ReboundPct,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceTurnovers,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,3SecondViolations,LongMidRangePctBlocked,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,Clear Path Fouls,Blocked3s,BlockedCorner3,Corner3PctBlocked,3pt And 1 Free Throw Trips,OffensiveGoaltends,BlockedArc3,team_id,year,season,team_vs
101113-101119-101128-1517-201574,1610612758,"Ike Diogu, Rashad McCants, Francisco Garcia, Bobby Jackson, Jason Thompson","Diogu, McCants, Garcia, Jackson, Thompson",101113-101119-101128-1517-201574,SAC,45.0,1,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.16666666666666666,0.25,0.16666666666666666,1.0,1.0,1.0,1.0,96.0,13.0,19.0,9.0,19.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5997,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,5.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
101113-101119-101128-1517-201590,1610612758,"Ike Diogu, Rashad McCants, Francisco Garcia, Bobby Jackson, Donte Greene","Diogu, McCants, Garcia, Jackson, Greene",101113-101119-101128-1517-201590,SAC,330.0,1,6.0,2.0,12.0,10.0,5.0,2.0,22.0,8.0,2.0,3.0,,10.0,1.0,11.0,2.0,1.0,3.0,3.0,,,2.0,2.0,5.0,3.0,,1.0,1.0,,5.0,0.5,0.75,,0.4,0.3333333333333333,0.3333333333333333,,96.0,11.833333333333334,18.8,11.5,17.6,0.7272727272727273,,1.0,0.75,0.8181818181818182,0.564,0.59755,0.508,0.09090909090909091,0.1,0.2727272727272727,,3.7399999999999998,0.4166666666666667,5.0,5.0,1.0,2.0,1.0,1.0,5.0,1.0,9.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,8.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,8.0,3.0,0.8,0.8,0.5,0.5,0.45454545454545453,0.5,0.09090909090909091,1.0,0.1,0.125,1.0,0.6666666666666666,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.625,0.7142857142857143,0.8,0.18181818181818182,0.09090909090909091,0.5,1.0,0.25,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
101113-101119-101128-1517-2804,1610612758,"Ike Diogu, Rashad McCants, Francisco Garcia, Bobby Jackson, Andres Nocioni","Diogu, McCants, Garcia, Jackson, Nocioni",101113-101119-101128-1517-2804,SAC,184.0,1,3.0,1.0,6.0,6.0,,1.0,12.0,1.0,1.0,,3.0,4.0,1.0,5.0,1.0,,2.0,,,,1.0,2.0,5.0,1.0,,3.0,1.0,,,0.35714285714285715,0.5,,0.5,0.5,,0.5,93.91304347826086,14.333333333333334,16.333333333333332,12.666666666666666,16.333333333333332,0.16666666666666666,0.5,0.5,,0.5,0.5363666666666667,0.6513,,0.14285714285714285,0.2,0.4,,6.725,,,1.0,1.0,,2.0,,2.0,2.0,4.0,1.0,,2.0,2.0,2.0,1.0,,1.0,1.0,,2.0,1.0,2.0,3.0,,,1.0,,,,1.0,,,,,,3.0,,0.5,0.5,0.5,1.0,0.3333333333333333,0.5,0.3333333333333333,,0.25,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,0.3333333333333333,1.0,,,24.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
101113-101119-101128-201150-2757,1610612758,"Ike Diogu, Rashad McCants, Francisco Garcia, Spencer Hawes, Beno Udrih","Diogu, McCants, Garcia, Hawes, Udrih",101113-101119-101128-201150-2757,SAC,172.0,1,3.0,,6.0,6.0,,1.0,12.0,3.0,1.0,,1.0,5.0,,8.0,1.0,,2.0,,,,1.0,1.0,3.0,,,,,,,0.8,1.0,,1.0,1.0,1.0,,100.46511627906976,14.666666666666666,14.0,14.666666666666666,13.5,0.6,0.2,1.0,,0.6,0.53232,0.6099,,,,0.25,,6.82,,2.0,2.0,1.0,1.0,,,4.0,,8.0,1.0,,4.0,4.0,,,,2.0,2.0,,4.0,1.0,1.0,2.0,,,1.0,,,,1.0,,1.0,1.0,,,6.0,,0.5,0.6666666666666666,0.8,1.0,0.8,1.0,,,,,,1.0,1.0,0.5,0.6666666666666666,,1.0,,0.5,0.6666666666666666,0.6666666666666666,,0.2,,1.0,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
101113-101119-101128-201574-201590,1610612758,"Ike Diogu, Rashad McCants, Francisco Garcia, Jason Thompson, Donte Greene","Diogu, McCants, Garcia, Thompson, Greene",101113-101119-101128-201574-201590,SAC,352.0,1,6.0,3.0,12.0,11.0,3.0,1.0,23.0,5.0,1.0,,1.0,7.0,4.0,11.0,2.0,,2.0,,,3.0,2.0,3.0,9.0,4.0,,5.0,3.0,3.0,3.0,0.4230769230769231,0.3333333333333333,1.5,0.4,0.375,0.3333333333333333,1.0,94.0909090909091,14.833333333333334,15.818181818181818,12.5,15.545454545454545,0.45454545454545453,0.09090909090909091,0.3333333333333333,,0.8181818181818182,0.54945,0.482525,0.58275,0.23076923076923078,0.3333333333333333,0.18181818181818182,0.2727272727272727,3.914285714285714,0.25,2.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,8.0,1.0,1.0,2.0,2.0,4.0,1.0,,1.0,2.0,1.0,5.0,2.0,4.0,6.0,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,9.0,1.0,0.5,0.5,0.2857142857142857,0.5,0.3181818181818182,0.3333333333333333,0.36363636363636365,,0.14285714285714285,0.2,,,0.8,1.0,0.8571428571428571,,1.0,1.0,1.0,0.4,0.5,0.5,0.09090909090909091,0.36363636363636365,1.0,,1.0,24.675,,1.0,1.0,,1.0,,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,1.5,0.5,0.25,0.25,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
101113-101119-101128-201590-2757,1610612758,"Ike Diogu, Rashad McCants, Francisco Garcia, Donte Greene, Beno Udrih","Diogu, McCants, Garcia, Greene, Udrih",101113-101119-101128-201590-2757,SAC,22.0,1,,2.0,1.0,1.0,1.0,,2.0,,,,,,2.0,2.0,,,,,2.0,2.0,,,1.0,1.0,,2.0,,2.0,1.0,1.0,,1.0,,,,,130.9090909090909,12.0,10.0,12.0,10.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
101113-101119-101128-201590-2804,1610612758,"Ike Diogu, Rashad McCants, Francisco Garcia, Donte Greene, Andres Nocioni","Diogu, McCants, Garcia, Greene, Nocioni",101113-101119-101128-201590-2804,SAC,253.0,1,4.0,3.0,7.0,6.0,,2.0,13.0,3.0,,,,4.0,1.0,12.0,,1.0,4.0,,,,2.0,2.0,4.0,2.0,,2.0,1.0,,,0.6666666666666666,1.0,,0.6666666666666666,0.5,0.5,,73.99209486166008,14.142857142857142,25.666666666666668,12.714285714285714,23.833333333333332,0.375,,,,0.875,0.53831875,0.54525,,0.1111111111111111,0.2,0.3333333333333333,,5.675,,,1.0,,1.0,4.0,,1.0,4.0,9.0,,,2.0,,4.0,1.0,,1.0,3.0,1.0,8.0,2.0,,2.0,,,,,,,,,1.0,2.0,1.0,,8.0,,1.0,1.0,0.25,,0.6875,1.5,0.5,,0.25,0.3333333333333333,,,,1.0,0.5,1.0,,,1.0,0.3333333333333333,0.5,1.0,0.125,0.5,,,,26.025,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,3.0,,3.0,,6.0,3.0,2.0,2.0,,,,,,0.6666666666666666,0.75,,0.75,,,0.75,0.75,0.6666666666666666,,0.75,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
101113-101119-101128-2757-2804,1610612758,"Ike Diogu, Rashad McCants, Francisco Garcia, Beno Udrih, Andres Nocioni","Diogu, McCants, Garcia, Udrih, Nocioni",101113-101119-101128-2757-2804,SAC,116.0,1,2.0,8.0,4.0,4.0,4.0,,8.0,2.0,,2.0,,3.0,,9.0,,,,3.0,,9.0,,,3.0,,,,,9.0,4.0,1.125,,1.125,,,,,99.3103448275862,10.25,18.75,10.25,18.75,0.5,,,0.5,0.75,0.6076625,,0.6076625,,,,1.0,5.766666666666667,1.0,,2.0,,1.0,,,3.0,1.0,1.0,,1.0,6.0,,,,,3.0,4.0,2.0,9.0,1.0,1.0,3.0,1.0,1.0,,,,,,,1.0,1.0,,,9.0,,1.0,1.0,1.0,,1.125,,0.25,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.25,,,,,23.1,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.125,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
101113-101119-1517-201150-201590,1610612758,"Ike Diogu, Rashad McCants, Bobby Jackson, Spencer Hawes, Donte Greene","Diogu, McCants, Jackson, Hawes, Greene",101113-101119-1517-201150-201590,SAC,169.0,1,3.0,-6.0,6.0,5.0,,,11.0,1.0,,,,2.0,2.0,5.0,,,,,,,,,,2.0,,2.0,1.0,,,0.625,,,,,,,93.72781065088756,16.666666666666668,13.8,16.666666666666668,13.8,0.3333333333333333,,,,0.6666666666666666,0.49374999999999997,,,0.25,0.3333333333333333,,,8.3,,,,,1.0,1.0,,,1.0,11.0,,,,,1.0,,,,,,,,,,,,,2.0,,,2.0,,1.0,2.0,,,5.0,,,,,,0.5,,0.3333333333333333,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,25.5,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
101113-101119-1517-201574-201590,1610612758,"Ike Diogu, Rashad McCants, Bobby Jackson, Jason Thompson, Donte Greene","Diogu, McCants, Jackson, Thompson, Greene",101113-101119-1517-201574-201590,SAC,205.0,2,3.0,-3.0,5.0,6.0,5.0,1.0,11.0,3.0,1.0,3.0,,3.0,2.0,6.0,1.0,,2.0,3.0,2.0,6.0,,1.0,3.0,2.0,,4.0,2.0,6.0,5.0,0.42857142857142855,1.0,0.42857142857142855,,0.3333333333333333,,,77.26829268292683,24.0,14.166666666666666,21.8,14.166666666666666,0.6,,1.0,0.6,1.0,0.5953700000000001,0.5616,0.5953700000000001,0.2857142857142857,0.4,0.3333333333333333,1.0,,1.0,3.0,2.0,1.0,,,,2.0,2.0,9.0,1.0,2.0,2.0,2.0,,1.0,,1.0,1.0,1.0,2.0,,2.0,2.0,,,,,,,,,1.0,1.0,,,4.0,,0.5,0.5,0.6666666666666666,1.0,0.4,1.0,0.4,,0.3333333333333333,0.3333333333333333,,,1.0,,1.0,,,1.0,,0.6666666666666666,1.0,0.5,,,1.0,,,23.1,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,2.0,,2.0,,2.0,2.0,,,0.6666666666666666,,0.4,,,,0.6666666666666666,0.4,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2009,2008-09,True
