EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,Arc3FGA,FG3A,NonHeaveArc3FGA,Loose Ball Fouls,FG3APct,DefAtRimReboundPct,Arc3Frequency,Avg3ptShotDistance,SecondChanceOffPoss,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SecondChanceTurnovers,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFtPoints,PtsUnassisted2s,Fg2aBlocked,ShortMidRangeAssists,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,PenaltyAtRimFGM,PtsPutbacks,LostBallTurnovers,Travels,Offensive Fouls,BlockedAtRim,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,AtRimPctBlocked,2pt And 1 Free Throw Trips,LostBallOutOfBoundsTurnovers,RecoveredBlocks,BlocksRecoveredPct,LostBallSteals,DefensiveGoaltends,Offensive Fouls Drawn,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PenaltyFg3Pct,PenaltyArc3Accuracy,Corner3FGM,SecondChanceFtPoints,Corner3Assists,BlockedShortMidRange,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,OffCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,HeaveAttempts,LongMidRangePctBlocked,Technical Free Throw Trips,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,BlockedArc3,Clear Path Fouls,HeaveMakes,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101130-101132-1497-1853-2030,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Anthony Carter, Kenyon Martin","Petro, Kleiza, Billups, Carter, Martin",101130-101132-1497-1853-2030,DEN,184.0,1,3.0,1.0,5.0,6.0,6.0,11.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,86.08695652173913,18.8,15.0,18.8,12.333333333333334,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.4268,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1497-1853-2365,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Anthony Carter, Chris Andersen","Petro, Kleiza, Billups, Carter, Andersen",101130-101132-1497-1853-2365,DEN,102.0,1,2.0,-2.0,3.0,4.0,4.0,7.0,,,1.0,1.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5,0.5,,0.5,98.82352941176471,13.666666666666666,15.25,13.666666666666666,15.0,,,,,1.0,1.0,1.0,1.0,,0.42,19.9,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.42,0.5,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1497-1853-2546,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Anthony Carter, Carmelo Anthony","Petro, Kleiza, Billups, Carter, Anthony",101130-101132-1497-1853-2546,DEN,90.0,1,2.0,-3.0,2.0,3.0,,5.0,,,,1.0,,1.0,,3.0,,,,,,,2.0,,2.0,2.0,,,,,1.0,,,,,,,,,0.6666666666666666,0.6666666666666666,,,80.0,18.5,17.666666666666668,18.5,17.333333333333332,,,,,0.5,,,,0.5,0.464075,17.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1497-2030-2563,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Kenyon Martin, Dahntay Jones","Petro, Kleiza, Billups, Martin, Jones",101130-101132-1497-2030-2563,DEN,36.0,1,1.0,,1.0,2.0,2.0,3.0,,,,1.0,,1.0,,,,,,,,,,1.0,2.0,3.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,120.0,24.0,6.0,24.0,6.0,,,,,1.0,,,,,0.3515,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1497-2030-2747,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Kenyon Martin, JR Smith","Petro, Kleiza, Billups, Martin, Smith",101130-101132-1497-2030-2747,DEN,94.0,1,2.0,-3.0,3.0,2.0,2.0,5.0,,,,,,,3.0,6.0,,,1.0,,,3.0,,,,1.0,,,1.0,,1.0,,1.0,,,,0.5,0.5,,,,,,76.59574468085107,19.333333333333332,18.0,17.666666666666668,17.0,,,,,,,,,1.0,0.55245,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,1.0,,1.0,25.166666666666668,1.0,,,1.0,,,,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.5,1.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.4725,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1497-2546-2747,1610612743,"Johan Petro, Linas Kleiza, Chauncey Billups, Carmelo Anthony, JR Smith","Petro, Kleiza, Billups, Anthony, Smith",101130-101132-1497-2546-2747,DEN,41.0,1,1.0,,2.0,2.0,2.0,4.0,,,,1.0,,1.0,,,,,,,,,2.0,,2.0,3.0,,,,,,,,,,,,,,1.0,1.0,,1.0,140.4878048780488,10.5,10.0,9.0,10.0,,,,,0.5,,,,0.5,0.46425,20.4,2.0,,,1.0,,,,,,,,,,2.0,,,,0.46425,,,,1.0,1.0,1.0,1.0,,0.5,1.0,0.5,25.8,1.0,1.0,,1.0,,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1853-200764-201603,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Renaldo Balkman, Sonny Weems","Petro, Kleiza, Carter, Balkman, Weems",101130-101132-1853-200764-201603,DEN,682.0,3,11.0,-11.0,27.0,25.0,21.0,52.0,,3.0,3.0,10.0,6.0,19.0,15.0,26.0,10.0,5.0,5.0,,3.0,10.0,5.0,3.0,10.0,15.0,3.0,,3.0,4.0,9.0,11.0,5.0,0.8333333333333334,0.8333333333333334,0.3157894736842105,0.25,0.2777777777777778,1.0,0.625,0.7,0.6666666666666666,0.5,109.79472140762464,15.222222222222221,10.84,13.814814814814815,10.28,0.125,,,,0.4166666666666667,0.3,0.3,1.0,0.3333333333333333,0.4488083333333333,12.515789473684212,24.0,3.0,6.0,17.0,15.0,3.0,6.0,1.0,,,,,15.0,24.0,0.35294117647058826,0.2857142857142857,0.3125,0.45207380952380954,0.04,0.05,1.0,0.8888888888888888,3.0,5.0,3.0,2.0,0.20833333333333334,1.0,0.125,24.619999999999997,4.0,5.0,2.0,5.0,,0.38461538461538464,1.0,0.2777777777777778,0.2857142857142857,1.0,,,1.0,,,2.0,4.0,,,,,,,,,,,,,0.4,0.4,,,,,,,,,0.2,,,,0.49386,0.26666666666666666,2.0,4.0,0.09523809523809523,1.0,3.0,3.0,6.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.6666666666666666,0.05263157894736842,0.16666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.058823529411764705,0.25,0.5,0.6,0.6666666666666666,0.08333333333333333,0.2,0.2,0.14285714285714285,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1853-200764-2078,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Renaldo Balkman, Jason Hart","Petro, Kleiza, Carter, Balkman, Hart",101130-101132-1853-200764-2078,DEN,124.0,1,2.0,-8.0,4.0,4.0,,8.0,,,,,1.0,1.0,3.0,11.0,2.0,1.0,1.0,,,2.0,,,,,,,2.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,0.75,,,,,,92.9032258064516,18.25,12.75,18.25,11.0,,,,,,,,,,0.3413,9.1,,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1853-200764-2563,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Renaldo Balkman, Dahntay Jones","Petro, Kleiza, Carter, Balkman, Jones",101130-101132-1853-200764-2563,DEN,155.0,3,3.0,-6.0,7.0,6.0,4.0,13.0,1.0,2.0,,1.0,1.0,3.0,2.0,8.0,,,,,,,,1.0,1.0,2.0,2.0,,3.0,,2.0,,1.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,,,,120.77419354838709,14.142857142857142,9.333333333333334,14.142857142857142,9.166666666666666,0.6666666666666666,0.5,0.5,,0.3333333333333333,,,,0.6666666666666666,0.5469333333333334,5.933333333333334,6.0,,1.0,2.0,2.0,1.0,,,1.0,,1.0,,2.0,6.0,0.5,0.5,0.5,0.6283,,,1.0,0.8571428571428571,,,,,,,,,1.0,1.0,,1.0,,0.5,,0.5,,,,,,,,,2.0,,,,,,,1.0,,,,,,1.0,1.0,,,0.3333333333333333,,,,,,,,,,0.6226,1.0,,,,1.0,2.0,,,,,,1.0,1.0,,2.0,,,,,,,3.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
101130-101132-1853-201603-2365,1610612743,"Johan Petro, Linas Kleiza, Anthony Carter, Sonny Weems, Chris Andersen","Petro, Kleiza, Carter, Weems, Andersen",101130-101132-1853-201603-2365,DEN,44.0,1,1.0,,1.0,2.0,,3.0,,,,,,,2.0,2.0,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,1.0,,,1.0,,,98.18181818181819,24.0,10.0,24.0,10.0,,,,,,,,,,,,,2.0,,,,2.0,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2009,2008-09,False
