EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsUnassisted2s,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,AtRimFGM,PenaltyAtRimFGM,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,BlockedAtRim,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassSteals,StepOutOfBoundsTurnovers,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,OffThreePtRebounds,SecondChanceFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,Fg2aBlocked,Loose Ball Fouls Drawn,FG2APctBlocked,LongMidRangePctBlocked,OffLongMidRangeReboundPct,HeaveAttempts,BadPassOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceAtRimAccuracy,AtRimPctBlocked,LostBallOutOfBoundsTurnovers,OffShortMidRangeReboundPct,PenaltyCorner3FGM,FTOffRebounds,SecondChanceTurnovers,OffFTReboundPct,OffArc3ReboundPct,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Clear Path Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Technical Free Throw Trips,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,Corner3PctBlocked,BlockedArc3,team_id,year,season,team_vs
101114-101139-101179-200794-2246,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Paul Millsap, Mehmet Okur","Williams, Miles, Price, Millsap, Okur",101114-101139-101179-200794-2246,UTA,303.0,1,5.0,-3.0,10.0,10.0,10.0,10.0,2.0,20.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,3.0,6.0,10.0,13.0,1.0,3.0,1.0,3.0,2.0,6.0,3.0,6.0,10.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,8.0,4.0,7.0,10.0,10.0,1.0,4.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.38461538461538464,0.375,0.38461538461538464,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,1.0,1.0,1.0,0.5,1.0,0.14285714285714285,95.04950495049505,15.0,15.3,13.1,14.9,0.4444444444444444,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.7777777777777778,0.5464833333333333,0.5193,0.5464833333333333,0.3,1.0,4.2,24.03333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
101114-101139-101179-201585-2246,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Kosta Koufos, Mehmet Okur","Williams, Miles, Price, Koufos, Okur",101114-101139-101179-201585-2246,UTA,53.0,1,1.0,4.0,3.0,2.0,3.0,2.0,,5.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,4.0,,,,,,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,1.0,2.0,1.0,4.0,4.0,3.0,,1.0,,,1.0,,1.0,0.5,,0.5,0.6666666666666666,,0.6666666666666666,0.5,,1.0,,,1.0,,,,1.0,,,,135.8490566037736,7.666666666666667,15.0,7.666666666666667,15.0,,0.5,1.0,1.0,,,,,,0.5,,,,0.5,,0.5,0.501925,,0.501925,,1.0,4.5,24.1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
101114-101139-1723-1905-200794,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Andrei Kirilenko, Paul Millsap","Williams, Miles, Harpring, Kirilenko, Millsap",101114-101139-1723-1905-200794,UTA,316.0,2,5.0,6.0,11.0,10.0,11.0,10.0,,21.0,3.0,,3.0,,,1.0,2.0,,,3.0,3.0,4.0,5.0,3.0,2.0,16.0,10.0,,,,,4.0,5.0,3.0,2.0,16.0,6.0,3.0,3.0,4.0,,1.0,9.0,,,1.0,,1.0,,1.0,,,,2.0,2.0,,,,4.0,4.0,1.0,16.0,16.0,11.0,,1.0,0.75,0.75,0.8,,0.8,0.875,,0.875,0.8,,0.8,0.375,,0.5,,,0.5,,,,,,,,95.69620253164557,15.909090909090908,14.1,15.909090909090908,14.0,0.375,,,,,0.25,0.5,0.5,1.0,,0.375,,0.375,,0.375,0.75,0.52015,,0.52015,,1.0,7.62,26.099999999999998,1.0,2.0,1.0,,1.0,,,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
101114-101139-1723-1905-2246,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Andrei Kirilenko, Mehmet Okur","Williams, Miles, Harpring, Kirilenko, Okur",101114-101139-1723-1905-2246,UTA,36.0,1,1.0,2.0,3.0,2.0,3.0,2.0,,5.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,2.0,2.0,3.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,200.0,7.0,7.5,7.0,7.5,,1.0,1.0,1.0,,,,,,,,,,,,,0.3862,,0.3862,,1.0,4.2,,1.0,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,0.5,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
101114-101139-1723-1905-2594,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Andrei Kirilenko, Kyle Korver","Williams, Miles, Harpring, Kirilenko, Korver",101114-101139-1723-1905-2594,UTA,199.0,1,3.0,8.0,6.0,6.0,,,1.0,12.0,2.0,,,1.0,1.0,,,2.0,,1.0,,3.0,3.0,3.0,,12.0,4.0,,,,3.0,,,,,,2.0,1.0,1.0,2.0,,,5.0,,,2.0,,2.0,1.0,3.0,,,,1.0,,1.0,1.0,,1.0,,,9.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,,1.0,1.5,,1.0,1.5,,0.5,,0.5,,,0.5,1.0,,0.5,,,,,86.83417085427135,14.166666666666666,19.0,11.5,16.166666666666668,0.3333333333333333,0.16666666666666666,1.0,1.0,,,,,,0.3333333333333333,0.16666666666666666,,,,,0.8333333333333334,0.5413833333333333,0.55695,,0.25,,2.8333333333333335,23.633333333333336,,4.0,,,,,,2.0,,1.0,,2.0,,3.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,0.5,0.6666666666666666,,0.6666666666666666,1.0,,1.0,1.0,0.5,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
101114-101139-1723-200758-201178,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Ronnie Brewer, Kyrylo Fesenko","Williams, Miles, Harpring, Brewer, Fesenko",101114-101139-1723-200758-201178,UTA,94.0,1,2.0,1.0,3.0,3.0,2.0,,1.0,6.0,,,,,,1.0,3.0,,,,,1.0,3.0,,2.0,4.0,3.0,,,2.0,2.0,1.0,1.0,,2.0,4.0,2.0,,1.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,2.0,2.0,1.0,2.0,4.0,2.0,,1.0,1.0,1.0,0.3333333333333333,,1.0,0.3333333333333333,,1.0,0.5,1.0,1.0,,,0.5,0.5,,0.5,0.5,,,1.0,,,,91.91489361702128,13.666666666666666,17.666666666666668,11.0,16.0,,,,,,1.0,0.3333333333333333,0.5,1.0,,,,,,,,0.3996,,0.4216,0.5,1.0,18.733333333333334,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
101114-101139-1723-200758-201585,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Ronnie Brewer, Kosta Koufos","Williams, Miles, Harpring, Brewer, Koufos",101114-101139-1723-200758-201585,UTA,140.0,1,2.0,-2.0,3.0,4.0,3.0,4.0,,7.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,,4.0,6.0,,,,,2.0,2.0,1.0,,4.0,4.0,,2.0,2.0,1.0,,4.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,4.0,4.0,3.0,,,1.0,1.0,1.0,,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.3333333333333333,,,,1.0,1.0,,,,,1.0,,,72.0,19.0,20.75,19.0,20.75,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.45675,,0.45675,,1.0,3.5,53.3,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
101114-101139-1723-200758-2246,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Ronnie Brewer, Mehmet Okur","Williams, Miles, Harpring, Brewer, Okur",101114-101139-1723-200758-2246,UTA,476.0,3,8.0,-4.0,13.0,13.0,9.0,4.0,,26.0,1.0,,1.0,3.0,5.0,,,,,4.0,3.0,4.0,6.0,4.0,2.0,19.0,23.0,,,,,3.0,4.0,3.0,1.0,13.0,4.0,4.0,2.0,3.0,1.0,,7.0,,,3.0,,3.0,,3.0,,1.0,,2.0,2.0,3.0,4.0,,4.0,3.0,,19.0,13.0,9.0,,,0.5,0.5,0.6666666666666666,,0.75,0.85,,0.8571428571428571,0.8636363636363636,,0.9285714285714286,0.4,,0.6,,,0.5,,,1.0,,,,,78.65546218487394,17.615384615384617,19.0,17.615384615384617,18.76923076923077,0.1,0.5,0.6,0.6,0.3333333333333333,,,,,,0.4,,0.14285714285714285,,0.42857142857142855,0.5,0.48838499999999996,,0.49365000000000003,,0.6842105263157895,7.55,25.3,0.6923076923076923,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,6.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,,2.0,1.0,0.3333333333333333,0.75,0.6666666666666666,0.75,0.5,1.0,1.0,1.0,1.0,0.75,0.75,0.3333333333333333,1.0,0.6666666666666666,0.75,0.18181818181818182,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
101114-101139-1723-200794-201585,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Paul Millsap, Kosta Koufos","Williams, Miles, Harpring, Millsap, Koufos",101114-101139-1723-200794-201585,UTA,75.0,1,1.0,-1.0,2.0,3.0,,,,5.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,2.0,3.0,,,,,,,,,,2.0,,1.0,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,,,2.0,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,96.0,13.5,16.0,13.5,16.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.4342,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
101114-101139-1723-200794-2594,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Paul Millsap, Kyle Korver","Williams, Miles, Harpring, Millsap, Korver",101114-101139-1723-200794-2594,UTA,491.0,4,8.0,-4.0,13.0,14.0,4.0,3.0,2.0,27.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,,2.0,1.0,5.0,9.0,3.0,2.0,12.0,16.0,1.0,2.0,,2.0,1.0,4.0,1.0,,2.0,2.0,2.0,1.0,1.0,,,2.0,1.0,1.0,4.0,,5.0,1.0,6.0,,1.0,,2.0,,1.0,2.0,,5.0,5.0,1.0,10.0,2.0,4.0,1.0,,0.2,0.25,0.5555555555555556,0.5,0.25,0.4166666666666667,0.5,0.2,0.42857142857142855,0.5,0.2,0.25,,0.8,0.25,0.25,0.5555555555555556,0.14285714285714285,1.0,1.0,,0.3333333333333333,,,79.18533604887983,16.923076923076923,19.357142857142858,15.923076923076923,16.571428571428573,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.5,0.5,,0.08333333333333333,0.16666666666666666,0.5,0.4,,0.2,0.5833333333333334,0.49849583333333336,0.4863,0.49268999999999996,0.16666666666666666,0.16666666666666666,6.177777777777778,24.46666666666667,0.3076923076923077,8.0,,,,,,3.0,1.0,,,,,,,,,,1.0,2.0,2.0,1.0,,1.0,,2.0,,,,,,0.5,0.75,0.75,0.75,0.3333333333333333,,,,0.5,,,0.15384615384615385,0.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2009,2008-09,True
