EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,ShortMidRangeFrequency,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassSteals,Travels,FTA,TwoPtShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted3s,FTDefRebounds,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,DefFTReboundPct,OffLongMidRangeReboundPct,Loose Ball Fouls Drawn,SecondChanceTurnovers,3SecondViolations,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,DefArc3ReboundPct,HeaveAttempts,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsPutbacks,Offensive Fouls Drawn,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,Offensive Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,2pt And 1 Free Throw Trips,OffensiveGoaltends,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffCorner3ReboundPct,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,BlockedLongMidRange,Defensive 3 Seconds Violations,team_id,year,season,team_vs
101177-1477-1521-201588-2400,1610612759,"Fabricio Oberto, Bruce Bowen, Jacque Vaughn, George Hill, Drew Gooden","Oberto, Bowen, Vaughn, Hill, Gooden",101177-1477-1521-201588-2400,SAS,443.0,1,7.0,-3.0,12.0,12.0,5.0,11.0,24.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,5.0,10.0,13.0,2.0,3.0,1.0,2.0,7.0,2.0,2.0,6.0,5.0,2.0,1.0,2.0,3.0,2.0,1.0,8.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,7.0,5.0,0.5,0.5,1.0,0.4,0.5,0.4,0.6666666666666666,0.6666666666666666,0.625,0.7,0.625,0.7,0.625,0.75,0.6,1.0,0.7142857142857143,0.3333333333333333,1.0,1.0,78.01354401805868,1.0,20.416666666666668,16.5,20.416666666666668,14.416666666666666,0.25,1.0,1.0,0.5,0.125,0.625,0.4,0.4,1.0,0.4,1.0,0.4,0.5,0.875,0.4,0.47985,0.44808000000000003,0.7,7.566666666666666,24.64,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
101177-1477-1521-201588-703,1610612759,"Fabricio Oberto, Bruce Bowen, Jacque Vaughn, George Hill, Kurt Thomas","Oberto, Bowen, Vaughn, Hill, Thomas",101177-1477-1521-201588-703,SAS,73.0,1,1.0,-4.0,2.0,2.0,,2.0,4.0,,,,,1.0,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9041095890411,,26.0,10.5,26.0,10.5,,,,,0.5,,,,,,,,,,,0.33765,,,16.0,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
101177-1477-201588-2137-703,1610612759,"Fabricio Oberto, Bruce Bowen, George Hill, Ime Udoka, Kurt Thomas","Oberto, Bowen, Hill, Udoka, Thomas",101177-1477-201588-2137-703,SAS,327.0,1,5.0,2.0,9.0,9.0,,2.0,18.0,1.0,3.0,,,2.0,,2.0,,,3.0,7.0,,3.0,6.0,4.0,,,,,,6.0,,,2.0,,3.0,,3.0,,1.0,6.0,,5.0,5.0,8.0,1.0,,,,1.0,,,1.0,,3.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,,,1.0,1.0,,,,,0.42857142857142855,,0.3,,0.2727272727272727,,0.3,,1.0,,0.8333333333333334,1.0,1.0,,79.26605504587155,1.0,20.11111111111111,16.22222222222222,18.444444444444443,15.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.2,0.2,,,,,,,,0.6,,0.519235,,,7.971428571428571,23.96666666666667,,2.0,0.2,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.42857142857142855,1.0,0.5,1.0,0.14285714285714285,0.5,0.5,1.0,0.5,0.5,1.0,0.1,1.0,0.5,1.0,0.5946,0.09090909090909091,0.125,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
101177-1521-201588-2137-2400,1610612759,"Fabricio Oberto, Jacque Vaughn, George Hill, Ime Udoka, Drew Gooden","Oberto, Vaughn, Hill, Udoka, Gooden",101177-1521-201588-2137-2400,SAS,382.0,2,6.0,-4.0,10.0,12.0,6.0,6.0,22.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,2.0,5.0,1.0,3.0,9.0,13.0,2.0,3.0,,1.0,6.0,2.0,2.0,,3.0,1.0,1.0,,1.0,,1.0,2.0,,3.0,4.0,6.0,,,2.0,2.0,1.0,,,3.0,3.0,5.0,,1.0,,,,,5.0,6.0,6.0,0.5,0.5,,0.3333333333333333,,0.3333333333333333,0.4,0.6666666666666666,0.4375,0.5,0.5,0.6,0.375,0.6666666666666666,1.0,,1.0,1.0,1.0,,82.93193717277488,,19.5,15.583333333333334,16.5,15.583333333333334,0.125,1.0,1.0,1.0,0.25,0.375,0.3333333333333333,0.3333333333333333,,0.25,1.0,0.25,,0.5,0.3333333333333333,0.45005,0.434625,0.6666666666666666,12.98,24.766666666666666,0.6,2.0,0.25,2.0,1.0,1.0,,1.0,,1.0,1.0,4.0,,,1.0,1.0,2.0,,,,2.0,1.0,,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.4,,0.5,,,,,,0.5,0.5,,,1.0,1.0,1.0,0.5722,0.1111111111111111,0.16666666666666666,0.4444444444444444,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
101177-1521-201588-2427-2588,1610612759,"Fabricio Oberto, Jacque Vaughn, George Hill, Roger Mason Jr., Matt Bonner","Oberto, Vaughn, Hill, Mason Jr., Bonner",101177-1521-201588-2427-2588,SAS,69.0,1,1.0,2.0,2.0,1.0,2.0,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,5.0,5.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.25,1.25,0.5,,,,,,,,62.60869565217392,,17.5,34.0,17.5,34.0,,,,,0.5,0.5,1.0,1.0,,,,0.5,1.0,0.5,1.0,0.4485,0.4485,1.0,15.7,24.8,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
101177-201588-2225-2427-2588,1610612759,"Fabricio Oberto, George Hill, Tony Parker, Roger Mason Jr., Matt Bonner","Oberto, Hill, Parker, Mason Jr., Bonner",101177-201588-2225-2427-2588,SAS,1.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
1477-1495-201588-2137-2225,1610612759,"Bruce Bowen, Tim Duncan, George Hill, Ime Udoka, Tony Parker","Bowen, Duncan, Hill, Udoka, Parker",1477-1495-201588-2137-2225,SAS,214.0,1,4.0,-2.0,6.0,5.0,,,11.0,,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,6.0,8.0,,,,,,,,6.0,2.0,2.0,,2.0,2.0,2.0,,6.0,,,,1.0,1.0,1.0,1.0,,2.0,,1.0,3.0,1.0,1.0,,2.0,,,,,6.0,,,,,1.0,1.0,,1.0,,,0.75,,0.75,,0.5,0.3333333333333333,,,,,,,74.01869158878505,,23.166666666666668,15.0,19.833333333333332,15.0,,,,,0.5,0.5,1.0,1.0,1.0,,,,,0.5,1.0,0.4605125,,,14.7,24.95,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
1477-1495-201588-2137-2427,1610612759,"Bruce Bowen, Tim Duncan, George Hill, Ime Udoka, Roger Mason Jr.","Bowen, Duncan, Hill, Udoka, Mason Jr.",1477-1495-201588-2137-2427,SAS,115.0,1,2.0,5.0,5.0,4.0,4.0,4.0,9.0,,,,,1.0,,2.0,,1.0,1.0,2.0,,2.0,6.0,1.0,1.0,1.0,,1.0,6.0,,2.0,,2.0,,,,,,,,1.0,1.0,2.0,3.0,1.0,,,,,,,,1.0,1.0,,3.0,2.0,1.0,2.0,1.0,4.0,6.0,4.0,,,,,,,0.5,1.0,0.25,0.5,0.5,0.75,0.5,,0.5,1.0,0.6666666666666666,1.0,,,112.69565217391303,0.5,11.8,14.0,10.2,13.0,,,,,0.25,0.5,,,,,,0.5,,0.5,,0.48705,0.5136,1.0,14.4,24.3,0.8,1.0,0.25,1.0,,,,1.0,,,,2.0,,,,1.0,1.0,,1.0,,4.0,,1.0,,,,1.0,1.0,,0.3333333333333333,,,,,,,,1.0,1.0,,,,,,,,,0.3333333333333333,4.0,2.0,4.0,,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
1477-1495-201588-2225-703,1610612759,"Bruce Bowen, Tim Duncan, George Hill, Tony Parker, Kurt Thomas","Bowen, Duncan, Hill, Parker, Thomas",1477-1495-201588-2225-703,SAS,32.0,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,2.0,2.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,90.0,,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
1477-1495-201588-2225-714,1610612759,"Bruce Bowen, Tim Duncan, George Hill, Tony Parker, Michael Finley","Bowen, Duncan, Hill, Parker, Finley",1477-1495-201588-2225-714,SAS,1.0,1,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2009,2008-09,True
