EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefTwoPtRebounds,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,LostBallTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Offensive Fouls Drawn,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonShootingPenaltyNonTakeFouls,Steals,BadPassSteals,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,PtsUnassisted3s,DeadBallTurnovers,Offensive Fouls,DefCorner3ReboundPct,HeaveAttempts,Loose Ball Fouls,ShortMidRangePctBlocked,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,Corner3Assists,PenaltyFg3Pct,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,RecoveredBlocks,BlocksRecoveredPct,PenaltyArc3FGM,LostBallSteals,BlockedShortMidRange,PenaltyArc3Accuracy,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,ShortMidRangePctAssisted,SelfOReb,OffCorner3ReboundPct,SelfORebPct,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedArc3,SecondChanceCorner3FGA,Travels,BlockedLongMidRange,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Technical Free Throw Trips,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
101112-1913-200771-201573-201587,1610612757,"Channing Frye, Michael Ruffin, Sergio Rodriguez, Jerryd Bayless, Nicolas Batum","Frye, Ruffin, Rodriguez, Bayless, Batum",101112-1913-200771-201573-201587,POR,255.0,1,4.0,2.0,7.0,7,7.0,7.0,3.0,14,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,8.0,6,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,2.0,8.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,8.0,7.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.5,0.42857142857142855,0.5,0.42857142857142855,0.4444444444444444,0.5,0.4444444444444444,0.14285714285714285,0.16666666666666666,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,0.5,79.05882352941177,15.285714285714286,21.142857142857142,12.714285714285714,18.571428571428573,0.2857142857142857,0.5,1.0,1.0,0.2857142857142857,0.5,0.5,0.2857142857142857,0.5,0.5,0.14285714285714285,0.5,0.2857142857142857,0.5,0.14285714285714285,0.42857142857142855,0.48855,0.583025,0.48855,0.25,0.2857142857142857,0.375,1.0,9.75,24.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-1913-201164-201573-2566,1610612757,"Channing Frye, Michael Ruffin, Rudy Fernandez, Jerryd Bayless, Travis Outlaw","Frye, Ruffin, Fernandez, Bayless, Outlaw",101112-1913-201164-201573-2566,POR,72.0,1,1.0,,1.0,2,,2.0,,3,,,,,1.0,1.0,,1.0,,,,1.0,2.0,,,2.0,2,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,0.5,,,0.5,,,0.5,,,,,,,,,1.0,,,1.0,1.0,,,,60.0,41.0,15.5,41.0,15.5,,,,,0.5,1.0,1.0,0.5,,,,,,,,,0.3944,,,,,,,16.25,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-200746-200750-201164-2566,1610612757,"Channing Frye, LaMarcus Aldridge, Brandon Roy, Rudy Fernandez, Travis Outlaw","Frye, Aldridge, Roy, Fernandez, Outlaw",101112-200746-200750-201164-2566,POR,253.0,1,4.0,-3.0,7.0,7,,,1.0,14,,,,,,1.0,1.0,2.0,1.0,,,1.0,3.0,1.0,2.0,7.0,10,1.0,1.0,,,2.0,,,,,,2.0,,,1.0,,1.0,2.0,,5.0,,,,2.0,,2.0,,2.0,2.0,,2.0,,,,,2.0,2.0,,1.0,,,,,5.0,,,,1.0,1.0,0.3333333333333333,1.0,,0.625,1.0,,0.7,1.0,,0.25,,,1.0,,,,1.0,,1.0,,,,1.0,79.68379446640316,23.0,13.142857142857142,20.428571428571427,13.142857142857142,,,,,0.25,,,0.5,0.5,0.5,0.25,,,,,0.25,0.4192875,0.3773,,0.2,0.25,0.2857142857142857,,16.766666666666666,24.6,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-200746-200750-201164-2581,1610612757,"Channing Frye, LaMarcus Aldridge, Brandon Roy, Rudy Fernandez, Steve Blake","Frye, Aldridge, Roy, Fernandez, Blake",101112-200746-200750-201164-2581,POR,116.0,1,2.0,2.0,2.0,3,1.0,,1.0,5,1.0,2.0,,,,,1.0,1.0,,,,2.0,3.0,,2.0,6.0,4,1.0,1.0,,1.0,3.0,1.0,1.0,,1.0,3.0,2.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,3.0,3.0,1.0,1.0,1.0,,,,3.0,3.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.75,1.5,0.75,,0.3333333333333333,0.5,,,,1.0,,,,1.0,1.0,,,62.06896551724138,22.5,23.666666666666668,22.5,19.666666666666668,0.6666666666666666,0.5,1.0,,,,,0.3333333333333333,1.0,1.0,,,,,,0.6666666666666666,0.5337999999999999,0.6341,0.416,0.3333333333333333,0.3333333333333333,0.5,0.5,5.833333333333333,,0.5,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-200746-200750-2566-2581,1610612757,"Channing Frye, LaMarcus Aldridge, Brandon Roy, Travis Outlaw, Steve Blake","Frye, Aldridge, Roy, Outlaw, Blake",101112-200746-200750-2566-2581,POR,213.0,1,4.0,-10.0,6.0,6,6.0,6.0,,12,,1.0,,1.0,,,1.0,4.0,1.0,,1.0,1.0,5.0,1.0,,2.0,12,,,,,,1.0,5.0,1.0,,2.0,2.0,,,1.0,,1.0,1.0,,2.0,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,2.0,2.0,6.0,,1.0,1.0,0.2,,0.2,0.16666666666666666,,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0.16666666666666666,,,,,,,1.0,,0.5,,,,1.0,81.12676056338029,19.333333333333332,16.166666666666668,19.333333333333332,16.166666666666668,0.16666666666666666,,,,,,,0.6666666666666666,0.25,0.25,0.16666666666666666,,0.16666666666666666,,0.16666666666666666,0.3333333333333333,0.4341333333333333,,0.4341333333333333,,,,1.0,15.14,25.4,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-200746-200771-201164-2566,1610612757,"Channing Frye, LaMarcus Aldridge, Sergio Rodriguez, Rudy Fernandez, Travis Outlaw","Frye, Aldridge, Rodriguez, Fernandez, Outlaw",101112-200746-200771-201164-2566,POR,137.0,2,2.0,,4.0,4,,1.0,2.0,8,1.0,1.0,,,,3.0,,2.0,,,,1.0,6.0,,,2.0,2,,2.0,,,,,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,2.0,,,,1.0,2.0,3.0,,,,,,1.0,2.0,1.0,,,,,,,,2.0,,,,1.0,1.0,0.16666666666666666,,,0.16666666666666666,,,0.16666666666666666,,,,,,,,,0.4,,,1.0,0.4,,,,84.08759124087592,20.25,14.0,13.75,14.0,0.16666666666666666,1.0,1.0,1.0,0.5,,,0.3333333333333333,,,,,,,,0.16666666666666666,0.4298166666666667,0.39455,,,,,,12.633333333333333,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-200746-201164-2566-2581,1610612757,"Channing Frye, LaMarcus Aldridge, Rudy Fernandez, Travis Outlaw, Steve Blake","Frye, Aldridge, Fernandez, Outlaw, Blake",101112-200746-201164-2566-2581,POR,149.0,2,2.0,3.0,5.0,5,,4.0,1.0,10,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,2.0,4.0,1.0,,7.0,4,,,,,,,,,,,4.0,,,1.0,,2.0,2.0,1.0,4.0,,1.0,,,,2.0,1.0,3.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,7.0,,,,1.0,1.0,0.5,,,0.7,,,0.7,,,0.2,,,1.0,,,0.5,,,1.0,0.5,,,,96.64429530201342,16.2,13.6,16.0,13.2,0.4,0.5,0.5,1.0,0.2,,,0.2,1.0,1.0,0.2,,,,,0.6,0.51429,,,,,,,6.55,24.3,,2.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-200750-201141-201164-2566,1610612757,"Channing Frye, Brandon Roy, Greg Oden, Rudy Fernandez, Travis Outlaw","Frye, Roy, Oden, Fernandez, Outlaw",101112-200750-201141-201164-2566,POR,157.0,1,3.0,-2.0,6.0,5,1.0,5.0,1.0,11,,1.0,,,,,1.0,2.0,1.0,,1.0,1.0,3.0,1.0,1.0,3.0,5,,,,,,,,1.0,,,,2.0,,1.0,1.0,,,,,1.0,,,1.0,,2.0,1.0,3.0,,,1.0,,,,1.0,2.0,2.0,,1.0,,,,,3.0,,1.0,,,,0.3333333333333333,,,0.25,,,0.3,,,0.25,0.3333333333333333,1.0,,,,,1.0,1.0,1.0,0.3333333333333333,,1.0,,100.89171974522293,12.166666666666666,16.8,12.166666666666666,16.8,0.25,,,,,,,0.5,0.5,0.5,0.25,,,,1.0,0.5,0.4299625,,0.37155,0.2,0.25,,,13.233333333333334,29.0,0.16666666666666666,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-200750-201164-2038-2566,1610612757,"Channing Frye, Brandon Roy, Rudy Fernandez, Joel Przybilla, Travis Outlaw","Frye, Roy, Fernandez, Przybilla, Outlaw",101112-200750-201164-2038-2566,POR,105.0,1,2.0,-4.0,2.0,3,,,,5,,,,,,,,2.0,1.0,,,,2.0,1.0,,3.0,7,,,,,,,,,,,,,,1.0,,,1.0,,3.0,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,0.5,,,0.5,,,0.3333333333333333,,,,,,0.5,,,,0.5,,,,68.57142857142857,27.5,16.666666666666668,26.0,16.666666666666668,,,,,,,,0.6666666666666666,,,0.3333333333333333,,,,,0.3333333333333333,0.4680166666666667,,,,,,,20.25,24.3,,,,0.5,,1.0,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
101112-200750-201587-2566-2581,1610612757,"Channing Frye, Brandon Roy, Nicolas Batum, Travis Outlaw, Steve Blake","Frye, Roy, Batum, Outlaw, Blake",101112-200750-201587-2566-2581,POR,21.0,1,,-1.0,2.0,2,2.0,1.0,,4,,,,,,,,,1.0,,1.0,,,1.0,,,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,274.2857142857143,1.5,9.0,1.5,9.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,51.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2009,2008-09,False
