EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Avg2ptShotDistance,PenaltyDefPoss,Corner3FGM,Corner3FGA,FG3M,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,FTDefRebounds,Steals,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Blocked2s,BlockedAtRim,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceOffPoss,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,OffThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,DefThreePtRebounds,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,OffTwoPtRebounds,FoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Offensive Fouls Drawn,PenaltyArc3FGM,FtPoints,PenaltyFG3M,PenaltyFtPoints,Fg2aBlocked,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefArc3ReboundPct,PenaltyArc3Accuracy,ShortMidRangeAssists,LostBallTurnovers,PenaltyTurnovers,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangePctAssisted,OffCorner3ReboundPct,PtsUnassisted3s,PtsPutbacks,DefShortMidRangeReboundPct,Fg3aBlocked,Loose Ball Fouls,Offensive Fouls,FG3APctBlocked,Corner3PctBlocked,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LostBallSteals,StepOutOfBoundsTurnovers,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,PenaltyCorner3FGM,PenaltyCorner3FGA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,FTOffRebounds,SelfOReb,Loose Ball Fouls Drawn,OffFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,HeaveAttempts,Travels,DefensiveGoaltends,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGA,3SecondViolations,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,Arc3PctBlocked,team_id,year,season,team_vs
101214-1887-200789-201581-2562,1610612739,"Jawad Williams, Wally Szczerbiak, Daniel Gibson, JJ Hickson, Sasha Pavlovic","Williams, Szczerbiak, Gibson, Hickson, Pavlovic",101214-1887-200789-201581-2562,CLE,45.0,1,1.0,-2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,19.0,13.0,19.0,13.0,1.0,1.0,1.0,0.50235,0.50235,25.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
101214-1887-200789-201616-2562,1610612739,"Jawad Williams, Wally Szczerbiak, Daniel Gibson, Darnell Jackson, Sasha Pavlovic","Williams, Szczerbiak, Gibson, Jackson, Pavlovic",101214-1887-200789-201616-2562,CLE,11.0,1,,2.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,130.9090909090909,11.0,,11.0,,,,1.0,0.7212,0.7212,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
101214-1887-200789-201616-953,1610612739,"Jawad Williams, Wally Szczerbiak, Daniel Gibson, Darnell Jackson, Lorenzen Wright","Williams, Szczerbiak, Gibson, Jackson, Wright",101214-1887-200789-201616-953,CLE,144.0,1,2.0,2.0,5.0,4.0,1.0,9.0,1.0,,2.0,3.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,90.0,13.0,19.75,13.0,18.0,0.3333333333333333,,1.0,0.5901166666666667,,24.9,0.2,1.0,1.0,,,1.0,1.0,5.0,,,,,5.0,,,1.0,,0.8333333333333334,,0.8333333333333334,,0.3333333333333333,1.0,1.0,,,,0.2,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
101214-1887-200789-2753-953,1610612739,"Jawad Williams, Wally Szczerbiak, Daniel Gibson, Delonte West, Lorenzen Wright","Williams, Szczerbiak, Gibson, West, Wright",101214-1887-200789-2753-953,CLE,98.0,1,2.0,3.0,3.0,4.0,,7.0,2.0,,2.0,2.0,,2.0,,1.0,2.0,1.0,1.0,,0.6666666666666666,,,,102.85714285714286,19.333333333333332,10.0,17.666666666666668,10.0,0.6666666666666666,,1.0,0.5557833333333334,,25.0,,1.0,1.0,,,1.0,1.0,5.0,,,,2.0,5.0,,,1.0,,0.8333333333333334,,0.8333333333333334,,0.3333333333333333,1.0,1.0,,,,1.0,3.0,,,1.0,,3.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,0.5,0.5,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
101214-1887-200814-201616-2562,1610612739,"Jawad Williams, Wally Szczerbiak, Tarence Kinsey, Darnell Jackson, Sasha Pavlovic","Williams, Szczerbiak, Kinsey, Jackson, Pavlovic",101214-1887-200814-201616-2562,CLE,47.0,1,1.0,4.0,2.0,1.0,,3.0,,,,,,,,1.0,1.0,,,,,,1.0,,91.91489361702128,9.0,29.0,9.0,29.0,,,,0.3945,,,,,,,,2.0,2.0,4.0,,,,2.0,4.0,,,1.0,,1.0,,1.0,,,,,,,,16.95,1.0,,,,2.0,,1.0,,1.0,,,2.0,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
101214-1887-200814-2562-953,1610612739,"Jawad Williams, Wally Szczerbiak, Tarence Kinsey, Sasha Pavlovic, Lorenzen Wright","Williams, Szczerbiak, Kinsey, Pavlovic, Wright",101214-1887-200814-2562-953,CLE,153.0,1,3.0,,4.0,5.0,,9.0,,,3.0,8.0,,,,,,1.0,1.0,,0.75,,,,84.70588235294119,19.25,15.2,19.25,15.2,,,1.0,0.6014125,,23.666666666666668,,1.0,1.0,,,1.0,1.0,8.0,,,,2.0,8.0,,,1.0,,1.0,,1.0,,0.25,1.0,1.0,,,,1.0,5.0,2.0,3.0,2.0,,6.0,,2.0,2.0,2.0,,6.0,,1.0,1.0,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,,0.75,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
101214-200789-200814-201616-953,1610612739,"Jawad Williams, Daniel Gibson, Tarence Kinsey, Darnell Jackson, Lorenzen Wright","Williams, Gibson, Kinsey, Jackson, Wright",101214-200789-200814-201616-953,CLE,103.0,1,2.0,-4.0,3.0,4.0,,7.0,,,,6.0,,,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,97.86407766990291,18.333333333333332,12.0,16.666666666666668,12.0,,,0.5,0.43735,,,,1.0,1.0,,,1.0,2.0,2.0,,,,,,,,0.5,,0.5,,0.5,,0.5,1.0,1.0,,,,9.7,,,,,2.0,,1.0,,1.0,,1.0,2.0,,,,1.0,,2.0,,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,0.5,,1.0,,,,,,,,,1.0,,,,,,,,0.5,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4978,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
101214-200789-200814-2544-2562,1610612739,"Jawad Williams, Daniel Gibson, Tarence Kinsey, LeBron James, Sasha Pavlovic","Williams, Gibson, Kinsey, James, Pavlovic",101214-200789-200814-2544-2562,CLE,4.0,1,,-3.0,,1.0,,1.0,,,,3.0,,,,,,,,,,,,,360.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
101214-200789-200814-2562-953,1610612739,"Jawad Williams, Daniel Gibson, Tarence Kinsey, Sasha Pavlovic, Lorenzen Wright","Williams, Gibson, Kinsey, Pavlovic, Wright",101214-200789-200814-2562-953,CLE,33.0,1,1.0,,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,0.5,,,,130.9090909090909,10.0,13.0,10.0,13.0,0.5,1.0,1.0,0.4046,0.1635,31.8,0.5,,1.0,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
101214-200789-201581-201616-2562,1610612739,"Jawad Williams, Daniel Gibson, JJ Hickson, Darnell Jackson, Sasha Pavlovic","Williams, Gibson, Hickson, Jackson, Pavlovic",101214-200789-201581-201616-2562,CLE,157.0,2,3.0,3.0,5.0,5.0,5.0,10.0,2.0,2.0,2.0,4.0,2.0,2.0,,1.0,2.0,1.0,1.0,5.0,0.4,,1.0,,91.71974522292993,16.8,14.6,16.2,14.6,0.4,0.4,0.6,0.46529,0.46529,25.2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,3.0,7.0,,5.0,7.0,,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5833333333333334,0.5833333333333334,0.2,1.0,1.0,0.2,1.0,1.0,9.633333333333333,3.0,,,1.0,2.0,3.0,1.0,1.0,2.0,,1.0,5.0,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,0.3333333333333333,,0.5,0.5,1.0,0.5,,1.0,,1.0,,1.0,1.0,,0.2,,,0.2,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.7259,0.2857142857142857,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2009,2008-09,False
