PLAYER_ID,date,team_poss,pullup_PULL_UP_FGM,pullup_PULL_UP_FGA,pullup_PULL_UP_FG_PCT,pullup_PULL_UP_PTS,pullup_PULL_UP_FG3M,pullup_PULL_UP_FG3A,pullup_PULL_UP_FG3_PCT,pullup_PULL_UP_EFG_PCT,overall_def_D_FGM,overall_def_D_FGA,overall_def_D_FG_PCT,overall_def_NORMAL_FG_PCT,overall_def_PCT_PLUSMINUS,lt6ft_totals_FGM_LT_06,lt6ft_totals_FGA_LT_06,lt6ft_totals_LT_06_PCT,lt6ft_totals_NS_LT_06_PCT,lt6ft_totals_PLUSMINUS
1630639,20250404,102,0,1,0.0,0,0.0,0.0,,0.0,6.0,13.0,0.462,0.475,-0.013,4.0,7.0,0.571,0.624,-0.053
203932,20250404,97,0,2,0.0,0,0.0,1.0,0.0,0.0,12.0,19.0,0.632,0.456,0.176,5.0,7.0,0.714,0.595,0.119
1628988,20250404,102,0,0,,0,,,,,,,,,,,,,,
1630174,20250404,102,0,0,,0,0.0,0.0,,,6.0,15.0,0.4,0.455,-0.055,5.0,9.0,0.556,0.598,-0.042
1630598,20250404,102,0,0,,0,0.0,0.0,,,4.0,7.0,0.571,0.481,0.09,1.0,3.0,0.333,0.622,-0.289
201143,20250404,94,0,0,,0,0.0,0.0,,,6.0,12.0,0.5,0.451,0.049,2.0,3.0,0.667,0.624,0.043
1627936,20250404,102,0,1,0.0,0,0.0,1.0,0.0,0.0,5.0,15.0,0.333,0.48,-0.146,2.0,10.0,0.2,0.614,-0.414
1630578,20250404,102,0,1,0.0,0,,,,0.0,8.0,15.0,0.533,0.469,0.065,1.0,5.0,0.2,0.625,-0.425
1641708,20250404,102,1,2,0.5,3,1.0,1.0,1.0,0.75,6.0,12.0,0.5,0.507,-0.007,3.0,5.0,0.6,0.647,-0.047
1629614,20250404,102,2,3,0.667,4,0.0,1.0,0.0,0.667,4.0,7.0,0.571,0.429,0.143,,,,,
1641810,20250404,95,2,3,0.667,5,1.0,1.0,1.0,0.833,3.0,4.0,0.75,0.536,0.214,2.0,2.0,1.0,0.738,0.262
1641709,20250404,102,0,1,0.0,0,,,,0.0,7.0,18.0,0.389,0.433,-0.044,2.0,5.0,0.4,0.574,-0.174
1630559,20250404,95,2,4,0.5,5,1.0,2.0,0.5,0.625,9.0,18.0,0.5,0.448,0.052,5.0,6.0,0.833,0.628,0.205
1631248,20250404,94,0,1,0.0,0,0.0,0.0,,0.0,1.0,3.0,0.333,0.404,-0.071,1.0,2.0,0.5,0.627,-0.127
1641767,20250404,102,0,0,,0,0.0,0.0,,,0.0,3.0,0.0,0.47,-0.47,,,,,
1631097,20250404,102,1,4,0.25,2,0.0,2.0,0.0,0.25,3.0,12.0,0.25,0.415,-0.165,1.0,2.0,0.5,0.647,-0.147
202687,20250404,102,0,0,,0,,,,,1.0,5.0,0.2,0.553,-0.353,1.0,3.0,0.333,0.689,-0.355
1631104,20250404,102,0,0,,0,0.0,0.0,,,5.0,10.0,0.5,0.482,0.019,2.0,3.0,0.667,0.673,-0.007
203992,20250404,99,3,5,0.6,9,3.0,3.0,1.0,0.9,4.0,10.0,0.4,0.433,-0.033,1.0,1.0,1.0,0.552,0.448
1629626,20250404,93,0,0,,0,,,,,0.0,1.0,0.0,0.415,-0.415,0.0,1.0,0.0,0.333,-0.333
203078,20250404,93,0,3,0.0,0,0.0,1.0,0.0,0.0,4.0,12.0,0.333,0.457,-0.123,2.0,3.0,0.667,0.641,0.026
1642382,20250404,102,0,0,,0,0.0,0.0,,,0.0,1.0,0.0,0.491,-0.491,,,,,
