Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Date,GameId,Opponent,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,Corner3Assists,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,OffensiveGoaltends,PenaltyFg3Pct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,Fg3aBlocked,BlockingFouls,Charge Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,Blocked3s,BlockedCorner3,BlockedLongMidRange,Corner3PctBlocked,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,Clear Path Fouls,3pt And 1 Free Throw Trips,Season,year,SeasonType,HeaveMakes,Transition Take Fouls,Transition Take Fouls Drawn
48:00,100,98,33.0,29,15,198,21,35,4.0,7.0,8.0,13.0,4.0,9,3.0,8.0,9,2.0,8,29,1.0,4.0,8.0,28,52,11,38,16,105,6.0,9.0,1.0,6.0,2.0,17,8.0,14.0,11.0,7.0,35.0,34,22,27.0,8.0,29,8,4.0,17,9.0,26,7.0,13,2.0,2.0,61,11.0,8.0,,11,21,1.0,33,19,52,1.0,14.0,10.0,4.0,8,1.0,6.0,12.0,2.0,4.0,20,2.0,9.0,7,22,,4.0,1.0,23,,22,4.0,10,,2.0,6.0,3.0,3.0,7.0,3.0,,,1.0,88,35.0,33.0,3.0,1.0,0.6071428571428571,0.7083333333333334,0.8181818181818182,0.2894736842105263,0.16666666666666666,0.2894736842105263,0.5384615384615384,0.6666666666666666,0.5714285714285714,0.49444444444444446,0.5,0.56,0.5306122448979592,0.53125,0.603448275862069,0.4222222222222222,0.07692307692307693,0.11428571428571428,,,0.4,1.0,,0.7,0.3333333333333333,0.6875,0.4230769230769231,0.6956521739130435,0.38,0.5,0.2,,0.45,0.8,0.6153846153846154,0.7142857142857143,0.9166666666666666,0.021739130434782608,99.0,0.42857142857142855,14.06,15.040816326530612,12.86,14.46938775510204,0.3888888888888889,0.6,0.6774193548387096,0.6190476190476191,0.1,0.4444444444444444,0.4444444444444444,0.5,0.08888888888888889,0.375,0.375,0.6666666666666666,0.1,0.32222222222222224,0.27586206896551724,0.27586206896551724,0.875,0.4666666666666667,0.5714285714285714,0.25,0.13333333333333333,0.26666666666666666,0.25,1.0,0.52,0.6153846153846154,0.32,0.8111111111111111,0.27586206896551724,0.5731241573033707,0.6246444444444444,0.6496979166666667,0.10416666666666667,0.1724137931034483,,0.1619047619047619,0.3333333333333333,5.275,24.926315789473687,0.33,2017-10-19,0021700015,NYK,3.0,2.0,3.0,2.0,4.0,6.0,,2.0,2.0,2.0,2.0,2.0,1.0,0.36363636363636365,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.12,0.6666666666666666,0.25,,,1.0,,,0.3333333333333333,1.0,,,,,,,,1.0,,,2017-18,2018,Regular Season,,,
48:00,91,91,31.0,21,12,182,8,14,,2.0,2.0,7.0,3.0,12,10.0,19.0,5,,9,28,,1.0,9.0,21,45,11,33,12,87,3.0,6.0,,1.0,4.0,10,6.0,15.0,12.0,9.0,27.0,8,34,33.0,,28,9,3.0,4,11.0,15,9.0,2,1.0,1.0,41,4.0,8.0,,18,12,2.0,32,12,44,,14.0,8.0,6.0,11,2.0,9.0,6.0,2.0,3.0,17,2.0,6.0,5,16,,2.0,,21,,19,1.0,8,,2.0,4.0,3.0,1.0,4.0,3.0,,,2.0,77,27.0,31.0,,2.0,0.19047619047619047,0.19047619047619047,1.0,0.3333333333333333,,0.3333333333333333,0.4666666666666667,0.5,0.4,0.4807692307692308,0.42857142857142855,0.3333333333333333,0.5,0.5,0.421875,0.4230769230769231,0.06666666666666667,0.07142857142857142,0.16666666666666666,,0.6470588235294118,1.0,,0.631578947368421,0.3333333333333333,0.9473684210526315,0.19047619047619047,0.7894736842105263,0.26666666666666666,,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.6666666666666666,0.4,0.75,0.9230769230769231,,91.0,0.75,14.593406593406593,17.054945054945055,13.846153846153847,16.571428571428573,0.1794871794871795,0.5714285714285714,0.6153846153846154,0.25,0.15384615384615385,0.25,0.3,0.3333333333333333,0.24358974358974358,0.5263157894736842,0.5263157894736842,0.1,0.0641025641025641,0.358974358974359,0.32142857142857145,0.3333333333333333,1.0,0.2857142857142857,,,,0.14285714285714285,,,0.25925925925925924,0.2857142857142857,0.3333333333333333,0.6025641025641025,0.32142857142857145,0.4875883116883117,0.50848,0.4949692307692307,0.09411764705882353,0.15384615384615385,,0.11494252873563218,0.3103448275862069,10.815555555555555,25.118181818181817,0.34065934065934067,2017-10-21,0021700036,UTA,2.0,,3.0,2.0,2.0,,,2.0,1.0,3.0,,,,0.16666666666666666,1.0,0.4,0.4,1.0,0.1111111111111111,,0.2222222222222222,1.0,,,0.030303030303030304,0.03571428571428571,0.6666666666666666,,,,,,,,,,,,2017-18,2018,Regular Season,,,
48:00,100,100,11.0,23,12,200,27,41,5.0,9.0,2.0,2.0,5.0,13,3.0,11.0,4,,10,27,1.0,2.0,3.0,35,65,11,31,10,113,6.0,11.0,1.0,2.0,1.0,16,2.0,4.0,4.0,1.0,11.0,38,32,21.0,8.0,27,10,1.0,19,7.0,26,6.0,17,,2.0,59,3.0,9.0,1.0,11,16,1.0,28,13,41,2.0,9.0,2.0,7.0,5,1.0,3.0,6.0,2.0,1.0,11,,2.0,10,22,2.0,,1.0,17,,16,4.0,9,,1.0,6.0,4.0,2.0,6.0,2.0,,,,97,11.0,11.0,2.0,1.0,0.5428571428571428,0.6129032258064516,0.6363636363636364,0.3548387096774194,0.5,0.3548387096774194,0.5384615384615384,0.5454545454545454,0.5,0.5364583333333334,0.5769230769230769,0.625,0.553921568627451,0.6153846153846154,0.55,0.3229166666666667,0.015384615384615385,0.024390243902439025,,,0.45454545454545453,1.0,0.3333333333333333,0.5925925925925926,0.3103448275862069,0.7333333333333333,0.15,0.6428571428571429,0.24489795918367346,0.42857142857142855,0.125,0.2857142857142857,0.058823529411764705,0.4444444444444444,0.7,0.625,0.6363636363636364,0.041666666666666664,100.0,0.3333333333333333,13.05,15.75,12.66,14.83,0.4270833333333333,0.6585365853658537,0.675,0.6296296296296297,0.13541666666666666,0.38461538461538464,0.38461538461538464,,0.11458333333333333,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.041666666666666664,0.28125,0.37037037037037035,0.37037037037037035,0.6,0.6923076923076923,0.5555555555555556,0.2,,0.15384615384615385,0.5,1.0,0.25,1.0,0.375,0.75,0.37037037037037035,0.561559375,0.5987090909090909,0.44658125,0.0891089108910891,0.12857142857142856,,0.1415929203539823,0.09734513274336283,5.903076923076923,25.14516129032258,0.11,2017-10-22,0021700039,MIN,1.0,1.0,1.0,1.0,2.0,12.0,,1.0,1.0,2.0,1.0,,,0.5,1.0,0.25,0.25,1.0,0.125,1.0,0.3333333333333333,,,,,,0.6666666666666666,,,,,,,,,,,,2017-18,2018,Regular Season,,,
48:00,100,99,38.0,44,16,199,21,34,3.0,10.0,5.0,9.0,7.0,16,5.0,12.0,7,,8,20,3.0,4.0,8.0,33,62,10,27,18,114,4.0,12.0,3.0,4.0,2.0,19,11.0,23.0,8.0,8.0,39.0,36,30,24.0,6.0,20,8,2.0,18,8.0,26,6.0,13,2.0,3.0,60,4.0,16.0,,16,20,3.0,39,20,59,4.0,8.0,5.0,3.0,13,1.0,7.0,8.0,6.0,1.0,21,3.0,6.0,13,27,1.0,1.0,,23,,26,4.0,9,1.0,4.0,8.0,7.0,1.0,8.0,4.0,,1.0,,95,39.0,38.0,5.0,3.0,0.5454545454545454,0.6,0.8,0.37037037037037035,0.75,0.37037037037037035,0.532258064516129,0.3333333333333333,0.4782608695652174,0.5393258426966292,0.53125,0.5,0.5757575757575758,0.5588235294117647,0.5416666666666666,0.30337078651685395,0.03225806451612903,0.058823529411764705,,,0.6190476190476191,1.0,,0.5555555555555556,0.5517241379310345,0.8888888888888888,0.23529411764705882,0.6666666666666666,0.43478260869565216,0.5384615384615384,0.6666666666666666,0.42857142857142855,0.16666666666666666,0.3125,0.7272727272727273,0.7777777777777778,0.875,0.09090909090909091,99.5,0.5,14.1,14.848484848484848,13.21,14.06060606060606,0.38202247191011235,0.6176470588235294,0.65625,0.6190476190476191,0.1797752808988764,0.4375,0.4375,0.2857142857142857,0.1348314606741573,0.4166666666666667,0.4166666666666667,0.6,0.07865168539325842,0.2247191011235955,0.4,0.4,0.75,0.625,0.3,0.3333333333333333,,0.25,0.75,1.0,0.2903225806451613,0.5555555555555556,0.25806451612903225,0.6853932584269663,0.4,0.5466466292134832,0.5945866666666666,0.5200274193548388,0.10526315789473684,0.13432835820895522,0.03571428571428571,0.16666666666666666,0.34210526315789475,6.774193548387097,24.574074074074073,0.38,2017-10-25,0021700060,IND,2.0,,,3.0,3.0,6.0,,2.0,2.0,2.0,1.0,1.0,1.0,0.375,1.0,0.2857142857142857,0.2857142857142857,1.0,,,0.375,,2.0,1.0,,,0.4,,,,,1.0,,,,,,,2017-18,2018,Regular Season,,,
48:00,96,97,29.0,43,11,193,21,31,5.0,8.0,6.0,7.0,4.0,11,10.0,16.0,7,,6,21,1.0,1.0,6.0,35,58,8,28,22,116,6.0,12.0,1.0,1.0,,15,10.0,17.0,9.0,9.0,35.0,24,46,21.0,8.0,20,6,7.0,12,7.0,19,5.0,9,2.0,1.0,45,3.0,11.0,,9,15,3.0,27,14,41,1.0,8.0,4.0,4.0,5,4.0,3.0,9.0,2.0,2.0,14,1.0,2.0,15,29,,2.0,1.0,21,,25,2.0,9,1.0,3.0,8.0,5.0,3.0,9.0,3.0,,,,101,35.0,29.0,3.0,3.0,0.34285714285714286,0.3870967741935484,0.875,0.2857142857142857,1.0,0.2962962962962963,0.603448275862069,0.5,0.5882352941176471,0.5465116279069767,0.5769230769230769,0.5,0.5979381443298969,0.5769230769230769,0.5833333333333334,0.32558139534883723,0.1206896551724138,0.16129032258064516,0.18181818181818182,,0.35714285714285715,0.75,,0.5,0.4782608695652174,0.6923076923076923,0.15789473684210525,0.5581395348837209,0.3333333333333333,0.6,0.42857142857142855,0.3333333333333333,0.21428571428571427,0.38461538461538464,0.5833333333333334,0.6,0.42857142857142855,0.02857142857142857,96.5,0.3333333333333333,13.5,16.329896907216494,12.90625,15.463917525773196,0.36046511627906974,0.6774193548387096,0.8076923076923077,0.42857142857142855,0.12790697674418605,0.36363636363636365,0.4444444444444444,0.5,0.18604651162790697,0.625,0.625,0.1,0.08139534883720931,0.2441860465116279,0.2857142857142857,0.2857142857142857,0.8333333333333334,0.6153846153846154,0.625,0.2,,0.07692307692307693,1.0,1.0,0.2692307692307692,0.8571428571428571,0.23076923076923078,0.686046511627907,0.3,0.5283235294117647,0.5418045454545455,0.516638,0.10638297872340426,0.13846153846153847,0.034482758620689655,0.12931034482758622,0.3017241379310345,7.655172413793103,25.714285714285715,0.3020833333333333,2017-10-27,0021700074,MIN,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,,,,0.2222222222222222,1.0,0.2857142857142857,0.2857142857142857,1.0,0.11538461538461539,0.3333333333333333,0.16666666666666666,,,,,,,1.0,1.0,,,,,,,,,,2017-18,2018,Regular Season,,,
48:00,92,92,11.0,25,11,184,16,24,2.0,4.0,1.0,1.0,3.0,15,7.0,15.0,3,,12,31,2.0,5.0,3.0,26,54,13,34,10,101,3.0,7.0,2.0,5.0,,12,1.0,5.0,3.0,4.0,12.0,34,18,33.0,2.0,31,12,5.0,17,11.0,28,10.0,11,1.0,5.0,67,5.0,8.0,1.0,22,19,2.0,43,14,57,2.0,16.0,12.0,4.0,9,1.0,6.0,3.0,3.0,1.0,12,2.0,1.0,7,17,,,,16,,14,2.0,6,,2.0,8.0,2.0,6.0,8.0,4.0,,,,89,12.0,11.0,2.0,2.0,0.6538461538461539,0.68,0.8461538461538461,0.38235294117647056,0.4,0.38235294117647056,0.48148148148148145,0.42857142857142855,0.2,0.5170454545454546,0.5,0.5,0.5372340425531915,0.5,0.6,0.38636363636363635,0.09259259259259259,0.16666666666666666,0.06666666666666667,,0.75,1.0,0.5,0.6551724137931034,0.2857142857142857,0.88,0.25,0.7592592592592593,0.2708333333333333,0.375,0.25,0.25,0.2777777777777778,0.5,0.7142857142857143,0.6666666666666666,0.9,0.046511627906976744,92.0,0.5,14.076086956521738,17.22826086956522,13.065217391304348,16.793478260869566,0.2727272727272727,0.6666666666666666,0.8,0.6875,0.17045454545454544,0.2,0.21428571428571427,0.3333333333333333,0.17045454545454544,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.03409090909090909,0.3522727272727273,0.3870967741935484,0.3870967741935484,0.8333333333333334,0.3333333333333333,0.5,0.5,,0.4166666666666667,0.4,0.5,0.125,1.0,0.375,0.6590909090909091,0.3870967741935484,0.5268994318181819,0.5434,0.4194375,0.06521739130434782,0.10344827586206896,,0.1188118811881188,0.1188118811881188,9.25925925925926,25.529411764705884,0.11956521739130435,2017-10-28,0021700079,CHI,1.0,,,2.0,2.0,6.0,,1.0,,1.0,1.0,,,0.6666666666666666,0.8,0.3333333333333333,0.3333333333333333,1.0,,,0.6666666666666666,,1.0,,,,,,,,,,,,,,,,2017-18,2018,Regular Season,,,
48:00,93,93,23.0,24,11,186,17,25,4.0,6.0,4.0,5.0,2.0,5,9.0,23.0,10,,8,18,,1.0,5.0,28,53,12,28,18,110,5.0,8.0,,1.0,3.0,13,6.0,8.0,6.0,5.0,26.0,26,30,33.0,4.0,18,8,4.0,13,11.0,24,7.0,11,1.0,1.0,59,7.0,5.0,,16,21,3.0,40,12,52,1.0,6.0,3.0,3.0,8,3.0,6.0,8.0,2.0,1.0,16,3.0,6.0,11,20,1.0,1.0,,22,,21,3.0,9,,3.0,3.0,1.0,1.0,3.0,2.0,2.0,,2.0,97,26.0,23.0,,3.0,0.4642857142857143,0.5,0.9166666666666666,0.42857142857142855,,0.42857142857142855,0.5283018867924528,0.625,0.75,0.5679012345679012,0.5555555555555556,0.75,0.6111111111111112,0.65,0.7647058823529411,0.345679012345679,0.07547169811320754,,0.4,0.08695652173913043,0.5,1.0,,0.9130434782608695,0.2,0.7619047619047619,0.5,0.8409090909090909,0.3076923076923077,,0.3333333333333333,0.2857142857142857,0.375,0.875,0.8,1.0,0.7894736842105263,0.02857142857142857,93.0,0.6666666666666666,14.870967741935484,16.096774193548388,14.150537634408602,15.64516129032258,0.30864197530864196,0.68,0.68,0.6470588235294118,0.06172839506172839,0.4,0.6666666666666666,0.5,0.2839506172839506,0.391304347826087,0.42857142857142855,0.1111111111111111,0.12345679012345678,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.875,0.6666666666666666,0.6666666666666666,0.25,,0.1111111111111111,,,0.35714285714285715,0.8,0.35714285714285715,0.654320987654321,0.4444444444444444,0.5249160493827161,0.5789666666666667,0.49506428571428573,0.10344827586206896,0.15254237288135594,,0.11818181818181818,0.23636363636363636,8.966037735849056,25.664285714285715,0.24731182795698925,2017-10-31,0021700103,MIL,4.0,1.0,1.0,2.0,3.0,3.0,,4.0,1.0,,,,,0.5,0.5,0.4,0.4,1.0,0.07142857142857142,1.0,0.4,,,2.0,,,0.6666666666666666,,,1.0,,1.0,,,,,,,2017-18,2018,Regular Season,,,
48:00,93,93,10.0,30,11,186,17,30,4.0,7.0,,,2.0,10,3.0,12.0,8,,9,27,,1.0,5.0,22,52,13,35,11,94,4.0,8.0,,1.0,,8,,1.0,7.0,,9.0,20,24,30.0,6.0,27,9,2.0,10,10.0,20,6.0,8,1.0,1.0,50,1.0,11.0,,11,25,1.0,37,12,49,,4.0,2.0,2.0,6,2.0,3.0,6.0,3.0,3.0,12,3.0,2.0,10,18,,1.0,1.0,14,,14,2.0,8,,,7.0,4.0,3.0,7.0,4.0,,,,86,9.0,10.0,2.0,,0.45454545454545453,0.5263157894736842,0.7692307692307693,0.37142857142857144,,0.37142857142857144,0.4230769230769231,0.5,,0.47701149425287354,0.4444444444444444,0.5625,0.5053763440860215,0.4444444444444444,0.5625,0.40229885057471265,0.038461538461538464,0.06666666666666667,,,0.5,0.5,,0.78125,0.36666666666666664,0.7333333333333333,0.047619047619047616,0.7659574468085106,0.23529411764705882,0.38461538461538464,0.375,0.3333333333333333,0.05555555555555555,0.8125,0.6666666666666666,1.0,0.75,,93.0,0.5714285714285714,14.602150537634408,16.365591397849464,14.0,15.989247311827956,0.3448275862068966,0.5666666666666667,0.6071428571428571,0.47058823529411764,0.11494252873563218,0.2,0.2,0.5,0.13793103448275862,0.25,0.25,0.3333333333333333,0.09195402298850575,0.3103448275862069,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.5714285714285714,0.25,,0.1111111111111111,,,,,0.625,0.7471264367816092,0.3333333333333333,0.5540063218390804,0.5957,0.4835125,0.08602150537634409,0.13793103448275862,,0.0851063829787234,0.09574468085106383,6.199999999999999,24.77714285714286,0.10752688172043011,2017-11-03,0021700129,BOS,4.0,1.0,2.0,2.0,3.0,9.0,,4.0,,1.0,2.0,,,0.42857142857142855,0.6666666666666666,0.5,0.5,1.0,0.25,0.5,0.4,,,,,,,,,,,,,,,,,,2017-18,2018,Regular Season,,,
48:00,100,99,19.0,26,7,199,12,24,2.0,4.0,3.0,5.0,6.0,12,11.0,20.0,6,,10,27,,,9.0,29,56,11,33,8,99,2.0,5.0,,,,4,5.0,9.0,9.0,2.0,24.0,20,38,21.0,,26,10,6.0,10,7.0,17,6.0,6,,4.0,41,2.0,6.0,,10,19,,29,8,37,1.0,11.0,6.0,5.0,6,,2.0,6.0,4.0,,12,3.0,2.0,7,27,,4.0,3.0,20,1.0,15,,4,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,,95,24.0,19.0,3.0,2.0,0.3448275862068966,0.3448275862068966,0.6363636363636364,0.3333333333333333,,0.34375,0.5178571428571429,0.4,0.5555555555555556,0.5112359550561798,0.4,0.6111111111111112,0.515625,0.4,0.5714285714285714,0.3707865168539326,0.10714285714285714,0.20833333333333334,,0.05,0.5,,,0.7916666666666666,0.2222222222222222,0.7692307692307693,0.1,0.7837837837837838,0.1702127659574468,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.7777777777777778,0.8,0.8,0.6666666666666666,0.025,99.5,0.5,13.48,15.474747474747474,12.88,14.93939393939394,0.2696629213483146,0.5,0.631578947368421,0.5,0.1348314606741573,0.5,0.5,,0.2247191011235955,0.55,0.5789473684210527,0.36363636363636365,0.06741573033707865,0.30337078651685395,0.37037037037037035,0.38461538461538464,0.6,0.8,0.5,0.5,,,,,0.2777777777777778,0.6,0.5,0.6404494382022472,0.38461538461538464,0.5211676136363637,0.5901,0.5280029411764706,0.05319148936170213,0.06666666666666667,0.029411764705882353,0.04040404040404041,0.24242424242424243,8.810714285714285,25.466666666666665,0.19,2017-11-05,0021700144,POR,1.0,,,4.0,4.0,12.0,1.0,1.0,1.0,1.0,4.0,,,0.4444444444444444,1.0,0.16666666666666666,0.16666666666666666,1.0,,,0.4444444444444444,1.0,,,0.030303030303030304,0.037037037037037035,,,,,,,,,,,,,2017-18,2018,Regular Season,,,
48:00,99,100,39.0,15,11,199,14,24,3.0,3.0,6.0,12.0,3.0,9,2.0,16.0,5,,7,32,1.0,3.0,13.0,19,49,10,37,18,86,4.0,4.0,1.0,3.0,7.0,18,6.0,19.0,16.0,12.0,36.0,18,20,18.0,6.0,30,7,5.0,9,6.0,15,4.0,8,1.0,,36,7.0,3.0,1.0,14,22,1.0,37,11,48,1.0,16.0,11.0,5.0,6,2.0,4.0,11.0,2.0,2.0,17,1.0,7.0,3,17,1.0,1.0,1.0,24,,23,2.0,9,,3.0,2.0,,1.0,2.0,2.0,1.0,,,68,36.0,39.0,3.0,3.0,0.47368421052631576,0.5625,0.6,0.2702702702702703,0.3333333333333333,0.2857142857142857,0.3877551020408163,1.0,0.3157894736842105,0.3953488372093023,0.7857142857142857,0.34285714285714286,0.4479166666666667,0.9,0.43902439024390244,0.43023255813953487,0.10204081632653061,0.125,0.2222222222222222,,0.35294117647058826,1.0,0.5,0.8148148148148148,0.1,0.9333333333333333,0.30434782608695654,0.8571428571428571,0.18867924528301888,0.1,0.16666666666666666,0.07142857142857142,0.23809523809523808,0.7142857142857143,0.7142857142857143,0.9230769230769231,1.0,0.020833333333333332,99.5,1.0,14.303030303030303,14.64,13.83838383838384,14.28,0.27906976744186046,0.5833333333333334,0.6666666666666666,0.5714285714285714,0.10465116279069768,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.18604651162790697,0.125,0.125,,0.05813953488372093,0.37209302325581395,0.21875,0.21875,0.5714285714285714,0.42857142857142855,1.0,,,0.42857142857142855,0.3333333333333333,1.0,0.34285714285714286,0.5,0.37142857142857144,0.7093023255813954,0.23333333333333334,0.5014059523809523,0.3313333333333333,0.4848969696969697,0.0967741935483871,0.16071428571428573,,0.20930232558139536,0.4186046511627907,8.740816326530613,26.21081081081081,0.3939393939393939,2017-11-07,0021700158,SAC,3.0,2.0,3.0,2.0,4.0,12.0,2.0,2.0,1.0,1.0,,1.0,,0.25,0.8,0.6,0.6,0.6666666666666666,0.08571428571428572,0.6666666666666666,0.15384615384615385,,,1.0,,,1.0,,,1.0,,,,,,,,,2017-18,2018,Regular Season,,,
