index,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Date,GameId,Opponent,SecondChanceArc3FGA,SecondChanceFG3A,LostBallTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,OffArc3ReboundPct,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,StepOutOfBoundsTurnovers,DefensiveGoaltends,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,OffensiveGoaltends,HeaveMakes,BlockedCorner3,Season,year,SeasonType,3pt And 1 Free Throw Trips
2,48:00,103.0,102.0,56.0,56.0,4.0,205.0,11.0,18.0,1.0,2.0,7.0,12.0,7.0,16.0,3.0,13.0,1.0,5.0,3.0,5.0,19.0,3.0,7.0,21.0,47.0,6.0,24.0,28.0,88.0,3.0,4.0,,9.0,12.0,26.0,3.0,10.0,21.0,54.0,26.0,16.0,18.0,,2.0,,19.0,5.0,2.0,13.0,6.0,19.0,5.0,1.0,8.0,4.0,1.0,44.0,1.0,4.0,10.0,19.0,4.0,33.0,5.0,38.0,2.0,8.0,5.0,3.0,12.0,1.0,8.0,8.0,,1.0,20.0,,11.0,13.0,1.0,27.0,3.0,1.0,32.0,1.0,,2.0,38.0,2.0,14.0,6.0,3.0,2.0,,1.0,3.0,1.0,,1.0,79.0,54.0,56.0,2.0,6.0,0.6190476190476191,0.65,1.0,0.25,0.3,0.25,0.4468085106382978,0.75,0.4615384615384615,0.4225352112676056,0.9,0.4583333333333333,0.4943820224719101,0.9,0.5510204081632653,0.3380281690140845,0.0425531914893617,0.1111111111111111,,0.6,0.8,0.7307692307692307,0.16,0.7142857142857143,0.0555555555555555,0.725,0.1162790697674418,0.5,,0.1,0.25,0.8181818181818182,0.5555555555555556,0.8333333333333334,0.6666666666666666,1.0,0.048780487804878,102.5,0.3333333333333333,14.883495145631068,13.205882352941176,14.75728155339806,12.872549019607844,0.2535211267605634,0.6111111111111112,0.6875,0.7272727272727273,0.2253521126760563,0.4375,0.4375,0.5714285714285714,0.1830985915492957,0.2307692307692307,0.2307692307692307,0.3333333333333333,0.0704225352112676,0.2,0.2,1.0,0.2676056338028169,0.2631578947368421,0.2631578947368421,1.0,0.4,0.5,,0.3333333333333333,0.5833333333333334,0.0833333333333333,0.1944444444444444,0.4285714285714285,0.5915492957746479,0.2631578947368421,0.5005028169014084,0.58785,0.5061472222222222,0.1686746987951807,0.2372881355932203,0.1022727272727272,0.6136363636363636,8.52340425531915,25.4125,0.5436893203883495,2017-10-21,21700037.0,LAC,1.0,1.0,4.0,,2.0,,,0.2,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,2017-18,2018,Regular Season,
32,48:00,96.0,97.0,17.0,36.0,17.0,193.0,16.0,31.0,6.0,8.0,3.0,5.0,8.0,22.0,3.0,9.0,3.0,10.0,2.0,5.0,25.0,1.0,7.0,27.0,62.0,8.0,35.0,17.0,95.0,8.0,14.0,2.0,18.0,4.0,7.0,2.0,9.0,9.0,23.0,30.0,24.0,21.0,3.0,12.0,1.0,24.0,5.0,4.0,15.0,7.0,22.0,4.0,3.0,7.0,6.0,2.0,51.0,6.0,13.0,13.0,23.0,3.0,39.0,19.0,58.0,6.0,3.0,2.0,1.0,1.0,4.0,1.0,9.0,1.0,1.0,10.0,,1.0,7.0,,25.0,2.0,1.0,19.0,,2.0,,19.0,1.0,8.0,2.0,3.0,2.0,,1.0,3.0,2.0,,,77.0,23.0,17.0,5.0,2.0,0.5555555555555556,0.7142857142857143,0.875,0.2285714285714285,0.2222222222222222,0.2352941176470588,0.4354838709677419,0.5714285714285714,0.5714285714285714,0.4020618556701031,0.4444444444444444,0.4375,0.4481132075471698,0.4736842105263157,0.575,0.3608247422680412,0.064516129032258,0.064516129032258,0.0909090909090909,0.1,0.75,0.8846153846153846,0.3714285714285714,0.6842105263157895,0.2307692307692307,0.8,0.3114754098360656,0.2666666666666666,0.5714285714285714,0.1666666666666666,0.1428571428571428,0.7777777777777778,0.8888888888888888,1.0,0.7058823529411765,0.5,0.1052631578947368,96.5,0.6666666666666666,15.572916666666666,14.278350515463918,14.864583333333334,13.948453608247425,0.3195876288659793,0.5161290322580645,0.5517241379310345,0.4375,0.2268041237113402,0.3636363636363636,0.4,0.75,0.0927835051546391,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1030927835051546,0.3,0.3,1.0,0.2577319587628865,0.2,0.2,0.8,0.4444444444444444,0.75,,0.3125,0.6,0.125,0.4375,0.1428571428571428,0.6804123711340206,0.2083333333333333,0.5233302083333333,0.5933625,0.5521666666666667,0.0769230769230769,0.1159420289855072,0.1894736842105263,0.2421052631578947,6.285483870967742,26.057142857142857,0.1770833333333333,2017-12-20,21700465.0,LAC,3.0,4.0,,2.0,1.0,,0.2631578947368421,0.1666666666666666,,,1.0,,,,,,,,,0.5,,,,1.0,,,0.0555555555555555,,,,,,,,,,,2017-18,2018,Regular Season,
59,48:00,111.0,109.0,34.0,34.0,16.0,220.0,29.0,45.0,5.0,10.0,10.0,15.0,4.0,17.0,3.0,10.0,3.0,7.0,1.0,6.0,24.0,2.0,7.0,36.0,72.0,9.0,31.0,18.0,117.0,5.0,11.0,1.0,11.0,11.0,20.0,3.0,8.0,12.0,43.0,30.0,42.0,21.0,6.0,10.0,1.0,23.0,6.0,8.0,15.0,7.0,22.0,5.0,2.0,12.0,2.0,1.0,51.0,4.0,12.0,15.0,16.0,3.0,34.0,17.0,51.0,3.0,12.0,6.0,6.0,5.0,3.0,5.0,7.0,,1.0,12.0,2.0,4.0,9.0,1.0,25.0,1.0,,26.0,,,2.0,31.0,6.0,14.0,4.0,5.0,5.0,,,5.0,2.0,,,106.0,43.0,34.0,3.0,4.0,0.4166666666666667,0.4838709677419355,0.7777777777777778,0.2903225806451613,0.375,0.3,0.5,0.4545454545454545,0.55,0.4805825242718446,0.4545454545454545,0.5535714285714286,0.508695652173913,0.3666666666666666,0.5972222222222222,0.3009708737864077,0.1111111111111111,0.1333333333333333,0.1176470588235294,0.4166666666666667,1.0,0.6666666666666666,0.3333333333333333,0.8823529411764706,0.2,0.7560975609756098,0.2857142857142857,0.3125,0.5384615384615384,,0.25,0.5294117647058824,1.0,1.0,0.8571428571428571,1.0,0.0625,110.0,0.4,12.144144144144144,14.055045871559631,11.765765765765764,13.6697247706422,0.4368932038834951,0.6444444444444445,0.7435897435897436,0.4137931034482758,0.1650485436893204,0.2352941176470588,0.2666666666666666,0.5,0.0970873786407767,0.3,0.3,0.3333333333333333,0.0679611650485436,0.4285714285714285,0.4285714285714285,0.6666666666666666,0.233009708737864,0.25,0.25,0.8333333333333334,0.9090909090909092,0.5,,0.5357142857142857,0.6666666666666666,0.0357142857142857,0.25,0.2857142857142857,0.7378640776699029,0.2608695652173913,0.5928799019607843,0.6079875,0.634688888888889,0.1261261261261261,0.175,0.094017094017094,0.3675213675213675,5.151388888888889,25.751612903225805,0.3063063063063063,2018-02-23,21700881.0,LAC,,,,1.0,1.0,,0.1875,,,,1.0,,,1.0,,,,0.125,,1.0,,,,,,,,,,,,,,1.0,,,,2017-18,2018,Regular Season,
75,48:00,100.0,100.0,16.0,31.0,10.0,200.0,17.0,27.0,3.0,5.0,2.0,2.0,6.0,17.0,5.0,10.0,3.0,6.0,2.0,7.0,28.0,,2.0,28.0,54.0,10.0,34.0,13.0,99.0,4.0,6.0,2.0,13.0,4.0,8.0,2.0,4.0,6.0,20.0,16.0,40.0,27.0,3.0,6.0,,28.0,7.0,4.0,8.0,9.0,17.0,6.0,3.0,6.0,,2.0,43.0,4.0,7.0,9.0,17.0,4.0,30.0,11.0,41.0,2.0,13.0,8.0,5.0,7.0,5.0,5.0,7.0,,,14.0,1.0,1.0,11.0,,20.0,,1.0,17.0,,1.0,1.0,18.0,2.0,9.0,1.0,4.0,4.0,,,4.0,3.0,1.0,,86.0,20.0,16.0,2.0,1.0,0.2857142857142857,0.32,0.9,0.2941176470588235,0.5,0.2941176470588235,0.5185185185185185,0.6666666666666666,0.5,0.4886363636363636,0.6111111111111112,0.5833333333333334,0.515625,0.65,0.6666666666666666,0.3863636363636363,0.074074074074074,0.074074074074074,0.1176470588235294,0.5,0.8,0.6071428571428571,0.2692307692307692,1.0,0.1666666666666666,0.7027027027027027,0.22,0.3,0.1818181818181818,0.4,,0.6428571428571429,0.5454545454545454,0.6666666666666666,1.0,1.0,0.0434782608695652,100.0,0.75,13.72,15.08,13.48,14.51,0.3068181818181818,0.6296296296296297,0.68,0.3529411764705882,0.1931818181818181,0.3529411764705882,0.4,,0.1136363636363636,0.5,0.5,0.4,0.0681818181818181,0.5,0.5,1.0,0.3181818181818182,0.25,0.25,0.8571428571428571,0.5555555555555556,0.6,,0.1666666666666666,1.0,0.1666666666666666,0.1666666666666666,,0.6931818181818182,0.25,0.5648482954545455,0.6351083333333333,0.5165541666666666,0.0947368421052631,0.1475409836065573,0.1313131313131313,0.202020202020202,7.02962962962963,25.405882352941177,0.16,2018-03-28,21701122.0,LAC,1.0,3.0,2.0,1.0,1.0,,0.1904761904761904,0.1111111111111111,,1.0,2.0,,1.0,,,,0.3333333333333333,,,1.0,,,,2.0,,,0.2222222222222222,,,,1.0,0.5,1.0,,,,,2017-18,2018,Regular Season,
5,48:00,97.0,95.0,15.0,22.0,12.0,192.0,11.0,24.0,2.0,9.0,1.0,4.0,7.0,14.0,9.0,22.0,3.0,3.0,,6.0,25.0,,2.0,27.0,60.0,9.0,28.0,14.0,95.0,3.0,12.0,2.0,8.0,4.0,8.0,,2.0,5.0,13.0,16.0,38.0,24.0,3.0,2.0,,25.0,6.0,6.0,8.0,8.0,16.0,5.0,3.0,7.0,,1.0,40.0,3.0,12.0,18.0,20.0,2.0,40.0,15.0,55.0,5.0,11.0,7.0,4.0,6.0,1.0,3.0,7.0,,,13.0,2.0,3.0,7.0,2.0,20.0,1.0,2.0,18.0,1.0,1.0,1.0,21.0,,6.0,3.0,6.0,5.0,,1.0,6.0,4.0,1.0,1.0,87.0,10.0,13.0,3.0,1.0,0.2962962962962963,0.3076923076923077,0.8888888888888888,0.3214285714285714,,0.3214285714285714,0.45,0.25,0.5,0.4602272727272727,0.25,0.4,0.4846938775510204,0.3076923076923077,0.5,0.3181818181818182,0.1,0.2083333333333333,0.0714285714285714,0.4615384615384615,1.0,0.6060606060606061,0.375,0.8571428571428571,0.1666666666666666,0.7037037037037037,0.3,0.6153846153846154,0.5714285714285714,,,0.75,0.4444444444444444,0.25,0.9333333333333332,0.6666666666666666,0.1136363636363636,96.0,0.6666666666666666,13.804123711340209,16.221052631578946,13.072164948453608,15.557894736842105,0.2727272727272727,0.4583333333333333,0.5789473684210527,0.6363636363636364,0.1590909090909091,0.5,0.5384615384615384,,0.25,0.4090909090909091,0.4090909090909091,0.1111111111111111,0.034090909090909,1.0,1.0,1.0,0.2840909090909091,0.24,0.24,0.8333333333333334,0.75,0.2222222222222222,,0.4,0.25,,0.2,,0.5909090909090909,0.24,0.5261460227272727,0.6095200000000001,0.508715,0.0736842105263157,0.0909090909090909,0.0842105263157894,0.1368421052631579,8.701666666666666,25.160714285714285,0.1546391752577319,2017-10-28,21700084.0,LAC,,,3.0,2.0,1.0,1.0,0.1666666666666666,,0.0344827586206896,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2017-18,2018,Regular Season,
53,48:00,94.0,93.0,21.0,26.0,9.0,187.0,15.0,22.0,1.0,4.0,5.0,7.0,4.0,25.0,7.0,10.0,,7.0,3.0,10.0,24.0,2.0,6.0,26.0,57.0,10.0,31.0,13.0,95.0,1.0,5.0,1.0,3.0,6.0,12.0,2.0,9.0,2.0,20.0,26.0,26.0,27.0,3.0,2.0,,24.0,10.0,3.0,13.0,9.0,22.0,9.0,,8.0,1.0,4.0,53.0,1.0,7.0,15.0,19.0,1.0,35.0,9.0,44.0,,5.0,4.0,1.0,6.0,,4.0,3.0,2.0,,9.0,1.0,1.0,5.0,,16.0,,1.0,16.0,1.0,,,17.0,3.0,8.0,1.0,5.0,2.0,,3.0,5.0,4.0,,,92.0,20.0,21.0,2.0,1.0,0.5,0.52,0.9,0.3225806451612903,0.2222222222222222,0.3225806451612903,0.4561403508771929,0.2,0.5,0.4659090909090909,0.1428571428571428,0.4285714285714285,0.4946808510638298,0.1875,0.4545454545454545,0.3522727272727273,0.0526315789473684,0.0909090909090909,0.04,0.6666666666666666,1.0,0.6551724137931034,0.2258064516129032,0.75,0.05,0.6938775510204082,0.1568627450980392,0.2857142857142857,0.238095238095238,,,0.9090909090909092,0.5333333333333333,0.3333333333333333,0.7857142857142857,0.6666666666666666,,93.5,0.8,16.04255319148936,14.75268817204301,15.5,14.053763440860216,0.25,0.6818181818181818,0.75,0.5333333333333333,0.2840909090909091,0.16,0.1666666666666666,0.25,0.1136363636363636,0.7,0.7,0.5714285714285714,0.0795454545454545,,,,0.2727272727272727,0.4166666666666667,0.4166666666666667,0.9,0.5714285714285714,0.25,,0.3333333333333333,0.7142857142857143,0.1428571428571428,0.2857142857142857,0.3333333333333333,0.6022727272727273,0.4166666666666667,0.4828420454545454,0.5193083333333334,0.4588285714285715,0.086021505376344,0.1290322580645161,0.031578947368421,0.2105263157894736,7.003508771929824,25.23548387096774,0.2234042553191489,2018-02-09,21700817.0,LAC,2.0,2.0,2.0,1.0,,,0.0769230769230769,0.2857142857142857,,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,2.0,,,,2017-18,2018,Regular Season,
4,48:00,88.0,88.0,11.0,41.0,15.0,176.0,9.0,22.0,3.0,8.0,,2.0,6.0,17.0,6.0,19.0,2.0,5.0,1.0,12.0,26.0,,3.0,21.0,58.0,14.0,31.0,19.0,103.0,5.0,14.0,3.0,16.0,2.0,5.0,,4.0,5.0,9.0,18.0,24.0,30.0,12.0,6.0,1.0,25.0,12.0,5.0,9.0,10.0,19.0,8.0,2.0,6.0,,3.0,48.0,3.0,16.0,11.0,13.0,7.0,31.0,19.0,50.0,3.0,5.0,3.0,2.0,4.0,1.0,4.0,6.0,1.0,1.0,10.0,1.0,2.0,13.0,1.0,26.0,,1.0,19.0,1.0,1.0,1.0,22.0,,6.0,2.0,4.0,4.0,,,4.0,1.0,,,87.0,8.0,10.0,6.0,,0.4285714285714285,0.5,0.7142857142857143,0.4516129032258064,,0.4666666666666667,0.3620689655172414,0.3571428571428571,0.4,0.4719101123595505,0.40625,0.2222222222222222,0.5202020202020202,0.4444444444444444,0.375,0.348314606741573,0.0862068965517241,0.1363636363636363,0.1176470588235294,0.4,0.875,0.6190476190476191,0.4324324324324324,0.5789473684210527,0.2,0.6,0.3653846153846153,0.6923076923076923,0.3636363636363636,0.2307692307692307,,0.5,0.75,0.7142857142857143,0.5333333333333333,0.75,0.0638297872340425,88.0,0.25,16.272727272727273,16.454545454545453,15.545454545454543,15.704545454545457,0.247191011235955,0.4090909090909091,0.4736842105263157,0.6666666666666666,0.1910112359550561,0.3529411764705882,0.4,,0.2134831460674157,0.3157894736842105,0.3157894736842105,0.5,0.0561797752808988,0.4,0.4,1.0,0.2921348314606741,0.4615384615384615,0.4615384615384615,0.6666666666666666,0.5,0.375,,0.2222222222222222,,0.1111111111111111,0.3333333333333333,,0.5955056179775281,0.48,0.5063045454545455,0.5815166666666667,0.46275,0.0824742268041237,0.09375,0.1553398058252427,0.087378640776699,8.189655172413794,26.85483870967742,0.125,2017-10-26,21700068.0,LAC,2.0,2.0,,3.0,,2.0,0.2307692307692307,0.125,0.0606060606060606,,,1.0,1.0,,,,0.5,,0.5,,,,,,,,,1.0,,,,,,,,,,2017-18,2018,Regular Season,
49,48:00,99.0,99.0,20.0,26.0,17.0,198.0,18.0,39.0,5.0,11.0,3.0,6.0,3.0,18.0,2.0,11.0,1.0,4.0,,12.0,26.0,1.0,6.0,23.0,68.0,13.0,30.0,19.0,104.0,6.0,14.0,3.0,18.0,4.0,9.0,1.0,6.0,7.0,18.0,24.0,22.0,27.0,12.0,8.0,,26.0,12.0,7.0,12.0,9.0,21.0,8.0,1.0,10.0,1.0,1.0,51.0,3.0,18.0,13.0,26.0,3.0,42.0,21.0,63.0,2.0,12.0,8.0,4.0,5.0,,3.0,8.0,1.0,1.0,13.0,1.0,4.0,13.0,1.0,21.0,1.0,1.0,17.0,,,1.0,22.0,2.0,10.0,1.0,6.0,3.0,2.0,1.0,6.0,3.0,1.0,,86.0,18.0,20.0,,1.0,0.5217391304347826,0.631578947368421,0.6923076923076923,0.4333333333333333,0.1666666666666666,0.4333333333333333,0.3382352941176471,0.4285714285714285,0.4444444444444444,0.4336734693877551,0.4166666666666667,0.3666666666666666,0.4766355140186916,0.45,0.4736842105263157,0.3061224489795918,0.1029411764705882,0.1794871794871795,,0.3846153846153846,1.0,0.7647058823529411,0.4,0.8125,0.1764705882352941,0.78,0.3387096774193548,0.5238095238095238,0.3333333333333333,0.2222222222222222,,0.6428571428571429,0.8,0.9,0.8461538461538461,0.6666666666666666,0.0363636363636363,99.0,0.5,16.727272727272727,12.363636363636363,15.808080808080808,12.08080808080808,0.3979591836734694,0.4615384615384615,0.5625,0.5555555555555556,0.1836734693877551,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1122448979591836,0.1818181818181818,0.1818181818181818,0.5,0.0408163265306122,0.25,0.25,1.0,0.2653061224489796,0.4615384615384615,0.4615384615384615,0.6666666666666666,0.6111111111111112,0.4545454545454545,0.2,0.4,0.5,,0.4,0.1666666666666666,0.7040816326530612,0.4615384615384615,0.5098729591836735,0.5290333333333334,0.5119,0.0943396226415094,0.131578947368421,0.173076923076923,0.173076923076923,6.170588235294118,26.046666666666667,0.202020202020202,2018-01-30,21700752.0,LAC,3.0,4.0,2.0,1.0,1.0,,0.2142857142857142,0.1666666666666666,,,,1.0,1.0,,2.0,,0.25,,0.3333333333333333,,,,,1.0,,,0.0555555555555555,1.0,,,,,,2.0,,,,2017-18,2018,Regular Season,
69,48:00,99.0,97.0,35.0,26.0,12.0,196.0,17.0,32.0,3.0,5.0,4.0,9.0,5.0,10.0,10.0,21.0,5.0,6.0,2.0,9.0,23.0,3.0,8.0,32.0,63.0,14.0,29.0,16.0,122.0,6.0,11.0,4.0,22.0,6.0,15.0,5.0,10.0,7.0,34.0,28.0,36.0,30.0,12.0,6.0,,23.0,9.0,3.0,14.0,10.0,24.0,6.0,4.0,8.0,2.0,4.0,58.0,2.0,12.0,11.0,27.0,2.0,40.0,14.0,54.0,1.0,7.0,6.0,1.0,8.0,1.0,6.0,5.0,,1.0,13.0,,10.0,13.0,,22.0,1.0,1.0,17.0,,1.0,,20.0,3.0,7.0,1.0,5.0,3.0,,2.0,6.0,6.0,1.0,,100.0,34.0,35.0,2.0,1.0,0.4375,0.4827586206896552,0.7142857142857143,0.4827586206896552,0.5,0.4827586206896552,0.5079365079365079,0.5454545454545454,0.4,0.5760869565217391,0.6923076923076923,0.54,0.6111111111111112,0.7857142857142857,0.6071428571428571,0.3152173913043478,0.0476190476190476,0.03125,,0.6153846153846154,0.6666666666666666,0.7714285714285715,0.4,0.8461538461538461,0.1428571428571428,0.7916666666666666,0.3181818181818182,0.4666666666666667,0.2,0.4,,0.8421052631578947,0.5454545454545454,1.0,1.0,0.5,0.024390243902439,98.0,1.0,15.141414141414142,14.237113402061857,14.252525252525253,13.670103092783505,0.3478260869565217,0.53125,0.5483870967741935,0.4705882352941176,0.108695652173913,0.5,0.5,0.4,0.2282608695652173,0.4761904761904761,0.5263157894736842,0.4,0.0652173913043478,0.8333333333333334,0.8333333333333334,0.8,0.25,0.391304347826087,0.391304347826087,0.6666666666666666,0.3846153846153846,0.6,,0.36,0.4444444444444444,0.08,0.32,0.375,0.6630434782608695,0.391304347826087,0.5126657608695652,0.508375,0.5156860000000001,0.0918367346938775,0.1044776119402985,0.180327868852459,0.2786885245901639,8.44126984126984,25.724137931034484,0.3535353535353535,2018-03-18,21701049.0,LAC,2.0,2.0,2.0,1.0,3.0,2.0,0.1538461538461538,0.1538461538461538,0.064516129032258,,2.0,2.0,2.0,,,,1.0,,1.0,1.0,,,,,0.0952380952380952,,,1.0,1.0,1.0,,,,1.0,,,,2017-18,2018,Regular Season,
75,48:00,97.0,96.0,12.0,43.0,15.0,193.0,27.0,40.0,4.0,5.0,1.0,1.0,3.0,13.0,3.0,12.0,2.0,4.0,,6.0,26.0,1.0,4.0,33.0,65.0,8.0,30.0,15.0,105.0,4.0,8.0,2.0,13.0,2.0,3.0,1.0,4.0,5.0,12.0,46.0,20.0,21.0,3.0,2.0,,26.0,6.0,5.0,23.0,7.0,30.0,5.0,2.0,21.0,1.0,1.0,67.0,6.0,9.0,6.0,29.0,5.0,40.0,15.0,55.0,1.0,9.0,8.0,1.0,5.0,2.0,5.0,6.0,2.0,1.0,11.0,3.0,2.0,16.0,1.0,25.0,,,16.0,,,1.0,16.0,4.0,9.0,1.0,10.0,9.0,,1.0,10.0,5.0,,1.0,92.0,12.0,12.0,3.0,1.0,0.696969696969697,0.71875,0.875,0.2666666666666666,0.25,0.2666666666666666,0.5076923076923077,0.5,0.6666666666666666,0.4736842105263157,0.5,0.5,0.5198019801980198,0.5416666666666666,0.6,0.3157894736842105,0.0769230769230769,0.075,0.0769230769230769,0.4545454545454545,0.8333333333333334,0.6744186046511628,0.28125,0.6666666666666666,0.3,0.6730769230769231,0.2884615384615384,0.3076923076923077,0.1,0.4444444444444444,0.5,0.6538461538461539,0.5833333333333334,1.0,0.6666666666666666,,0.0212765957446808,96.5,0.5,15.443298969072163,14.395833333333334,14.618556701030927,13.625,0.4210526315789473,0.675,0.7297297297297297,0.7777777777777778,0.1368421052631579,0.2307692307692307,0.25,0.3333333333333333,0.1263157894736842,0.25,0.2727272727272727,0.3333333333333333,0.0421052631578947,0.5,0.5,1.0,0.2736842105263158,0.2307692307692307,0.2307692307692307,0.8333333333333334,0.4545454545454545,0.8,0.75,0.1428571428571428,1.0,,0.5714285714285714,0.25,0.7368421052631579,0.2307692307692307,0.5473521052631579,0.5481333333333334,0.4415,0.09,0.1285714285714285,0.1238095238095238,0.1142857142857142,5.601538461538462,25.3,0.1237113402061855,2018-03-30,21701137.0,LAC,3.0,3.0,,3.0,1.0,,0.2777777777777778,0.2727272727272727,,,,1.0,1.0,,,,0.3333333333333333,,0.3333333333333333,,,,,,0.0833333333333333,,,1.0,,,,,,,,,,2017-18,2018,Regular Season,
