EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,Corner3Assists,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,SecondChanceCorner3FGM,Travels,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangeAssists,LongMidRangePctAssisted,DefensiveGoaltends,LongMidRangePctBlocked,Fg3aBlocked,Blocked3s,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,Transition Take Fouls,Charge Fouls,HeaveAttempts,Transition Take Fouls Drawn,BlockedArc3,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
1626168-1627734-1628368-1628370-1628426,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Sasha Vezenkov","Lyles, Sabonis, Fox, Monk, Vezenkov",1626168-1627734-1628368-1628370-1628426,SAC,1010.0,6,17.0,10.0,36.0,33.0,13.0,6.0,7.0,69.0,7.0,12.0,2.0,5.0,2.0,5.0,4.0,12.0,1.0,3.0,1.0,5.0,15.0,1.0,5.0,2.0,6.0,11.0,24.0,6.0,18.0,6.0,46.0,36.0,3.0,9.0,1.0,5.0,1.0,10.0,3.0,8.0,2.0,7.0,2.0,14.0,10.0,12.0,12.0,6.0,4.0,15.0,5.0,7.0,5.0,4.0,9.0,4.0,4.0,1.0,22.0,8.0,5.0,1.0,3.0,9.0,1.0,13.0,14.0,27.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,12.0,1.0,10.0,3.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,4.0,4.0,36.0,14.0,13.0,2.0,0.45454545454545453,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.2,0.2857142857142857,0.3333333333333333,0.4583333333333333,0.3333333333333333,0.375,0.47619047619047616,0.32142857142857145,0.4,0.5,0.35714285714285715,0.4117647058823529,0.42857142857142855,0.2916666666666667,0.25,0.3333333333333333,0.6,1.0,0.3333333333333333,0.8181818181818182,0.38461538461538464,0.75,0.6666666666666666,0.8,0.52,0.4,0.375,0.7,0.5,0.6,1.0,1.0,0.75,0.05555555555555555,98.37623762376238,1.0,15.63888888888889,13.545454545454545,12.916666666666666,13.454545454545455,0.2857142857142857,0.5833333333333334,0.7777777777777778,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.5,0.25,0.07142857142857142,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.8,0.35714285714285715,0.4,0.5,0.35714285714285715,0.2,1.0,0.3333333333333333,0.4,0.06666666666666667,0.4,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.5412095238095238,0.53493125,0.5578166666666667,0.09302325581395349,0.16,0.21739130434782608,0.30434782608695654,4.3999999999999995,26.23888888888889,0.3611111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
1626168-1627734-1628368-1628370-1628989,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Kevin Huerter","Lyles, Sabonis, Fox, Monk, Huerter",1626168-1627734-1628368-1628370-1628989,SAC,1465.0,12,24.0,5.0,53.0,52.0,22.0,14.0,6.0,105.0,9.0,11.0,1.0,3.0,2.0,2.0,5.0,10.0,4.0,5.0,1.0,4.0,16.0,,2.0,1.0,7.0,17.0,26.0,8.0,21.0,15.0,73.0,68.0,2.0,4.0,,3.0,,4.0,6.0,9.0,2.0,8.0,9.0,27.0,8.0,26.0,24.0,,,16.0,4.0,2.0,4.0,8.0,12.0,4.0,4.0,,32.0,5.0,2.0,,9.0,7.0,1.0,17.0,7.0,24.0,,4.0,2.0,2.0,3.0,3.0,3.0,3.0,,6.0,1.0,,2.0,11.0,1.0,,17.0,1.0,21.0,1.0,,7.0,4.0,1.0,1.0,,,1.0,1.0,69.0,26.0,20.0,2.0,0.23529411764705882,0.23529411764705882,1.0,0.38095238095238093,,0.25,0.38095238095238093,0.6538461538461539,0.5,0.6666666666666666,0.6170212765957447,0.2857142857142857,0.5294117647058824,0.6403508771929824,0.2857142857142857,0.5869565217391305,0.44680851063829785,0.07692307692307693,0.09090909090909091,0.1,0.5,0.5,,0.7777777777777778,0.2222222222222222,0.75,0.4166666666666667,0.7619047619047619,0.3333333333333333,,0.2,0.36363636363636365,1.0,1.0,0.6,1.0,0.7142857142857143,,103.20819112627986,1.0,12.716981132075471,15.211538461538462,11.641509433962264,14.365384615384615,0.23404255319148937,0.8181818181818182,0.9,0.4444444444444444,0.2127659574468085,0.5,0.5555555555555556,,0.10638297872340426,0.8,0.8,0.3404255319148936,0.25,0.25,1.0,0.42857142857142855,0.3333333333333333,1.0,0.2857142857142857,,,0.11764705882352941,1.0,0.058823529411764705,0.4117647058823529,0.14285714285714285,0.6808510638297872,0.25,0.522736170212766,0.55389,0.4725029411764706,0.1320754716981132,0.21875,0.0547945205479452,0.3698630136986301,7.2846153846153845,26.214285714285715,0.41509433962264153,3.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,0.5,0.8,0.10638297872340426,0.6,0.6,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
1626168-1627734-1628368-1628370-1629308,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Juan Toscano-Anderson","Lyles, Sabonis, Fox, Monk, Toscano-Anderson",1626168-1627734-1628368-1628370-1629308,SAC,83.0,1,1.0,-2.0,3.0,2.0,3.0,2.0,,5.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,2.0,2.0,4.0,,,,,,,,1.0,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,2.0,,2.0,,,1.0,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,0.5,,0.5,,1.0,,1.0,,,,,,,,,,,,,,,,,,,86.74698795180723,,17.333333333333332,15.5,17.333333333333332,15.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.4121,,0.4121,0.5,0.5,,1.0,5.7,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
1626168-1627734-1628368-1628370-1630537,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Chris Duarte","Lyles, Sabonis, Fox, Monk, Duarte",1626168-1627734-1628368-1628370-1630537,SAC,333.0,4,6.0,5.0,10.0,11.0,,,1.0,21.0,4.0,6.0,,,,,,,2.0,2.0,,1.0,2.0,,,,,4.0,6.0,3.0,4.0,,17.0,12.0,,,1.0,1.0,,3.0,,,,,,,6.0,2.0,9.0,,,2.0,1.0,1.0,3.0,3.0,6.0,1.0,3.0,,15.0,1.0,1.0,,4.0,,,4.0,2.0,6.0,,2.0,1.0,1.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,1.0,,,1.0,1.0,,14.0,,,,0.75,0.75,1.0,0.75,1.0,,0.75,0.6666666666666666,,,0.85,1.5,,0.85,1.5,,0.4,0.16666666666666666,0.16666666666666666,,,,,,0.5,0.8,1.0,0.6666666666666666,0.6666666666666666,0.5,,1.0,,,,,0.75,,90.8108108108108,,14.3,17.272727272727273,14.2,16.727272727272727,0.6,0.6666666666666666,0.8,0.75,,,,,0.2,1.0,1.0,0.2,0.5,0.5,1.0,,,,,,,,,,,,1.0,0.5,0.64581,,,,,0.17647058823529413,,1.4000000000000001,24.325,,,,1.0,,2.0,,,,,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
1626168-1627734-1628368-1628370-1630558,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Davion Mitchell","Lyles, Sabonis, Fox, Monk, Mitchell",1626168-1627734-1628368-1628370-1630558,SAC,404.0,4,7.0,2.0,16.0,16.0,4.0,13.0,2.0,32.0,1.0,1.0,,,1.0,1.0,3.0,6.0,,1.0,1.0,1.0,3.0,,1.0,,,6.0,9.0,1.0,4.0,3.0,18.0,16.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,3.0,5.0,6.0,6.0,3.0,,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,1.0,,3.0,2.0,1.0,6.0,2.0,8.0,2.0,,,,,1.0,,2.0,,2.0,,,2.0,4.0,,1.0,2.0,,4.0,,,,2.0,,,,,,,16.0,5.0,4.0,2.0,0.5,0.6,1.0,0.25,,,0.25,0.6666666666666666,1.0,1.0,0.5769230769230769,0.5,0.5,0.6,0.5,0.625,0.3076923076923077,0.1111111111111111,,0.16666666666666666,,1.0,,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.8333333333333334,0.3333333333333333,,0.3333333333333333,0.5,,,0.6666666666666666,,1.0,0.4,114.05940594059406,,11.9375,13.3125,11.375,13.3125,0.07692307692307693,1.0,1.0,1.0,0.46153846153846156,0.5,0.6,0.6666666666666666,0.07692307692307693,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,,,,0.5,,,0.5,1.0,0.5,,,0.38461538461538464,0.3333333333333333,0.4932115384615384,0.56505,0.67635,,,0.1111111111111111,0.2777777777777778,8.866666666666667,24.725,0.25,2.0,2.0,,,,,1.0,1.0,,,0.15384615384615385,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
1626168-1627734-1628368-1628370-1631099,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Keegan Murray","Lyles, Sabonis, Fox, Monk, Murray",1626168-1627734-1628368-1628370-1631099,SAC,2068.0,13,34.0,-7.0,73.0,70.0,27.0,17.0,9.0,143.0,13.0,23.0,2.0,6.0,3.0,9.0,12.0,20.0,1.0,5.0,2.0,7.0,15.0,1.0,1.0,1.0,2.0,26.0,47.0,8.0,20.0,11.0,87.0,94.0,4.0,9.0,1.0,1.0,1.0,12.0,6.0,19.0,2.0,4.0,7.0,25.0,28.0,24.0,24.0,,2.0,15.0,7.0,4.0,14.0,8.0,22.0,7.0,8.0,5.0,52.0,,11.0,,6.0,12.0,2.0,20.0,11.0,31.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,1.0,9.0,,4.0,9.0,15.0,,2.0,15.0,,16.0,1.0,,8.0,1.0,3.0,2.0,,1.0,3.0,2.0,75.0,25.0,27.0,,0.5384615384615384,0.56,1.0,0.4,1.0,0.5,0.4,0.5531914893617021,0.4444444444444444,0.3157894736842105,0.5671641791044776,0.55,0.391304347826087,0.58,0.5454545454545454,0.46296296296296297,0.29850746268656714,0.0851063829787234,0.08695652173913043,0.1,0.3333333333333333,1.0,,0.631578947368421,0.55,0.6666666666666666,,0.6428571428571429,0.34375,0.4444444444444444,0.625,,,0.5,0.6666666666666666,0.6666666666666666,0.75,0.13793103448275862,99.57446808510637,0.6666666666666666,14.561643835616438,14.357142857142858,14.178082191780822,13.5,0.34328358208955223,0.5652173913043478,0.6190476190476191,0.6153846153846154,0.29850746268656714,0.6,0.6666666666666666,0.4166666666666667,0.07462686567164178,0.2,0.2,0.22388059701492538,0.4666666666666667,0.4666666666666667,1.0,0.6,0.3333333333333333,,0.1,1.0,1.0,0.391304347826087,0.3333333333333333,0.08695652173913043,0.08695652173913043,0.5,0.6417910447761194,0.4666666666666667,0.534139552238806,0.5446799999999999,0.5286260869565218,0.10810810810810811,0.14814814814814814,0.13793103448275862,0.28735632183908044,6.3936170212765955,25.365000000000002,0.3698630136986301,1.0,4.0,,1.0,1.0,1.0,,1.0,0.6666666666666666,,0.05970149253731343,0.25,0.25,1.0,,0.5,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
1626168-1627734-1628368-1628370-1631165,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Keon Ellis","Lyles, Sabonis, Fox, Monk, Ellis",1626168-1627734-1628368-1628370-1631165,SAC,229.0,2,4.0,11.0,8.0,8.0,2.0,2.0,1.0,16.0,4.0,4.0,1.0,1.0,,,2.0,2.0,,,,2.0,2.0,,,2.0,2.0,6.0,7.0,2.0,2.0,,18.0,7.0,1.0,1.0,,,,2.0,,,2.0,2.0,,6.0,6.0,6.0,3.0,3.0,2.0,2.0,2.0,,3.0,1.0,4.0,1.0,2.0,1.0,9.0,,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,16.0,6.0,2.0,,0.5,0.6,0.5,1.0,,1.0,1.0,0.8571428571428571,1.0,,1.0,1.0,1.5,1.0,1.0,1.5,0.2222222222222222,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,,100.61135371179039,,10.625,18.0,10.625,18.0,0.4444444444444444,1.0,1.0,0.5,0.2222222222222222,1.0,1.0,0.5,,,,0.2222222222222222,1.0,1.0,0.5,1.0,1.0,,,,,,,,1.0,1.0,0.6666666666666666,1.0,0.5293,0.6248,0.38445,,,0.1111111111111111,0.3333333333333333,4.457142857142857,26.85,0.25,,1.0,,,,,,,1.0,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
1626168-1627734-1628368-1628370-203084,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Harrison Barnes","Lyles, Sabonis, Fox, Monk, Barnes",1626168-1627734-1628368-1628370-203084,SAC,773.0,6,13.0,-6.0,28.0,28.0,14.0,8.0,4.0,56.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,7.0,,2.0,1.0,1.0,5.0,,,,3.0,5.0,14.0,1.0,7.0,7.0,20.0,26.0,1.0,3.0,,,2.0,4.0,2.0,4.0,,4.0,5.0,9.0,4.0,6.0,,3.0,2.0,5.0,1.0,,2.0,,2.0,,2.0,,4.0,2.0,2.0,,4.0,6.0,1.0,11.0,4.0,15.0,,3.0,3.0,,3.0,1.0,3.0,3.0,,6.0,,3.0,2.0,5.0,,1.0,10.0,1.0,9.0,1.0,,5.0,,,,,,,,16.0,9.0,14.0,,0.4,0.5,,0.14285714285714285,,,0.14285714285714285,0.35714285714285715,0.3333333333333333,0.5,0.30952380952380953,0.3333333333333333,0.25,0.4,0.5,0.4090909090909091,0.3333333333333333,,,,0.5,1.0,,0.8571428571428571,0.2222222222222222,1.0,0.3333333333333333,0.9090909090909091,0.26666666666666666,1.0,,0.25,0.5,0.8,1.0,,1.0,,104.32082794307891,,13.785714285714286,13.821428571428571,12.607142857142858,13.642857142857142,0.19047619047619047,0.75,0.75,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.2857142857142857,,0.09523809523809523,,,0.23809523809523808,0.2,0.2,,0.3333333333333333,1.0,,,,,0.125,1.0,0.125,0.375,,0.5238095238095238,0.2,0.47553333333333336,0.4670666666666667,0.47646875,0.2,0.2777777777777778,0.2,0.45,8.7,25.099999999999998,0.5,,3.0,,,,,2.0,1.0,0.3333333333333333,1.0,0.14285714285714285,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
1626168-1627734-1628368-1628426-1628989,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Sasha Vezenkov, Kevin Huerter","Lyles, Sabonis, Fox, Vezenkov, Huerter",1626168-1627734-1628368-1628426-1628989,SAC,31.0,1,1.0,-1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,2.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.25,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,92.9032258064516,,20.0,11.0,15.0,11.0,,,,,,,,,0.5,,,0.5,,,,,,,1.0,,,,,,,,1.0,,0.559275,,,0.3333333333333333,1.0,1.0,,,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
1626168-1627734-1628368-1628426-1630537,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Sasha Vezenkov, Chris Duarte","Lyles, Sabonis, Fox, Vezenkov, Duarte",1626168-1627734-1628368-1628426-1630537,SAC,93.0,1,2.0,,3.0,3.0,2.0,,2.0,6.0,,,,,,,,,,,,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,5.0,5.0,,,1.0,1.0,,3.0,1.0,1.0,,1.0,,2.0,,2.0,3.0,,,3.0,1.0,,,1.0,1.0,1.0,,,3.0,2.0,,,1.0,,,1.0,2.0,3.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,1.0,0.3333333333333333,1.0,,0.3333333333333333,1.0,,1.0,0.625,1.5,0.5,0.625,1.5,0.5,0.75,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,92.90322580645162,,16.666666666666668,14.333333333333334,12.666666666666666,14.333333333333334,,,,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,1.0,1.0,,,,0.5,,0.75,0.3333333333333333,0.5104375,,0.47315,,,0.6,0.4,16.9,25.900000000000002,0.6666666666666666,1.0,1.0,,,,,,,,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2024,2023-24,False
