EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,PtsPutbacks,ShortMidRangeAssists,ShootingFouls,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,2pt And 1 Free Throw Trips,BadPassTurnovers,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,Offensive Fouls,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,LongMidRangeAssists,OffThreePtRebounds,Travels,SecondChanceTurnovers,Loose Ball Fouls,Technical Free Throw Trips,BlockedAtRim,LongMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,HeaveAttempts,LostBallOutOfBoundsTurnovers,FTDefRebounds,DefFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Blocked3s,BlockedCorner3,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,BlockedLongMidRange,SecondChanceFtPoints,OffensiveGoaltends,SecondChanceCorner3FGA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,SecondChanceCorner3FGM,Charge Fouls,Transition Take Fouls Drawn,BlockedArc3,3SecondViolations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1626157-1628420-1629638-1629675-1630162,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Naz Reid, Anthony Edwards","Towns, Morris, Alexander-Walker, Reid, Edwards",1626157-1628420-1629638-1629675-1630162,MIN,365.0,3,6.0,11.0,15.0,16.0,13.0,5.0,1.0,31,3.0,5.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,9.0,1.0,2.0,6.0,15.0,4.0,1.0,1.0,2.0,3.0,9.0,1.0,2.0,3.0,12.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,5.0,6.0,11.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,8.0,2.0,2.0,13.0,12.0,13.0,1.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,0.4090909090909091,1.0,0.4090909090909091,0.5,1.0,0.46153846153846156,0.18181818181818182,0.2222222222222222,0.2,0.3333333333333333,1.0,0.8571428571428571,0.16666666666666666,1.0,0.9166666666666666,0.14285714285714285,1.0,0.75,1.0,1.0,1.0,1.0,0.2,122.3013698630137,9.6,13.8125,9.4,13.75,0.45454545454545453,0.6,0.75,0.6666666666666666,0.2727272727272727,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,1.0,0.45454545454545453,0.6,0.09090909090909091,1.0,0.09090909090909091,0.6363636363636364,0.6198045454545454,0.7815,0.6198045454545454,0.15384615384615385,0.18181818181818182,0.13333333333333333,0.8,5.333333333333333,24.65,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
1626157-1628420-1629638-1630162-203497,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Anthony Edwards, Rudy Gobert","Towns, Morris, Alexander-Walker, Edwards, Gobert",1626157-1628420-1629638-1630162-203497,MIN,75.0,1,1.0,3.0,3.0,2.0,1.0,,,5,,,,,,,,,,,,,,,,,,,5.0,5.0,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,3.0,,,6.0,3.0,,5.0,2.0,1.0,,,,,,,,,,,,,,,0.8333333333333334,,1.0,,,,,,0.25,,,0.25,,,0.3333333333333333,,,,,,96.0,9.0,24.0,9.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.4,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
1626157-1628420-1629638-1630183-201144,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Jaden McDaniels, Mike Conley","Towns, Morris, Alexander-Walker, McDaniels, Conley",1626157-1628420-1629638-1630183-201144,MIN,37.0,1,1.0,3.0,1.0,1.0,1.0,,,2,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,3.0,,,,,,,1.0,1.0,,3.0,,,3.0,,,,1.0,1.0,1.0,,3.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,77.83783783783784,11.0,26.0,11.0,26.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,0.57615,,0.57615,,,,1.0,,23.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
1626157-1628420-1629638-201144-203497,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Mike Conley, Rudy Gobert","Towns, Morris, Alexander-Walker, Conley, Gobert",1626157-1628420-1629638-201144-203497,MIN,236.0,1,4.0,,8.0,7.0,,,1.0,15,2.0,3.0,1.0,1.0,,,3.0,1.0,,,,,1.0,,3.0,7.0,,1.0,2.0,8.0,8.0,1.0,1.0,2.0,,,,,,,4.0,2.0,,1.0,1.0,2.0,,2.0,,1.0,4.0,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,1.0,1.0,,,2.0,1.0,,6.0,,,,,0.6666666666666666,1.0,,,,,0.42857142857142855,1.0,,0.375,1.0,,0.4444444444444444,1.0,,0.125,0.14285714285714285,0.3333333333333333,,,,0.25,0.5,0.3333333333333333,0.2,,,,,0.5,,,91.52542372881356,16.375,15.0,16.25,14.857142857142858,0.375,0.6666666666666666,1.0,0.5,0.375,0.125,,,,,0.125,1.0,1.0,,,,,,,0.5,0.532375,0.5381,,0.1111111111111111,0.125,0.25,,7.514285714285714,26.1,,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
1626157-1628420-1629638-203497-203937,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Rudy Gobert, Kyle Anderson","Towns, Morris, Alexander-Walker, Gobert, Anderson",1626157-1628420-1629638-203497-203937,MIN,96.0,1,2.0,3.0,3.0,4.0,3.0,4.0,,7,,,,,,,2.0,,,,,,,,2.0,2.0,,,1.0,5.0,2.0,,,,2.0,2.0,,,1.0,5.0,,4.0,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,5.0,5.0,3.0,,,,,,,,,1.0,,1.0,1.0,,1.0,1.25,,1.25,,,,,,1.0,,,1.0,,,,,1.0,,,,105.0,13.333333333333334,14.0,13.333333333333334,14.0,,,,,1.0,,,,,,,,,,,,,,,,0.4206,,0.4206,0.5,0.5,,1.0,10.25,,1.0,2.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
1626157-1628420-1629675-1630162-1630183,1610612750,"Karl-Anthony Towns, Monte Morris, Naz Reid, Anthony Edwards, Jaden McDaniels","Towns, Morris, Reid, Edwards, McDaniels",1626157-1628420-1629675-1630162-1630183,MIN,48.0,1,1.0,1.0,2.0,1.0,2.0,1.0,,3,,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,0.25,,0.25,,,,,,,,1.0,1.0,,,,,,1.0,,,90.0,20.0,8.0,20.0,8.0,,,,,,1.0,,,,,,,,,,,,,,,0.4228,,0.4228,0.5,0.5,,1.0,19.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
1626157-1628420-1630162-1630183-203497,1610612750,"Karl-Anthony Towns, Monte Morris, Anthony Edwards, Jaden McDaniels, Rudy Gobert","Towns, Morris, Edwards, McDaniels, Gobert",1626157-1628420-1630162-1630183-203497,MIN,179.0,2,3.0,-1.0,5.0,5.0,1.0,,,10,4.0,4.0,,,1.0,1.0,,,,,,,,,4.0,4.0,,,,8.0,9.0,,,,1.0,1.0,,,,2.0,4.0,4.0,,,,2.0,,2.0,,2.0,4.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,8.0,2.0,1.0,,,0.5,0.5,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,80.44692737430168,13.6,22.2,13.6,22.2,1.0,1.0,1.0,0.5,,,,,,,,,,,1.0,1.0,,,,1.0,0.691925,,0.6039,,,,0.25,1.6,,0.2,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
1626157-1628420-1630162-203497-203937,1610612750,"Karl-Anthony Towns, Monte Morris, Anthony Edwards, Rudy Gobert, Kyle Anderson","Towns, Morris, Edwards, Gobert, Anderson",1626157-1628420-1630162-203497-203937,MIN,152.0,1,3.0,-2.0,6.0,6.0,6.0,4.0,,12,2.0,2.0,,,2.0,2.0,,1.0,,1.0,,1.0,,,2.0,3.0,,1.0,3.0,7.0,9.0,,,,2.0,3.0,,1.0,3.0,7.0,4.0,,,,,2.0,,2.0,,2.0,4.0,,1.0,1.0,2.0,,2.0,,,,,1.0,,1.0,1.0,1.0,2.0,,,3.0,2.0,,7.0,7.0,6.0,,,1.0,1.0,,,,,0.6666666666666666,,0.6666666666666666,0.5,,0.5,0.7,,0.7,0.25,,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,113.6842105263158,12.5,12.833333333333334,12.5,12.833333333333334,0.5,1.0,1.0,1.0,,0.25,0.25,,,,,,,,0.5,1.0,0.25,,,0.75,0.5522125,,0.5522125,0.4,0.5,,1.0,7.6000000000000005,23.3,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
1626157-1628420-1630183-201144-203497,1610612750,"Karl-Anthony Towns, Monte Morris, Jaden McDaniels, Mike Conley, Rudy Gobert","Towns, Morris, McDaniels, Conley, Gobert",1626157-1628420-1630183-201144-203497,MIN,38.0,1,1.0,2.0,1.0,1.0,,,,2,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,2.0,,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,75.78947368421053,5.0,33.0,5.0,30.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,0.8044,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
1626157-1629162-1629638-1629675-1630162,1610612750,"Karl-Anthony Towns, Jordan McLaughlin, Nickeil Alexander-Walker, Naz Reid, Anthony Edwards","Towns, McLaughlin, Alexander-Walker, Reid, Edwards",1626157-1629162-1629638-1629675-1630162,MIN,129.0,1,2.0,-2.0,4.0,4.0,4.0,4.0,,8,,,,,,,1.0,,,,,,2.0,2.0,,1.0,1.0,2.0,,3.0,5.0,,,,,1.0,1.0,2.0,,3.0,,,3.0,2.0,,,1.0,1.0,,,3.0,,2.0,,2.0,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,3.0,3.0,4.0,,,,,1.0,0.5,0.5,0.5,,,,0.5,,0.5,0.5,,0.5,0.6666666666666666,,,,,,,1.0,1.0,,,,,,,1.0,,89.30232558139535,18.5,13.75,18.5,13.75,,,,,0.3333333333333333,,,,,,0.6666666666666666,,,,,,,,0.6666666666666666,0.6666666666666666,0.49491666666666667,,0.49491666666666667,,,,1.0,9.3,25.05,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,True
