EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,BadPassTurnovers,DeadBallTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,Corner3Assists,LongMidRangeAssists,LostBallSteals,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,ShortMidRangePctBlocked,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGA,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,FTOffRebounds,OffFTReboundPct,BadPassOutOfBoundsTurnovers,BlockedAtRim,Blocked3s,BlockedArc3,Charge Fouls Drawn,SecondChanceAtRimPctAssisted,SelfOReb,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SelfORebPct,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,BlockedCorner3,StepOutOfBoundsTurnovers,DefensiveGoaltends,team_id,year,season,team_vs
1628365-1628371-1628976-1630591-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Jalen Suggs, Joe Ingles","Fultz, Isaac, Carter Jr., Suggs, Ingles",1628365-1628371-1628976-1630591-204060,ORL,54.0,1,1.0,-3.0,2.0,3,5,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,133.33333333333334,18.0,6.0,18.0,6.0,1.0,0.4285,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630175-1630532,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Cole Anthony, Franz Wagner","Fultz, Isaac, Wagner, Anthony, Wagner",1628365-1628371-1629021-1630175-1630532,ORL,663.0,3,11.0,10.0,21.0,22,43,,16.0,23.0,3.0,2.0,11.0,16.0,1.0,,2.0,0.5,1.0,1.0,0.9,1.0,93.39366515837104,15.095238095238095,15.727272727272727,14.380952380952381,15.681818181818182,,0.5344,4.35625,13.0,10.0,4.0,6.0,8.0,3.0,4.0,4.0,6.0,5.0,8.0,1.0,2.0,4.0,1.0,1.0,2.0,11.0,2.0,5.0,5.0,33.0,3.0,4.0,1.0,6.0,6.0,10.0,1.0,2.0,4.0,19.0,6.0,16.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,7.0,1.0,8.0,2.0,1.0,2.0,2.0,2.0,2.0,27.0,19.0,13.0,1.0,0.2727272727272727,0.3333333333333333,0.5,0.4,0.5,0.4,0.6875,0.75,0.6,0.6666666666666666,0.6,0.625,0.6875,0.6,0.6333333333333333,0.23809523809523808,0.0625,0.125,0.8571428571428571,0.8,0.3333333333333333,0.625,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.38095238095238093,0.75,0.8571428571428571,0.16666666666666666,0.38095238095238093,0.625,0.625,0.4,0.047619047619047616,0.19047619047619047,0.5,0.5,0.5,0.8,0.75,0.2,0.5,0.6666666666666666,0.16666666666666666,0.5,0.6190476190476191,0.5,0.5252375,0.5361416666666666,0.08695652173913043,0.1111111111111111,0.18181818181818182,0.5757575757575758,25.240000000000002,0.6190476190476191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630175-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Cole Anthony, Joe Ingles","Fultz, Isaac, Wagner, Anthony, Ingles",1628365-1628371-1629021-1630175-204060,ORL,1447.0,5,24.0,16.0,41.0,43,84,6.0,28.0,33.0,14.0,,22.0,30.0,3.0,1.0,4.0,0.75,,1.0,0.8461538461538461,1.0,83.59364201796821,17.390243902439025,17.069767441860463,16.634146341463413,16.58139534883721,0.14285714285714285,0.5398416666666667,7.375,,2.0,8.0,9.0,14.0,4.0,4.0,,,4.0,8.0,5.0,1.0,9.0,2.0,,,18.0,3.0,14.0,4.0,49.0,4.0,4.0,2.0,8.0,,,,,,,10.0,26.0,9.0,,6.0,9.0,1.0,3.0,5.0,3.0,8.0,1.0,2.0,1.0,19.0,2.0,6.0,8.0,8.0,4.0,3.0,2.0,1.0,,2.0,12.0,,10.0,,7.0,3.0,,1.0,1.0,1.0,1.0,41.0,,,,0.2777777777777778,0.3333333333333333,1.0,0.21428571428571427,,0.21428571428571427,0.6428571428571429,1.0,,0.5357142857142857,0.6666666666666666,,0.5333333333333333,0.6666666666666666,,0.3333333333333333,0.10714285714285714,0.14285714285714285,0.6666666666666666,0.6,0.18181818181818182,0.38095238095238093,0.6,0.75,0.125,0.5,0.6,1.0,1.0,1.0,0.3333333333333333,0.6428571428571429,0.75,0.2222222222222222,0.19047619047619047,0.5,0.5714285714285714,0.25,0.11904761904761904,0.21428571428571427,0.1111111111111111,0.1111111111111111,1.0,0.6666666666666666,1.0,0.3333333333333333,,,,,0.6666666666666666,0.1111111111111111,0.59806,,0.06666666666666667,0.0967741935483871,0.16326530612244897,,25.385714285714283,,5.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.125,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.4,0.4,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630532-1630591,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Franz Wagner, Jalen Suggs","Fultz, Isaac, Wagner, Wagner, Suggs",1628365-1628371-1629021-1630532-1630591,ORL,474.0,3,8.0,3.0,16.0,16,32,1.0,9.0,16.0,3.0,,4.0,8.0,1.0,,1.0,1.0,,1.0,0.6666666666666666,1.0,97.21518987341771,15.625,14.0,13.625,13.8125,0.058823529411764705,0.5485882352941177,5.855555555555556,12.0,11.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,6.0,1.0,1.0,5.0,6.0,1.0,8.0,4.0,19.0,1.0,2.0,2.0,2.0,4.0,6.0,1.0,7.0,4.0,15.0,4.0,8.0,3.0,,2.0,6.0,1.0,,2.0,1.0,3.0,1.0,2.0,,7.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,,1.0,3.0,6.0,,3.0,,5.0,2.0,1.0,,,,,17.0,15.0,12.0,1.0,0.3333333333333333,0.4,1.0,0.125,0.14285714285714285,0.125,0.6666666666666666,0.5,0.6666666666666666,0.4411764705882353,0.25,0.4230769230769231,0.5,0.25,0.5,0.47058823529411764,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.4,1.0,,0.4,,1.0,,1.0,,0.23529411764705882,0.75,0.75,0.6666666666666666,0.23529411764705882,0.75,0.75,,0.11764705882352941,0.35294117647058826,0.16666666666666666,0.16666666666666666,1.0,0.25,1.0,0.25,0.23076923076923078,0.6666666666666666,0.38461538461538464,0.2,0.7058823529411765,0.16666666666666666,0.6333,0.5558807692307692,0.1111111111111111,0.2,0.10526315789473684,0.7894736842105263,25.4375,0.75,,,,,1.0,,,,,,,0.5,,,,,,,1.0,2.0,1.0,1.0,0.25,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630532-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Franz Wagner, Paolo Banchero","Fultz, Isaac, Wagner, Wagner, Banchero",1628365-1628371-1629021-1630532-1631094,ORL,29.0,1,,3.0,2.0,1,3,,1.0,,,,,,,,,,,,,,148.9655172413793,10.0,9.0,10.0,9.0,,0.6833,1.3,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,1.0,3.0,,,,,1.0,1.0,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,1.0,,,,,3.0,3.0,2.0,1.0,,,,,,,1.0,,1.0,1.0,,1.0,0.75,,0.75,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,0.6833,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630591-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Jalen Suggs, Paolo Banchero","Fultz, Isaac, Wagner, Suggs, Banchero",1628365-1628371-1629021-1630591-1631094,ORL,32.0,1,1.0,,1.0,1,2,,,,,,,2.0,,,,,,,,,90.0,21.0,11.0,6.0,11.0,,0.443775,,1.0,,1.0,,,,,,,,,,,2.0,2.0,,2.0,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0.5,0.5,,,0.5,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,0.408,0.443775,,,,,25.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630591-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Jalen Suggs, Joe Ingles","Fultz, Isaac, Wagner, Suggs, Ingles",1628365-1628371-1629021-1630591-204060,ORL,160.0,1,3.0,6.0,5.0,4,9,,2.0,7.0,,,1.0,1.0,,,,,,,0.5,,81.0,13.4,23.25,13.4,22.75,,0.479625,8.9,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,2.0,2.0,2.0,3.0,13.0,,,,,,,,,,,,4.0,6.0,,,1.0,1.0,,,2.0,2.0,1.0,,,6.0,,,1.0,,,,,,,2.0,2.0,,2.0,,3.0,2.0,,,,,,13.0,,,,,,1.0,1.0,,1.0,1.0,,,1.25,,,1.3,,,0.5,,,0.5,,,,,,,,0.5,,,,,,,,0.5,1.0,1.0,,0.25,0.25,1.0,1.0,1.0,,,,,,,,0.5,1.0,,,0.4,0.6666666666666666,,,24.35,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1631094-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Paolo Banchero, Joe Ingles","Fultz, Isaac, Wagner, Banchero, Ingles",1628365-1628371-1629021-1631094-204060,ORL,46.0,1,1.0,1.0,2.0,2,4,,,2.0,,,,,,,1.0,,,,,,125.21739130434781,11.0,12.0,11.0,12.0,,0.5673,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,3.0,,,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,3.0,,,,,,1.0,1.0,,1.0,,,,1.5,,,1.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,26.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1630175-1630532-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Cole Anthony, Franz Wagner, Paolo Banchero","Fultz, Isaac, Anthony, Wagner, Banchero",1628365-1628371-1630175-1630532-1631094,ORL,161.0,1,3.0,3.0,5.0,4,9,,2.0,2.0,1.0,,2.0,2.0,,,1.0,,,1.0,0.6666666666666666,1.0,80.4968944099379,16.2,20.0,16.2,18.0,,0.489225,6.25,2.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,5.0,,,,,,1.0,1.0,1.0,,3.0,2.0,,3.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,5.0,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,2.0,1.0,2.0,1.0,5.0,3.0,2.0,,1.0,1.0,1.0,0.5,1.0,0.5,0.5,,,0.625,,0.75,0.625,,0.75,0.5,,,0.5,,,,,,,,1.0,,,0.5,0.25,1.0,1.0,1.0,0.25,,,,0.25,0.25,1.0,1.0,1.0,,,,,,0.5,1.0,0.75,1.0,,0.481125,0.25,0.5,,0.6,24.35,0.4,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1630175-1631094-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Cole Anthony, Paolo Banchero, Joe Ingles","Fultz, Isaac, Anthony, Banchero, Ingles",1628365-1628371-1630175-1631094-204060,ORL,44.0,1,1.0,-2.0,2.0,2,4,,,5.0,,,,,,,1.0,,,,,,130.9090909090909,14.5,7.5,14.5,7.5,,0.54465,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,3.0,,,,,,,1.0,1.0,,,,3.0,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,3.0,,,,,,1.0,1.0,,1.0,,,,1.5,,,1.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,23.2,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
