EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffThreePtRebounds,OffRebounds,LostBallOutOfBoundsTurnovers,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Loose Ball Fouls,Loose Ball Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,LongMidRangeAssists,FTDefRebounds,LostBallSteals,Travels,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedAtRim,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,DefFTReboundPct,DefAtRimReboundPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Blocked3s,BlockedCorner3,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceCorner3FGM,FTOffRebounds,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Charge Fouls Drawn,Transition Take Fouls Drawn,DefensiveGoaltends,Defensive 3 Seconds Violations,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,SecondChanceArc3PctAssisted,3SecondViolations,HeaveAttempts,BlockedArc3,Transition Take Fouls,Corner3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
1627749-1628981-1629027-1629631-1630180,1610612737,"Dejounte Murray, Bruno Fernando, Trae Young, De'Andre Hunter, Saddiq Bey","Murray, Fernando, Young, Hunter, Bey",1627749-1628981-1629027-1629631-1630180,ATL,105.0,1,2.0,4.0,3.0,3.0,3.0,3.0,6.0,2.0,3.0,2.0,3.0,3.0,7.0,3.0,2.0,3.0,3.0,7.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,7.0,7.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.7,0.5,0.5,1.0,82.28571428571429,13.333333333333334,21.666666666666668,13.333333333333334,21.0,1.0,0.6666666666666666,0.6666666666666666,0.32239999999999996,0.32239999999999996,0.25,1.0,1.0,18.900000000000002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
1627749-1628981-1629027-1629631-203992,1610612737,"Dejounte Murray, Bruno Fernando, Trae Young, De'Andre Hunter, Bogdan Bogdanovic","Murray, Fernando, Young, Hunter, Bogdanovic",1627749-1628981-1629027-1629631-203992,ATL,804.0,1,13.0,-27.0,31.0,31.0,8.0,7.0,62.0,,,7.0,13.0,9.0,29.0,56.0,2.0,4.0,2.0,6.0,6.0,3.0,4.0,4.0,6.0,9.0,1.0,1.0,29.0,6.0,8.0,0.5384615384615384,0.5,0.5,0.5,0.6041666666666666,0.6,0.75,0.5714285714285714,0.6666666666666666,111.04477611940298,13.35483870967742,12.580645161290322,13.35483870967742,12.516129032258064,,,,0.5173525,0.49145,0.13043478260869565,0.125,0.20689655172413793,6.915384615384616,0.25806451612903225,2.0,4.0,1.0,1.0,5.0,9.0,3.0,2.0,4.0,2.0,7.0,8.0,6.0,4.0,2.0,2.0,4.0,2.0,6.0,2.0,1.0,3.0,14.0,1.0,2.0,2.0,5.0,4.0,1.0,1.0,6.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,0.5714285714285714,0.5714285714285714,1.0,0.2857142857142857,0.2857142857142857,0.35,0.15384615384615385,0.25,0.1111111111111111,0.8333333333333334,0.3333333333333333,0.3333333333333333,1.0,0.2,0.5,0.6666666666666666,0.5,0.45,0.5555555555555556,0.625,0.6,0.15,0.2,0.5,0.5,1.0,0.25,1.0,0.55,0.5,0.13333333333333333,25.214285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
1627749-1628981-1629027-1629726-1630249,1610612737,"Dejounte Murray, Bruno Fernando, Trae Young, Garrison Mathews, Vit Krejci","Murray, Fernando, Young, Mathews, Krejci",1627749-1628981-1629027-1629726-1630249,ATL,38.0,1,1.0,6.0,2.0,1.0,,,3.0,,,,,,6.0,,,,,,,1.0,1.0,1.0,1.0,,,,6.0,,,,,1.5,,1.5,,1.0,1.0,,113.6842105263158,8.5,21.0,8.5,21.0,,,,0.522525,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,,6.0,1.0,1.0,,,2.0,2.0,1.0,,,6.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,0.5,0.5,1.0,1.0,1.0,,,1.0,1.0,,25.55,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
1627749-1628981-1629027-1629726-203992,1610612737,"Dejounte Murray, Bruno Fernando, Trae Young, Garrison Mathews, Bogdan Bogdanovic","Murray, Fernando, Young, Mathews, Bogdanovic",1627749-1628981-1629027-1629726-203992,ATL,53.0,1,1.0,-2.0,1.0,2.0,,,3.0,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,81.50943396226415,21.0,16.0,21.0,14.5,,,,0.5136,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,26.2,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
1627749-1628981-1629027-1630180-1630552,1610612737,"Dejounte Murray, Bruno Fernando, Trae Young, Saddiq Bey, Jalen Johnson","Murray, Fernando, Young, Bey, Johnson",1627749-1628981-1629027-1630180-1630552,ATL,606.0,1,10.0,-13.0,18.0,19.0,,,37.0,,,7.0,15.0,2.0,16.0,29.0,,,,,2.0,3.0,7.0,15.0,2.0,2.0,,,6.0,,,0.4666666666666667,,0.30434782608695654,,0.3333333333333333,,0.75,0.7,0.75,87.92079207920793,17.5,15.31578947368421,15.166666666666666,14.789473684210526,,,,0.577104347826087,,0.041666666666666664,,,4.1866666666666665,,6.0,11.0,,,1.0,4.0,2.0,,6.0,,8.0,12.0,,6.0,,1.0,6.0,,6.0,,5.0,1.0,12.0,4.0,,,1.0,1.0,1.0,,2.0,,2.0,4.0,,,1.0,,0.8571428571428571,1.0,,,,0.34782608695652173,0.06666666666666667,0.09090909090909091,,0.5,0.6666666666666666,0.75,,0.4782608695652174,0.5454545454545454,0.6,0.8333333333333334,0.17391304347826086,0.25,0.25,1.0,0.08695652173913043,0.2608695652173913,,,,,,0.8260869565217391,,0.0625,25.4625,,,,,,3.0,8.0,,0.375,0.5,0.3333333333333333,6.0,3.0,4.0,1.0,4.0,6.0,1.0,2.0,10.0,2.0,5.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,0.6666666666666666,0.5714285714285714,0.625,0.625,0.8,0.3333333333333333,0.5,1.0,0.26666666666666666,1.0,0.5714285714285714,0.75,0.6666666666666666,0.14285714285714285,0.5332125,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
1627749-1628981-1629027-1630180-202083,1610612737,"Dejounte Murray, Bruno Fernando, Trae Young, Saddiq Bey, Wesley Matthews","Murray, Fernando, Young, Bey, Matthews",1627749-1628981-1629027-1630180-202083,ATL,97.0,1,2.0,4.0,3.0,3.0,,,6.0,,,1.0,2.0,1.0,6.0,2.0,,,,,2.0,1.0,2.0,3.0,2.0,2.0,,,6.0,,,0.5,,0.8333333333333334,,0.75,,1.0,1.0,1.0,89.0721649484536,12.333333333333334,20.0,12.333333333333334,20.0,,,,0.5446166666666666,,0.25,,,4.05,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,0.3333333333333333,0.5,,1.0,,1.0,1.0,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,0.3333333333333333,1.0,1.0,1.0,,,0.6666666666666666,1.0,0.3333333333333333,32.8,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
1627749-1628981-1629027-1630180-203992,1610612737,"Dejounte Murray, Bruno Fernando, Trae Young, Saddiq Bey, Bogdan Bogdanovic","Murray, Fernando, Young, Bey, Bogdanovic",1627749-1628981-1629027-1630180-203992,ATL,89.0,1,1.0,,3.0,3.0,,3.0,6.0,,,,,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,2.0,,,2.0,,,,,,,0.5,,1.0,1.0,1.0,97.07865168539325,12.666666666666666,17.0,12.666666666666666,17.0,,,,0.5265,,0.5,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,25.9,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
1627749-1628981-1629027-1630552-203992,1610612737,"Dejounte Murray, Bruno Fernando, Trae Young, Jalen Johnson, Bogdan Bogdanovic","Murray, Fernando, Young, Johnson, Bogdanovic",1627749-1628981-1629027-1630552-203992,ATL,118.0,1,2.0,2.0,4.0,4.0,1.0,,8.0,,,1.0,2.0,,5.0,3.0,1.0,1.0,,2.0,,1.0,1.0,1.0,2.0,,,,5.0,2.0,1.0,0.5,1.0,0.625,1.0,0.625,1.0,1.0,1.0,1.0,97.6271186440678,17.5,12.0,17.5,12.0,,,,0.4886125,0.3151,,,0.4,8.25,0.25,,,,,1.0,2.0,2.0,,,1.0,2.0,2.0,3.0,,,,1.0,1.0,2.0,,,1.0,5.0,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,0.5,0.5,0.5,1.0,0.5,,,,,,,0.5,,,23.3,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
1627749-1628981-1629631-1629685-1630235,1610612737,"Dejounte Murray, Bruno Fernando, De'Andre Hunter, Dylan Windler, Trent Forrest","Murray, Fernando, Hunter, Windler, Forrest",1627749-1628981-1629631-1629685-1630235,ATL,12.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,120.0,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
1627749-1628981-1629631-1629726-1630180,1610612737,"Dejounte Murray, Bruno Fernando, De'Andre Hunter, Garrison Mathews, Saddiq Bey","Murray, Fernando, Hunter, Mathews, Bey",1627749-1628981-1629631-1629726-1630180,ATL,2277.0,8,38.0,-23.0,77.0,78.0,,5.0,155.0,5.0,8.0,20.0,40.0,10.0,74.0,97.0,,,,,22.0,13.0,25.0,35.0,17.0,16.0,,,60.0,,,0.5,,0.47761194029850745,,0.5,,0.65,0.6388888888888888,0.6,98.02371541501975,15.2987012987013,14.08974358974359,14.883116883116884,13.23076923076923,0.11940298507462686,0.625,0.625,0.5545507462686566,,0.1232876712328767,,,6.6175,,12.0,19.0,,,3.0,13.0,8.0,7.0,19.0,8.0,27.0,18.0,15.0,19.0,7.0,4.0,9.0,5.0,14.0,4.0,7.0,,33.0,10.0,6.0,4.0,5.0,2.0,10.0,3.0,15.0,,7.0,19.0,5.0,3.0,9.0,,0.45,0.5294117647058824,0.625,0.2962962962962963,0.2962962962962963,0.40298507462686567,0.1,0.10526315789473684,0.15384615384615385,0.3333333333333333,0.625,1.0,0.8,0.2835820895522388,0.631578947368421,0.7058823529411765,0.5833333333333334,0.19402985074626866,0.23076923076923078,0.2727272727272727,,0.11940298507462686,0.2835820895522388,0.3684210526315789,0.3684210526315789,0.5714285714285714,,,0.6865671641791045,0.3684210526315789,0.1956521739130435,24.977777777777778,1.0,1.0,0.125,0.125,1.0,4.0,10.0,1.0,0.21052631578947367,0.2564102564102564,0.25,8.0,3.0,4.0,2.0,4.0,6.0,3.0,3.0,14.0,6.0,6.0,2.0,1.0,1.0,,,1.0,,0.6666666666666666,0.6111111111111112,0.7,0.3,0.42857142857142855,0.3,0.14285714285714285,,0.05714285714285714,,0.4444444444444444,0.75,,0.2222222222222222,0.59571,0.1891891891891892,1.0,,1.0,1.0,1.0,9.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.5,0.4,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2024,2023-24,False
