EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,BadPassOutOfBoundsTurnovers,SecondChanceAtRimFGM,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsPutbacks,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,BlockedAtRim,AtRimPctBlocked,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,LongMidRangeAssists,Loose Ball Fouls,NonShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,BlocksRecoveredPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,FTOffRebounds,OffFTReboundPct,LostBallSteals,NonShootingPenaltyNonTakeFouls,DefLongMidRangeReboundPct,Loose Ball Fouls Drawn,ShortMidRangeAssists,ShortMidRangePctAssisted,Charge Fouls,Charge Fouls Drawn,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,DefensiveGoaltends,Travels,LongMidRangePctBlocked,HeaveAttempts,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,OffensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627745-1627747-1627777-1630171-1630241,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Isaac Okoro, Sam Merrill","Jones, LeVert, Niang, Okoro, Merrill",1627745-1627747-1627777-1630171-1630241,CLE,419.0,1,7.0,15.0,14.0,13.0,14.0,4.0,29.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,8.0,2.0,5.0,3.0,17.0,17.0,1.0,4.0,2.0,4.0,8.0,2.0,5.0,1.0,15.0,4.0,4.0,6.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,10.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,8.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,15.0,15.0,13.0,0.5,0.5,1.0,0.4,0.4,0.4,0.5,0.25,0.5,0.5384615384615384,0.25,0.5384615384615384,0.6071428571428571,0.25,0.5769230769230769,0.38461538461538464,0.125,0.5,0.5,1.0,0.3333333333333333,0.25,1.0,1.0,0.6,0.5714285714285714,1.0,1.0,0.3333333333333333,1.0,99.66587112171838,18.2,10.428571428571429,15.733333333333333,10.357142857142858,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.15384615384615385,0.5,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.07692307692307693,1.0,1.0,1.0,0.3076923076923077,0.25,0.25,1.0,0.25,0.23076923076923078,0.6666666666666666,0.07692307692307693,1.0,0.3076923076923077,0.25,0.6153846153846154,0.25,0.4843038461538462,0.3165,0.4843038461538462,0.14285714285714285,0.2222222222222222,0.11764705882352941,0.8823529411764706,9.9,25.8,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627777-1630241-202684-202694,1610612739,"Damian Jones, Georges Niang, Sam Merrill, Tristan Thompson, Marcus Morris Sr.","Jones, Niang, Merrill, Thompson, Morris Sr.",1627745-1627777-1630241-202684-202694,CLE,130.0,1,2.0,5.0,5.0,5.0,,,10.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,5.0,2.0,,,,1.0,2.0,1.0,1.0,,5.0,,2.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,,2.0,,,2.0,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,5.0,5.0,5.0,,,1.0,1.0,1.0,1.0,0.5,,0.5,0.8333333333333334,,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.3333333333333333,,,,,,,1.0,,1.0,,,,,1.0,110.76923076923077,11.0,15.0,11.0,13.6,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,,,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5041,,0.5041,,,,1.0,3.55,26.6,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627747-1627777-1628378-1628386-1629622,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Jarrett Allen, Max Strus","LeVert, Niang, Mitchell, Allen, Strus",1627747-1627777-1628378-1628386-1629622,CLE,721.0,4,12.0,23.0,25.0,11.0,6.0,5.0,48.0,4.0,9.0,2.0,2.0,2.0,,3.0,,1.0,,4.0,,2.0,2.0,5.0,2.0,5.0,4.0,13.0,2.0,9.0,5.0,19.0,34.0,1.0,2.0,5.0,2.0,4.0,2.0,7.0,,10.0,6.0,2.0,6.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,,3.0,12.0,3.0,2.0,4.0,2.0,,6.0,5.0,11.0,2.0,2.0,2.0,1.0,1.0,,,3.0,1.0,2.0,5.0,7.0,7.0,1.0,4.0,1.0,,1.0,14.0,10.0,11.0,0.75,1.0,1.0,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.3076923076923077,0.5,0.5,0.3181818181818182,0.3333333333333333,0.45454545454545453,0.38,0.5,0.45454545454545453,0.4090909090909091,0.15384615384615385,,0.6666666666666666,,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.42857142857142855,0.5,0.3125,,0.3333333333333333,,0.75,95.86685159500693,14.391304347826088,15.6,13.73913043478261,14.32,0.4090909090909091,0.4444444444444444,0.5714285714285714,0.75,0.13636363636363635,,,0.045454545454545456,,,0.18181818181818182,,,,0.22727272727272727,0.4,0.4,1.0,0.6666666666666666,0.18181818181818182,1.0,0.18181818181818182,,0.45454545454545453,0.4,0.8181818181818182,0.4,0.5786272727272727,0.5297833333333334,0.57545,0.16,0.25,0.2631578947368421,0.5263157894736842,4.884615384615385,24.833333333333332,0.4782608695652174,-15.0,,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.4,0.5,0.5,0.5,0.21428571428571427,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627747-1627777-1628378-1628386-1629636,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Jarrett Allen, Darius Garland","LeVert, Niang, Mitchell, Allen, Garland",1627747-1627777-1628378-1628386-1629636,CLE,51.0,1,1.0,2.0,2.0,,2.0,,4.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,2.0,2.0,,,,,,,,,,2.0,,,1.0,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,,,,,,,,,,,,112.94117647058823,13.0,12.5,13.0,12.5,0.5,1.0,1.0,1.0,,,,,,,,,,,0.5,,,,,,,,,,,1.0,,0.515775,,,,,,,2.4,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627747-1627777-1628378-1628386-1630171,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Jarrett Allen, Isaac Okoro","LeVert, Niang, Mitchell, Allen, Okoro",1627747-1627777-1628378-1628386-1630171,CLE,665.0,4,11.0,20.0,22.0,19.0,10.0,1.0,42.0,,1.0,,,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,6.0,1.0,6.0,5.0,7.0,3.0,8.0,5.0,24.0,25.0,,,3.0,4.0,6.0,3.0,8.0,4.0,21.0,2.0,8.0,9.0,6.0,1.0,,1.0,3.0,4.0,1.0,2.0,,11.0,1.0,,3.0,2.0,1.0,6.0,1.0,7.0,2.0,2.0,4.0,2.0,,,,4.0,4.0,2.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,21.0,21.0,19.0,0.2,0.2,1.0,0.375,0.375,0.375,0.7142857142857143,,0.6666666666666666,0.6333333333333333,1.5,0.6071428571428571,0.7058823529411765,1.5,0.65625,0.5333333333333333,,,1.0,1.0,0.3333333333333333,,1.0,0.2,0.5555555555555556,0.14285714285714285,,0.2,0.25,1.0,90.94736842105263,16.35,15.363636363636363,16.1,14.0,0.06666666666666667,,,,0.2,1.0,1.0,0.2,0.6666666666666666,0.6666666666666666,0.13333333333333333,1.0,1.0,1.0,0.4,0.16666666666666666,0.16666666666666666,1.0,,0.07142857142857142,,0.14285714285714285,1.0,0.42857142857142855,0.16666666666666666,0.6,0.16666666666666666,0.52421,,0.5298107142857142,0.125,0.25,0.125,0.875,11.285714285714286,26.4375,0.95,-1.0,,,,1.0,,,,2.0,,,1.0,,,,,0.5,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627747-1627777-1628378-1629622-1629636,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Max Strus, Darius Garland","LeVert, Niang, Mitchell, Strus, Garland",1627747-1627777-1628378-1629622-1629636,CLE,18.0,1,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627747-1627777-1628378-1629622-1630596,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Max Strus, Evan Mobley","LeVert, Niang, Mitchell, Strus, Mobley",1627747-1627777-1628378-1629622-1630596,CLE,241.0,2,4.0,8.0,8.0,,,1.0,16.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,2.0,,,2.0,5.0,1.0,2.0,1.0,8.0,10.0,,1.0,,,,,,,,2.0,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,,,5.0,,1.0,,2.0,,2.0,1.0,3.0,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,8.0,,,0.5,0.5,1.0,0.5,,0.5,0.4,,,0.5,,,0.5,,,0.2857142857142857,,,1.0,,0.6666666666666666,0.3333333333333333,,,0.6666666666666666,0.25,,,0.5,,95.60165975103735,15.375,14.75,14.875,13.75,0.42857142857142855,,,,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,,,,,0.2857142857142857,0.5,0.5,1.0,1.0,,,,,,,0.7142857142857143,0.5,0.5084142857142857,0.5269,,0.125,0.16666666666666666,,,7.3,27.6,,-2.0,,,,,,,,,,,,,,0.3333333333333333,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627747-1627777-1628378-1629636-1630596,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Darius Garland, Evan Mobley","LeVert, Niang, Mitchell, Garland, Mobley",1627747-1627777-1628378-1629636-1630596,CLE,305.0,3,5.0,12.0,11.0,3.0,4.0,1.0,23.0,1.0,4.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,3.0,,,2.0,6.0,1.0,4.0,2.0,9.0,8.0,1.0,1.0,2.0,,,,1.0,2.0,2.0,,4.0,,3.0,1.0,,,,,,,,,,1.0,4.0,2.0,,6.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,7.0,2.0,3.0,,,,0.25,,0.25,0.3333333333333333,1.0,,0.35,1.0,,0.4090909090909091,1.0,0.5,0.4,,,0.5,,0.6666666666666666,0.25,1.0,,0.8571428571428571,0.14285714285714285,,,1.0,1.0,108.59016393442623,12.833333333333334,13.727272727272727,12.833333333333334,13.727272727272727,0.4,0.25,0.25,,0.1,1.0,1.0,0.1,,,0.1,,,,0.3,0.3333333333333333,0.3333333333333333,,1.0,,,1.0,,,,0.8,0.3333333333333333,0.5815699999999999,0.6128,0.59955,0.09090909090909091,0.14285714285714285,0.2222222222222222,0.2222222222222222,4.316666666666666,25.675,0.25,1.0,,1.0,,,,2.0,1.0,,,,,1.0,,0.3333333333333333,,0.5,1.0,0.14285714285714285,1.0,,,,,,,,1.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627747-1627777-1628378-1629636-202684,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Darius Garland, Tristan Thompson","LeVert, Niang, Mitchell, Garland, Thompson",1627747-1627777-1628378-1629636-202684,CLE,32.0,1,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,0.5,,0.5,,,90.0,21.0,11.0,6.0,11.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,0.443775,0.408,0.443775,,,,,,25.8,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627747-1627777-1628378-1630171-1630596,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Isaac Okoro, Evan Mobley","LeVert, Niang, Mitchell, Okoro, Mobley",1627747-1627777-1628378-1630171-1630596,CLE,243.0,4,4.0,11.0,9.0,6.0,2.0,3.0,20.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,,,,,,,,2.0,,1.0,4.0,7.0,,2.0,3.0,11.0,4.0,2.0,2.0,4.0,2.0,4.0,,1.0,,4.0,,8.0,,2.0,,3.0,,,,,,,,,3.0,2.0,3.0,,5.0,3.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,,3.0,2.0,,1.0,3.0,3.0,1.0,2.0,,,,7.0,4.0,6.0,,,,,,,0.5714285714285714,1.0,0.5,0.4444444444444444,0.6666666666666666,0.4,0.55,0.6666666666666666,0.4,0.2222222222222222,0.42857142857142855,0.3333333333333333,0.3333333333333333,,1.0,1.0,0.6666666666666666,,0.8333333333333334,0.6,1.0,,,1.0,118.51851851851852,11.454545454545455,13.0,9.727272727272727,12.666666666666666,0.4444444444444444,0.5,1.0,,0.3333333333333333,0.6666666666666666,1.0,,,,,,,,0.2222222222222222,,,,0.6666666666666666,0.6,0.6666666666666666,,,0.2,,0.6666666666666666,,0.5479444444444445,0.66095,0.61061,0.2,0.25,0.36363636363636365,0.36363636363636365,3.9714285714285715,25.75,0.5454545454545454,7.0,1.0,2.0,,1.0,,,,,,,,,0.5,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,0.3333333333333333,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
