EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceAtRimFGA,LongMidRangeFGM,FtPoints,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceArc3FGA,SecondChanceFG2M,PtsPutbacks,Fg3aBlocked,SecondChanceFg2Pct,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,Arc3FGM,NonHeaveArc3FGM,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,PtsAssisted3s,ThreePtAssists,Corner3Assists,SecondChanceTurnovers,BlockedAtRim,OffensiveGoaltends,Assisted3sPct,OffShortMidRangeReboundPct,Corner3PctAssisted,LostBallOutOfBoundsTurnovers,DefLongMidRangeReboundPct,PenaltyDefPoss,ShortMidRangeFGM,Arc3Assists,FTDefRebounds,SelfOReb,BadPassSteals,BadPassTurnovers,Travels,Loose Ball Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,DefFTReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PenaltyTurnovers,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeAssists,ShortMidRangePctAssisted,PenaltyArc3FGM,PenaltyFtPoints,HeaveAttempts,OffCorner3ReboundPct,PenaltyArc3Accuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3FGM,HeaveMakes,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedCorner3,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,BlockedArc3,BlockedLongMidRange,team_id,year,season,team_vs
1627750-1629008-1631128-1631212-201599,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, Peyton Watson, DeAndre Jordan","Murray, Porter Jr., Braun, Watson, Jordan",1627750-1629008-1631128-1631212-201599,DEN,254.0,1,4.0,-1.0,8.0,8.0,1.0,16,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,3.0,7.0,8.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3888888888888889,1.5,0.3888888888888889,1.5,0.3333333333333333,0.16666666666666666,0.25,0.6666666666666666,0.25,1.0,0.8,0.16666666666666666,0.5,0.6666666666666666,1.0,90.70866141732283,1.0,16.125,15.625,15.75,15.625,0.4444444444444444,0.5,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,1.0,0.2222222222222222,1.0,1.0,0.7777777777777778,0.5741999999999999,0.558,0.42857142857142855,6.3,24.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1631128-1631212-203932,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, Peyton Watson, Aaron Gordon","Murray, Porter Jr., Braun, Watson, Gordon",1627750-1629008-1631128-1631212-203932,DEN,470.0,2,8.0,2.0,16.0,16.0,1.0,32,2.0,4.0,2.0,4.0,,,,,2.0,6.0,10.0,,2.0,17.0,15.0,,,,2.0,,2.0,,,3.0,4.0,7.0,1.0,8.0,1.0,1.0,2.0,3.0,,,,,17.0,,,,0.6,0.5,,0.6071428571428571,,0.16666666666666666,,,0.8,,0.75,0.7777777777777778,0.16666666666666666,,1.0,1.0,98.04255319148936,,13.9375,15.4375,13.75,14.875,0.3333333333333333,0.5,0.5,0.16666666666666666,0.3333333333333333,,,,0.16666666666666666,,,0.5,0.5164208333333333,,,9.41,25.25,1.0,4.0,5.0,1.0,10.0,5.0,5.0,1.0,4.0,10.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,1.0,3.0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.21428571428571427,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1631128-1631212-203999,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, Peyton Watson, Nikola Jokic","Murray, Porter Jr., Braun, Watson, Jokic",1627750-1629008-1631128-1631212-203999,DEN,225.0,2,4.0,1.0,6.0,4.0,2.0,10,4.0,6.0,,1.0,,,,,2.0,4.0,7.0,,2.0,10.0,9.0,,1.0,2.0,4.0,,2.0,2.0,3.0,,1.0,1.0,4.0,5.0,,,,1.0,,,,,8.0,,,,0.5714285714285714,0.4444444444444444,0.25,0.5,0.25,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.5,1.0,,0.5,0.8,1.0,,,64.0,,24.0,20.25,20.333333333333332,19.75,0.6666666666666666,0.6666666666666666,1.0,,0.1111111111111111,,,,0.2222222222222222,,,0.8888888888888888,0.6255666666666666,0.6109,0.2,3.8285714285714287,25.1,3.0,,2.0,3.0,4.0,2.0,2.0,2.0,,4.0,1.0,,,,,,1.0,2.0,,1.0,0.5,0.6666666666666666,,0.5,0.5,1.0,0.5,,,,0.75,0.1,0.125,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1631128-201599-203200,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, DeAndre Jordan, Justin Holiday","Murray, Porter Jr., Braun, Jordan, Holiday",1627750-1629008-1631128-201599-203200,DEN,134.0,1,2.0,-3.0,4.0,5.0,1.0,9,1.0,1.0,,,,1.0,,1.0,3.0,1.0,1.0,1.0,4.0,5.0,8.0,,1.0,,,3.0,3.0,,,1.0,,1.0,1.0,2.0,,,2.0,2.0,,,,,5.0,0.25,,0.25,1.0,0.5,,0.5,,0.8,,,,,1.0,1.0,0.3333333333333333,,,1.0,96.71641791044776,,16.25,13.8,15.75,13.8,0.2,1.0,1.0,,,0.2,,,0.6,1.0,,1.0,0.59006,,,1.7,25.35,,,,,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,1.0,1.0,,0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1631128-202704-203932,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, Reggie Jackson, Aaron Gordon","Murray, Porter Jr., Braun, Jackson, Gordon",1627750-1629008-1631128-202704-203932,DEN,241.0,1,4.0,-5.0,6.0,7.0,2.0,13,,1.0,2.0,,1.0,1.0,,,3.0,,3.0,2.0,4.0,6.0,11.0,,1.0,,,3.0,3.0,,1.0,,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,,1.0,,6.0,0.5,,0.5,,0.42857142857142855,,0.42857142857142855,,0.5714285714285714,,,0.5,0.3333333333333333,,0.25,0.4,,,,77.67634854771784,,18.166666666666668,18.857142857142858,16.833333333333332,18.0,0.14285714285714285,,,0.2857142857142857,,0.14285714285714285,1.0,1.0,0.42857142857142855,,,0.7142857142857143,0.5051642857142857,0.54,,9.366666666666667,25.875,,,,,,,1.0,,,3.0,1.0,,,1.0,,1.0,,,,,,,,0.5,0.5,0.5,,,,,,,,,1.0,,,1.0,,0.25,0.3333333333333333,,,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1631128-202704-203999,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, Reggie Jackson, Nikola Jokic","Murray, Porter Jr., Braun, Jackson, Jokic",1627750-1629008-1631128-202704-203999,DEN,128.0,1,2.0,-5.0,4.0,4.0,,8,1.0,1.0,,1.0,,,,,1.0,1.0,2.0,,1.0,2.0,7.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,2.0,,,,0.5,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,1.0,,,1.0,,,,,90.0,,16.75,15.25,16.75,15.25,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,0.3333333333333333,,,0.6666666666666666,0.513,,,12.0,24.2,,,,,2.0,1.0,1.0,1.0,,2.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1631128-203200-203932,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, Justin Holiday, Aaron Gordon","Murray, Porter Jr., Braun, Holiday, Gordon",1627750-1629008-1631128-203200-203932,DEN,1527.0,6,25.0,6.0,47.0,46.0,4.0,93,7.0,14.0,6.0,5.0,1.0,1.0,,,14.0,9.0,25.0,8.0,15.0,54.0,48.0,,,2.0,8.0,6.0,14.0,4.0,3.0,3.0,11.0,16.0,4.0,20.0,4.0,1.0,7.0,16.0,3.0,2.0,3.0,2.0,52.0,0.5333333333333333,,0.5333333333333333,0.36,0.525,0.3333333333333333,0.574468085106383,0.3333333333333333,0.375,0.16,0.21428571428571427,0.7857142857142857,0.1875,0.5,0.7,0.17391304347826086,0.14285714285714285,0.625,0.4,87.70137524557957,0.6666666666666666,16.574468085106382,16.26086956521739,16.361702127659573,15.695652173913043,0.35,0.5,0.6363636363636364,0.15,0.125,0.025,1.0,1.0,0.35,,,0.725,0.5452075,0.6005,0.037037037037037035,6.787999999999999,25.353333333333335,3.0,1.0,12.0,3.0,10.0,5.0,11.0,5.0,,28.0,1.0,2.0,,3.0,,5.0,14.0,16.0,1.0,8.0,0.5555555555555556,0.625,0.4,0.14285714285714285,0.14285714285714285,1.0,0.7142857142857143,0.2,0.2,,1.0,0.19148936170212766,0.25,1.0,,1.0,2.0,,0.3333333333333333,,,0.25,0.3333333333333333,,7.0,7.0,0.5,0.5,0.5,18.0,6.0,1.0,1.0,1.0,1.0,0.75,0.2,1.0,,1.0,4.0,1.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.05263157894736842,0.16666666666666666,0.2,0.7142857142857143,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1631128-203200-203999,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, Justin Holiday, Nikola Jokic","Murray, Porter Jr., Braun, Holiday, Jokic",1627750-1629008-1631128-203200-203999,DEN,701.0,6,12.0,3.0,24.0,25.0,3.0,49,5.0,8.0,4.0,2.0,1.0,5.0,,,6.0,9.0,14.0,1.0,11.0,24.0,21.0,,2.0,7.0,12.0,,6.0,3.0,,5.0,5.0,10.0,5.0,15.0,2.0,,3.0,5.0,,,,,17.0,0.09090909090909091,,0.09090909090909091,0.6428571428571429,0.42,0.6,0.46153846153846156,0.7,0.44,0.21428571428571427,0.125,0.7142857142857143,,1.0,0.8333333333333334,0.3333333333333333,,0.75,1.0,100.65620542082739,,13.291666666666666,15.28,12.333333333333334,15.24,0.32,0.625,0.7142857142857143,0.16,0.08,0.2,0.2,0.2,0.24,,,0.76,0.544642,,0.2916666666666667,6.028571428571429,24.4,2.0,1.0,3.0,3.0,6.0,3.0,4.0,3.0,,9.0,5.0,2.0,,,2.0,2.0,5.0,3.0,1.0,2.0,0.3333333333333333,0.42857142857142855,1.0,0.5,0.8333333333333334,0.6666666666666666,0.6,0.5,1.0,,0.4,0.07692307692307693,0.13333333333333333,2.0,2.0,3.0,4.0,,1.0,,,,1.0,0.4,,,,,,3.0,1.0,1.0,,,,1.0,,1.0,,,1.0,3.0,,,,2.0,,,,,,,,,0.25,,1.0,,0.75,1.0,,,8.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,5.0,8.0,0.5,0.25,0.4166666666666667,0.4166666666666667,0.5,0.5,0.5,0.3333333333333333,0.16666666666666666,1.0,0.16666666666666666,0.6559083333333333,0.20833333333333334,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1631128-203484-203999,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, Kentavious Caldwell-Pope, Nikola Jokic","Murray, Porter Jr., Braun, Caldwell-Pope, Jokic",1627750-1629008-1631128-203484-203999,DEN,476.0,2,8.0,4.0,16.0,15.0,1.0,31,2.0,3.0,6.0,,2.0,3.0,,,1.0,4.0,9.0,3.0,4.0,18.0,14.0,,,,2.0,,1.0,1.0,1.0,3.0,3.0,6.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,,1.0,1.0,18.0,0.75,,0.75,0.4444444444444444,0.6538461538461539,,0.6923076923076923,,0.3076923076923077,0.1111111111111111,,1.0,0.2,1.0,1.0,0.16666666666666666,,1.0,1.0,93.78151260504201,1.0,16.125,14.533333333333333,16.125,14.533333333333333,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.46153846153846156,,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.07692307692307693,,,0.5384615384615384,0.5566769230769231,,,4.377777777777777,23.475,,,1.0,,6.0,3.0,6.0,2.0,,15.0,,2.0,,1.0,,3.0,2.0,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,,,1.0,1.0,,,,,0.07692307692307693,0.1111111111111111,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,9.0,3.0,2.0,1.0,1.0,,1.0,0.25,1.0,,,8.0,2.0,1.0,,,,2.0,1.0,,,,,,,0.16666666666666666,,1.0,,0.3333333333333333,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1631128-203932-203999,1610612743,"Jamal Murray, Michael Porter Jr., Christian Braun, Aaron Gordon, Nikola Jokic","Murray, Porter Jr., Braun, Gordon, Jokic",1627750-1629008-1631128-203932-203999,DEN,745.0,6,12.0,-11.0,21.0,17.0,1.0,38,3.0,3.0,3.0,2.0,,2.0,,,8.0,5.0,8.0,2.0,10.0,18.0,29.0,,,2.0,4.0,,8.0,,1.0,2.0,2.0,5.0,1.0,6.0,,,2.0,5.0,1.0,,1.0,1.0,16.0,0.2,,0.2,0.625,0.4444444444444444,,0.47368421052631576,1.0,0.5555555555555556,,,1.0,0.3333333333333333,0.6666666666666666,0.8,0.09090909090909091,,1.0,,73.4496644295302,1.0,17.952380952380953,21.647058823529413,17.952380952380953,21.176470588235293,0.16666666666666666,1.0,1.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,,,0.4444444444444444,,,0.7222222222222222,0.514525,,0.1111111111111111,6.3375,25.240000000000002,,1.0,2.0,,6.0,3.0,5.0,2.0,,12.0,,2.0,,1.0,,3.0,3.0,2.0,,1.0,0.6,0.6,0.6666666666666666,,,1.0,0.6666666666666666,0.5,0.5,,,0.05263157894736842,0.1111111111111111,,,,,,,,,,,,2.0,2.0,0.25,0.25,0.25,6.0,2.0,,,1.0,,1.0,0.5,,,,3.0,1.0,2.0,1.0,,,2.0,1.0,,,,,,,,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,,7.0,,,,1.0,2.0,2.0,,2.0,,3.0,,2.0,,,7.0,,,,,,,,,0.2,,0.4,0.47972000000000004,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
