EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,FoulsDrawn,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,ShortMidRangeAssists,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedShortMidRange,Blocks,FG3APct,LiveBallTurnoverPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,DefTwoPtRebounds,DefTwoPtReboundPct,DefShortMidRangeReboundPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeAssists,LongMidRangePctAssisted,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,DeadBallTurnovers,Fouls,Charge Fouls,NonShootingPenaltyNonTakeFouls,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceArc3FGA,BadPassSteals,OffAtRimReboundPct,SecondChanceArc3Frequency,PtsAssisted3s,ThreePtAssists,Arc3Assists,BadPassTurnovers,ShootingFouls,Assisted3sPct,DefAtRimReboundPct,Arc3PctAssisted,DefLongMidRangeReboundPct,SecondChanceFtPoints,SelfOReb,SecondChanceTurnovers,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,OffCorner3ReboundPct,SelfORebPct,Fg2aBlocked,Charge Fouls Drawn,FG2APctBlocked,ShortMidRangePctBlocked,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,RecoveredBlocks,AtRimPctBlocked,BlocksRecoveredPct,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedCorner3,SecondChanceFg3Pct,OffLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,Fg3aBlocked,Offensive Fouls,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,PenaltyCorner3Accuracy,HeaveAttempts,Corner3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,3SecondViolations,Clear Path Fouls,Transition Take Fouls,Transition Take Fouls Drawn,HeaveMakes,team_id,year,season,team_vs
1627853-1628392-1629656-1630540-1630579,1610612752,"Ryan Arcidiacono, Isaiah Hartenstein, Quentin Grimes, Miles McBride, Jericho Sims","Arcidiacono, Hartenstein, Grimes, McBride, Sims",1627853-1628392-1629656-1630540-1630579,NYK,1.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1627853-1628392-1629718-1630540-1631376,1610612752,"Ryan Arcidiacono, Isaiah Hartenstein, Charlie Brown Jr., Miles McBride, Dmytro Skapintsev","Arcidiacono, Hartenstein, Brown Jr., McBride, Skapintsev",1627853-1628392-1629718-1630540-1631376,NYK,43.0,1,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.75,0.75,1.0,1.0,1.0,100.46511627906976,16.0,11.0,16.0,11.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.4971,0.4971,0.5,0.5,1.0,8.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1627853-1628404-1628973-1629656-1630579,1610612752,"Ryan Arcidiacono, Josh Hart, Jalen Brunson, Quentin Grimes, Jericho Sims","Arcidiacono, Hart, Brunson, Grimes, Sims",1627853-1628404-1628973-1629656-1630579,NYK,1.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1627853-1628404-1629610-1629656-1630540,1610612752,"Ryan Arcidiacono, Josh Hart, DaQuan Jeffries, Quentin Grimes, Miles McBride","Arcidiacono, Hart, Jeffries, Grimes, McBride",1627853-1628404-1629610-1629656-1630540,NYK,133.0,1,,2.0,2.0,5.0,6.0,5.0,6.0,11.0,1.0,1.0,1.0,1.0,,3.0,3.0,,6.0,3.0,3.0,,6.0,6.0,3.0,3.0,1.0,6.0,2.0,2.0,2.0,,,,6.0,6.0,5.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.6666666666666666,0.4,0.6666666666666666,119.09774436090225,7.6,15.833333333333334,7.6,14.166666666666666,0.25,1.0,1.0,1.0,,0.25,1.0,0.5,0.5787625,0.5787625,,,1.0,5.7,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.25,1.0,0.5,1.0,1.0,1.0,0.25,0.25,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1627853-1628404-1629610-1630540-1630579,1610612752,"Ryan Arcidiacono, Josh Hart, DaQuan Jeffries, Miles McBride, Jericho Sims","Arcidiacono, Hart, Jeffries, McBride, Sims",1627853-1628404-1629610-1630540-1630579,NYK,72.0,1,,1.0,-1.0,2.0,3.0,2.0,3.0,5.0,,,,,,1.0,1.0,,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,,1.0,,100.0,14.0,14.666666666666666,14.0,14.666666666666666,,,,,,,,0.5,0.4472,0.4472,,,1.0,9.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,0.5,,0.5,1.0,1.0,1.0,0.5,0.5,25.3,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1627853-1628404-1629656-1630173-1630540,1610612752,"Ryan Arcidiacono, Josh Hart, Quentin Grimes, Precious Achiuwa, Miles McBride","Arcidiacono, Hart, Grimes, Achiuwa, McBride",1627853-1628404-1629656-1630173-1630540,NYK,64.0,1,1.0,1.0,-5.0,2.0,2.0,,2.0,4.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,23.0,9.0,23.0,8.5,0.5,,,,,,,0.5,0.4477,,,,,4.05,,,1.0,,,,5.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1627853-1628973-1629610-1629656-1630579,1610612752,"Ryan Arcidiacono, Jalen Brunson, DaQuan Jeffries, Quentin Grimes, Jericho Sims","Arcidiacono, Brunson, Jeffries, Grimes, Sims",1627853-1628973-1629610-1629656-1630579,NYK,34.0,1,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,42.35294117647059,22.0,,22.0,,,,,,,,,1.0,0.5112,0.5112,,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1627853-1628978-1629610-1630540-1630579,1610612752,"Ryan Arcidiacono, Donte DiVincenzo, DaQuan Jeffries, Miles McBride, Jericho Sims","Arcidiacono, DiVincenzo, Jeffries, McBride, Sims",1627853-1628978-1629610-1630540-1630579,NYK,163.0,1,,3.0,4.0,6.0,6.0,6.0,5.0,12.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,,9.0,3.0,7.0,,9.0,,,,,,3.0,4.0,7.0,,,,5.0,9.0,6.0,,,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5,0.5,0.75,0.75,0.6666666666666666,106.0122699386503,14.166666666666666,13.0,13.166666666666666,11.833333333333334,0.1111111111111111,1.0,1.0,,0.3333333333333333,0.1111111111111111,1.0,0.3333333333333333,0.4244277777777778,0.4244277777777778,,,1.0,13.728571428571428,1.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,,,,,,,,,,,0.2222222222222222,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.2222222222222222,0.2222222222222222,26.25,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.6,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,1.0,0.5,0.5,0.5211,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1627853-1628978-1629656-1630173-1630540,1610612752,"Ryan Arcidiacono, Donte DiVincenzo, Quentin Grimes, Precious Achiuwa, Miles McBride","Arcidiacono, DiVincenzo, Grimes, Achiuwa, McBride",1627853-1628978-1629656-1630173-1630540,NYK,92.0,1,,2.0,-1.0,2.0,3.0,,,5.0,,,,,1.0,2.0,2.0,,4.0,,,,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,4.0,,,0.5,0.5,1.0,,1.0,,1.0,,1.0,1.0,1.0,78.26086956521739,15.0,20.666666666666668,15.0,20.666666666666668,,,,,0.5,,,,0.40745,,,,,12.9,,1.0,1.0,,,,5.0,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1627853-1629610-1629628-1630540-1630579,1610612752,"Ryan Arcidiacono, DaQuan Jeffries, RJ Barrett, Miles McBride, Jericho Sims","Arcidiacono, Jeffries, Barrett, McBride, Sims",1627853-1629610-1629628-1630540-1630579,NYK,12.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,True
