EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveMakes,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,Transition Take Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Technical Free Throw Trips,Blocked3s,BlockedCorner3,LongMidRangePctBlocked,SecondChanceCorner3PctAssisted,Charge Fouls,BlockedArc3,Corner3PctBlocked,team_id,year,season,team_vs
1628384-1628392-1628404-1628973-1628978,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Donte DiVincenzo","Anunoby, Hartenstein, Hart, Brunson, DiVincenzo",1628384-1628392-1628404-1628973-1628978,NYK,10627.0,9,177.0,1.0,338.0,335.0,61.0,51.0,41.0,673,62.0,100.0,13.0,19.0,9.0,18.0,30.0,72.0,22.0,35.0,9.0,21.0,1.0,4.0,2.0,4.0,33.0,91.0,6.0,16.0,10.0,16.0,114.0,207.0,42.0,112.0,60.0,414.0,413.0,15.0,27.0,7.0,20.0,5.0,56.0,18.0,32.0,12.0,20.0,18.0,90.0,108.0,120.0,105.0,21.0,18.0,1.0,2.0,88.0,32.0,13.0,2.0,54.0,35.0,89.0,27.0,8.0,31.0,15.0,8.0,213.0,20.0,30.0,2.0,59.0,53.0,5.0,117.0,52.0,169.0,6.0,13.0,8.0,5.0,24.0,7.0,13.0,20.0,1.0,11.0,1.0,4.0,44.0,2.0,8.0,35.0,68.0,2.0,4.0,1.0,72.0,2.0,4.0,4.0,76.0,13.0,38.0,1.0,4.0,26.0,17.0,2.0,7.0,26.0,16.0,1.0,1.0,358.0,88.0,60.0,9.0,3.0,0.47368421052631576,0.5142857142857142,0.8333333333333334,0.375,0.35,0.6,0.37272727272727274,0.5507246376811594,0.5555555555555556,0.5625,0.554858934169279,0.5425531914893617,0.6923076923076923,0.5931232091690545,0.56,0.7142857142857143,0.3510971786833856,0.017857142857142856,0.06280193236714976,0.07,0.08333333333333333,0.02197802197802198,0.5454545454545454,1.0,0.2,0.6309523809523809,0.3225806451612903,0.921875,0.2898550724637681,0.7567567567567568,0.30864197530864196,0.3684210526315789,0.35714285714285715,0.07692307692307693,0.2631578947368421,0.4166666666666667,0.5681818181818182,0.72,0.6666666666666666,0.9107142857142857,1.0,0.04081632653061224,91.19412816411028,0.6153846153846154,16.683431952662723,14.88955223880597,15.819526627218934,14.561194029850746,0.31347962382445144,0.62,0.6666666666666666,0.5,0.22570532915360503,0.4166666666666667,0.45454545454545453,0.5,0.109717868338558,0.6285714285714286,0.6285714285714286,0.36363636363636365,0.06583072100313479,0.42857142857142855,0.42857142857142855,0.8888888888888888,0.2852664576802508,0.3626373626373626,0.3707865168539326,0.8181818181818182,0.40425531914893614,0.6842105263157895,0.23076923076923078,0.0851063829787234,0.25,0.3404255319148936,0.375,1.0,0.34615384615384615,0.5,0.07692307692307693,0.5,0.3076923076923077,0.625,0.664576802507837,0.36363636363636365,0.5583369085173501,0.5631467741935484,0.566834,0.11304347826086956,0.16379310344827586,0.008849557522123894,0.13526570048309178,0.21739130434782608,6.897101449275363,26.06964285714286,0.1804733727810651,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1628973-1630173,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Precious Achiuwa","Anunoby, Hartenstein, Hart, Brunson, Achiuwa",1628384-1628392-1628404-1628973-1630173,NYK,57.0,2,1.0,2.0,2.0,2.0,1.0,1.0,,4,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,2.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.5,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,101.05263157894737,,12.5,16.0,12.5,12.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,1.0,15.0,,0.5,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1628973-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Miles McBride","Anunoby, Hartenstein, Hart, Brunson, McBride",1628384-1628392-1628404-1628973-1630540,NYK,1098.0,4,18.0,-14.0,33.0,32.0,14.0,4.0,2.0,65,2.0,6.0,,,,1.0,5.0,9.0,1.0,2.0,,4.0,,,,3.0,3.0,8.0,1.0,1.0,3.0,4.0,8.0,17.0,3.0,12.0,4.0,29.0,43.0,,,1.0,1.0,1.0,4.0,1.0,4.0,3.0,7.0,3.0,14.0,10.0,6.0,3.0,6.0,,,,8.0,3.0,2.0,,5.0,1.0,6.0,1.0,,1.0,4.0,,13.0,,2.0,,6.0,4.0,,10.0,2.0,12.0,,1.0,1.0,,1.0,2.0,,3.0,1.0,1.0,,,4.0,1.0,2.0,2.0,6.0,1.0,,,8.0,,,,7.0,1.0,3.0,,,,,,,,,,,25.0,14.0,14.0,2.0,,0.625,0.625,0.3333333333333333,0.25,1.0,0.42857142857142855,0.25,0.47058823529411764,,0.25,0.43103448275862066,1.5,0.5,0.46774193548387094,2.0,0.5833333333333334,0.41379310344827586,,0.11764705882352941,0.16666666666666666,0.1111111111111111,,0.25,,,0.5714285714285714,0.2222222222222222,0.6666666666666666,,0.625,0.11764705882352941,0.25,0.25,,,,0.6666666666666666,0.3333333333333333,1.0,0.75,,,85.24590163934425,,18.363636363636363,15.375,17.87878787878788,14.84375,0.20689655172413793,0.3333333333333333,0.4,0.5,0.3103448275862069,0.5555555555555556,0.625,0.8,0.06896551724137931,0.5,0.5,,0.13793103448275862,,,,0.27586206896551724,0.375,0.375,0.3333333333333333,,,,,,1.0,1.0,,0.09090909090909091,,0.2727272727272727,,0.36363636363636365,0.75,0.6206896551724138,0.375,0.5201068965517242,0.32415,0.4943818181818182,0.0967741935483871,0.15789473684210525,,0.13793103448275862,0.4827586206896552,6.964705882352941,25.008333333333336,0.42424242424242425,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1628978-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Donte DiVincenzo, Miles McBride","Anunoby, Hartenstein, Hart, DiVincenzo, McBride",1628384-1628392-1628404-1628978-1630540,NYK,511.0,5,9.0,-11.0,14.0,18.0,3.0,3.0,3.0,32,2.0,6.0,1.0,1.0,,2.0,1.0,4.0,,1.0,,,,,,,1.0,2.0,,,,,3.0,11.0,1.0,2.0,5.0,14.0,25.0,1.0,3.0,,,,2.0,,2.0,,,2.0,2.0,2.0,4.0,,3.0,,,,2.0,1.0,1.0,,1.0,,1.0,,,,1.0,,2.0,,3.0,,2.0,2.0,,4.0,3.0,7.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,2.0,,,,,,,,3.0,,,1.0,5.0,,1.0,,1.0,,,,,1.0,,,,12.0,2.0,3.0,,1.0,0.3333333333333333,0.3333333333333333,,0.5,,,0.5,0.2727272727272727,0.3333333333333333,,0.34615384615384615,0.3333333333333333,,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.15384615384615385,,0.09090909090909091,0.16666666666666666,,,0.5,,,1.0,0.375,0.5,,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,,,,1.0,,1.0,0.6666666666666666,,0.125,90.17612524461839,,19.5,13.222222222222221,17.5,13.166666666666666,0.46153846153846156,0.3333333333333333,0.4,,0.3076923076923077,0.25,0.25,1.0,0.07692307692307693,,,,,,,,0.15384615384615385,0.5,0.5,,0.3333333333333333,1.0,,,,,,,1.0,,,,,,0.6153846153846154,0.5,0.5778461538461538,0.5392333333333333,0.6764,0.07142857142857142,0.08333333333333333,,0.14285714285714285,0.14285714285714285,5.9363636363636365,25.9,0.21428571428571427,1.0,1.0,1.0,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1630173-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Precious Achiuwa, Miles McBride","Anunoby, Hartenstein, Hart, Achiuwa, McBride",1628384-1628392-1628404-1630173-1630540,NYK,262.0,1,4.0,-6.0,8.0,8.0,,,1.0,16,1.0,2.0,,,,,,,,,1.0,3.0,,1.0,,,1.0,2.0,,,,,1.0,2.0,2.0,5.0,4.0,12.0,18.0,,,,1.0,,,,,,,,,2.0,,6.0,,,,,2.0,1.0,,,1.0,2.0,3.0,1.0,1.0,1.0,,,8.0,1.0,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,4.0,,2.0,,,,,,,,,,,12.0,,,,,1.0,1.0,1.0,0.4,,,0.4,0.5,,,0.5714285714285714,,,0.6666666666666666,,,0.7142857142857143,,,,,,,,,1.0,,,0.3333333333333333,0.5,0.25,,,,1.0,,,1.0,,,,,87.93893129770993,,18.75,14.0,17.375,13.375,0.2857142857142857,0.5,0.5,1.0,,,,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.5,0.5,1.0,,,,1.0,,,,,,,,,,,1.0,0.5,0.6050571428571428,,,0.2222222222222222,0.5,,,,1.65,24.2,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628973-1628978-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Jalen Brunson, Donte DiVincenzo, Miles McBride","Anunoby, Hartenstein, Brunson, DiVincenzo, McBride",1628384-1628392-1628973-1628978-1630540,NYK,230.0,2,4.0,-1.0,7.0,7.0,5.0,5.0,1.0,14,,1.0,,,,1.0,1.0,1.0,,3.0,,,,,,,2.0,2.0,,,2.0,2.0,1.0,5.0,2.0,2.0,,8.0,9.0,,1.0,,,,,1.0,2.0,2.0,2.0,,8.0,,2.0,6.0,,,,,2.0,2.0,,,,2.0,2.0,2.0,,,,,6.0,,1.0,,1.0,1.0,,2.0,1.0,3.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,8.0,8.0,5.0,,,,,1.0,1.0,,1.0,1.0,0.2,,0.5,0.5714285714285714,,1.0,0.5714285714285714,,1.0,0.2857142857142857,,,,,,1.0,,,1.0,0.25,0.5,,0.6666666666666666,0.25,,,0.3333333333333333,,,,1.0,,0.5,,,87.65217391304347,1.0,17.571428571428573,15.285714285714286,16.285714285714285,15.285714285714286,0.14285714285714285,,,,0.14285714285714285,1.0,1.0,,0.42857142857142855,,,,,,,,0.2857142857142857,1.0,1.0,1.0,,,,,,,,,0.25,,,,0.5,1.0,0.42857142857142855,1.0,0.4762857142857143,0.4391,0.531975,,,,,1.0,11.8,26.05,0.7142857142857143,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628973-1630540-202711,1610612752,"OG Anunoby, Isaiah Hartenstein, Jalen Brunson, Miles McBride, Bojan Bogdanovic","Anunoby, Hartenstein, Brunson, McBride, Bogdanovic",1628384-1628392-1628973-1630540-202711,NYK,82.0,2,1.0,3.0,3.0,4.0,2.0,2.0,,7,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,4.0,,,,,,,,,1.0,1.0,2.0,5.0,2.0,,3.0,,,,,1.0,1.0,,,1.0,1.0,2.0,1.0,,,,1.0,5.0,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,2.0,,,,1.0,1.0,1.0,,,1.0,,,,7.0,5.0,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.25,,1.5,1.1666666666666667,,1.25,0.5,,,,,,,,,0.6666666666666666,,,,0.6666666666666666,,,,,,,,1.0,,,,,122.92682926829268,,8.0,14.5,8.0,14.25,,,,,,,,,0.5,1.0,1.0,1.0,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,0.5,1.0,0.49375,,0.5298,,,,,0.7142857142857143,16.3,26.4,0.6666666666666666,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628404-1628973-1628978-1629011,1610612752,"OG Anunoby, Josh Hart, Jalen Brunson, Donte DiVincenzo, Mitchell Robinson","Anunoby, Hart, Brunson, DiVincenzo, Robinson",1628384-1628404-1628973-1628978-1629011,NYK,1457.0,5,24.0,27.0,50.0,43.0,30.0,15.0,13.0,93,9.0,16.0,2.0,4.0,5.0,10.0,6.0,11.0,2.0,8.0,1.0,3.0,1.0,1.0,1.0,2.0,8.0,12.0,3.0,5.0,5.0,9.0,17.0,35.0,9.0,15.0,12.0,73.0,46.0,4.0,8.0,4.0,6.0,2.0,22.0,10.0,21.0,6.0,11.0,7.0,45.0,24.0,10.0,18.0,9.0,,,,12.0,8.0,5.0,,12.0,6.0,18.0,5.0,1.0,7.0,3.0,2.0,42.0,2.0,12.0,1.0,8.0,10.0,,18.0,15.0,33.0,1.0,4.0,3.0,1.0,5.0,,2.0,,,3.0,,,5.0,,2.0,1.0,7.0,1.0,,,13.0,,,1.0,19.0,,5.0,,4.0,2.0,2.0,,,2.0,2.0,,,51.0,45.0,30.0,2.0,3.0,0.7058823529411765,0.7058823529411765,0.6666666666666666,0.6,0.6666666666666666,0.5454545454545454,0.6,0.4857142857142857,0.5,0.47619047619047616,0.61,0.7142857142857143,0.59375,0.6186440677966102,0.6875,0.6081081081081081,0.3,,0.14285714285714285,0.1875,0.09090909090909091,,1.0,,0.3333333333333333,0.6666666666666666,0.7058823529411765,0.8,0.3333333333333333,0.72,0.6086956521739131,0.8333333333333334,0.8,0.5,0.25,0.5,0.625,0.6666666666666666,0.75,0.7777777777777778,1.0,0.05555555555555555,91.91489361702126,1.0,14.68,16.813953488372093,13.1,15.790697674418604,0.32,0.5625,0.6923076923076923,0.7777777777777778,0.22,0.5454545454545454,0.6,0.5,0.16,0.25,0.2857142857142857,1.0,0.06,0.3333333333333333,0.3333333333333333,1.0,0.24,0.6666666666666666,0.6666666666666666,0.625,0.2857142857142857,0.5,1.0,0.07142857142857142,1.0,0.35714285714285715,0.6,0.6666666666666666,0.3125,0.5,0.0625,0.5,0.28125,0.5555555555555556,0.62,0.6666666666666666,0.5639379999999999,0.5276384615384615,0.559046875,0.09090909090909091,0.125,,0.3013698630136986,0.6164383561643836,7.248571428571428,25.80666666666667,0.6,,,,0.125,1.0,,,,1610612752,2024,2023-24,False
1628384-1628404-1628973-1628978-1630173,1610612752,"OG Anunoby, Josh Hart, Jalen Brunson, Donte DiVincenzo, Precious Achiuwa","Anunoby, Hart, Brunson, DiVincenzo, Achiuwa",1628384-1628404-1628973-1628978-1630173,NYK,282.0,2,5.0,5.0,7.0,7.0,2.0,7.0,3.0,14,2.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,,2.0,,1.0,,,,,,2.0,,1.0,,1.0,5.0,9.0,,3.0,1.0,11.0,6.0,3.0,4.0,,1.0,1.0,7.0,2.0,4.0,,1.0,1.0,5.0,6.0,4.0,,,,,,2.0,,1.0,,3.0,,3.0,,,2.0,1.0,,6.0,2.0,3.0,,2.0,1.0,,3.0,5.0,8.0,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,2.0,2.0,,,2.0,,,,4.0,5.0,2.0,1.0,,0.6,0.6,,,,,,0.5555555555555556,0.75,0.5,0.4166666666666667,0.6,0.4,0.4583333333333333,0.7,0.5,0.25,,0.1111111111111111,0.3333333333333333,,,,,,0.3333333333333333,0.75,1.0,0.6666666666666666,0.6,0.7142857142857143,1.0,1.0,0.5,0.5,1.0,,1.0,,1.0,,,71.48936170212765,,23.285714285714285,17.0,17.571428571428573,13.857142857142858,0.25,0.6666666666666666,1.0,1.0,0.3333333333333333,0.75,0.75,0.3333333333333333,0.16666666666666666,,,,0.08333333333333333,,,,0.16666666666666666,,,,0.2,1.0,1.0,,,0.2,,,0.4,0.5,,,0.2,,0.5,,0.5177583333333333,0.597,0.49862,0.08333333333333333,0.1111111111111111,,0.6363636363636364,0.45454545454545453,8.38888888888889,25.8,0.2857142857142857,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628404-1628973-1628978-1630540,1610612752,"OG Anunoby, Josh Hart, Jalen Brunson, Donte DiVincenzo, Miles McBride","Anunoby, Hart, Brunson, DiVincenzo, McBride",1628384-1628404-1628973-1628978-1630540,NYK,113.0,3,2.0,2.0,7.0,7.0,5.0,5.0,,14,1.0,2.0,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,2.0,3.0,,1.0,6.0,10.0,8.0,,,,,,,,1.0,,1.0,5.0,5.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,4.0,,,,6.0,1.0,1.0,,3.0,,,,,,,,,10.0,3.0,4.0,,1.0,,,,,,,,0.6666666666666666,,,0.5,,,0.7142857142857143,,0.5,0.25,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,178.4070796460177,,9.0,7.142857142857143,9.0,7.142857142857143,0.5,0.5,0.5,,,,,,0.25,1.0,1.0,,,,,,0.25,,,,,,,,,,,,0.5,,,,0.5,,0.75,,0.527025,,0.4418,0.25,0.3333333333333333,,,0.5,7.566666666666666,27.4,0.7142857142857143,,,,,,,,,1610612752,2024,2023-24,False
