EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffTwoPtRebounds,FTOffRebounds,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3PctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3Assists,LostBallSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3FGA,Loose Ball Fouls,SecondChanceArc3Frequency,LongMidRangeAssists,SelfOReb,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,SelfORebPct,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,OffensiveGoaltends,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceCorner3FGM,FTDefRebounds,StepOutOfBoundsTurnovers,AtRimPctBlocked,DefFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,team_id,year,season,team_vs
1626153-1628389-1628997-1629130-1629639,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Duncan Robinson, Tyler Herro","Wright, Adebayo, Martin, Robinson, Herro",1626153-1628389-1628997-1629130-1629639,MIA,312.0,2,5.0,-2.0,10.0,9.0,3.0,1.0,19,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,3.0,10.0,12.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,9.0,5.0,3.0,2.0,0.5,0.5,0.25,0.25,0.5,1.0,0.4375,0.3333333333333333,0.5,0.25,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,0.4,0.5,1.0,1.0,1.0,1.0,87.6923076923077,19.7,12.777777777777779,19.3,12.777777777777779,0.25,0.5,0.5,1.0,0.125,1.0,1.0,0.125,0.125,0.375,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,0.509875,0.5811000000000001,0.1,0.5,7.95,26.175,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629312-1629639,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Haywood Highsmith, Tyler Herro","Wright, Adebayo, Martin, Highsmith, Herro",1626153-1628389-1628997-1629312-1629639,MIA,363.0,3,6.0,,13.0,12.0,5.0,3.0,25,2.0,2.0,,,2.0,5.0,1.0,1.0,,,1.0,4.0,2.0,5.0,8.0,1.0,5.0,,13.0,13.0,,,2.0,1.0,4.0,2.0,,5.0,2.0,8.0,,4.0,1.0,1.0,2.0,,5.0,1.0,1.0,5.0,6.0,3.0,9.0,,,2.0,1.0,1.0,,3.0,,,,,,,11.0,5.0,5.0,,0.2,0.25,0.2,0.2,0.625,0.25,0.5,0.4166666666666667,0.5,0.5,0.4166666666666667,0.38461538461538464,0.6666666666666666,1.0,0.5,0.3333333333333333,0.8571428571428571,0.3333333333333333,0.5,,1.0,0.5,,99.17355371900827,14.692307692307692,14.333333333333334,13.846153846153847,13.166666666666666,0.15384615384615385,1.0,1.0,,0.38461538461538464,0.4,0.5,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.25,0.25,,,,,0.3333333333333333,0.5384615384615384,0.25,0.4827875,0.4882583333333333,0.15384615384615385,0.38461538461538464,7.0,32.239999999999995,0.38461538461538464,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,0.125,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629312-1631170,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Haywood Highsmith, Jaime Jaquez Jr.","Wright, Adebayo, Martin, Highsmith, Jaquez Jr.",1626153-1628389-1628997-1629312-1631170,MIA,32.0,1,1.0,2.0,2.0,,2.0,,2,,,,,,1.0,,,,,,,,,1.0,,,2.0,2.0,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,2.0,2.0,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,90.0,15.0,,15.0,,,,,,1.0,,,,,,,,,,,,,,,0.3905,0.3905,,1.0,4.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629639-1631107,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Tyler Herro, Nikola Jovic","Wright, Adebayo, Martin, Herro, Jovic",1626153-1628389-1628997-1629639-1631107,MIA,921.0,3,15.0,4.0,31.0,31.0,13.0,4.0,62,11.0,13.0,4.0,5.0,,2.0,1.0,1.0,,,5.0,13.0,5.0,11.0,16.0,6.0,14.0,3.0,43.0,39.0,,,4.0,4.0,6.0,5.0,2.0,19.0,8.0,14.0,3.0,13.0,5.0,4.0,9.0,4.0,23.0,3.0,3.0,6.0,9.0,4.0,13.0,4.0,2.0,1.0,1.0,3.0,,4.0,2.0,5.0,4.0,1.0,3.0,1.0,39.0,19.0,13.0,1.0,0.36363636363636365,0.4,0.42857142857142855,0.42857142857142855,0.6875,0.6666666666666666,0.6666666666666666,0.7727272727272727,0.6774193548387096,0.5,0.7916666666666666,0.4666666666666667,0.25,0.8571428571428571,0.75,0.375,0.8181818181818182,0.3076923076923077,0.375,,1.0,1.0,,96.93811074918567,14.838709677419354,14.870967741935484,14.258064516129032,14.709677419354838,0.43333333333333335,0.8461538461538461,0.8461538461538461,0.36363636363636365,0.06666666666666667,,,0.03333333333333333,0.03333333333333333,0.43333333333333335,0.38461538461538464,0.38461538461538464,,0.45454545454545453,0.8,,0.45454545454545453,0.9,0.38461538461538464,0.57838,0.5680954545454546,0.09302325581395349,0.4418604651162791,3.35,26.12857142857143,0.41935483870967744,,3.0,2.0,4.0,3.0,15.0,2.0,,5.0,4.0,,1.0,,,,2.0,2.0,,2.0,2.0,1.0,0.8333333333333334,0.6,0.5,0.5,,,,0.2,,,0.8333333333333334,0.5,,,,0.8,0.6,0.4991,,,,14.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629639-1631170,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Tyler Herro, Jaime Jaquez Jr.","Wright, Adebayo, Martin, Herro, Jaquez Jr.",1626153-1628389-1628997-1629639-1631170,MIA,441.0,2,7.0,-8.0,14.0,13.0,4.0,2.0,27,,2.0,,,,2.0,1.0,,,,1.0,3.0,,1.0,5.0,1.0,3.0,8.0,13.0,21.0,1.0,,,,,,6.0,6.0,,2.0,,3.0,1.0,,1.0,,3.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,,,3.0,,3.0,,3.0,5.0,1.0,8.0,1.0,13.0,6.0,4.0,1.0,,,0.3333333333333333,0.3333333333333333,0.2,,0.3125,,0.5416666666666666,,1.0,0.375,,0.6666666666666666,1.0,0.5,0.75,0.3333333333333333,0.5,,,1.0,,88.16326530612245,17.785714285714285,14.76923076923077,17.142857142857142,13.692307692307692,0.25,,,,0.25,,,0.125,,0.375,0.3333333333333333,0.3333333333333333,,,,,,0.625,0.3333333333333333,0.43870625,,,0.46153846153846156,7.44,28.333333333333332,0.2857142857142857,1.0,,,1.0,,3.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,0.25,,,0.6666666666666666,,,1.0,1.0,1.0,,0.4471,3.0,0.2727272727272727,0.375,,,1.0,,,,1.0,2.0,,,0.5,,,,0.5,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629639-201988,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Tyler Herro, Patty Mills","Wright, Adebayo, Martin, Herro, Mills",1626153-1628389-1628997-1629639-201988,MIA,981.0,2,16.0,2.0,32.0,32.0,14.0,4.0,64,5.0,6.0,2.0,2.0,1.0,4.0,4.0,3.0,,1.0,1.0,9.0,3.0,7.0,14.0,2.0,12.0,11.0,31.0,29.0,2.0,,2.0,2.0,4.0,4.0,4.0,11.0,10.0,4.0,,9.0,1.0,5.0,7.0,4.0,16.0,2.0,8.0,10.0,18.0,5.0,23.0,1.0,,2.0,1.0,4.0,1.0,6.0,1.0,3.0,8.0,,13.0,,29.0,11.0,14.0,,0.7142857142857143,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.5,0.5,0.38461538461538464,0.4375,0.5,0.2,0.55,0.46153846153846156,0.3333333333333333,0.9090909090909091,0.8888888888888888,0.25,0.9,0.3333333333333333,0.3333333333333333,,1.0,0.8571428571428571,1.0,93.94495412844036,16.84375,13.8125,16.09375,13.8125,0.23076923076923078,0.8333333333333334,0.8333333333333334,0.8,0.15384615384615385,0.25,0.25,0.15384615384615385,0.11538461538461539,0.34615384615384615,0.1111111111111111,0.1111111111111111,,0.25,1.0,0.125,0.375,0.6923076923076923,0.1111111111111111,0.49931346153846157,0.54034375,0.06451612903225806,0.3548387096774194,7.985714285714286,25.566666666666666,0.4375,1.0,1.0,1.0,3.0,1.0,6.0,2.0,,2.0,1.0,,3.0,,1.0,,5.0,,,,1.0,1.0,1.0,0.25,0.3333333333333333,0.2,,,,0.42857142857142855,0.3333333333333333,,1.0,1.0,,0.25,0.25,1.0,0.3333333333333333,0.6157833333333333,4.0,0.16129032258064516,0.2222222222222222,15.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,2.0,,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.06666666666666667,1.0,0.07692307692307693,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1629130-1629312-1629639,1610612748,"Delon Wright, Bam Adebayo, Duncan Robinson, Haywood Highsmith, Tyler Herro","Wright, Adebayo, Robinson, Highsmith, Herro",1626153-1628389-1629130-1629312-1629639,MIA,396.0,2,7.0,5.0,12.0,12.0,,1.0,24,2.0,2.0,,,1.0,2.0,1.0,,,,1.0,4.0,,4.0,5.0,1.0,4.0,4.0,15.0,10.0,,,2.0,,,,,,2.0,6.0,,4.0,1.0,1.0,2.0,,5.0,1.0,4.0,3.0,7.0,1.0,8.0,1.0,,,,1.0,1.0,1.0,,2.0,3.0,,6.0,,13.0,,,,0.25,0.3333333333333333,0.25,0.25,0.8,,0.6111111111111112,,0.625,1.0,,0.4444444444444444,,1.0,0.8,0.3333333333333333,0.875,0.25,0.3333333333333333,,1.0,0.8,,87.27272727272728,14.416666666666666,18.583333333333332,14.333333333333334,18.5,0.2222222222222222,1.0,1.0,,0.2222222222222222,0.5,0.5,0.1111111111111111,,0.4444444444444444,0.25,0.25,,,,,,0.6666666666666666,0.25,0.5136555555555555,,0.13333333333333333,,8.6,26.275,,1.0,,1.0,1.0,,3.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,3.0,0.25,0.375,,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1629130-1629312-1631170,1610612748,"Delon Wright, Bam Adebayo, Duncan Robinson, Haywood Highsmith, Jaime Jaquez Jr.","Wright, Adebayo, Robinson, Highsmith, Jaquez Jr.",1626153-1628389-1629130-1629312-1631170,MIA,115.0,1,2.0,1.0,3.0,4.0,3.0,,7,2.0,2.0,2.0,2.0,,,1.0,,,,,,,2.0,3.0,,,,4.0,3.0,,,,2.0,3.0,,,4.0,4.0,,,,,2.0,2.0,2.0,4.0,,,2.0,2.0,,2.0,,,,,,,,,2.0,1.0,,,,4.0,4.0,3.0,,1.0,1.0,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,1.0,,,1.0,,,,1.0,,,87.65217391304347,13.333333333333334,18.75,13.333333333333334,18.75,0.6666666666666666,1.0,1.0,1.0,,,,0.3333333333333333,,,,,,0.6666666666666666,1.0,,,0.6666666666666666,,0.6646333333333333,0.6646333333333333,,1.0,5.733333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1629130-1629312-201567,1610612748,"Delon Wright, Bam Adebayo, Duncan Robinson, Haywood Highsmith, Kevin Love","Wright, Adebayo, Robinson, Highsmith, Love",1626153-1628389-1629130-1629312-201567,MIA,268.0,1,4.0,-3.0,7.0,7.0,,,14,1.0,1.0,,,1.0,2.0,,,,,2.0,2.0,,2.0,3.0,2.0,2.0,,10.0,13.0,,,,,,,,,2.0,2.0,,2.0,2.0,1.0,3.0,1.0,8.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,,,2.0,,2.0,1.0,,,,10.0,,,,0.5,0.5,1.0,1.0,0.6666666666666666,,1.0,,1.0,,,0.4,1.0,,1.0,,1.0,,,,,,1.0,75.22388059701493,20.0,18.285714285714285,20.0,18.285714285714285,0.2,1.0,1.0,1.0,0.4,0.5,0.5,,,0.4,1.0,1.0,,,,,,0.6,1.0,0.40095000000000003,,,,7.666666666666667,27.6,,,,,,,6.0,,,2.0,2.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1629312-1629639-1631107,1610612748,"Delon Wright, Bam Adebayo, Haywood Highsmith, Tyler Herro, Nikola Jovic","Wright, Adebayo, Highsmith, Herro, Jovic",1626153-1628389-1629312-1629639-1631107,MIA,474.0,2,8.0,4.0,16.0,17.0,,1.0,33,4.0,4.0,,,,,,3.0,,,3.0,6.0,,4.0,4.0,4.0,9.0,,20.0,16.0,,,2.0,,,,,,2.0,6.0,3.0,6.0,3.0,1.0,4.0,1.0,11.0,1.0,1.0,5.0,6.0,1.0,7.0,1.0,1.0,1.0,1.0,3.0,,4.0,2.0,5.0,1.0,,,,18.0,,,,0.25,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.0,,0.7692307692307693,,0.7692307692307693,1.0,,0.6923076923076923,0.25,1.0,1.0,0.2,1.0,0.2,0.3333333333333333,,1.0,1.0,,100.25316455696202,15.8125,13.0,15.8125,13.0,0.3076923076923077,1.0,1.0,0.25,,,,,0.23076923076923078,0.46153846153846156,0.5,0.5,,,,,,1.0,0.5,0.5885230769230769,,0.1,,1.75,25.922222222222224,,,,1.0,1.0,,9.0,2.0,,3.0,2.0,,,,,,,1.0,,1.0,1.0,1.0,0.75,,1.0,1.0,,,,,,,1.0,1.0,,,,0.6666666666666666,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
