EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FG3A,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,Steals,BadPassSteals,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,DefPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ShortMidRangeAssists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Charge Fouls,Defensive 3 Seconds Violations,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Avg2ptShotDistance,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFtPoints,AtRimAssists,OffThreePtRebounds,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,Offensive Fouls,OffLongMidRangeReboundPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,DefensiveGoaltends,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,2pt And 1 Free Throw Trips,Travels,PenaltyTurnovers,SecondChanceCorner3FGM,Transition Take Fouls,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,LostBallOutOfBoundsTurnovers,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,BlockedCorner3,Transition Take Fouls Drawn,LongMidRangePctBlocked,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,HeaveAttempts,3SecondViolations,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
1627936-1628470-1628975-1629632-201942,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Coby White, DeMar DeRozan","Caruso, Craig, Carter, White, DeRozan",1627936-1628470-1628975-1629632-201942,CHI,18.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,80.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44595,0.44595,1.0,24.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
1627936-1628470-1628975-1629632-202696,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Coby White, Nikola Vucevic","Caruso, Craig, Carter, White, Vucevic",1627936-1628470-1628975-1629632-202696,CHI,193.0,2,3.0,6.0,,12.0,1.0,1.0,,,1.0,1.0,7.0,,,,3.0,1.0,2.0,1.0,5.0,,,7.0,,,1.0,1.0,,1.0,0.7,,0.7,,0.2,89.53367875647668,14.333333333333334,14.333333333333334,0.2,1.0,1.0,1.0,,,0.4,0.48106,,,24.1,,3.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.833333333333332,17.833333333333332,0.2,0.4,1.0,1.0,0.5,0.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
1627936-1628470-1628975-1629632-203083,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Coby White, Andre Drummond","Caruso, Craig, Carter, White, Drummond",1627936-1628470-1628975-1629632-203083,CHI,712.0,5,11.0,25.0,1.0,51.0,1.0,3.0,,,5.0,9.0,36.0,,,2.0,12.0,4.0,5.0,1.0,14.0,2.0,1.0,33.0,2.0,1.0,0.8,0.5555555555555556,,0.5555555555555556,0.675,0.5,0.6923076923076923,0.5,0.45,103.14606741573033,13.28,12.32,0.15,0.3333333333333333,0.3333333333333333,1.0,,,0.9,0.641225,0.80145,0.05555555555555555,24.755555555555556,0.04,12.0,26.0,9.0,,1.0,1.0,6.0,11.0,25.0,2.0,10.0,2.0,1.0,,5.0,4.0,10.0,13.0,1.0,2.0,2.0,,,0.16666666666666666,0.2,0.5454545454545454,0.18181818181818182,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,14.615384615384615,14.615384615384615,0.45,0.05,,,,0.05,2.4363636363636365,5.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,4.0,6.0,9.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,6.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,12.0,6.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.375,0.5,1.0,0.6,0.3333333333333333,0.75,1.0,0.5555555555555556,0.7142857142857143,1.0,1.0,1.0,0.3,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.5,1.0,0.5,0.6666666666666666,0.6054333333333334,0.23076923076923078,0.35294117647058826,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
1627936-1628470-1628975-1630245-202696,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Ayo Dosunmu, Nikola Vucevic","Caruso, Craig, Carter, Dosunmu, Vucevic",1627936-1628470-1628975-1630245-202696,CHI,829.0,5,3.0,28.0,12.0,58.0,1.0,2.0,,,3.0,15.0,25.0,2.0,8.0,16.0,9.0,3.0,6.0,1.0,15.0,4.0,4.0,25.0,16.0,12.0,1.0,0.2,0.25,0.2,0.38,0.45454545454545453,0.42857142857142855,0.5357142857142857,0.6,100.74788902291918,13.642857142857142,13.535714285714286,0.08,0.5,0.5,1.0,,,0.8,0.5281229166666667,0.539975,0.64,26.3,0.42857142857142855,14.0,30.0,5.0,1.0,2.0,3.0,5.0,10.0,22.0,6.0,4.0,,3.0,,6.0,5.0,11.0,12.0,,3.0,2.0,,,0.6,0.6,0.5,,,0.5,0.8571428571428571,0.6470588235294118,0.6666666666666666,1.0,0.6666666666666666,14.9,13.733333333333333,0.2,0.08,0.5,0.5,,0.12,8.309999999999999,4.0,1.0,3.0,,,2.0,2.0,1.0,2.0,13.0,6.0,,,,,2.0,3.0,,,13.0,2.0,2.0,1.0,,,1.0,,3.0,2.0,,4.0,,6.0,2.0,3.0,1.0,3.0,1.0,,,0.6666666666666666,,,1.0,,,0.0625,,0.3333333333333333,0.6,0.6,0.3333333333333333,0.3333333333333333,1.0,0.52,0.15384615384615385,0.15384615384615385,1.0,,,0.18181818181818182,1.0,0.15384615384615385,,0.07407407407407407,0.16666666666666666,,2.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.09090909090909091,0.1,0.3333333333333333,0.5,0.6666666666666666,0.7272727272727273,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
1627936-1628470-1628975-1630245-203083,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Ayo Dosunmu, Andre Drummond","Caruso, Craig, Carter, Dosunmu, Drummond",1627936-1628470-1628975-1630245-203083,CHI,86.0,1,-4.0,3.0,,6.0,,1.0,,,,1.0,2.0,,,,,,,,,,,2.0,,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,100.46511627906976,16.333333333333332,16.333333333333332,0.3333333333333333,,,,,,0.3333333333333333,0.4904833333333333,,,22.8,,1.0,3.0,,1.0,2.0,,1.0,2.0,6.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,0.5,,,1.0,,0.5,,,,12.333333333333334,12.0,,0.6666666666666666,0.5,0.5,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
1627936-1628470-1628975-1631207-201942,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Dalen Terry, DeMar DeRozan","Caruso, Craig, Carter, Terry, DeRozan",1627936-1628470-1628975-1631207-201942,CHI,154.0,1,-2.0,5.0,3.0,11.0,,,,,,,8.0,,,6.0,,,,,,,,8.0,6.0,3.0,,,,,0.6666666666666666,1.0,0.8,1.0,,102.85714285714285,9.2,9.2,,,,,,,0.6666666666666666,0.6462,0.7587,0.75,,0.6,3.0,6.0,2.0,,,1.0,2.0,3.0,10.0,,4.0,,,,1.0,,2.0,2.0,,,3.0,,,,,0.6666666666666666,,,,1.0,0.5,,1.0,,18.0,17.0,0.6666666666666666,,,,,0.3333333333333333,7.033333333333334,1.0,,2.0,,,2.0,2.0,,,,4.0,,,,,2.0,2.0,,,,,,,,1.0,,,,,,2.0,,4.0,2.0,,,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,0.4,0.4,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
1627936-1628470-1628975-1641931-202696,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Onuralp Bitim, Nikola Vucevic","Caruso, Craig, Carter, Bitim, Vucevic",1627936-1628470-1628975-1641931-202696,CHI,67.0,1,,2.0,,4.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,85.97014925373134,19.5,19.5,,,,,,,0.5,0.46175,,,25.1,,1.0,2.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,0.5,,0.5,,,,14.0,13.5,,0.5,,,,,9.8,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
1627936-1628470-1628975-201942-202696,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, DeMar DeRozan, Nikola Vucevic","Caruso, Craig, Carter, DeRozan, Vucevic",1627936-1628470-1628975-201942-202696,CHI,551.0,5,-5.0,18.0,,38.0,,1.0,,,3.0,10.0,15.0,,,,9.0,3.0,4.0,,11.0,2.0,1.0,15.0,,,1.0,0.3,,0.3,0.39473684210526316,,0.39473684210526316,,0.5263157894736842,99.3103448275862,15.555555555555555,14.722222222222221,0.05263157894736842,,,,,,0.7368421052631579,0.5409315789473684,,,25.79,,9.0,20.0,4.0,,2.0,3.0,3.0,9.0,20.0,2.0,4.0,,1.0,,3.0,2.0,7.0,9.0,1.0,1.0,5.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,1.0,0.8333333333333334,,1.0,,13.55,13.55,0.21052631578947367,0.10526315789473684,,,,0.15789473684210525,8.366666666666667,11.0,2.0,2.0,,1.0,,,1.0,3.0,9.0,,,2.0,,,,,,,9.0,3.0,3.0,,1.0,2.0,2.0,1.0,,,,4.0,,,,,,,,1.0,,,,,,1.0,0.16666666666666666,0.15384615384615385,,,0.5,0.5,0.3333333333333333,0.3333333333333333,,0.47368421052631576,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,0.3333333333333333,0.5031,,,,,,,1.0,1.0,,,2.0,,2.0,,,,,0.14285714285714285,0.16666666666666666,1.0,,0.5,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
1627936-1628470-1628975-201942-203083,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, DeMar DeRozan, Andre Drummond","Caruso, Craig, Carter, DeRozan, Drummond",1627936-1628470-1628975-201942-203083,CHI,1588.0,6,-1.0,52.0,7.0,99.0,2.0,5.0,,1.0,5.0,11.0,60.0,,2.0,6.0,12.0,4.0,11.0,2.0,26.0,2.0,1.0,47.0,6.0,7.0,0.8,0.45454545454545453,,0.45454545454545453,0.5,0.3,0.5263157894736842,0.3,0.20754716981132076,89.77329974811083,16.28846153846154,15.576923076923077,0.09433962264150944,0.4,0.4,1.0,0.1,,0.5471698113207547,0.5321471698113208,0.618145,0.1,24.154545454545453,0.1346153846153846,26.0,47.0,18.0,2.0,11.0,13.0,19.0,42.0,61.0,14.0,24.0,2.0,7.0,,11.0,5.0,16.0,30.0,2.0,8.0,6.0,,,0.3684210526315789,0.4117647058823529,0.4523809523809524,0.047619047619047616,0.05555555555555555,0.8333333333333334,0.8461538461538461,0.8421052631578947,0.5,0.8181818181818182,1.0,15.76595744680851,15.638297872340425,0.33962264150943394,0.20754716981132076,0.18181818181818182,0.2,,0.24528301886792453,8.483333333333334,12.0,10.0,12.0,4.0,7.0,3.0,5.0,5.0,3.0,6.0,7.0,4.0,7.0,2.0,13.0,3.0,8.0,3.0,4.0,6.0,3.0,2.0,3.0,11.0,,14.0,1.0,6.0,4.0,,10.0,1.0,8.0,4.0,4.0,2.0,4.0,3.0,,0.5714285714285714,0.375,0.55,0.5909090909090909,0.75,,0.5238095238095238,0.48148148148148145,0.6666666666666666,0.75,0.6666666666666666,0.7058823529411765,0.38461538461538464,0.38461538461538464,0.6,0.11320754716981132,0.5,0.5,0.6666666666666666,0.7,0.5714285714285714,0.5,0.6,0.5,0.6368277777777778,0.07017543859649122,0.08695652173913043,0.21666666666666667,,1.0,,4.0,2.0,2.0,3.0,2.0,,,,,2.0,,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,0.1,,1.0,0.3333333333333333,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.09090909090909091,1.0,0.5555555555555556,0.3333333333333333,0.12,0.1,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
1627936-1628470-1628975-202696-203897,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Nikola Vucevic, Zach LaVine","Caruso, Craig, Carter, Vucevic, LaVine",1627936-1628470-1628975-202696-203897,CHI,260.0,4,1.0,11.0,,21.0,,,,,,1.0,8.0,,,,,,3.0,,6.0,4.0,3.0,8.0,,,,,,,0.36363636363636365,,0.36363636363636365,,0.09090909090909091,116.30769230769232,14.363636363636363,14.363636363636363,,,,,,,0.5454545454545454,0.5264181818181819,,,26.9,,4.0,10.0,5.0,1.0,4.0,1.0,4.0,10.0,7.0,6.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,,1.0,,,,0.75,0.75,0.4,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,10.2,10.2,0.45454545454545453,0.36363636363636365,0.25,0.25,1.0,0.09090909090909091,5.64,3.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,0.16666666666666666,0.14285714285714285,0.3333333333333333,1.0,0.4,0.5,1.0,1.0,,0.09090909090909091,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,False
