EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FtPoints,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,PenaltyFg3Pct,Fg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,LongMidRangeAssists,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChancePointsPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyFG2M,PenaltyFtPoints,HeaveAttempts,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimPctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Charge Fouls,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceTurnovers,OffArc3ReboundPct,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,DefensiveGoaltends,StepOutOfBoundsTurnovers,PtsPutbacks,Corner3PctBlocked,SecondChanceFtPoints,Travels,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1628365-1628371-1628976-1630591-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Jalen Suggs, Joe Ingles","Fultz, Isaac, Carter Jr., Suggs, Ingles",1628365-1628371-1628976-1630591-204060,ORL,54.0,1,1.0,3.0,3,2.0,5,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.5,0.5,0.75,0.75,1.0,1.0,1.0,1.0,133.33333333333334,6.0,18.0,6.0,18.0,1.0,0.5,0.5,1.0,0.5,0.5541,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630175-1630532,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Cole Anthony, Franz Wagner","Fultz, Isaac, Wagner, Anthony, Wagner",1628365-1628371-1629021-1630175-1630532,ORL,663.0,3,11.0,-10.0,22,21.0,43,4.0,7.0,5.0,9.0,23.0,6.0,7.0,4.0,1.0,3.0,4.0,1.0,,23.0,0.5555555555555556,0.5555555555555556,0.5526315789473685,0.5476190476190477,0.47368421052631576,0.2,0.375,,93.39366515837104,15.727272727272727,15.095238095238095,15.681818181818182,14.380952380952381,0.3684210526315789,0.5714285714285714,0.5714285714285714,0.631578947368421,0.5714285714285714,0.4929894736842105,25.955555555555556,10.0,13.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,3.0,6.0,3.0,10.0,2.0,33.0,1.0,4.0,3.0,7.0,9.0,6.0,9.0,2.0,3.0,3.0,6.0,2.0,1.0,2.0,1.0,15.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,0.6,0.42857142857142855,0.3,0.4090909090909091,0.4090909090909091,0.2,0.4,0.5,0.14285714285714285,0.6666666666666666,0.1,0.5,0.5,0.5,1.0,0.15789473684210525,0.6666666666666666,0.6666666666666666,1.0,0.2631578947368421,0.2,0.3333333333333333,1.0,0.10526315789473684,0.10526315789473684,0.5,0.5,1.0,0.5,1.0,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.5,0.5907,0.46035000000000004,0.09523809523809523,0.16666666666666666,0.391304347826087,7.13,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630175-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Cole Anthony, Joe Ingles","Fultz, Isaac, Wagner, Anthony, Ingles",1628365-1628371-1629021-1630175-204060,ORL,1447.0,5,24.0,-16.0,43,41.0,84,4.0,17.0,4.0,18.0,33.0,9.0,17.0,4.0,4.0,14.0,18.0,3.0,1.0,31.0,0.2222222222222222,0.2222222222222222,0.38461538461538464,0.4024390243902439,0.46153846153846156,0.4,0.6190476190476191,1.0,83.59364201796821,17.069767441860463,17.390243902439025,16.58139534883721,16.634146341463413,0.4358974358974359,0.23529411764705882,0.23529411764705882,0.6666666666666666,0.23529411764705882,0.49971282051282057,26.08888888888889,2.0,,3.0,4.0,8.0,2.0,,3.0,8.0,5.0,,1.0,,,,9.0,21.0,3.0,49.0,3.0,2.0,,,,14.0,3.0,1.0,7.0,1.0,8.0,1.0,,3.0,2.0,17.0,4.0,9.0,4.0,2.0,4.0,3.0,2.0,6.0,,3.0,10.0,,12.0,,4.0,2.0,3.0,2.0,3.0,,2.0,,0.7777777777777778,0.7777777777777778,0.25,,0.42857142857142855,,,0.047619047619047616,0.125,0.6666666666666666,0.3333333333333333,0.8181818181818182,0.15384615384615385,,0.4,0.875,0.6666666666666666,0.20512820512820512,0.5,0.5,0.75,0.20512820512820512,0.375,0.42857142857142855,0.6666666666666666,0.1282051282051282,0.02564102564102564,,,,0.25,0.5,,,,,0.4563875,0.45575,0.04878048780487805,0.08695652173913043,,7.419047619047619,0.046511627906976744,2.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.25,1.0,0.5,0.4,0.25,0.04,0.3333333333333333,0.4,0.4,1.0,0.25,0.06060606060606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630532-1630591,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Franz Wagner, Jalen Suggs","Fultz, Isaac, Wagner, Wagner, Suggs",1628365-1628371-1629021-1630532-1630591,ORL,474.0,3,8.0,-3.0,16,16.0,32,1.0,3.0,1.0,5.0,16.0,,2.0,1.0,2.0,7.0,9.0,1.0,,14.0,0.2,0.25,0.4090909090909091,0.5357142857142857,0.45454545454545453,0.6666666666666666,0.6,1.0,97.21518987341771,14.0,15.625,13.8125,13.625,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.8181818181818182,0.5,0.61409,28.080000000000002,11.0,12.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,,,2.0,2.0,1.0,3.0,3.0,6.0,7.0,19.0,2.0,4.0,1.0,5.0,11.0,4.0,3.0,,2.0,1.0,3.0,1.0,,1.0,1.0,7.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,,6.0,,8.0,3.0,,,,11.0,11.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.2,0.5,0.3888888888888889,0.5,,,0.5,0.6666666666666666,0.5714285714285714,0.3333333333333333,,,0.6,0.5,0.36363636363636365,0.5,0.5,0.5,0.18181818181818182,0.5,0.5,1.0,,0.18181818181818182,,,,1.0,1.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.73715,0.65355,0.23076923076923078,0.375,0.6875,3.75,0.6875,,,1.0,,2.0,2.0,,1.0,1.0,,1.0,,,,,,,0.5,0.5,0.5,1.0,1.0,,1.0,0.16666666666666666,,,,,,0.125,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630532-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Franz Wagner, Paolo Banchero","Fultz, Isaac, Wagner, Wagner, Banchero",1628365-1628371-1629021-1630532-1631094,ORL,29.0,1,,-3.0,1,2.0,3,,,,,,,,,,1.0,1.0,,,,,,,,,,,,148.9655172413793,9.0,10.0,9.0,10.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630591-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Jalen Suggs, Paolo Banchero","Fultz, Isaac, Wagner, Suggs, Banchero",1628365-1628371-1629021-1630591-1631094,ORL,32.0,1,1.0,,1,1.0,2,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,0.5,,90.0,11.0,21.0,11.0,6.0,,,,1.0,,0.4197,22.4,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630591-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Jalen Suggs, Joe Ingles","Fultz, Isaac, Wagner, Suggs, Ingles",1628365-1628371-1629021-1630591-204060,ORL,160.0,1,3.0,-6.0,4,5.0,9,1.0,1.0,1.0,1.0,7.0,,1.0,1.0,,,1.0,,,4.0,1.0,1.0,0.625,0.5833333333333334,0.25,,,,81.0,23.25,13.4,22.75,13.4,0.25,1.0,1.0,0.25,1.0,0.4572125,24.5,,,1.0,,,,,1.0,3.0,,,,,,,1.0,3.0,2.0,13.0,,,,,,2.0,3.0,,1.0,1.0,2.0,1.0,,,1.0,5.0,1.0,,1.0,,,,,,,2.0,2.0,,2.0,,4.0,2.0,,,,,,,1.0,1.0,1.0,,0.3333333333333333,,,,,,0.5,,0.5,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,1.0,,,,,,0.56085,,0.3333333333333333,0.4,,10.1,,,1.0,,1.0,3.0,,,,,,,,,,,,,,1.5,1.5,,,0.5,,,,,,,1.0,0.42857142857142855,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1631094-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Paolo Banchero, Joe Ingles","Fultz, Isaac, Wagner, Banchero, Ingles",1628365-1628371-1629021-1631094-204060,ORL,46.0,1,1.0,-1.0,2,2.0,4,,,,,2.0,,,,,,,,,2.0,,,1.0,1.0,,,,,125.21739130434781,12.0,11.0,12.0,11.0,,,,,,0.4481,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,12.1,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1630175-1630532-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Cole Anthony, Franz Wagner, Paolo Banchero","Fultz, Isaac, Anthony, Wagner, Banchero",1628365-1628371-1630175-1630532-1631094,ORL,161.0,1,3.0,-3.0,4,5.0,9,,1.0,,1.0,2.0,,1.0,,1.0,3.0,4.0,,,,,,0.25,0.25,0.25,1.0,1.0,,80.4968944099379,20.0,16.2,18.0,16.2,0.25,,,0.5,,0.495025,26.7,,2.0,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,3.0,,5.0,1.0,,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,0.6666666666666666,1.0,1.0,0.5,1.0,0.3333333333333333,,,,1.0,0.25,,,,0.25,,,,0.25,,,,,,,,,,,0.4558,,,,,7.966666666666666,,1.0,,1.0,,2.0,2.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1630175-1631094-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Cole Anthony, Paolo Banchero, Joe Ingles","Fultz, Isaac, Anthony, Banchero, Ingles",1628365-1628371-1630175-1631094-204060,ORL,44.0,1,1.0,2.0,2,2.0,4,,,,,5.0,,,,,,,,,5.0,,,1.0,1.25,,,,,130.9090909090909,7.5,14.5,7.5,14.5,,,,,,0.4426,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,6.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
