EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,FtPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPossPct,LongMidRangeFGM,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,LostBallSteals,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChancePointsPct,PenaltyPointsPct,DefCorner3ReboundPct,PenaltyDefPoss,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangeFGM,FTDefRebounds,DefFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LongMidRangeAssists,LongMidRangePctAssisted,PenaltyCorner3FGA,PtsUnassisted3s,ShortMidRangeAssists,2pt And 1 Free Throw Trips,OffCorner3ReboundPct,ShortMidRangePctAssisted,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,SelfOReb,SecondChanceFg2Pct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,LongMidRangePctBlocked,SecondChanceFtPoints,Charge Fouls,OffAtRimReboundPct,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,AtRimPctBlocked,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,BlockingFouls,BlockedAtRim,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,HeaveAttempts,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,3SecondViolations,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,BlockingFoulsDrawn,DefensiveGoaltends,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls,BlockedLongMidRange,Corner3PctBlocked,team_id,year,season,team_vs
1626166-1626170-1626171-1626245-1627756,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, Denzel Valentine","Payne, Grant, Portis, Felicio, Valentine",1626166-1626170-1626171-1626245-1627756,CHI,176.0,2,3.0,-1.0,6.0,5.0,11.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,0.5,0.4,0.4,0.2,0.25,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,90.0,13.166666666666666,19.4,13.166666666666666,19.0,0.4,1.0,1.0,1.0,0.2,0.2,0.2,0.6,0.56423,7.175,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
1626166-1626170-1626171-1626245-1627853,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, Ryan Arcidiacono","Payne, Grant, Portis, Felicio, Arcidiacono",1626166-1626170-1626171-1626245-1627853,CHI,296.0,1,5.0,,9.0,9.0,18.0,,,2.0,1.0,3.0,,3.0,4.0,8.0,8.0,,3.0,1.0,,2.0,,6.0,1.0,2.0,3.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,,8.0,,,,,0.42857142857142855,0.5,0.5714285714285714,0.3333333333333333,0.5,1.0,1.0,1.0,,1.0,87.56756756756756,19.77777777777778,13.11111111111111,16.11111111111111,13.11111111111111,,,,,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.46621428571428575,13.333333333333334,24.825,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,0.6,0.5,1.0,0.5,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.505,0.4358,0.125,0.25,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
1626166-1626170-1626171-1626245-1628021,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, David Nwaba","Payne, Grant, Portis, Felicio, Nwaba",1626166-1626170-1626171-1626245-1628021,CHI,76.0,2,1.0,-9.0,3.0,4.0,7.0,,,,,1.0,,,1.0,,9.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,132.63157894736844,14.666666666666666,8.0,14.666666666666666,8.0,,,,,,,1.0,1.0,0.54345,,26.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
1626166-1626170-1626171-1626245-203200,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, Justin Holiday","Payne, Grant, Portis, Felicio, Holiday",1626166-1626170-1626171-1626245-203200,CHI,354.0,1,6.0,-9.0,14.0,13.0,27.0,,,1.0,3.0,7.0,1.0,4.0,7.0,9.0,18.0,,7.0,,,2.0,,6.0,3.0,1.0,4.0,5.0,1.0,,1.0,3.0,,1.0,,6.0,,,,0.25,0.36363636363636365,0.375,0.6363636363636364,,,0.5,0.75,0.6666666666666666,,0.75,109.83050847457626,13.571428571428571,12.615384615384615,13.142857142857142,12.0,,,,,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.6363636363636364,0.4699818181818182,15.8,25.571428571428573,13.0,2.0,,,2.0,1.0,2.0,1.0,,1.0,4.0,6.0,2.0,2.0,2.0,,1.0,,1.0,2.0,,,2.0,,1.0,3.0,3.0,,,2.0,1.0,13.0,1.0,0.2857142857142857,0.2857142857142857,0.6666666666666666,,0.2,0.125,,,0.2,1.0,,,,,,0.2857142857142857,0.2857142857142857,1.0,1.0,0.2857142857142857,0.4677,0.47020999999999996,0.08333333333333333,0.2,0.9285714285714286,1.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,6.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,0.16666666666666666,0.25,1.5,0.25,1.5,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6,0.16666666666666666,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
1626166-1626170-1626171-1626245-203930,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, Sean Kilpatrick","Payne, Grant, Portis, Felicio, Kilpatrick",1626166-1626170-1626171-1626245-203930,CHI,83.0,2,1.0,-1.0,4.0,3.0,7.0,1.0,1.0,,3.0,,1.0,4.0,,2.0,3.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,,2.0,,1.0,1.0,0.25,0.25,0.25,,,,,1.0,1.0,,,121.44578313253012,10.75,13.333333333333334,10.75,13.333333333333334,0.25,1.0,1.0,1.0,,0.75,,0.25,0.5055,12.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
1626166-1626170-1626171-1627756-1628021,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Denzel Valentine, David Nwaba","Payne, Grant, Portis, Valentine, Nwaba",1626166-1626170-1626171-1627756-1628021,CHI,43.0,1,1.0,-2.0,2.0,2.0,4.0,,,2.0,,,,2.0,,,2.0,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,0.5,0.5,,,,,,133.95348837209303,19.5,2.0,19.5,2.0,,,,,1.0,,,,0.37795,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
1626166-1626170-1626171-1627756-203943,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Denzel Valentine, Noah Vonleh","Payne, Grant, Portis, Valentine, Vonleh",1626166-1626170-1626171-1627756-203943,CHI,79.0,1,1.0,-4.0,3.0,4.0,7.0,,,,1.0,1.0,,1.0,1.0,2.0,6.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,0.3333333333333333,0.5,,,1.0,,1.0,,,127.59493670886076,7.666666666666667,14.0,7.666666666666667,14.0,,,,,,0.5,0.5,0.5,0.4407,19.2,25.2,3.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.4407,,,1.0,,,,1.0,,,,,1.0,2.0,2.0,,,,,,2.0,,,,,,,0.3333333333333333,,,,,0.5,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
1626166-1626170-1626171-1627835-1628021,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Paul Zipser, David Nwaba","Payne, Grant, Portis, Zipser, Nwaba",1626166-1626170-1626171-1627835-1628021,CHI,12.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
1626166-1626170-1626171-1628021-203930,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, David Nwaba, Sean Kilpatrick","Payne, Grant, Portis, Nwaba, Kilpatrick",1626166-1626170-1626171-1628021-203930,CHI,80.0,1,1.0,2.0,3.0,3.0,6.0,1.0,1.0,2.0,,,3.0,3.0,,6.0,4.0,2.0,,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,6.0,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,108.0,12.666666666666666,14.0,12.666666666666666,14.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,,,0.3333333333333333,0.4264666666666667,4.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
1626166-1626170-1626171-1628021-203943,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, David Nwaba, Noah Vonleh","Payne, Grant, Portis, Nwaba, Vonleh",1626166-1626170-1626171-1628021-203943,CHI,81.0,1,1.0,-4.0,3.0,3.0,6.0,,,,1.0,2.0,,1.0,2.0,3.0,7.0,,2.0,,,1.0,,3.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,2.0,1.0,3.0,,,,,0.5,0.5,0.6666666666666666,,,,1.0,1.0,,1.0,106.66666666666666,15.0,12.0,13.333333333333334,12.0,,,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5185000000000001,14.6,25.2,,1.0,,,1.0,,1.0,,1.0,,,3.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,0.5,0.5,,,1.0,0.5,,,1.0,,,,,,,0.5,0.5,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2018,2017-18,False
