EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,ShortMidRangeAssists,LongMidRangeAssists,ShootingFouls,BlockedLongMidRange,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,OffThreePtRebounds,BlockedAtRim,SecondChanceFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyFtPoints,ShortMidRangePctBlocked,PtsUnassisted3s,Loose Ball Fouls,Offensive Fouls Drawn,LongMidRangePctBlocked,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,DefCorner3ReboundPct,SecondChanceArc3FGM,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallSteals,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Travels,PenaltyTurnovers,BlockingFouls,SecondChanceFtPoints,SelfOReb,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,OffCorner3ReboundPct,SelfORebPct,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,Technical Free Throw Trips,BlockedArc3,Corner3PctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,DefensiveGoaltends,Charge Fouls Drawn,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
101181-1626204-1626224-1627790-203903,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Ante Zizic, Jordan Clarkson","Calderon, Nance Jr., Osman, Zizic, Clarkson",101181-1626204-1626224-1627790-203903,CLE,482.0,2,8.0,7.0,16.0,16.0,1.0,16.0,3.0,32,4.0,6.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,10.0,1.0,5.0,3.0,14.0,7.0,2.0,2.0,4.0,2.0,6.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,1.0,8.0,3.0,11.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,10.0,1.0,1.0,0.25,0.5,1.0,0.2,0.2,0.4,1.0,0.36666666666666664,1.0,0.4117647058823529,1.0,0.3333333333333333,0.1,0.16666666666666666,1.0,1.0,0.7142857142857143,0.3333333333333333,1.0,0.7777777777777778,0.2,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,95.60165975103735,0.5,16.4375,13.6875,16.25,13.4375,0.4,0.6666666666666666,0.8,0.25,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.2,0.2,1.0,1.0,1.0,0.7333333333333333,0.2,0.5298466666666667,0.6989,0.11764705882352941,0.16666666666666666,0.2857142857142857,5.83,26.939999999999998,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-1626224-1627790-203918,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Ante Zizic, Rodney Hood","Calderon, Nance Jr., Osman, Zizic, Hood",101181-1626204-1626224-1627790-203918,CLE,272.0,2,5.0,1.0,9.0,10.0,7.0,6.0,1.0,19,1.0,1.0,1.0,1.0,3.0,3.0,,2.0,3.0,7.0,,3.0,,6.0,5.0,1.0,2.0,2.0,4.0,2.0,,2.0,2.0,,,2.0,,2.0,,,4.0,2.0,,3.0,1.0,,4.0,2.0,6.0,,,,,,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,4.0,7.0,,0.6666666666666666,1.0,,,,0.42857142857142855,0.5,0.3,0.5,0.2727272727272727,0.5,0.3,,,,,0.5,0.5,1.0,0.8,0.2857142857142857,,0.5,,,1.0,1.0,100.58823529411765,1.0,14.555555555555555,14.1,13.222222222222221,13.8,0.1,1.0,1.0,,0.3,0.3,0.2,,,,0.5,1.0,0.4,,0.404415,0.41995,0.09090909090909091,0.125,0.3333333333333333,13.057142857142859,28.46666666666667,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.1,0.1111111111111111,1.0,0.2222222222222222,0.38385,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-1626224-201145-203903,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Jeff Green, Jordan Clarkson","Calderon, Nance Jr., Osman, Green, Clarkson",101181-1626204-1626224-201145-203903,CLE,131.0,1,2.0,5.0,4.0,4.0,,4.0,1.0,8,,1.0,,,,,1.0,3.0,,1.0,2.0,4.0,2.0,8.0,3.0,,,3.0,,,6.0,,3.0,1.0,1.0,,2.0,2.0,1.0,,6.0,1.0,,,2.0,,2.0,2.0,4.0,,,,,,,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,5.0,,,,,1.0,0.5,0.5,,,0.6,0.75,0.6666666666666666,0.75,0.8,1.0,1.0,,,1.0,1.0,,1.0,0.6666666666666666,1.0,,1.0,,,,87.93893129770993,1.0,19.75,13.0,11.75,13.0,0.2,,,,,,0.6,0.3333333333333333,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.57369,0.34845,0.16666666666666666,0.5,0.375,0.6,26.05,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,0.2,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-1626224-201145-203918,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Jeff Green, Rodney Hood","Calderon, Nance Jr., Osman, Green, Hood",101181-1626204-1626224-201145-203918,CLE,169.0,2,3.0,1.0,6.0,5.0,4.0,3.0,,11,,,,,3.0,,,,1.0,3.0,,,3.0,5.0,4.0,,,,,2.0,,,,,1.0,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,,,1.0,2.0,4.0,2.0,,,,,5.0,4.0,,,,,,,0.3333333333333333,,0.3333333333333333,,0.5,,,0.3333333333333333,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,93.72781065088756,,9.0,23.0,9.0,23.0,,,,,1.0,,,,,,,,,,0.39430000000000004,,0.4,0.4,,10.233333333333333,,0.6666666666666666,,,1.0,,,,1.0,2.0,,3.0,,,,,3.0,0.5,0.5,0.5,,0.3333333333333333,0.5,,,,,,,,,0.3905,0.6,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-1626224-203918-2594,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Rodney Hood, Kyle Korver","Calderon, Nance Jr., Osman, Hood, Korver",101181-1626204-1626224-203918-2594,CLE,143.0,1,2.0,-2.0,4.0,5.0,4.0,5.0,,9,2.0,2.0,,,,1.0,,1.0,2.0,3.0,,1.0,,4.0,6.0,,,,4.0,,,,1.0,,,2.0,,2.0,,2.0,4.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,,,,0.6666666666666666,,0.5,,0.5,,0.25,,,,,0.5,,,0.3333333333333333,,,,,1.0,,,90.62937062937063,1.0,12.5,18.6,12.5,15.6,0.5,1.0,1.0,1.0,,0.25,0.25,,,,,,0.75,,0.5506125,,,,,8.4,25.5,1.0,2.0,2.0,,,,1.0,2.0,3.0,1.0,4.0,,,,,4.0,0.6666666666666666,0.5,0.5,,,,,,,,,0.5,1.0,0.25,0.5506125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-201145-203903-203918,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, Jordan Clarkson, Rodney Hood","Calderon, Nance Jr., Green, Clarkson, Hood",101181-1626204-201145-203903-203918,CLE,138.0,1,2.0,-1.0,4.0,4.0,,,1.0,8,,1.0,,1.0,,1.0,1.0,2.0,,2.0,1.0,3.0,,3.0,4.0,,1.0,,,,,,2.0,1.0,2.0,,,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,3.0,1.0,,,1.0,1.0,1.0,,3.0,,,,,,0.3333333333333333,0.3333333333333333,,,0.3,,0.3,,0.6,1.0,1.0,,,,,0.5,0.3333333333333333,0.25,,,,,,0.5,83.47826086956522,,14.5,20.0,14.25,14.75,0.2,,,,,0.2,0.4,0.5,0.5,,1.0,,0.8,0.5,0.51278,,,,,8.75,25.433333333333334,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,0.2,,,,,,,,,,,,,1.0,,,0.5,1.0,,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-201145-203918-2544,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, Rodney Hood, LeBron James","Calderon, Nance Jr., Green, Hood, James",101181-1626204-201145-203918-2544,CLE,44.0,1,1.0,-3.0,1.0,2.0,1.0,2.0,,3,,,,,,,,,,,,,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,98.18181818181819,,13.0,15.5,13.0,15.5,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-201145-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, LeBron James, JR Smith","Calderon, Nance Jr., Green, James, Smith",101181-1626204-201145-2544-2747,CLE,134.0,1,2.0,-1.0,5.0,4.0,,4.0,,9,,,,,2.0,,,1.0,1.0,2.0,,1.0,2.0,4.0,5.0,,,,2.0,,,,1.0,,,1.0,,1.0,,,2.0,,,1.0,,1.0,2.0,,2.0,,,,,1.0,,1.0,2.0,2.0,1.0,,,,,4.0,,,1.0,1.0,,,,0.5,,0.3333333333333333,,0.5,,0.3333333333333333,,,1.0,,,,1.0,0.5,,,,,,,,96.71641791044776,,17.8,11.25,17.8,11.25,,,,,0.6666666666666666,,0.3333333333333333,,,,,,0.3333333333333333,,0.43933333333333335,,0.25,0.3333333333333333,,10.2,26.1,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-201567-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Kevin Love, LeBron James, JR Smith","Calderon, Nance Jr., Love, James, Smith",101181-1626204-201567-2544-2747,CLE,313.0,1,5.0,1.0,11.0,11.0,,4.0,3.0,22,2.0,2.0,,,,,1.0,5.0,2.0,2.0,1.0,7.0,2.0,9.0,8.0,,,3.0,4.0,,3.0,,5.0,1.0,,2.0,1.0,3.0,1.0,2.0,7.0,,,3.0,2.0,,5.0,3.0,8.0,,,,2.0,4.0,1.0,7.0,1.0,2.0,1.0,1.0,,1.0,1.0,6.0,,2.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,,0.3888888888888889,0.75,0.45,0.75,0.7777777777777778,,,,,1.0,,0.75,0.8333333333333334,0.5,,,1.0,,1.0,0.75,101.21405750798722,1.0,16.09090909090909,12.363636363636363,14.818181818181818,11.727272727272727,0.2222222222222222,1.0,1.0,1.0,,,0.5555555555555556,0.2,0.2,1.0,,,1.0,0.2,0.5231833333333333,,0.1,0.3333333333333333,0.3333333333333333,1.9,25.985714285714288,,,,,,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,0.2222222222222222,,,,,,,,,2.0,1.0,2.0,,3.0,,0.5,0.5,0.75,,,,,,,1.0,,,,2.0,,,2.0,,0.5,,1.0,2.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
101181-1626204-203918-2544-2594,1610612739,"Jose Calderon, Larry Nance Jr., Rodney Hood, LeBron James, Kyle Korver","Calderon, Nance Jr., Hood, James, Korver",101181-1626204-203918-2544-2594,CLE,99.0,1,2.0,,3.0,3.0,,,,6,,,,,,1.0,,,1.0,1.0,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,2.0,,1.0,,,,,,,,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,0.5,,,0.3333333333333333,,,,0.5,,,,87.27272727272728,,12.333333333333334,20.666666666666668,12.333333333333334,20.333333333333332,,,,,,1.0,,,,,,,,,0.351,,,,,19.6,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,False
