EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,Steals,LostBallSteals,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,DefAtRimReboundPct,DeadBallTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnovers,LostBallTurnovers,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,DefThreePtRebounds,BadPassTurnovers,DefThreePtReboundPct,DefArc3ReboundPct,StepOutOfBoundsTurnovers,Arc3Assists,BadPassSteals,DefCorner3ReboundPct,Arc3PctAssisted,LongMidRangeAssists,FTDefRebounds,DefFTReboundPct,LongMidRangePctAssisted,ShortMidRangeFGM,PtsPutbacks,OffTwoPtRebounds,SelfOReb,OffTwoPtReboundPct,OffAtRimReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,Offensive Fouls,Offensive Fouls Drawn,ShortMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,Charge Fouls,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,BlockingFoulsDrawn,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,3SecondViolations,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,HeaveAttempts,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,DefensiveGoaltends,Corner3PctBlocked,OffensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
101109-1626177-1628390-202331-203924,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Paul George, Jerami Grant","Felton, Johnson, Ferguson, George, Grant",101109-1626177-1628390-202331-203924,OKC,282.0,1,5.0,-2.0,9.0,9.0,5.0,3.0,1.0,18.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,1.0,3.0,9.0,11.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,5.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,7.0,5.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,1.0,0.5,0.375,1.0,0.5,0.5,1.5,0.7,0.125,0.14285714285714285,0.3333333333333333,0.8,1.0,0.8,0.2,1.0,1.0,1.0,91.91489361702128,1.0,16.444444444444443,14.88888888888889,15.0,14.88888888888889,0.375,0.6666666666666666,1.0,0.5,0.125,0.375,0.3333333333333333,0.3333333333333333,0.125,1.0,1.0,0.25,1.0,0.5,0.46625,0.4337,0.396275,0.2222222222222222,0.25,0.3333333333333333,0.7777777777777778,10.042857142857143,26.8,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-1628390-202335-203518,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Patrick Patterson, Alex Abrines","Felton, Johnson, Ferguson, Patterson, Abrines",101109-1626177-1628390-202335-203518,OKC,26.0,1,,,1.0,1.0,,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,110.76923076923076,,13.0,13.0,13.0,13.0,,,,,,,,,1.0,,,,,1.0,0.51765,,,,,,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-1628390-202713-203460,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Kyle Singler, Andre Roberson","Felton, Johnson, Ferguson, Singler, Roberson",101109-1626177-1628390-202713-203460,OKC,146.0,1,2.0,5.0,6.0,6.0,6.0,4.0,,12.0,1.0,1.0,,,1.0,1.0,,,,3.0,1.0,1.0,4.0,2.0,10.0,5.0,,,,,1.0,1.0,2.0,10.0,2.0,,3.0,,1.0,2.0,1.0,5.0,,1.0,1.0,,1.0,,2.0,1.0,2.0,,1.0,,,,,,10.0,10.0,6.0,1.0,1.0,1.0,,1.0,0.8,,0.8,0.8333333333333334,,0.8333333333333334,0.8,,,1.0,,1.0,,,,1.0,118.35616438356165,,9.333333333333334,15.0,9.333333333333334,15.0,0.2,1.0,1.0,1.0,,,,,0.6,,,0.2,1.0,1.0,0.50966,,0.50966,0.16666666666666666,0.5,,1.0,1.6,25.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.2,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,1.0,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-1628390-202713-203924,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Kyle Singler, Jerami Grant","Felton, Johnson, Ferguson, Singler, Grant",101109-1626177-1628390-202713-203924,OKC,81.0,1,1.0,,2.0,3.0,2.0,,,5.0,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,2.0,2.0,,,,,1.0,1.0,,2.0,2.0,,,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,0.5,,0.5,0.5,,0.5,0.5,,,1.0,,1.0,,,,,88.88888888888889,,12.0,19.0,12.0,19.0,0.5,1.0,1.0,1.0,,,,,,,,0.5,1.0,1.0,0.617675,,0.617675,,,,1.0,1.3,22.6,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-1628390-202713-203962,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Kyle Singler, Josh Huestis","Felton, Johnson, Ferguson, Singler, Huestis",101109-1626177-1628390-202713-203962,OKC,49.0,1,1.0,-2.0,2.0,1.0,2.0,,,3.0,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,88.16326530612245,,20.0,9.0,20.0,9.0,,,,,,1.0,,,,,,,,,0.3625,,0.3625,,,,,19.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-1628390-203518-203924,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Alex Abrines, Jerami Grant","Felton, Johnson, Ferguson, Abrines, Grant",101109-1626177-1628390-203518-203924,OKC,32.0,2,1.0,,2.0,1.0,2.0,,,3.0,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,1.0,,2.0,2.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,135.0,,9.0,14.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-1628390-203518-203962,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Alex Abrines, Josh Huestis","Felton, Johnson, Ferguson, Abrines, Huestis",101109-1626177-1628390-203518-203962,OKC,154.0,1,3.0,,5.0,6.0,5.0,6.0,,11.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,2.0,,2.0,4.0,4.0,,,,,1.0,2.0,2.0,4.0,2.0,,,,1.0,1.0,1.0,2.0,,,1.0,,1.0,,1.0,2.0,2.0,1.0,1.0,,,,,,4.0,4.0,5.0,1.0,1.0,0.5,,0.5,0.5,,0.5,0.6666666666666666,,0.6666666666666666,,,,,,0.2,,,,,102.85714285714285,,12.0,15.666666666666666,12.0,9.666666666666666,0.5,1.0,1.0,1.0,,0.5,,,,,,0.5,1.0,0.5,0.5677,,0.5677,0.5,0.5,,1.0,10.4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,2.0,1.0,1.0,,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-1628390-203924-203962,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Jerami Grant, Josh Huestis","Felton, Johnson, Ferguson, Grant, Huestis",101109-1626177-1628390-203924-203962,OKC,16.0,1,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,180.0,,6.0,10.0,6.0,10.0,,,,,,,,,1.0,,,,,1.0,0.4914,,0.4914,,,,,,24.2,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-1628390-203962-2555,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Josh Huestis, Nick Collison","Felton, Johnson, Ferguson, Huestis, Collison",101109-1626177-1628390-203962-2555,OKC,41.0,1,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,70.2439024390244,,19.0,22.0,19.0,22.0,,,,,1.0,,,,,,,,,,0.3486,,0.3486,,,,,12.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
101109-1626177-201566-202331-2546,1610612760,"Raymond Felton, Dakari Johnson, Russell Westbrook, Paul George, Carmelo Anthony","Felton, Johnson, Westbrook, George, Anthony",101109-1626177-201566-202331-2546,OKC,68.0,1,1.0,1.0,2.0,2.0,2.0,,,4.0,,,,,,,,,,1.0,,,1.0,2.0,2.0,1.0,,,1.0,1.0,,,2.0,2.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,,1.0,,,,,,1.0,2.0,2.0,,,,,,,,,0.3333333333333333,0.5,0.3333333333333333,1.0,,,1.0,1.0,0.5,1.0,1.0,,1.0,84.70588235294117,,24.5,9.5,23.0,6.0,,,,,,,,,1.0,,,,,1.0,0.5259,,0.5259,0.5,1.0,0.5,1.0,,25.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,True
