EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,Offensive Fouls,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,BlockedLongMidRange,Assisted2sPct,NonPutbacksAssisted2sPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,SelfOReb,LostBallSteals,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BadPassOutOfBoundsTurnovers,SecondChanceFtPoints,ShortMidRangePctBlocked,PenaltyCorner3FGA,PenaltyCorner3Frequency,LostBallTurnovers,SecondChanceAtRimPctAssisted,FTDefRebounds,DefFTReboundPct,Charge Fouls,Blocked3s,BlockedArc3,PenaltyCorner3FGM,FTOffRebounds,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,3SecondViolations,OffFTReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,Travels,team_id,year,season,team_vs
101133-1626162-201951-202322-203118,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, John Wall, Mike Scott","Mahinmi, Oubre Jr., Lawson, Wall, Scott",101133-1626162-201951-202322-203118,WAS,82.0,1,1.0,5.0,2.0,2.0,1.0,4,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,0.5,0.5,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.2439024390244,17.5,23.5,13.5,23.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.4647333333333334,0.4,20.1,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
101133-1626162-201951-202693-203078,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Markieff Morris, Bradley Beal","Mahinmi, Oubre Jr., Lawson, Morris, Beal",101133-1626162-201951-202693-203078,WAS,246.0,2,4.0,-2.0,9.0,9.0,1.0,18,,,1.0,2.0,1.0,5.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,2.0,3.0,1.0,4.0,5.0,1.0,0.5,0.5,0.2,1.0,0.35714285714285715,1.0,0.4375,1.0,0.2857142857142857,0.6666666666666666,,0.75,0.2,,,,105.3658536585366,13.666666666666666,13.666666666666666,13.666666666666666,13.444444444444445,,,,0.2857142857142857,0.5,0.5,1.0,0.7142857142857143,0.5,0.4505571428571429,0.2857142857142857,6.68,30.05,9.0,9.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,9.0,1.0,5.0,1.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,9.0,1.0,0.5,0.2,0.35714285714285715,0.4375,0.5,0.25,1.0,0.5,1.0,1.0,0.5,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.2857142857142857,1.0,1.0,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.5,0.6241,0.4505571428571429,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
101133-1626162-201951-203078-203118,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Bradley Beal, Mike Scott","Mahinmi, Oubre Jr., Lawson, Beal, Scott",101133-1626162-201951-203078-203118,WAS,242.0,1,4.0,8.0,11.0,9.0,1.0,20,,1.0,2.0,3.0,2.0,5.0,2.0,3.0,14.0,1.0,1.0,2.0,,3.0,3.0,2.0,1.0,3.0,1.0,7.0,,2.0,3.0,1.0,4.0,12.0,0.5,0.6666666666666666,0.6666666666666666,0.4,1.0,0.625,1.0,0.7,1.0,0.375,0.4,,0.5,0.25,,1.0,1.0,119.00826446280992,9.818181818181818,14.88888888888889,9.454545454545455,13.555555555555555,0.125,,,0.375,0.6666666666666666,0.6666666666666666,0.5,0.625,0.6666666666666666,0.487325,0.14285714285714285,8.120000000000001,25.7,3.0,7.0,1.0,2.0,,,,,2.0,1.0,2.0,4.0,6.0,,,1.0,2.0,,3.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,3.0,4.0,,3.0,,2.0,3.0,,3.0,3.0,,0.5,,0.75,0.75,,0.3333333333333333,1.0,,,,,0.25,0.5,0.5,0.25,,,,,1.0,0.5,0.4349,0.602625,0.21428571428571427,0.2727272727272727,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.2,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
101133-1626162-201951-203078-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Bradley Beal, Otto Porter Jr.","Mahinmi, Oubre Jr., Lawson, Beal, Porter Jr.",101133-1626162-201951-203078-203490,WAS,28.0,1,,,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.85714285714286,21.0,7.0,21.0,7.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
101133-1626162-201951-203107-203118,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Tomas Satoransky, Mike Scott","Mahinmi, Oubre Jr., Lawson, Satoransky, Scott",101133-1626162-201951-203107-203118,WAS,1093.0,3,18.0,14.0,35.0,36.0,8.0,71,2.0,7.0,2.0,4.0,17.0,32.0,4.0,7.0,54.0,1.0,6.0,8.0,8.0,9.0,3.0,2.0,3.0,16.0,1.0,35.0,2.0,4.0,14.0,10.0,24.0,46.0,0.75,0.5714285714285714,0.6666666666666666,0.53125,0.16666666666666666,0.5897435897435898,0.4444444444444444,0.627906976744186,0.4444444444444444,0.1794871794871795,0.8,1.0,0.8235294117647058,0.5882352941176471,1.0,0.6666666666666666,,93.54071363220496,15.028571428571428,15.75,13.685714285714285,15.722222222222221,0.1794871794871795,0.2857142857142857,0.3333333333333333,0.10256410256410256,0.5,0.5,0.5,0.6153846153846154,0.6666666666666666,0.5321907894736843,0.14814814814814814,7.309375,27.485714285714288,9.0,13.0,11.0,17.0,1.0,4.0,2.0,4.0,8.0,2.0,3.0,8.0,40.0,4.0,7.0,2.0,3.0,4.0,18.0,2.0,8.0,10.0,2.0,,2.0,2.0,1.0,,3.0,,3.0,8.0,11.0,9.0,2.0,1.0,,1.0,1.0,1.0,18.0,9.0,2.0,0.6666666666666666,0.5714285714285714,0.7,0.75,0.6666666666666666,0.5333333333333333,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,0.4358974358974359,0.6470588235294118,0.7857142857142857,0.20512820512820512,0.4444444444444444,0.25,0.4,0.5,0.3,0.6666666666666666,0.5593125,0.5533222222222222,0.3333333333333333,0.2571428571428571,4.0,26.0,3.0,13.0,9.0,2.0,,,3.0,,0.7647058823529411,0.8125,,0.8,0.8181818181818182,0.5,0.5,0.5,0.07317073170731707,0.08823529411764706,2.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.125,0.17647058823529413,0.14285714285714285,0.8,1.0,0.07692307692307693,1.0,0.07692307692307693,0.6666666666666666,0.6666666666666666,1.0,0.2222222222222222,0.5,1.0,0.1111111111111111,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
101133-1626162-201951-203107-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Tomas Satoransky, Otto Porter Jr.","Mahinmi, Oubre Jr., Lawson, Satoransky, Porter Jr.",101133-1626162-201951-203107-203490,WAS,131.0,1,2.0,,3.0,4.0,,7,,1.0,,1.0,,2.0,,1.0,,,,,,,1.0,,,,,,,2.0,3.0,,3.0,,,,,,,,,,,0.3333333333333333,1.0,,0.75,,,,,76.94656488549619,20.0,17.75,20.0,13.5,0.3333333333333333,,,0.3333333333333333,,,,0.3333333333333333,,0.3821333333333334,,9.9,30.1,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,0.5,,1.0,,1.0,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
101133-1626162-202322-203078-203118,1610612764,"Ian Mahinmi, Kelly Oubre Jr., John Wall, Bradley Beal, Mike Scott","Mahinmi, Oubre Jr., Wall, Beal, Scott",101133-1626162-202322-203078-203118,WAS,110.0,1,2.0,-2.0,4.0,4.0,,8,,,,1.0,3.0,3.0,,1.0,6.0,,,,6.0,,1.0,,,,,,,,,,,6.0,,,,1.0,,0.75,,0.75,,0.25,,,,,,,,104.72727272727273,16.5,11.0,16.5,11.0,,,,0.25,,,,0.75,,0.540125,,3.6999999999999997,25.2,,,2.0,2.0,,,,,1.0,,,,8.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,0.25,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
101133-1626162-202322-203078-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., John Wall, Bradley Beal, Otto Porter Jr.","Mahinmi, Oubre Jr., Wall, Beal, Porter Jr.",101133-1626162-202322-203078-203490,WAS,166.0,2,3.0,-3.0,7.0,6.0,,13,,,,2.0,,,,2.0,4.0,,,,,,2.0,,,,,,,2.0,2.0,,2.0,4.0,,,,,,,,0.5,,1.0,1.0,,1.0,,,1.0,,112.7710843373494,14.714285714285714,10.5,14.714285714285714,8.5,,,,1.0,,,,1.0,,0.516675,,,25.55,2.0,,,,,,,,,,,4.0,7.0,,,,,2.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,,,2.0,4.0,1.0,,,,,,2.0,2.0,1.0,,,,1.0,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,0.5,0.2857142857142857,,,,,,,,,1.0,,,,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
101133-1626162-202322-203107-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., John Wall, Tomas Satoransky, Otto Porter Jr.","Mahinmi, Oubre Jr., Wall, Satoransky, Porter Jr.",101133-1626162-202322-203107-203490,WAS,15.0,1,,-2.0,,1.0,,1,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,96.0,,13.0,,13.0,,,,1.0,,,,1.0,,,,,44.7,,1.0,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
101133-201951-202322-203107-203118,1610612764,"Ian Mahinmi, Ty Lawson, John Wall, Tomas Satoransky, Mike Scott","Mahinmi, Lawson, Wall, Satoransky, Scott",101133-201951-202322-203107-203118,WAS,185.0,1,3.0,4.0,6.0,6.0,1.0,12,,1.0,,,2.0,4.0,,,8.0,,,2.0,,,,,,2.0,,4.0,,2.0,3.0,,3.0,6.0,,,,0.5,,0.5,,0.6666666666666666,1.0,,0.6666666666666666,,0.75,,,1.0,1.0,93.4054054054054,16.166666666666668,14.666666666666666,13.833333333333334,14.333333333333334,0.25,,,,,,,0.5,,0.4952,0.25,7.55,,6.0,,1.0,2.0,,,1.0,2.0,1.0,,,4.0,4.0,2.0,4.0,,,4.0,8.0,,,1.0,,,,,,,,,,1.0,2.0,4.0,1.0,,,,,,8.0,6.0,1.0,,0.5,0.5,0.6666666666666666,,,1.0,,,,,0.5,0.5,0.5,0.25,,,0.5,0.5,,,,0.4952,1.0,1.0,1.0,4.0,,2.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,False
