EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,ShortMidRangeFrequency,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,DefThreePtRebounds,FTDefRebounds,BadPassTurnovers,DeadBallTurnovers,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Blocked2s,BlockedShortMidRange,Blocks,DefCorner3ReboundPct,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,ShortMidRangeAssists,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,OffTwoPtRebounds,SecondChanceFg2Pct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,Corner3FGM,FtPoints,PenaltyFtPoints,Corner3Assists,SelfOReb,Steals,BadPassSteals,LostBallSteals,StepOutOfBoundsTurnovers,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,BlockedAtRim,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,LostBallOutOfBoundsTurnovers,Travels,Blocked3s,BlockedCorner3,RecoveredBlocks,ShortMidRangePctBlocked,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Loose Ball Fouls Drawn,LongMidRangeAssists,BlockingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,3SecondViolations,SecondChanceFtPoints,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,PenaltyCorner3FGM,HeaveAttempts,Fg3aBlocked,Charge Fouls,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,BlockedLongMidRange,DefensiveGoaltends,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,OffensiveGoaltends,BlockedArc3,Technical Free Throw Trips,Defensive 3 Seconds Violations,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,Clear Path Fouls,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1626144-1626168-1627736-1627750-1627823,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez","Mudiay, Lyles, Beasley, Murray, Hernangomez",1626144-1626168-1627736-1627750-1627823,DEN,176.0,2,3.0,9.0,6.0,7.0,6.0,7.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,11.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,11.0,2.0,6.0,3.0,4.0,3.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,11.0,6.0,1.0,0.6666666666666666,0.75,1.0,0.75,0.75,0.5,0.5,0.9166666666666666,1.5,0.9166666666666666,0.9166666666666666,1.5,0.9166666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,1.0,106.36363636363637,11.333333333333334,15.428571428571429,11.166666666666666,15.142857142857142,0.16666666666666666,1.0,1.0,0.16666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,0.6666666666666666,0.75,0.8333333333333334,0.75,0.534175,0.534175,0.2727272727272727,1.0,12.55,25.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
1626144-1626168-1627736-1627750-200794,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Jamal Murray, Paul Millsap","Mudiay, Lyles, Beasley, Murray, Millsap",1626144-1626168-1627736-1627750-200794,DEN,34.0,1,1.0,-2.0,1.0,2.0,1.0,2.0,,3.0,,,,,,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.5,,0.5,,,1.0,127.05882352941177,21.0,6.5,21.0,5.5,,,,,,,,,,,,,,,,,,0.3784,0.3784,,,10.1,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
1626144-1626168-1627736-1627750-203115,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Jamal Murray, Will Barton","Mudiay, Lyles, Beasley, Murray, Barton",1626144-1626168-1627736-1627750-203115,DEN,179.0,1,3.0,-7.0,7.0,6.0,7.0,6.0,,13.0,2.0,3.0,2.0,3.0,1.0,,,,,,,2.0,4.0,,,4.0,11.0,,,,2.0,4.0,,,4.0,,,,,,,2.0,,4.0,,,2.0,,2.0,1.0,,2.0,2.0,2.0,4.0,,,,4.0,4.0,7.0,1.0,,,,,,0.5,0.5,0.5,,0.5,0.5,,0.5,,0.5,,,1.0,,,,104.58100558659217,16.428571428571427,10.666666666666666,16.428571428571427,10.666666666666666,0.75,0.6666666666666666,1.0,0.25,,,,,,,,0.75,0.6666666666666666,,,0.75,,0.398275,0.398275,,1.0,6.15,,1.0,,,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
1626144-1626168-1627736-1627750-2210,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Jamal Murray, Richard Jefferson","Mudiay, Lyles, Beasley, Murray, Jefferson",1626144-1626168-1627736-1627750-2210,DEN,112.0,1,2.0,-2.0,4.0,3.0,4.0,3.0,,7.0,,,,,1.0,,,,,,,,3.0,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,2.0,,2.0,,,,,1.0,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,90.0,16.5,15.333333333333334,16.5,11.333333333333334,,,,0.3333333333333333,,,,,,,,,,,,,,0.36543333333333333,0.36543333333333333,,,12.733333333333334,,1.0,2.0,0.6666666666666666,,,,,1.0,1.0,,,,,,,,1.0,0.5,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
1626144-1626168-1627736-1627823-1628470,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Juancho Hernangomez, Torrey Craig","Mudiay, Lyles, Beasley, Hernangomez, Craig",1626144-1626168-1627736-1627823-1628470,DEN,108.0,1,2.0,2.0,4.0,3.0,4.0,,,7.0,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,1.0,1.0,,1.0,2.0,,,,,,,1.0,,2.0,,3.0,3.0,,3.0,1.0,,1.0,1.0,,,,,,2.0,2.0,4.0,,,,,,,1.0,1.0,0.5,,0.5,0.5,,0.5,0.5,1.0,1.0,,1.0,,,,93.33333333333333,15.75,15.0,15.75,15.0,,,,,,,,,,,,,,,,0.5,,0.439525,0.439525,,1.0,11.6,23.5,1.0,1.0,0.5,2.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
1626144-1626168-1627736-1627823-202702,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Juancho Hernangomez, Kenneth Faried","Mudiay, Lyles, Beasley, Hernangomez, Faried",1626144-1626168-1627736-1627823-202702,DEN,71.0,1,1.0,-3.0,2.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,2.0,,1.0,2.0,5.0,,,2.0,1.0,2.0,,1.0,2.0,2.0,,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,,,,0.5,,,101.40845070422534,22.0,9.0,22.0,9.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,0.3333333333333333,1.0,0.3333333333333333,,0.6666666666666666,,0.41313333333333335,0.41313333333333335,1.0,1.0,4.75,25.7,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
1626144-1626168-1627736-1627823-203115,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Juancho Hernangomez, Will Barton","Mudiay, Lyles, Beasley, Hernangomez, Barton",1626144-1626168-1627736-1627823-203115,DEN,108.0,1,2.0,-5.0,5.0,4.0,5.0,4.0,,9.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,2.0,2.0,,1.0,4.0,9.0,,,,2.0,2.0,,1.0,4.0,,,,1.0,,,2.0,,4.0,,,,,,,,1.0,1.0,1.0,1.0,,,,4.0,4.0,5.0,,,,,,,1.0,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.3333333333333333,,,,,,,,120.0,16.0,7.0,16.0,7.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,0.3333333333333333,1.0,0.3333333333333333,,0.6666666666666666,,0.4373666666666667,0.4373666666666667,,1.0,4.6,25.3,1.0,1.0,0.3333333333333333,4.0,,2.0,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
1626144-1626168-1627736-1627823-203486,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Juancho Hernangomez, Mason Plumlee","Mudiay, Lyles, Beasley, Hernangomez, Plumlee",1626144-1626168-1627736-1627823-203486,DEN,730.0,2,12.0,24.0,27.0,26.0,8.0,,4.0,53.0,7.0,11.0,3.0,4.0,2.0,5.0,6.0,,,2.0,2.0,7.0,13.0,8.0,10.0,43.0,19.0,,,4.0,3.0,5.0,2.0,2.0,13.0,6.0,18.0,6.0,6.0,5.0,6.0,10.0,3.0,26.0,1.0,3.0,12.0,4.0,16.0,2.0,,5.0,1.0,2.0,2.0,5.0,,,39.0,13.0,8.0,,0.75,0.8,,1.0,0.8,0.5384615384615384,0.6,0.8260869565217391,0.5,0.8571428571428571,0.86,0.5,0.9285714285714286,0.43478260869565216,0.4,0.6,0.5,0.7333333333333333,0.5,,0.5,104.54794520547945,13.555555555555555,14.0,13.222222222222221,13.73076923076923,0.4782608695652174,0.6363636363636364,0.6363636363636364,0.08695652173913043,0.2608695652173913,0.8333333333333334,0.8333333333333334,0.6,,,,0.5714285714285714,0.75,0.2857142857142857,1.0,0.9130434782608695,0.8333333333333334,0.5853869565217391,0.61055,0.09302325581395349,0.3023255813953488,4.6692307692307695,25.09,0.2962962962962963,,,8.0,,4.0,4.0,8.0,1.0,2.0,3.0,,0.5714285714285714,0.6666666666666666,,,1.0,0.8,0.7777777777777778,0.5714285714285714,1.0,,1.0,1.0,,4.0,,,0.5,1.0,,,,0.17391304347826086,,2.0,4.0,2.0,4.0,2.0,3.0,0.5,0.5,,1.0,0.5,0.7165666666666667,3.0,5.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,0.5,0.5,1.0,0.125,0.75,0.75,1.0,0.16,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
1626144-1626168-1627736-1627823-2210,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Juancho Hernangomez, Richard Jefferson","Mudiay, Lyles, Beasley, Hernangomez, Jefferson",1626144-1626168-1627736-1627823-2210,DEN,48.0,1,1.0,,2.0,1.0,,,,3.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,,1.0,,,,90.0,10.0,28.0,10.0,28.0,,,,,0.5,,,,,,,,,,,0.5,,0.457775,,,,7.9,26.9,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
1626144-1626168-1627736-1628470-201589,1610612743,"Emmanuel Mudiay, Trey Lyles, Malik Beasley, Torrey Craig, Darrell Arthur","Mudiay, Lyles, Beasley, Craig, Arthur",1626144-1626168-1627736-1628470-201589,DEN,60.0,1,1.0,-1.0,2.0,2.0,,1.0,,4.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,3.0,4.0,,,,,,,,,,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,1.0,1.0,,,,3.0,,,,1.0,1.0,,,1.0,,,1.5,,,1.5,,,1.0,,,,,,,,96.0,20.5,9.5,20.5,9.5,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,0.48525,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2018,2017-18,False
