EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,LongMidRangeFGA,FG2A,OpponentPoints,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,ShortMidRangeFGM,Arc3FGA,PenaltyArc3FGA,SecondChanceFG2A,PtsUnassisted2s,NonHeaveArc3FGA,SecondChanceTurnovers,ShootingFouls,Offensive Fouls,Offensive Fouls Drawn,LongMidRangePctBlocked,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyArc3Frequency,SecondChanceAtRimFGM,Arc3FGM,PenaltyArc3FGM,SecondChanceFG2M,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,BlockingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,OffCorner3ReboundPct,2pt And 1 Free Throw Trips,DefensiveGoaltends,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PtsUnassisted3s,SecondChanceAtRimPctAssisted,BlockedShortMidRange,OffLongMidRangeReboundPct,SecondChanceArc3FGA,SelfOReb,SelfORebPct,SecondChanceArc3Frequency,LostBallSteals,SecondChanceArc3FGM,3SecondViolations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,StepOutOfBoundsTurnovers,OffFTReboundPct,Charge Fouls Drawn,DefCorner3ReboundPct,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Charge Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101133-1626162-201951-202322-203118,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, John Wall, Mike Scott","Mahinmi, Oubre Jr., Lawson, Wall, Scott",101133-1626162-201951-202322-203118,WAS,82.0,1,1.0,-5.0,2.0,2.0,4,1.0,1.0,2.0,5.0,70.2439024390244,23.5,17.5,23.5,13.5,0.5,0.5,0.5,0.3916,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201951-202693-203078,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Markieff Morris, Bradley Beal","Mahinmi, Oubre Jr., Lawson, Morris, Beal",101133-1626162-201951-202693-203078,WAS,246.0,2,4.0,2.0,9.0,9.0,18,2.0,,4.0,7.0,105.3658536585366,13.666666666666666,13.666666666666666,13.444444444444445,13.666666666666666,0.2857142857142857,,0.7142857142857143,0.5227642857142857,3.925,9.0,9.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,9.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,9.0,2.0,6.0,2.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,9.0,9.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.25,0.25,0.5714285714285714,1.5,0.5714285714285714,0.5625,1.5,0.5625,0.42857142857142855,0.5,0.5,0.5,0.5,0.75,0.3333333333333333,1.0,0.8,0.25,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.2857142857142857,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.2857142857142857,0.5,0.42857142857142855,0.6666666666666666,0.75765,0.5227642857142857,0.125,0.2,0.3333333333333333,1.0,23.833333333333332,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201951-203078-203118,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Bradley Beal, Mike Scott","Mahinmi, Oubre Jr., Lawson, Beal, Scott",101133-1626162-201951-203078-203118,WAS,242.0,1,4.0,-8.0,9.0,11.0,20,3.0,2.0,9.0,14.0,119.00826446280992,14.88888888888889,9.818181818181818,13.555555555555555,9.454545454545455,0.3,0.2,0.4,0.471835,6.888888888888889,7.0,3.0,3.0,2.0,1.0,2.0,4.0,,,,,,,3.0,,1.0,,6.0,,,,1.0,7.0,,1.0,,2.0,2.0,,3.0,1.0,,1.0,,1.0,2.0,3.0,1.0,2.0,3.0,3.0,6.0,,,1.0,1.0,2.0,,3.0,3.0,3.0,1.0,,,6.0,2.0,7.0,,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,0.14285714285714285,0.3,,0.125,0.3,,0.125,0.1,0.3333333333333333,,0.5,0.3333333333333333,0.6666666666666666,0.6,1.0,0.75,0.5,,1.0,,1.0,0.6666666666666666,0.6666666666666666,0.5,0.4,,,,,,,,0.25,0.5,,,0.5271,0.44969375,,,,0.3333333333333333,27.2,0.7777777777777778,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,0.25,0.5,0.1,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201951-203078-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Bradley Beal, Otto Porter Jr.","Mahinmi, Oubre Jr., Lawson, Beal, Porter Jr.",101133-1626162-201951-203078-203490,WAS,28.0,1,,,1.0,1.0,2,,,,,102.85714285714286,7.0,21.0,7.0,21.0,,,1.0,0.345,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,,,,,27.2,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201951-203107-203118,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Tomas Satoransky, Mike Scott","Mahinmi, Oubre Jr., Lawson, Satoransky, Scott",101133-1626162-201951-203107-203118,WAS,1093.0,3,18.0,-14.0,36.0,35.0,71,8.0,,12.0,54.0,93.54071363220496,15.75,15.028571428571428,15.722222222222221,13.685714285714285,0.26666666666666666,,0.8666666666666667,0.5350966666666667,4.516666666666667,13.0,9.0,2.0,5.0,1.0,1.0,4.0,3.0,5.0,,,1.0,2.0,7.0,6.0,18.0,8.0,40.0,,,4.0,2.0,2.0,2.0,8.0,2.0,12.0,4.0,18.0,1.0,2.0,6.0,8.0,3.0,1.0,22.0,1.0,,7.0,8.0,3.0,11.0,2.0,2.0,2.0,,2.0,,4.0,2.0,11.0,8.0,8.0,3.0,36.0,12.0,13.0,2.0,0.2857142857142857,0.4,1.0,0.3333333333333333,,0.25,0.3333333333333333,0.5833333333333334,1.0,0.5333333333333333,1.0,0.5,0.5882352941176471,1.0,0.5454545454545454,0.6,0.08333333333333333,,0.25,0.5,0.4666666666666667,0.2,,0.4117647058823529,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,,0.625,0.625,0.2,0.13333333333333333,0.16666666666666666,0.6,0.6,1.0,,,,0.1,1.0,0.2,0.5,0.6972,0.54924,0.09090909090909091,0.2,0.1,0.3,25.633333333333333,0.3611111111111111,2.0,2.0,13.0,6.0,2.0,10.0,13.0,,3.0,,,,,0.2,0.5,0.6666666666666666,0.43333333333333335,1.0,0.6,2.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.2,0.25,0.5,0.23076923076923078,0.23076923076923078,1.0,1.0,0.16666666666666666,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201951-203107-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Ty Lawson, Tomas Satoransky, Otto Porter Jr.","Mahinmi, Oubre Jr., Lawson, Satoransky, Porter Jr.",101133-1626162-201951-203107-203490,WAS,131.0,1,2.0,,4.0,3.0,7,,,2.0,,76.94656488549619,17.75,20.0,13.5,20.0,,,0.5,0.48005,6.5,,,1.0,,,,2.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,3.0,1.0,4.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,0.5,,1.0,,1.0,1.0,0.25,,,1.0,1.0,,,,0.5,0.25,,,,,,,,,,,,,,,,,25.7,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,0.25,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-202322-203078-203118,1610612764,"Ian Mahinmi, Kelly Oubre Jr., John Wall, Bradley Beal, Mike Scott","Mahinmi, Oubre Jr., Wall, Beal, Scott",101133-1626162-202322-203078-203118,WAS,110.0,1,2.0,2.0,4.0,4.0,8,1.0,,2.0,6.0,104.72727272727273,11.0,16.5,11.0,16.5,0.3333333333333333,,0.6666666666666666,0.5482833333333333,5.1,,,,1.0,,,1.0,,,,,,,2.0,1.0,1.0,1.0,8.0,,,,,,,,,,4.0,3.0,,2.0,1.0,3.0,,1.0,7.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,8.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.1666666666666667,,,1.3333333333333333,,,0.3333333333333333,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,0.3333333333333333,0.5,,,29.2,,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,0.3333333333333333,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-202322-203078-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., John Wall, Bradley Beal, Otto Porter Jr.","Mahinmi, Oubre Jr., Wall, Beal, Porter Jr.",101133-1626162-202322-203078-203490,WAS,166.0,2,3.0,3.0,6.0,7.0,13,3.0,,4.0,4.0,112.7710843373494,10.5,14.714285714285714,8.5,14.714285714285714,0.6,,0.8,0.56484,2.65,,2.0,1.0,2.0,,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,,7.0,,,,,,,,,,2.0,3.0,,1.0,1.0,2.0,1.0,1.0,5.0,,2.0,,2.0,,2.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,,,,7.0,,,1.0,0.5,0.5,1.0,1.0,,,1.0,0.5,,0.7,,,0.7,,,0.2,,,,1.0,,,1.0,1.0,,,,,1.0,0.6666666666666666,0.6666666666666666,0.5,0.2,0.2,1.0,1.0,1.0,,,,,,,,0.359,,,,,,22.6,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-202322-203107-203490,1610612764,"Ian Mahinmi, Kelly Oubre Jr., John Wall, Tomas Satoransky, Otto Porter Jr.","Mahinmi, Oubre Jr., Wall, Satoransky, Porter Jr.",101133-1626162-202322-203107-203490,WAS,15.0,1,,2.0,1.0,,1,1.0,,1.0,,96.0,13.0,,13.0,,1.0,,1.0,0.4421,2.8,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,2.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,0.4421,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-201951-202322-203107-203118,1610612764,"Ian Mahinmi, Ty Lawson, John Wall, Tomas Satoransky, Mike Scott","Mahinmi, Lawson, Wall, Satoransky, Scott",101133-201951-202322-203107-203118,WAS,185.0,1,3.0,-4.0,6.0,6.0,12,1.0,3.0,6.0,8.0,93.4054054054054,14.666666666666666,16.166666666666668,14.333333333333334,13.833333333333334,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.4411285714285714,11.6,,6.0,1.0,,,,2.0,,,,,,,2.0,,1.0,,4.0,,,,,,,,,,2.0,,,1.0,,1.0,,,2.0,1.0,,2.0,2.0,1.0,3.0,,,,,,,,,2.0,1.0,,,4.0,,,1.0,0.5,0.5,,,,,,0.3333333333333333,,0.2857142857142857,,,0.2857142857142857,,,0.14285714285714285,,,,,1.0,0.3333333333333333,,1.0,0.25,,1.0,,,,,,0.2857142857142857,,,,,,,,,,,,0.6599,,,,,,27.7,,1.0,,1.0,,1.0,2.0,1.0,,1.0,,,,1.0,1.0,,,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
