EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,BlockingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,OffRebounds,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,DefTwoPtRebounds,FTDefRebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,BadPassSteals,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,DefAtRimReboundPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,Corner3Assists,FTOffRebounds,SelfOReb,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffFTReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,DefLongMidRangeReboundPct,Offensive Fouls Drawn,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,HeaveAttempts,Charge Fouls Drawn,BlockedShortMidRange,ShortMidRangePctBlocked,DefCorner3ReboundPct,Charge Fouls,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGA,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,Blocked3s,BlockedArc3,BlockingFoulsDrawn,LostBallOutOfBoundsTurnovers,team_id,year,season,team_vs
1626159-1626196-1628389-201609-201949,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Goran Dragic, James Johnson","Winslow, Richardson, Adebayo, Dragic, Johnson",1626159-1626196-1628389-201609-201949,MIA,83.0,1,1.0,-5.0,5.0,4.0,5.0,4.0,9.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,8.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.375,0.375,0.3333333333333333,156.14457831325302,8.8,9.75,8.8,9.75,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4818166666666666,0.4818166666666666,1.0,8.45,27.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
1626159-1626196-1628389-201609-203482,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Goran Dragic, Kelly Olynyk","Winslow, Richardson, Adebayo, Dragic, Olynyk",1626159-1626196-1628389-201609-203482,MIA,230.0,2,4.0,-2.0,6.0,7.0,6.0,1.0,13.0,,1.0,1.0,1.0,3.0,5.0,1.0,1.0,10.0,12.0,3.0,5.0,1.0,1.0,10.0,,1.0,,,2.0,3.0,1.0,10.0,10.0,6.0,,1.0,0.6,0.6,0.75,0.75,0.7142857142857143,0.7142857142857143,0.16666666666666666,81.39130434782608,22.166666666666668,13.857142857142858,22.166666666666668,13.857142857142858,0.16666666666666666,,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.49065000000000003,0.49065000000000003,1.0,6.58,26.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
1626159-1626196-1628389-201609-2548,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Goran Dragic, Dwyane Wade","Winslow, Richardson, Adebayo, Dragic, Wade",1626159-1626196-1628389-201609-2548,MIA,37.0,1,1.0,-1.0,1.0,1.0,1.0,,2.0,,1.0,,,,2.0,,1.0,1.0,2.0,,2.0,,1.0,1.0,,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,,0.16666666666666666,0.16666666666666666,,77.83783783783784,23.0,14.0,21.0,14.0,0.5,,,,,0.5,0.5887,0.5887,1.0,5.3,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,0.7399,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
1626159-1626196-1628389-201961-2548,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Wayne Ellington, Dwyane Wade","Winslow, Richardson, Adebayo, Ellington, Wade",1626159-1626196-1628389-201961-2548,MIA,180.0,1,3.0,-5.0,7.0,6.0,7.0,4.0,13.0,,,2.0,2.0,,1.0,2.0,2.0,2.0,7.0,,1.0,2.0,2.0,2.0,,2.0,,4.0,1.0,2.0,1.0,2.0,2.0,7.0,,1.0,,,,,0.25,0.25,0.6666666666666666,104.0,12.285714285714286,15.666666666666666,12.285714285714286,14.833333333333334,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4630666666666667,0.4630666666666667,1.0,17.3,24.8,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,,1.0,0.6666666666666666,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,0.3333333333333333,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
1626159-1626196-1628389-202337-203585,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Luke Babbitt, Rodney McGruder","Winslow, Richardson, Adebayo, Babbitt, McGruder",1626159-1626196-1628389-202337-203585,MIA,142.0,1,2.0,5.0,5.0,4.0,5.0,,9.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,,9.0,4.0,3.0,3.0,1.0,,9.0,2.0,1.0,,1.0,,,,9.0,9.0,5.0,,,1.0,1.0,1.125,1.125,1.125,1.125,0.25,91.26760563380282,15.0,16.75,15.0,16.75,0.25,1.0,1.0,0.25,0.25,0.5,0.4256375,0.4256375,1.0,10.200000000000001,26.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,,,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
1626159-1626196-1628389-203482-2548,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Kelly Olynyk, Dwyane Wade","Winslow, Richardson, Adebayo, Olynyk, Wade",1626159-1626196-1628389-203482-2548,MIA,17.0,1,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,84.70588235294117,3.0,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
1626159-1626196-201609-201949-201961,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Wayne Ellington","Winslow, Richardson, Dragic, Johnson, Ellington",1626159-1626196-201609-201949-201961,MIA,129.0,1,2.0,2.0,4.0,4.0,,,8.0,1.0,1.0,1.0,,3.0,4.0,1.0,1.0,7.0,5.0,,,,,,4.0,1.0,,1.0,2.0,2.0,,3.0,,,,,0.75,,0.6,,0.5833333333333334,,0.2,89.30232558139535,24.0,8.25,21.0,8.25,0.2,1.0,1.0,0.2,,0.6,0.50753,,,8.6,25.6,,2.0,2.0,,,,1.0,,,,,2.0,,,1.0,,1.0,,,,2.0,,1.0,3.0,1.0,,,1.0,0.3333333333333333,0.5,,,,,,1.0,,0.4,1.0,1.0,,0.2,,,,,,,,,,,0.16666666666666666,0.2,1.0,2.0,,4.0,1.0,2.0,1.0,1.0,1.0,,,0.5,0.5548,0.5714285714285714,1.0,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
1626159-1626196-201609-201949-202355,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Hassan Whiteside","Winslow, Richardson, Dragic, Johnson, Whiteside",1626159-1626196-201609-201949-202355,MIA,233.0,2,4.0,-4.0,10.0,10.0,5.0,7.0,20.0,,,2.0,2.0,2.0,4.0,2.0,5.0,9.0,13.0,1.0,2.0,2.0,1.0,3.0,,2.0,,3.0,4.0,6.0,1.0,9.0,3.0,5.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.25,0.5,0.3,0.3333333333333333,123.60515021459227,12.3,11.0,12.3,11.0,,,,0.3333333333333333,0.5,0.8333333333333334,0.5632916666666666,0.5884125,0.3333333333333333,6.05,25.95,0.5,2.0,3.0,1.0,2.0,,1.0,,,,,4.0,,,2.0,,2.0,,2.0,,4.0,,3.0,3.0,1.0,1.0,,2.0,1.0,1.0,,,,,,1.0,,0.5,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,,,,,,,0.5,0.5,,,0.25,0.3333333333333333,,,,,,,,,,,,,,,1.0,2.0,2.0,,2.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
1626159-1626196-201609-201949-203482,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Kelly Olynyk","Winslow, Richardson, Dragic, Johnson, Olynyk",1626159-1626196-201609-201949-203482,MIA,707.0,3,12.0,13.0,25.0,23.0,25.0,13.0,48.0,1.0,2.0,7.0,7.0,6.0,13.0,8.0,9.0,39.0,26.0,6.0,13.0,8.0,9.0,39.0,8.0,7.0,,7.0,9.0,13.0,4.0,32.0,39.0,25.0,1.0,3.0,0.46153846153846156,0.46153846153846156,0.7142857142857143,0.7142857142857143,0.6964285714285714,0.7222222222222222,0.38095238095238093,97.76520509193777,15.08,14.347826086956522,12.84,13.782608695652174,0.09523809523809523,0.5,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5108619047619047,0.5108619047619047,1.0,9.53076923076923,25.9125,1.0,3.0,6.0,3.0,6.0,2.0,5.0,5.0,5.0,6.0,6.0,4.0,18.0,5.0,2.0,6.0,8.0,5.0,2.0,,22.0,5.0,8.0,14.0,3.0,2.0,,3.0,0.3333333333333333,0.4,1.0,0.75,0.75,0.75,1.0,0.7777777777777778,1.0,0.2857142857142857,0.5,0.75,0.6666666666666666,0.23809523809523808,0.4,0.5,,0.7142857142857143,0.7142857142857143,1.0,0.2857142857142857,0.5,0.7142857142857143,0.7142857142857143,0.125,0.1875,1.0,3.0,,7.0,3.0,6.0,0.5833333333333334,0.42857142857142855,0.5,0.6666666666666666,,0.16666666666666666,0.47742000000000007,0.1794871794871795,2.0,1.0,1.0,3.0,,1.0,4.0,4.0,2.0,1.0,0.25,1.0,0.5,1.0,1.0,5.0,1.0,2.0,2.0,,1.0,1.0,0.6666666666666666,0.5833333333333334,1.0,0.3333333333333333,1.0,,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.2,0.5,0.2,0.047619047619047616,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.047619047619047616,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
1626159-1626196-201609-201949-2548,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Dwyane Wade","Winslow, Richardson, Dragic, Johnson, Wade",1626159-1626196-201609-201949-2548,MIA,47.0,1,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,3.0,3.0,1.0,,,,3.0,3.0,,,,1.0,3.0,4.0,2.0,3.0,3.0,1.0,,2.0,,,,,0.75,0.75,,91.91489361702128,22.0,12.5,22.0,12.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,0.5,,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,True
