EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,OffThreePtRebounds,Loose Ball Fouls Drawn,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonShootingPenaltyNonTakeFouls,PenaltyArc3FGM,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Arc3Assists,Technical Free Throw Trips,Assisted3sPct,PenaltyFg3Pct,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,DefCorner3ReboundPct,Offensive Fouls Drawn,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFtPoints,Fg2aBlocked,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,3SecondViolations,Corner3FGM,SecondChanceCorner3FGM,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,BlockingFouls,Loose Ball Fouls,Offensive Fouls,BlockedShortMidRange,DefensiveGoaltends,LongMidRangePctBlocked,OffFTReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockingFoulsDrawn,SecondChanceTurnovers,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,OffCorner3ReboundPct,Blocked3s,BlockedArc3,Corner3PctBlocked,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101133-1626162-1626191-201975-203107,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Chris McCullough, Jodie Meeks, Tomas Satoransky","Mahinmi, Oubre Jr., McCullough, Meeks, Satoransky",101133-1626162-1626191-201975-203107,WAS,659.0,2,11.0,-13.0,24.0,26.0,14.0,12.0,2.0,50.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,8.0,1.0,6.0,8.0,21.0,34.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,5.0,13.0,8.0,2.0,3.0,5.0,1.0,4.0,4.0,3.0,1.0,8.0,1.0,3.0,4.0,1.0,8.0,1.0,9.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,6.0,4.0,8.0,9.0,9.0,12.0,2.0,4.0,3.0,1.0,1.0,1.0,19.0,13.0,14.0,2.0,0.8,0.8,0.16666666666666666,0.16666666666666666,0.625,1.0,0.8,0.4642857142857143,0.5,0.5714285714285714,0.5526315789473685,0.5,0.5909090909090909,0.42857142857142855,0.5,1.0,0.4,0.3333333333333333,1.0,0.5384615384615384,0.125,1.0,0.3333333333333333,0.4,0.5,1.0,0.125,109.25644916540213,12.041666666666666,14.23076923076923,11.75,13.923076923076923,0.2857142857142857,0.75,0.75,1.0,0.07142857142857142,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.07142857142857142,0.35714285714285715,0.2,0.2,0.5,0.2857142857142857,1.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2,0.569425,0.497,0.5779,0.25,0.4,0.09523809523809523,0.6190476190476191,8.75,26.150000000000002,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-1626191-203078-203107,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Chris McCullough, Bradley Beal, Tomas Satoransky","Mahinmi, Oubre Jr., McCullough, Beal, Satoransky",101133-1626162-1626191-203078-203107,WAS,209.0,1,3.0,-3.0,6.0,6.0,,6.0,1.0,12.0,2.0,2.0,,,2.0,,1.0,,,,,1.0,,2.0,5.0,,1.0,2.0,6.0,9.0,1.0,1.0,,2.0,,,,,,,4.0,,1.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,4.0,,,,,1.0,,,,1.0,,1.0,,,,3.0,2.0,,1.0,,,,,4.0,,,,,,,,0.4,1.0,,0.3333333333333333,1.0,,0.42857142857142855,1.0,,0.16666666666666666,1.0,,1.0,0.3333333333333333,1.0,1.0,0.5,,,1.0,,1.0,,82.67942583732058,23.0,11.833333333333334,22.666666666666668,11.833333333333334,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.16666666666666666,,,,,0.16666666666666666,,,,,,,,0.5,,0.5182,0.6654,,0.14285714285714285,0.16666666666666666,0.3333333333333333,,7.459999999999999,26.4,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-1626191-203118-204025,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Chris McCullough, Mike Scott, Tim Frazier","Mahinmi, Oubre Jr., McCullough, Scott, Frazier",101133-1626162-1626191-203118-204025,WAS,65.0,1,1.0,,3.0,2.0,3.0,2.0,,5.0,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,3.0,,,,,,,,,,,,0.25,,0.25,1.0,,,,,,,,,,,,,,110.76923076923077,18.333333333333332,5.0,18.333333333333332,5.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,0.39195,,0.39195,0.5,1.0,,1.0,,26.3,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201160-201196-201975,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Ramon Sessions, Jodie Meeks","Mahinmi, Oubre Jr., Smith, Sessions, Meeks",101133-1626162-201160-201196-201975,WAS,180.0,1,3.0,3.0,6.0,7.0,6.0,3.0,1.0,13.0,2.0,2.0,2.0,2.0,1.0,,,,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,12.0,9.0,1.0,1.0,,2.0,2.0,3.0,1.0,5.0,12.0,4.0,,,1.0,1.0,2.0,3.0,2.0,,7.0,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,,,,1.0,1.0,4.0,10.0,,3.0,1.0,,,,10.0,12.0,6.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.875,1.0,0.875,0.625,1.0,0.625,0.25,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,104.0,9.666666666666666,17.428571428571427,9.666666666666666,17.428571428571427,0.5,1.0,1.0,1.0,0.25,,,,,,0.25,1.0,1.0,,0.5,1.0,,0.25,0.75,1.0,0.4811375,0.4131,0.4811375,0.42857142857142855,0.5,0.16666666666666666,1.0,3.5,27.6,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201160-201196-204025,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Ramon Sessions, Tim Frazier","Mahinmi, Oubre Jr., Smith, Sessions, Frazier",101133-1626162-201160-201196-204025,WAS,252.0,1,4.0,-11.0,9.0,9.0,9.0,3.0,,18.0,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,2.0,2.0,1.0,3.0,1.0,2.0,,5.0,16.0,,,,,1.0,3.0,2.0,,5.0,,2.0,,2.0,1.0,,1.0,,,3.0,,1.0,,,1.0,,1.0,,,,,3.0,,2.0,,1.0,,3.0,3.0,2.0,3.0,,,,,,,,,5.0,5.0,9.0,,,,0.5,0.5,0.3333333333333333,,0.3333333333333333,0.5,,0.5,0.5,,0.5,0.4,1.0,,,,0.5,0.5,,,,,,,,102.85714285714285,16.555555555555557,11.444444444444445,16.555555555555557,10.555555555555555,0.2,1.0,1.0,,0.4,,,,,,0.4,0.5,0.5,,0.2,1.0,,0.4,0.6,0.5,0.40490000000000004,,0.40490000000000004,,,,1.0,6.0,26.75,1.0,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,,1.0,0.5,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201160-201975-202322,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Jodie Meeks, John Wall","Mahinmi, Oubre Jr., Smith, Meeks, Wall",101133-1626162-201160-201975-202322,WAS,26.0,1,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,55.38461538461538,21.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201160-201975-203107,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Jodie Meeks, Tomas Satoransky","Mahinmi, Oubre Jr., Smith, Meeks, Satoransky",101133-1626162-201160-201975-203107,WAS,276.0,1,5.0,-4.0,8.0,9.0,,,2.0,17.0,2.0,2.0,,,2.0,1.0,2.0,1.0,,,,1.0,,3.0,6.0,,2.0,,6.0,10.0,2.0,2.0,,4.0,,,,,,,6.0,,1.0,,,,,,,2.0,2.0,1.0,,3.0,2.0,5.0,,,,,1.0,1.0,1.0,1.0,,,2.0,,1.0,2.0,3.0,,,,,1.0,,1.0,2.0,,,,,,,,0.5,1.0,,0.375,1.0,,0.375,1.0,,0.25,0.5,,0.5,0.6666666666666666,1.0,0.75,0.4,1.0,1.0,,,1.0,,88.69565217391305,20.5,12.444444444444445,20.375,12.333333333333334,0.25,1.0,1.0,,0.25,0.25,0.5,0.5,,0.125,0.125,,,,,,,,0.5,,0.49263125,0.58045,,,,0.6666666666666666,,11.483333333333334,23.95,,2.0,2.0,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201160-201975-204025,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Jodie Meeks, Tim Frazier","Mahinmi, Oubre Jr., Smith, Meeks, Frazier",101133-1626162-201160-201975-204025,WAS,476.0,1,8.0,6.0,17.0,16.0,9.0,,3.0,33.0,2.0,3.0,1.0,1.0,4.0,,1.0,,,,3.0,6.0,4.0,3.0,8.0,3.0,6.0,6.0,21.0,15.0,1.0,2.0,1.0,7.0,2.0,3.0,4.0,4.0,11.0,4.0,2.0,3.0,6.0,3.0,2.0,4.0,2.0,,10.0,3.0,5.0,4.0,,9.0,4.0,13.0,,,,,3.0,,1.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,4.0,7.0,,1.0,1.0,,,,14.0,11.0,9.0,1.0,0.6666666666666666,1.0,0.5,0.5,0.375,0.5,0.6666666666666666,0.5357142857142857,0.8333333333333334,0.5,0.6176470588235294,0.875,0.6111111111111112,0.42857142857142855,0.75,,1.0,0.6,0.8333333333333334,0.9,0.5,0.3333333333333333,1.0,1.0,1.0,0.8333333333333334,,99.83193277310924,14.764705882352942,14.0625,14.176470588235293,14.0,0.21428571428571427,0.6666666666666666,1.0,1.0,0.2857142857142857,0.07142857142857142,,,,,0.42857142857142855,0.5,0.5,,0.14285714285714285,1.0,,0.5714285714285714,0.6428571428571429,0.5,0.490325,0.4527,0.5162642857142857,0.125,0.1111111111111111,0.3333333333333333,0.5238095238095238,5.8625,25.900000000000002,0.5294117647058824,,1.0,2.0,1.0,,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,,1.0,1.0,6.0,2.0,2.0,,0.6666666666666666,0.25,0.6666666666666666,,0.25,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.375,0.3333333333333333,0.5,1.0,0.25,0.5,0.3333333333333333,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201160-202322-203078,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, John Wall, Bradley Beal","Mahinmi, Oubre Jr., Smith, Wall, Beal",101133-1626162-201160-202322-203078,WAS,43.0,1,1.0,4.0,2.0,1.0,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,6.0,,2.0,,1.0,1.0,,1.0,,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,4.0,6.0,2.0,,,,1.0,1.0,0.5,1.0,0.5,0.8333333333333334,1.0,0.8333333333333334,0.75,1.0,0.75,0.3333333333333333,,,,1.0,,,1.0,,,,,,,100.46511627906976,14.0,15.0,14.0,15.0,0.3333333333333333,1.0,1.0,,,0.3333333333333333,,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,,0.3333333333333333,0.6666666666666666,1.0,0.55715,0.7375,0.55715,,,0.3333333333333333,1.0,8.35,24.7,1.0,1.0,1.0,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
101133-1626162-201160-203078-203107,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Bradley Beal, Tomas Satoransky","Mahinmi, Oubre Jr., Smith, Beal, Satoransky",101133-1626162-201160-203078-203107,WAS,3.0,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,480.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2018,2017-18,True
