EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Steals,LostBallSteals,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,AtRimFGM,AtRimFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FtPoints,OpponentPoints,PenaltyFtPoints,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Fg2Pct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,BadPassSteals,ShortMidRangeFGM,ShortMidRangeFGA,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,BlockingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3FGM,Corner3Assists,AtRimAssists,2pt And 1 Free Throw Trips,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LongMidRangeFGM,PenaltyFG2M,PenaltyFG2A,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LongMidRangePctAssisted,SecondChanceOffPoss,Fg2aBlocked,OffThreePtRebounds,OffRebounds,SecondChanceTurnovers,ShootingFouls,Offensive Fouls,FG2APctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,SelfOReb,LostBallTurnovers,Loose Ball Fouls,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,FTDefRebounds,BlockingFouls,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,PtsUnassisted3s,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,Blocked3s,BlockedArc3,Travels,Charge Fouls,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1626192-1627735-1628380-202329-202334,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Al-Farouq Aminu, Ed Davis","Connaughton, Baldwin IV, Collins, Aminu, Davis",1626192-1627735-1628380-202329-202334,POR,17.0,1,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,169.41176470588235,12.0,5.0,12.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3612,0.3612,1.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
1626192-1627735-1628380-202334-203081,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, Damian Lillard","Connaughton, Baldwin IV, Collins, Davis, Lillard",1626192-1627735-1628380-202334-203081,POR,210.0,2,3.0,7.0,7.0,2.0,3.0,14.0,,2.0,,,,3.0,5.0,,1.0,1.0,,2.0,,,,,,,,5.0,1.0,2.0,,,,,0.3333333333333333,,0.35714285714285715,0.25,0.5,96.0,10.571428571428571,19.428571428571427,10.571428571428571,18.142857142857142,0.3333333333333333,,,,,,0.8333333333333334,,0.5646416666666666,0.60945,0.2,24.333333333333332,0.2857142857142857,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,0.6666666666666666,0.75,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,0.14285714285714285,0.25,5.533333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
1626192-1627735-1628380-202334-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, CJ McCollum","Connaughton, Baldwin IV, Collins, Davis, McCollum",1626192-1627735-1628380-202334-203468,POR,177.0,1,1.0,5.0,6.0,5.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,,5.0,5.0,5.0,1.0,0.5,0.5,0.5,0.75,0.75,0.8333333333333334,0.8333333333333334,1.0,89.4915254237288,9.8,21.333333333333332,9.8,21.333333333333332,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.544725,0.544725,1.0,25.15,1.0,3.0,,,,1.0,1.0,,,2.0,4.0,2.0,,3.0,1.0,4.0,4.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,0.5,0.5,0.3333333333333333,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
1626192-1627735-202329-203081-203994,1610612757,"Pat Connaughton, Wade Baldwin IV, Al-Farouq Aminu, Damian Lillard, Jusuf Nurkic","Connaughton, Baldwin IV, Aminu, Lillard, Nurkic",1626192-1627735-202329-203081-203994,POR,15.0,1,2.0,1.0,1.0,1.0,,2.0,,,,,,,2.0,,,2.0,,,,,,,,1.0,,2.0,2.0,1.0,,,,,,,1.0,1.0,,192.0,,15.0,,15.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0,,2.0,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
1626192-1628380-202323-202329-203468,1610612757,"Pat Connaughton, Zach Collins, Evan Turner, Al-Farouq Aminu, CJ McCollum","Connaughton, Collins, Turner, Aminu, McCollum",1626192-1628380-202323-202329-203468,POR,55.0,1,4.0,2.0,2.0,,,4.0,,,,,,,4.0,,,,,,,,1.0,,2.0,,,4.0,,,,,,,1.0,,1.0,,,104.72727272727273,4.5,23.0,4.5,18.0,,,,,,,,,0.4093,,,,,1.0,,,,,,1.0,1.0,2.0,,,,1.0,1.0,2.0,2.0,,1.0,,2.0,1.0,,,,,,1.0,0.3333333333333333,1.0,0.5,0.5,,,1.0,,,,,,,,0.5,0.5,5.3,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
1626192-1628380-202323-202334-203468,1610612757,"Pat Connaughton, Zach Collins, Evan Turner, Ed Davis, CJ McCollum","Connaughton, Collins, Turner, Davis, McCollum",1626192-1628380-202323-202334-203468,POR,166.0,1,3.0,6.0,5.0,,,11.0,,,,,1.0,1.0,8.0,,,,3.0,,,1.0,3.0,,7.0,1.0,1.0,8.0,,,1.0,1.0,,1.0,0.5833333333333334,,0.6666666666666666,,0.16666666666666666,95.42168674698796,12.333333333333334,18.4,12.333333333333334,18.4,,,,,,,0.6666666666666666,,0.5466583333333334,,,22.0,,3.0,2.0,3.0,,1.0,,2.0,5.0,1.0,5.0,,,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,0.4,1.0,1.0,1.0,1.0,,1.0,,1.0,0.5,0.6666666666666666,0.6666666666666666,,0.16666666666666666,,0.16666666666666666,0.2,4.2,,,,,,,,,,2.0,4.0,2.0,,,1.0,1.0,0.3333333333333333,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
1626192-1628380-202329-202334-203081,1610612757,"Pat Connaughton, Zach Collins, Al-Farouq Aminu, Ed Davis, Damian Lillard","Connaughton, Collins, Aminu, Davis, Lillard",1626192-1628380-202329-202334-203081,POR,13.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
1626192-1628380-202329-203081-203090,1610612757,"Pat Connaughton, Zach Collins, Al-Farouq Aminu, Damian Lillard, Maurice Harkless","Connaughton, Collins, Aminu, Lillard, Harkless",1626192-1628380-202329-203081-203090,POR,120.0,1,4.0,4.0,4.0,4.0,,8.0,,,,,,,4.0,,,4.0,,,,,,,,1.0,,4.0,4.0,4.0,,,,,0.3333333333333333,0.3333333333333333,0.5,0.5,,96.0,11.5,18.5,11.5,17.75,,,,,,,,,0.4171,0.4171,1.0,,1.0,2.0,,,3.0,,,1.0,3.0,2.0,,2.0,2.0,3.0,,3.0,3.0,,1.0,,2.0,,,,,,,0.3333333333333333,,0.75,0.75,,,0.75,,,,,,1.0,,,,,16.266666666666666,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
1626192-1628380-202329-203090-203468,1610612757,"Pat Connaughton, Zach Collins, Al-Farouq Aminu, Maurice Harkless, CJ McCollum","Connaughton, Collins, Aminu, Harkless, McCollum",1626192-1628380-202329-203090-203468,POR,157.0,1,-1.0,6.0,5.0,,,11.0,,,,,,,6.0,,,,,,,,3.0,,6.0,,,6.0,,,,,,,0.6,,0.6,,,100.89171974522293,16.333333333333332,11.8,16.333333333333332,11.8,,,,,,,0.6,,0.5781799999999999,,,,,3.0,1.0,3.0,1.0,,,3.0,5.0,,7.0,,,1.0,,1.0,1.0,,2.0,1.0,,,,,,,,0.6,,1.0,1.0,,,1.0,,,0.6,0.3333333333333333,0.3333333333333333,0.2,,,,,5.82,,,1.0,,1.0,,,,1.0,1.0,6.0,3.0,1.0,,1.0,1.0,0.2,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
1626192-1628380-202334-203081-203090,1610612757,"Pat Connaughton, Zach Collins, Ed Davis, Damian Lillard, Maurice Harkless","Connaughton, Collins, Davis, Lillard, Harkless",1626192-1628380-202334-203081-203090,POR,488.0,1,-10.0,14.0,15.0,,3.0,29.0,2.0,4.0,,,2.0,4.0,12.0,,,,6.0,4.0,2.0,2.0,4.0,2.0,10.0,,,12.0,,,1.0,0.5,,0.5,0.5,,0.5,,0.3333333333333333,85.57377049180329,19.071428571428573,14.733333333333333,18.357142857142858,14.733333333333333,0.3333333333333333,0.5,0.5,1.0,,,0.6666666666666666,0.5,0.5175833333333334,,,26.35,,8.0,2.0,4.0,4.0,,,3.0,8.0,,22.0,,2.0,2.0,,2.0,3.0,3.0,3.0,,,,,,,,,0.375,,1.0,1.0,,,1.0,1.0,,0.3333333333333333,0.5,0.5,0.3333333333333333,,,,,9.625,1.0,1.0,2.0,1.0,3.0,,0.3333333333333333,,,,4.0,2.0,,,0.6666666666666666,0.6666666666666666,,,,,,,1.0,,0.5,,,,1.0,,,,,,0.25,0.3333333333333333,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.25,0.5,0.14285714285714285,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,True
